DN Dc Di Do h lambda s Rs
20 0.125 0.0217 0.0269 0.019 0.028 0.0026 12.3624428938
25 0.14 0.0273 0.0337 0.019 0.028 0.0032 11.4405093413
32 0.16 0.036 0.0424 0.019 0.028 0.0032 10.34642296
40 0.16 0.0419 0.0483 0.019 0.028 0.0032 8.79043301223
50 0.2 0.0539 0.0603 0.02 0.028 0.0032 8.78412558963
65 0.225 0.0697 0.0761 0.02 0.028 0.0032 7.3907725286
80 0.25 0.0825 0.0889 0.025 0.028 0.0032 6.49230396496
100 0.315 0.1071 0.1143 0.025 0.028 0.0036 6.37609102667
125 0.4 0.1325 0.1397 0.03 0.028 0.0036 6.74488903363
150 0.45 0.1603 0.1683 0.04 0.028 0.004 5.61245714232
200 0.56 0.2101 0.2191 0.045 0.028 0.0045 5.00378157211
250 0.4 0.263 0.273 0.15 0.028 0.005 2.9908525977
300 0.45 0.3127 0.3239 0.15 0.028 0.0056 2.64701235295
350 0.5 0.3444 0.3556 0.15 0.028 0.0056 2.67140913252
400 0.56 0.3938 0.4064 0.15 0.028 0.0063 2.52565084615
450 0.63 0.4444 0.457 0.15 0.028 0.0063 2.47934781587
500 0.67 0.4954 0.508 0.15 0.028 0.0063 2.19564508137
600 0.8 0.5958 0.61 0.15 0.028 0.0071 2.11202746739
700 0.9 0.695 0.711 0.15 0.028 0.008 1.87702592786
800 1.0 0.7954 0.813 0.15 0.028 0.0088 1.68304856233
900 1.1 0.894 0.914 0.15 0.028 0.01 1.53753770896
1000 1.2 0.994 1.016 0.15 0.028 0.011 1.40856471806
