 A VWat VSTC E_backup_full E_loss_stor_full E_curt_full E_sol_full E_net_loss_full t_full C_elec_full E_demand_full E_net_pump_full
0 25000.0 50000.0 50000.0 147983533.27486977 185069.93792216651 0.0 12105491.273212489 742940.8865528265 97.05663900000002 1254265.111233239 159161013.72362465 1351351.773496595
1 25000.0 50000.0 100000.0 148017125.74990308 220950.33015629984 0.0 12105491.273212489 740652.9693506111 55.513780000000025 1233417.8834258923 159161013.72362465 1358890.9779074362
2 25000.0 50000.0 150000.0 148048218.7994069 249542.98090924192 0.0 12105491.273212489 743153.3681040602 56.553537000000006 1218036.0010965974 159161013.72362465 1374373.3666009253
3 50000.0 50000.0 50000.0 135861101.3811433 185048.62571020966 0.0 24210982.54642587 726021.5782471651 56.11948699999999 1165305.010369883 159161013.72362465 1298710.9883536964
4 50000.0 50000.0 100000.0 135892071.94618306 220898.32398648837 0.0 24210982.54642587 721142.4450087158 57.337027999999975 1141122.2981223434 159161013.72362465 1299624.9192425814
5 50000.0 50000.0 150000.0 135922861.87933937 250430.11217160878 0.0 24210982.54642587 722400.5899802905 54.372614999999996 1123767.6575580298 159161013.72362465 1307056.9558538194
6 75000.0 50000.0 50000.0 127882188.44786373 187191.902778943 4131652.587429868 32184821.232208252 718804.0536805098 54.508122000000014 1104699.5613015457 159161013.72362465 1269686.4475768784
7 75000.0 50000.0 100000.0 125582147.08601892 222725.18748934078 1800599.765340252 34515874.05429807 714282.2292134 55.14972499999999 1069952.3324314046 159161013.72362465 1269196.763461867
8 75000.0 50000.0 150000.0 123805045.3075333 250585.36864870467 0.0 36316473.819638364 709920.0349071799 53.690428999999995 1041037.8811760694 159161013.72362465 1262460.0578582776
9 100000.0 50000.0 50000.0 122615504.27108851 187370.12278541154 10979286.212229298 37442678.880621925 709799.3053141034 54.93098199999997 1055931.867214134 159161013.72362465 1245565.1447899065
10 100000.0 50000.0 100000.0 120315497.3663374 223236.06361128623 8647952.127710693 39774012.96514083 705260.5442541472 54.83692599999995 1021321.4007956309 159161013.72362465 1248480.987150663
11 100000.0 50000.0 150000.0 118011312.22096585 252112.85609704268 6318329.146598068 42103635.94625355 701821.587510325 53.82867399999998 991480.1167475573 159161013.72362465 1243097.7172305894
12 25000.0 75000.0 50000.0 148000641.96602175 204584.80214503425 0.0 12105491.273212489 740534.713479829 56.892987999999946 1242780.1952121428 159161013.72362465 1358507.6966444005
13 25000.0 75000.0 100000.0 148035778.388028 238859.41353672228 0.0 12105491.273212489 741396.5240950787 56.38919299999998 1224753.9173501371 159161013.72362465 1375962.3504999417
