 A VSTC VWat E_backup_full E_backup_repr E_loss_stor_full E_loss_stor_repr E_curt_full E_curt_repr E_sol_full E_sol_repr t_repr t_comp E_net_loss_full E_net_loss_repr E_net_pump_full E_net_pump_repr
0 50000.0 100000.0 75000.0 169213904.83274093 160876809.4131399 152864.05436280055 153525.48173385902 0.0 0.0 16834920.20105317 15903.850773479528 25.121695000000045 13.774937000000136 768658.8100675377 761062.5947836589 695507.4414064536 690838.0210343287
1 50000.0 150000.0 75000.0 169233754.27849263 160896792.59183544 172695.03000973107 173632.8903429926 0.0 0.0 16834920.20105317 15903.850773479528 26.02233699999988 14.41020299999991 768677.28017163 761080.3159365186 695501.9939863778 690830.7724393388
2 50000.0 200000.0 75000.0 169251557.59115106 160914634.18085998 190480.59677010513 191537.3497456578 0.0 0.0 16834920.20105317 15903.850773479528 25.73651299999983 14.131427999999914 768695.0258427076 761097.6365064105 695496.023674075 690825.0889811951
3 100000.0 100000.0 75000.0 152383649.43786713 144983527.80874854 174005.51078715135 180191.20355196678 0.0 0.0 33669840.402105 31807.701546960954 25.47173799999996 13.591768000000002 752182.1375657095 744072.8303938723 702004.7970781082 695806.0269925772
4 100000.0 150000.0 75000.0 152401913.54166272 144999782.7623861 193783.17272072824 196476.7031666814 0.0 0.0 33669840.402105 31807.701546960954 25.478369000000157 13.951303000000053 750668.598750333 744065.5414180254 700739.3020240968 695781.9200282955
5 100000.0 200000.0 75000.0 152417460.30479205 145015066.9150586 209326.1522659704 212022.48423935208 0.0 0.0 33669840.402105 31807.701546960954 25.395679999999857 13.734099999999899 750672.385031492 744071.8131260143 700730.185847 695771.2180584143
6 150000.0 100000.0 75000.0 141324275.84851158 135629869.16518986 179050.78261467876 182477.54987818442 5770824.86250401 6552215.38803568 44733935.74065471 41159.33693240494 26.63622199999986 14.613219999999956 751367.7371845429 739149.7984755846 714554.0722184563 702929.6908070308
7 150000.0 150000.0 75000.0 139018501.9494487 133321829.00253333 205479.86859019386 207461.14519868363 3441092.2836152 4221662.011196489 47063668.31954331 43489.89030924416 26.191422000000102 14.556252000000086 748897.1344288003 736675.1609968332 715272.0160589599 703650.3493826257
8 150000.0 200000.0 75000.0 136711003.32918492 131013106.05717252 230266.5136122775 232913.98070119924 1111278.65288732 1889750.6725045203 49393481.95027162 45821.80164793453 25.93837099999996 14.083562000000029 746425.0370162716 734220.1565019615 715990.1982018223 704365.0290087558
9 50000.0 100000.0 100000.0 169227473.64927602 160889670.16119978 166374.78951961154 166332.73100102073 0.0 0.0 16834920.20105317 15903.850773479528 26.063953000000083 14.338181000000077 768716.8914427268 761115.0411084706 683735.7945916558 679074.105254802
10 50000.0 150000.0 100000.0 169247334.7131076 160909666.71565992 186220.66313749325 186430.87781953966 0.0 0.0 16834920.20105317 15903.850773479528 26.120877000000064 14.148216999999931 768732.0816575396 761132.548049139 683730.4974752122 679066.8838612302
11 50000.0 200000.0 100000.0 169265141.14201143 160927514.085648 204009.91054601237 204362.6498565212 0.0 0.0 16834920.20105317 15903.850773479528 26.2328379999999 14.558700000000044 768749.263151618 761148.9206297738 683724.7413428414 679061.1274558424
12 100000.0 100000.0 100000.0 152398159.44854504 144995608.21988147 189960.73354043823 192305.4988792486 0.0 0.0 33669840.402105 31807.701546960954 25.902268999999706 14.18212699999981 750736.9477443416 744122.9880434452 688991.5269006711 684040.229510987
13 100000.0 150000.0 100000.0 152415146.17959496 145012432.85257515 206961.11180613167 209156.3160616919 0.0 0.0 33669840.402105 31807.701546960954 26.114693999999872 14.411127999999962 750723.3005299193 744117.9971154793 688968.9282097439 684017.7896272638
14 100000.0 200000.0 100000.0 152430858.918703 145027905.15864348 222669.32730804558 224818.29527619795 0.0 0.0 33669840.402105 31807.701546960954 26.018260000000055 13.932367000000113 750727.824137035 744122.7847522234 688960.2606035563 684007.7290669116
15 150000.0 100000.0 100000.0 140171315.4396696 134475086.5585552 196188.0953829299 199228.6271087144 4601914.009373 5381545.7678817995 45902846.59378622 42330.00655255648 26.3946269999999 14.31166600000006 750184.6826224959 737962.4584716479 703160.3610362043 691542.1414002208
16 150000.0 150000.0 100000.0 137865573.12605992 132167049.16519925 223004.7619518808 224767.32412169426 2271826.7871763995 3050432.3612344405 48232933.81598273 44661.119959204356 25.938926000000038 14.292866000000004 747712.8678215836 735487.7899994693 703877.1105525182 692262.8069088391
17 150000.0 200000.0 100000.0 135613477.30920208 129858333.18837754 247794.7378618224 250192.21310589902 0.0 718551.8614991499 50504760.60315876 46993.000458939365 25.826940999999806 14.202323999999862 742934.0631254115 733032.9732486549 702628.3408225026 692977.5287259383
