 A VSTC VWat E_backup_full E_backup_repr E_loss_stor_full E_loss_stor_repr E_curt_full E_curt_repr E_sol_full E_sol_repr t_repr t_comp E_demand_full E_demand_repr E_net_loss_full E_net_loss_repr E_net_pump_full E_net_pump_repr
0 25000.0 100000.0 50000.0 177623613.33152348 328481998.5344976 157188.83682561733 337980.0874899905 0.0 0.0 8417460.100527173 863548.3834271841 18.913796636994448 0.5351135406372123 185106266.02524912 327616654.39926976 777618.5699776676 1390912.4311416042 704654.6866038169 1674297.4787792498
1 25000.0 150000.0 50000.0 177643779.59912643 328527410.2828016 177333.90341117434 383248.89721227373 0.0 0.0 8417460.100527173 863548.3834271841 18.906065954583482 0.589036500023667 185106266.02524912 327616654.39926976 777639.7709944509 1391055.3697304279 704648.0256620285 1674511.6316692221
2 25000.0 200000.0 50000.0 177661777.61204028 328567915.60706884 195312.72590686567 423625.01630036155 0.0 0.0 8417460.100527173 863548.3834271841 18.811648354052522 0.5746698806428867 185106266.02524912 327616654.39926976 777658.9614120562 1391184.5749075133 704642.3570390483 1674704.0542899456
3 50000.0 100000.0 50000.0 169199360.95951322 327617523.24368596 159415.89020122745 337980.11929446884 0.0 0.0 16834920.20105317 1727096.766853016 18.847217005386028 0.5799025596329557 185106266.02524912 327616654.39926976 768599.2451171016 1389985.491956988 707273.0215485295 1667526.5047265594
4 50000.0 150000.0 50000.0 169219194.6735385 327662934.9900556 179230.01572252647 383248.9270833446 0.0 0.0 16834920.20105317 1727096.766853016 19.08661143100926 0.643264325229211 185106266.02524912 327616654.39926976 768618.833622187 1390128.430543725 707266.8347619835 1667738.084431476
5 50000.0 200000.0 50000.0 169236983.79027107 327703439.7580424 197001.24911369965 423625.04707339435 0.0 0.0 16834920.20105317 1727096.766853016 18.673194052928466 0.5661752103246727 185106266.02524912 327616654.39926976 768636.7169620342 1390257.0785358436 707260.1924721815 1667927.7523159708
6 75000.0 100000.0 50000.0 160781625.18459553 326753047.9209672 168151.12634189345 337980.11929446104 0.0 0.0 25252380.30158097 2590645.150283112 18.914012158165406 0.583600698711507 185106266.02524912 327616654.39926976 759588.3345871968 1389058.5526641714 709889.8297407888 1665198.1209456036
7 75000.0 150000.0 50000.0 160800299.07552487 326798459.66734207 186809.02366073825 383248.9270833946 0.0 0.0 25252380.30158097 2590645.150283112 18.641315882560775 0.5759921814315021 185106266.02524912 327616654.39926976 759604.3281975676 1389201.49125091 709884.2767297893 1665404.5417887243
8 75000.0 200000.0 50000.0 160817361.17984015 326838964.43532884 203854.2248390686 423625.04707342427 0.0 0.0 25252380.30158097 2590645.150283112 18.074648364992754 0.5651041685659948 185106266.02524912 327616654.39926976 759621.2313344155 1389330.139243043 709878.4704100044 1665589.6083887226
9 25000.0 100000.0 75000.0 177638091.05903673 328510679.68588483 171609.24514890206 366548.35367863555 0.0 0.0 8417460.100527173 863548.3834271841 18.56307805075494 0.5613097560708411 185106266.02524912 327616654.39926976 777675.8891688349 1391025.3163696788 692889.393716139 1674661.5724266097
10 25000.0 150000.0 75000.0 177658264.99503556 328556091.4342407 191761.8886220904 411817.16339761927 0.0 0.0 8417460.100527173 863548.3834271841 18.894033600880903 0.5910724639793443 185106266.02524912 327616654.39926976 777697.1816938468 1391168.2549584522 692883.2477582485 1674875.7253164416
11 25000.0 200000.0 75000.0 177676273.44187093 328596596.7584716 209751.21248902354 452193.2824836356 0.0 0.0 8417460.100527173 863548.3834271841 18.21681174535661 0.560904605442829 185106266.02524912 327616654.39926976 777716.3046626729 1391297.460135572 692877.2204404068 1675068.1479372538
12 50000.0 100000.0 75000.0 169213904.83274093 327646204.3936432 173900.19848389336 366548.3840587851 0.0 0.0 16834920.20105317 1727096.766853016 18.39711507955326 0.562884774577924 185106266.02524912 327616654.39926976 768658.8100675377 1390098.3771794154 695507.4414064536 1667888.9744629762
13 50000.0 150000.0 75000.0 169233754.27849263 327691616.14006484 193731.17413082387 411817.19184436346 0.0 0.0 16834920.20105317 1727096.766853016 18.344423252947763 0.5706067048599834 185106266.02524912 327616654.39926976 768677.28017163 1390241.3157661331 695501.9939863778 1668100.554167695
14 50000.0 200000.0 75000.0 169251557.59115106 327732120.90801 211516.7411178732 452193.31183234457 0.0 0.0 16834920.20105317 1727096.766853016 18.601634824719895 0.5689864670207498 185106266.02524912 327616654.39926976 768695.0258427076 1390369.9637582754 695496.023674075 1668290.222052123
15 75000.0 100000.0 75000.0 160796206.44905692 326781729.0709192 182671.38382911048 366548.38405879005 0.0 0.0 25252380.30158097 2590645.150283112 17.974389083178266 0.5734205142607607 185106266.02524912 327616654.39926976 759649.3415651462 1389171.4378866092 698124.405016772 1665557.3350213114
16 75000.0 150000.0 75000.0 160814906.00904804 326827140.8173513 201355.78448145487 411817.19184442505 0.0 0.0 25252380.30158097 2590645.150283112 18.710901505730817 0.6685674588557049 185106266.02524912 327616654.39926976 759664.5009024298 1389314.3764733183 698119.7254003291 1665763.7558642237
17 75000.0 200000.0 75000.0 160831985.63596392 326867645.5852912 218419.08888011565 452193.31183238426 0.0 0.0 25252380.30158097 2590645.150283112 18.22937506153812 0.5576010415034034 185106266.02524912 327616654.39926976 759680.8234207687 1389443.0244654699 698113.7359891079 1665948.8224641646
18 25000.0 100000.0 100000.0 177651634.8431981 328536256.07987607 185098.71108567665 392024.08232360287 0.0 0.0 8417460.100527173 863548.3834271841 18.472993483310802 0.5725164922928343 185106266.02524912 327616654.39926976 777730.2073931879 1391125.9816819176 681117.3600432089 1674986.2530349419
19 25000.0 150000.0 100000.0 177671813.68144462 328581667.82815915 205257.16857209333 437292.8920425854 0.0 0.0 8417460.100527173 863548.3834271841 19.0053701603465 0.567576280272533 185106266.02524912 327616654.39926976 777750.5881516091 1391268.9202706853 681110.9167208313 1675200.4059245395
20 25000.0 200000.0 100000.0 177689822.29055333 328622173.1524108 223246.61772145488 477669.011128608 0.0 0.0 8417460.100527173 863548.3834271841 18.44309475273394 0.5617232941553993 185106266.02524912 327616654.39926976 777769.7481116541 1391398.125447805 681105.2821424643 1675392.8285454307
21 50000.0 100000.0 100000.0 169227473.64927602 327671780.78672963 187410.9336407044 392024.1118081322 0.0 0.0 16834920.20105317 1727096.766853016 18.5259595432849 0.5715293251014373 185106266.02524912 327616654.39926976 768716.8914427268 1390199.0424881182 683735.7945916558 1668212.2069599011
22 50000.0 150000.0 100000.0 169247334.7131076 327717192.53308356 207256.80725858605 437292.9195937105 0.0 0.0 16834920.20105317 1727096.766853016 17.931510945631544 0.5848832502492769 185106266.02524912 327616654.39926976 768732.0816575396 1390341.9810748356 683730.4974752122 1668423.7866644845
23 50000.0 200000.0 100000.0 169265141.14201143 327757697.30104965 225046.0546671052 477669.03958169156 0.0 0.0 16834920.20105317 1727096.766853016 18.922694269908334 0.5586636958050804 185106266.02524912 327616654.39926976 768749.263151618 1390470.629066983 683724.7413428414 1668613.4545491468
24 75000.0 100000.0 100000.0 160809782.5706509 326807305.46400553 196186.12720327798 392024.11180811014 0.0 0.0 25252380.30158097 2590645.150283112 18.898947191843035 0.5746297667192266 185106266.02524912 327616654.39926976 759710.719780762 1389272.1031953066 686353.3985060883 1665877.6642877338
25 75000.0 150000.0 100000.0 160828507.57802215 326852717.21037 214901.44466163707 437292.9195937448 0.0 0.0 25252380.30158097 2590645.150283112 18.280706661464592 0.5698948650533566 185106266.02524912 327616654.39926976 759720.4096942358 1389415.0417820103 686348.810852628 1666084.0851305113
26 75000.0 200000.0 100000.0 160845593.1389595 326893221.9783359 231971.31305303288 477669.0395817019 0.0 0.0 25252380.30158097 2590645.150283112 19.270141748018887 0.5793668564178915 185106266.02524912 327616654.39926976 759736.1022408715 1389543.6897741824 686343.0269326578 1666269.151730692
27 25000.0 100000.0 125000.0 177664524.1516183 328559748.3274548 197934.99159240798 415423.86755558243 0.0 0.0 8417460.100527173 863548.3834271841 18.284547022635252 0.5854692782045277 185106266.02524912 327616654.39926976 777783.2353063097 1391218.4440700377 669343.5789333818 1675284.476612443
28 25000.0 150000.0 125000.0 177684719.31070176 328605160.07586277 218111.7641489904 460692.67737884505 0.0 0.0 8417460.100527173 863548.3834271841 19.497093928575396 0.6535134326941261 185106266.02524912 327616654.39926976 777801.6218313344 1391361.3826584173 669336.9555046454 1675498.6294866232
29 25000.0 200000.0 125000.0 177702730.96534 328645665.4001509 236104.334962812 501068.79646488605 0.0 0.0 8417460.100527173 863548.3834271841 19.32351769935667 0.5639372180626196 185106266.02524912 327616654.39926976 777820.7056558912 1391490.5878355368 669331.3961173743 1675691.0521073628
30 50000.0 100000.0 125000.0 169240209.08139518 327695273.0336791 200082.7266183147 415423.89640426525 0.0 0.0 16834920.20105317 1727096.766853016 18.815404111313 0.5779311426272216 185106266.02524912 327616654.39926976 768780.5305831473 1390291.5048737163 671969.199975637 1668509.1004337803
31 50000.0 150000.0 125000.0 169260261.84411404 327740684.78015286 220131.48161107366 460692.70429412235 0.0 0.0 16834920.20105317 1727096.766853016 19.27331877076358 0.5617061545699471 185106266.02524912 327616654.39926976 768784.5383103908 1390434.4434600403 671956.4950262413 1668720.6801229932
32 50000.0 200000.0 125000.0 169278073.74223864 327781189.5481604 237926.67743903855 501068.82428212254 0.0 0.0 16834920.20105317 1727096.766853016 19.07985223489277 0.5642231209362762 185106266.02524912 327616654.39926976 768801.2406085123 1390563.0914521879 671951.5764427232 1668910.348007462
33 75000.0 100000.0 125000.0 160821889.77112243 326830797.7109708 208200.18109186235 415423.8964042466 0.0 0.0 25252380.30158097 2590645.150283112 18.646413268227207 0.6445104095632814 185106266.02524912 327616654.39926976 759803.8663624594 1389364.5655809103 674614.0090674534 1666171.8911081853
34 75000.0 150000.0 125000.0 160841446.68072373 326876209.45742357 227786.44050531343 460692.7042941635 0.0 0.0 25252380.30158097 2590645.150283112 18.13258235206149 0.5635802041433635 185106266.02524912 327616654.39926976 759774.5165524199 1389507.5041672308 674574.951623316 1666378.3119355142
35 75000.0 200000.0 125000.0 160858540.83383778 326916714.2254468 244866.00686434336 501068.82428213966 0.0 0.0 25252380.30158097 2590645.150283112 18.171853153866323 0.5697486315684728 185106266.02524912 327616654.39926976 759789.1033073786 1389636.1521593872 674570.4997273813 1666563.378535475
