,hf,mf
2014-03-01 00:00:00,166933.694717,0.0
2014-03-01 01:00:00,31373.5812227,0.0
2014-03-01 02:00:00,163575.96578,0.0
2014-03-01 03:00:00,163647.260905,0.0
2014-03-01 04:00:00,98234373.283,587.331547905
2014-03-01 05:00:00,16964491.9569,100.458010633
2014-03-01 06:00:00,9611048.4294,56.4635044736
2014-03-01 07:00:00,41883.4343477,0.0
2014-03-01 08:00:00,179291.360916,0.0
2014-03-01 09:00:00,48995.87325,0.0
2014-03-01 10:00:00,184675.922744,0.0
2014-03-01 11:00:00,187445.732619,0.0
2014-03-01 12:00:00,484035.44515,5.68434188608e-14
2014-03-01 13:00:00,190707.623432,0.0
2014-03-01 14:00:00,485003.3084,0.0
2014-03-01 15:00:00,486058.158775,0.0
2014-03-01 16:00:00,1017400.42491,3.16677984005
2014-03-01 17:00:00,465230.234119,0.0
2014-03-01 18:00:00,445353.606935,0.0
2014-03-01 19:00:00,494957.140712,5.68434188608e-14
2014-03-01 20:00:00,493010.3779,0.0
2014-03-01 21:00:00,194102.384116,0.0
2014-03-01 22:00:00,188573.529311,0.0
2014-03-01 23:00:00,49658.8901289,3.5527136788e-15
2014-03-02 00:00:00,178181.68853,0.0
2014-03-02 01:00:00,39654.8904727,0.0
2014-03-02 02:00:00,169793.940155,0.0
2014-03-02 03:00:00,462855.255248,0.0
2014-03-02 04:00:00,191973.249351,0.0
2014-03-02 05:00:00,169138.36878,0.0
2014-03-02 06:00:00,172544.084092,0.0
2014-03-02 07:00:00,441582.500983,0.0
2014-03-02 08:00:00,475608.498806,5.68434188608e-14
2014-03-02 09:00:00,478612.630494,0.0
2014-03-02 10:00:00,186557.862619,0.0
2014-03-02 11:00:00,54754.6648125,0.0
2014-03-02 12:00:00,187524.383869,0.0
2014-03-02 13:00:00,185684.545494,0.0
2014-03-02 14:00:00,79932746.1976,476.973622431
2014-03-02 15:00:00,5606205.96308,32.4430689658
2014-03-02 16:00:00,49004.924,0.0
2014-03-02 17:00:00,50983.971875,0.0
2014-03-02 18:00:00,187896.018994,0.0
2014-03-02 19:00:00,188603.587619,0.0
2014-03-02 20:00:00,185992.210385,0.0
2014-03-02 21:00:00,181905.723401,1.42108547152e-14
2014-03-02 22:00:00,44677.2960625,0.0
2014-03-02 23:00:00,173790.515698,0.0
2014-03-03 00:00:00,36445.1375781,0.0
2014-03-03 01:00:00,166100.340854,0.0
2014-03-03 02:00:00,3102787.75035,18.3737923269
2014-03-03 03:00:00,150000000.0,894.381838203
2014-03-03 04:00:00,39051943.7722,233.367933876
2014-03-03 05:00:00,3671527.99235,21.7418244008
2014-03-03 06:00:00,90854.5514735,0.0
2014-03-03 07:00:00,50542.9837656,0.0
2014-03-03 08:00:00,109706.938384,0.0
2014-03-03 09:00:00,62016.2267187,0.0
2014-03-03 10:00:00,494279.279431,0.0
2014-03-03 11:00:00,464175.746794,0.0
2014-03-03 12:00:00,83642925.3695,497.261274499
2014-03-03 13:00:00,451969.453185,0.0
2014-03-03 14:00:00,50548631.8163,299.331203523
2014-03-03 15:00:00,77412904.1676,461.761107676
2014-03-03 16:00:00,500499.931337,0.0
2014-03-03 17:00:00,499543.142337,0.0
2014-03-03 18:00:00,204434.097119,0.0
2014-03-03 19:00:00,182104.058146,0.0
2014-03-03 20:00:00,492106.668228,0.0
2014-03-03 21:00:00,193118.292791,1.42108547152e-14
2014-03-03 22:00:00,188889.914229,0.0
2014-03-03 23:00:00,478485.559947,0.0
2014-03-04 00:00:00,17828142.3418,105.572114194
2014-03-04 01:00:00,191973.249351,0.0
2014-03-04 02:00:00,166516.414362,0.0
2014-03-04 03:00:00,14483515.3696,85.6160792499
2014-03-04 04:00:00,467367.116955,5.68434188608e-14
2014-03-04 05:00:00,474740.142892,0.0
2014-03-04 06:00:00,19043325.3923,112.768149326
2014-03-04 07:00:00,462696.775764,0.0
2014-03-04 08:00:00,473474.548694,0.0
2014-03-04 09:00:00,457017.205693,0.0
2014-03-04 10:00:00,101821451.707,605.950430973
2014-03-04 11:00:00,506539.64845,0.0
2014-03-04 12:00:00,51163488.1622,302.972180106
2014-03-04 13:00:00,51163471.9576,302.972083189
2014-03-04 14:00:00,51163468.4592,302.972062265
2014-03-04 15:00:00,61954126.1666,369.268627019
2014-03-04 16:00:00,150000000.0,894.099643251
