;0;1;2;3;4;5;6;7;8;9
1/01/2014 0:00;291.15;291.15;294.15;291.15;291.15;294.15;291.15;291.15;294.15;291.15
1/01/2014 0:15;291.15;291.15;294.15;291.15;291.15;294.15;291.15;291.15;294.15;291.15
1/01/2014 0:30;291.15;291.15;294.15;291.15;291.15;294.15;291.15;291.15;294.15;291.15
1/01/2014 0:45;291.15;291.15;294.15;291.15;291.15;294.15;291.15;291.15;294.15;291.15
1/01/2014 1:00;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15
1/01/2014 1:15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15
1/01/2014 1:30;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15
1/01/2014 1:45;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15
1/01/2014 2:00;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15
1/01/2014 2:15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15
1/01/2014 2:30;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15
1/01/2014 2:45;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15
1/01/2014 3:00;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15
1/01/2014 3:15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15
1/01/2014 3:30;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15
1/01/2014 3:45;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15
1/01/2014 4:00;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15
1/01/2014 4:15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15
1/01/2014 4:30;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15
1/01/2014 4:45;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15
1/01/2014 5:00;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15;291.15
1/01/2014 5:15;291.15;291.15;291.15;291.15;290.264687717;291.15;291.15;291.15;291.15;291.15
1/01/2014 5:30;291.15;291.15;291.15;291.15;290.280677594;291.15;291.15;291.15;291.15;291.15
1/01/2014 5:45;291.15;290.219194529;291.15;291.15;290.218004471;291.15;291.15;291.15;291.15;291.15
1/01/2014 6:00;291.15;290.237986158;291.15;291.15;290.163932008;291.15;291.15;291.15;291.15;291.15
1/01/2014 6:15;291.15;290.174674269;291.15;291.15;290.109659033;291.15;291.15;291.15;291.15;291.15
1/01/2014 6:30;291.15;290.120682754;291.15;291.15;290.055656093;291.15;291.15;291.15;291.15;291.15
1/01/2014 6:45;291.15;290.066305423;291.15;291.15;290.001771626;291.15;291.15;291.15;291.15;291.15
1/01/2014 7:00;291.15;290.011900441;291.15;290.116057983;289.947966833;291.15;291.15;291.15;291.15;291.15
1/01/2014 7:15;291.15;289.957460745;291.15;290.141614933;289.894378468;291.15;291.15;291.15;291.15;291.15
1/01/2014 7:30;290.077424714;289.903282024;291.15;290.075513773;289.841265945;291.15;291.15;291.15;291.15;291.15
1/01/2014 7:45;290.105382486;289.849636858;291.15;290.019950577;289.788843765;291.15;291.15;291.15;291.15;291.15
1/01/2014 8:00;290.038647754;289.796855239;291.15;289.964530973;289.737383821;291.15;291.15;291.15;291.15;291.15
1/01/2014 8:15;289.98503972;289.746871427;291.15;289.911682188;289.688772286;291.15;291.15;291.15;291.15;291.15
