;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49
2014-01-01 00:00:00;294.65;294.65;294.65;292.65;294.65;288.65;288.15;294.65;287.65;293.65;292.65;288.15;288.15;288.15;287.65;293.65;293.15;288.15;294.65;292.65;287.65;288.15;293.65;290.4;288.15;287.65;293.15;287.65;293.15;293.15;292.65;288.15;294.65;291.65;287.65;292.65;288.15;288.15;293.65;284.15;288.65;293.65;291.65;288.15;288.15;293.15;288.15;288.15;287.65;293.15
2014-01-01 00:15:00;294.65;294.65;294.65;292.65;294.65;288.65;288.15;294.65;287.65;293.65;292.65;288.15;288.15;288.15;287.65;293.65;293.15;288.15;294.65;292.65;287.65;288.15;293.65;287.65;288.15;287.65;293.15;287.65;293.15;293.15;292.65;288.15;294.65;291.65;287.65;292.65;288.15;288.15;293.65;284.15;288.65;293.65;291.65;288.15;288.15;293.15;288.15;288.15;287.65;293.15
2014-01-01 00:30:00;294.65;294.65;294.65;292.65;294.65;288.65;288.15;294.65;287.65;293.65;292.65;288.15;288.15;288.15;287.65;293.65;293.15;288.15;294.65;292.65;287.65;288.15;293.65;287.65;288.15;287.65;293.15;287.65;290.65;293.15;292.65;288.15;294.65;291.65;287.65;292.65;288.15;288.15;293.65;284.15;288.65;293.65;291.65;288.15;288.15;293.15;288.15;288.15;287.65;293.15
2014-01-01 00:45:00;294.65;294.65;294.65;292.65;294.65;288.65;288.15;294.65;287.65;293.65;292.65;288.15;288.15;288.15;287.65;293.65;293.15;288.15;294.65;292.65;287.65;288.15;294.15;287.65;288.15;287.65;293.15;287.65;288.15;293.15;292.65;293.15;294.65;291.65;287.65;292.65;293.15;288.15;293.65;284.15;288.65;293.65;288.15;288.15;291.65;293.15;288.15;288.15;287.65;293.15
2014-01-01 01:00:00;294.65;294.65;294.65;292.65;294.65;288.65;288.15;294.65;287.65;293.65;292.65;288.15;288.15;288.15;287.65;293.65;293.15;288.15;294.65;292.65;287.65;288.15;294.15;287.65;288.15;287.65;293.15;287.65;288.15;293.15;292.65;293.15;294.65;291.65;287.65;292.65;293.15;288.15;293.65;284.15;288.65;293.65;288.15;288.15;289.9;293.15;288.15;288.15;287.65;293.15
2014-01-01 01:15:00;294.65;289.017288235;294.65;292.65;294.65;294.65;288.15;294.65;287.65;293.65;292.65;288.15;288.15;288.15;287.65;293.65;293.15;288.15;294.65;292.65;287.65;288.15;294.15;287.65;288.15;287.65;293.15;287.65;288.15;293.15;292.65;293.15;294.65;291.65;287.65;292.65;293.15;288.15;293.65;284.15;288.65;293.65;288.15;288.15;288.15;293.15;288.15;288.15;287.65;293.15
2014-01-01 01:30:00;294.65;288.65;291.65;292.65;294.65;288.776580497;288.15;294.65;287.65;293.65;292.65;288.15;288.15;288.15;287.65;293.65;293.15;288.15;294.65;292.65;287.65;288.15;293.65;287.65;288.15;287.65;293.15;287.65;288.15;293.15;292.65;293.15;294.65;291.65;287.65;292.65;293.15;288.15;293.65;284.15;288.65;293.65;288.15;288.15;288.15;293.15;288.15;288.15;287.65;293.15
2014-01-01 01:45:00;294.65;288.65;289.004303909;292.65;294.65;288.65;288.15;294.65;287.65;293.65;293.15;288.15;288.15;288.15;287.65;293.65;293.15;288.15;294.65;292.65;287.65;288.15;293.65;287.65;291.65;287.65;293.15;287.65;288.15;293.15;292.65;293.15;294.65;291.65;287.65;292.65;293.15;288.15;293.65;284.15;288.65;293.65;288.15;288.15;288.15;293.15;288.15;288.15;287.65;288.122508557
2014-01-01 02:00:00;294.65;288.65;288.783256135;292.65;294.65;288.65;290.65;294.65;287.65;293.65;293.15;288.15;288.15;288.15;287.65;293.65;293.15;288.15;294.65;292.65;287.65;288.15;293.65;287.65;288.15;287.65;290.4;287.65;288.15;293.15;292.65;293.15;294.65;291.65;287.65;292.65;293.15;288.15;293.65;284.15;288.65;293.65;288.15;288.15;288.15;293.15;288.15;288.15;287.65;287.660991493
2014-01-01 02:15:00;289.769417902;288.693623393;288.80068076;292.65;294.65;288.65;288.15;294.65;287.65;293.65;293.15;288.15;288.15;288.15;287.65;293.65;293.15;288.15;294.65;292.65;287.65;288.15;293.65;287.65;288.15;287.65;287.988341629;293.15;288.15;293.15;292.65;293.15;294.65;291.65;287.65;292.65;293.15;288.15;293.65;284.15;288.65;293.65;288.15;288.15;288.15;293.15;288.15;288.15;287.65;287.65
