;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49
2014-01-01 00:00:00;294.65;294.65;294.65;292.65;294.65;288.65;288.15;294.65;287.65;293.65;292.65;288.15;288.15;288.15;287.65;293.65;293.15;288.15;294.65;292.65;287.65;288.15;293.65;290.4;288.15;287.65;293.15;287.65;293.15;293.15;292.65;288.15;294.65;291.65;287.65;292.65;288.15;288.15;293.65;284.15;288.65;293.65;291.65;288.15;288.15;293.15;288.15;288.15;287.65;293.15
2014-01-01 00:15:00;294.65;294.65;294.65;292.65;294.65;288.65;288.15;294.65;287.65;293.65;292.65;288.15;288.15;288.15;287.65;293.65;293.15;288.15;294.65;292.65;287.65;288.15;293.65;289.798740381;288.15;287.65;293.15;287.65;293.15;293.15;292.65;288.15;294.65;291.65;287.65;292.65;288.15;288.15;293.65;284.204171279;288.65;293.65;291.65;288.15;288.15;293.15;288.15;288.15;287.65;293.15
2014-01-01 00:30:00;294.65;294.65;294.65;292.65;294.65;288.65;288.15;294.65;287.65;293.65;292.65;288.15;288.15;288.15;287.65;293.65;293.15;288.15;294.65;292.65;287.65;288.15;293.65;289.686710377;288.15;287.65;293.15;287.65;292.280618178;293.15;292.65;288.15;294.65;291.65;287.65;292.65;288.15;288.15;293.65;284.19318535;288.65;293.65;291.65;288.15;288.15;293.15;288.15;288.15;287.65;293.15
2014-01-01 00:45:00;294.65;294.65;294.65;292.65;294.65;288.65;288.15;294.65;287.65;293.65;292.65;288.15;288.15;288.15;287.65;293.65;293.15;288.15;294.65;292.65;287.65;288.15;294.15;289.622929008;288.15;287.65;293.15;287.65;292.079092875;293.15;292.65;293.15;294.65;291.65;287.65;292.65;293.15;288.15;293.65;284.167235815;288.65;293.65;290.830582989;288.15;291.65;293.15;288.15;288.15;287.65;293.15
2014-01-01 01:00:00;294.65;294.65;294.65;292.65;294.65;288.65;288.15;294.65;287.65;293.65;292.65;288.15;288.15;288.15;287.65;293.65;293.15;288.15;294.65;292.65;287.65;288.15;294.15;289.545990844;288.15;287.65;293.15;287.65;291.985885567;293.15;292.65;293.15;294.65;291.65;287.65;292.65;293.15;288.15;293.65;284.158452133;288.65;293.65;290.706725848;288.15;289.9;293.15;288.15;288.15;287.65;293.15
2014-01-01 01:15:00;294.65;293.331743863;294.65;292.65;294.65;294.65;288.15;294.65;287.65;293.65;292.65;288.15;288.15;288.15;287.65;293.65;293.15;288.15;294.65;292.65;287.65;288.15;294.15;289.478706426;288.15;287.65;293.15;287.65;291.899069167;293.15;292.65;293.15;294.65;291.65;287.65;292.65;293.15;288.15;293.65;284.15952673;288.65;293.65;290.639263051;288.15;288.15;293.15;288.15;288.15;287.65;293.15
2014-01-01 01:30:00;294.65;293.157036052;293.268904369;292.65;294.65;288.65;288.15;294.65;287.65;293.65;292.65;288.15;288.15;288.15;287.65;293.65;293.15;288.15;294.65;292.65;287.65;288.15;293.65;289.421390799;288.15;287.65;293.15;287.65;291.804099465;293.15;292.65;293.15;294.65;291.65;287.65;292.65;293.15;288.15;293.65;284.153224587;288.65;293.65;290.561985956;288.15;288.15;293.15;288.15;288.15;287.65;293.15
2014-01-01 01:45:00;294.65;293.059678332;293.099586892;292.65;294.65;288.65;288.15;294.65;287.65;293.65;293.15;288.15;288.15;288.15;287.65;293.65;293.15;288.15;294.65;292.65;287.65;288.15;293.65;289.35900023;291.65;287.65;293.15;287.65;291.7073459;293.15;292.65;293.15;294.65;291.65;287.65;292.65;293.15;288.15;293.65;287.411593862;288.65;293.65;290.459943325;288.15;288.15;293.15;288.15;288.15;287.65;291.943557765
2014-01-01 02:00:00;294.65;292.958101279;293.005204872;292.65;294.65;288.65;290.65;294.65;287.65;293.65;293.15;288.15;288.15;288.15;287.65;293.65;293.15;288.15;294.65;292.65;287.65;288.15;293.65;289.302390892;288.15;287.65;291.869450076;287.65;291.622717686;293.15;292.65;293.15;294.65;291.65;287.65;292.65;293.15;288.15;293.65;291.147658713;288.65;293.65;290.380432226;288.15;288.15;293.15;288.15;288.15;287.65;291.783971213
2014-01-01 02:15:00;293.113697265;292.85700083;292.917399504;292.65;294.65;288.65;288.15;294.65;287.65;293.65;293.15;288.15;288.15;288.15;287.65;293.65;293.15;288.15;294.65;292.65;287.65;288.15;293.65;289.251721805;288.15;287.65;291.723984852;293.15;291.533546303;293.15;292.65;293.15;294.65;291.65;287.65;292.65;293.15;288.15;293.65;291.505836307;288.65;293.65;290.313805029;288.15;288.15;293.15;288.15;288.15;287.65;291.685060681
