;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49
2014-01-01 00:00:00;294.65;294.65;294.65;292.65;294.65;288.65;288.15;294.65;287.65;293.65;292.65;288.15;288.15;288.15;287.65;293.65;293.15;288.15;294.65;292.65;287.65;288.15;293.65;293.15;288.15;287.65;293.15;287.65;293.15;293.15;292.65;288.15;294.65;291.65;287.65;292.65;288.15;288.15;293.65;284.15;288.65;293.65;291.65;288.15;288.15;293.15;288.15;288.15;287.65;293.15
2014-01-01 00:15:00;294.65;294.65;294.65;294.075865569;294.65;292.430716053;288.15;294.65;287.65;293.65;292.65;288.15;288.15;288.15;287.65;293.65;293.15;288.15;294.65;292.65;287.65;288.15;293.65;287.65;288.15;287.65;293.15;287.65;293.15;293.15;292.65;288.15;294.65;291.65;287.65;292.65;292.06336791;288.15;293.65;284.15;288.65;293.65;291.65;288.15;289.757463823;293.15;288.15;288.15;287.65;293.15
2014-01-01 00:30:00;294.65;294.65;294.65;292.65;294.65;291.476753533;288.15;294.65;287.65;293.65;292.65;288.15;288.15;288.15;287.65;293.65;293.15;288.15;294.65;292.65;287.65;288.15;293.65;287.65;288.15;287.65;293.15;287.65;293.15;293.15;292.65;288.15;294.65;291.65;287.65;292.65;291.145402023;288.15;293.65;284.15;288.65;293.65;291.65;288.15;289.139812929;293.15;288.15;288.15;287.65;293.15
2014-01-01 00:45:00;294.65;294.65;294.65;292.65;294.65;290.737358012;288.15;294.65;287.65;293.65;292.65;288.15;288.15;288.15;287.65;293.65;293.15;288.15;294.65;292.65;287.65;288.15;293.65;287.65;288.15;287.65;293.15;287.65;293.15;293.15;292.65;288.15;294.65;291.65;287.65;292.65;290.41489802;288.15;293.65;284.15;288.65;293.65;291.65;288.15;288.644920779;293.15;288.15;288.15;287.65;293.15
2014-01-01 01:00:00;294.65;294.65;294.65;292.65;294.65;290.122430205;288.15;294.65;287.65;293.65;292.65;288.15;288.15;288.15;287.65;293.65;293.15;288.15;294.65;292.65;287.65;288.15;293.65;287.65;288.15;287.65;293.15;287.65;290.210133713;293.15;292.65;288.281895532;294.65;291.65;287.65;292.65;289.789176815;288.15;293.65;284.33334173;288.65;293.65;291.65;288.15;288.247863438;293.15;288.15;288.15;287.65;293.15
2014-01-01 01:15:00;294.65;294.65;294.65;292.65;294.65;289.619623262;288.15;294.65;287.65;293.65;292.65;288.15;288.15;288.15;287.65;293.65;293.15;288.15;294.65;292.65;287.65;288.15;294.15;287.65;288.15;287.65;293.15;287.65;289.581810712;293.15;292.65;293.15;294.65;291.65;287.65;292.65;293.15;288.15;293.65;284.428719632;288.65;293.65;288.48576721;288.15;291.65;293.15;288.15;288.15;287.65;293.15
2014-01-01 01:30:00;294.65;294.65;294.65;292.65;294.65;289.242487552;288.15;294.65;287.65;293.65;292.65;288.15;288.15;288.15;287.65;293.65;293.15;288.15;294.65;292.65;287.65;288.15;294.15;287.65;288.15;287.65;293.15;287.65;288.96576654;293.15;292.65;293.15;294.65;291.65;287.65;292.65;293.15;288.15;293.65;284.656482958;288.65;293.65;288.15;288.15;291.65;293.15;288.15;288.15;287.65;293.15
2014-01-01 01:45:00;294.65;294.65;294.65;292.65;294.65;288.929164965;288.15;294.65;287.65;293.65;292.65;288.15;288.15;288.15;287.65;293.65;293.15;288.15;294.65;292.65;287.65;288.15;294.15;287.65;288.15;287.65;293.15;287.65;288.515279374;293.15;292.65;293.15;294.65;291.65;287.65;292.65;293.15;288.15;293.65;284.90898061;288.65;293.65;288.15;288.15;288.15;293.15;288.15;288.15;287.65;293.15
2014-01-01 02:00:00;294.65;289.291538506;294.65;292.65;294.65;294.65;288.15;294.65;287.65;293.65;292.65;288.15;288.15;288.15;287.65;293.65;293.15;288.15;294.65;292.65;287.65;288.15;294.15;287.65;288.15;287.65;293.15;287.65;288.15;293.15;292.65;293.15;294.65;291.65;287.65;292.65;293.15;288.15;293.65;285.111133029;288.65;293.65;288.15;288.15;288.15;293.15;288.15;288.15;287.65;293.15
2014-01-01 02:15:00;294.65;288.999257789;294.65;292.65;294.65;288.65;288.15;294.65;287.65;293.65;292.65;288.15;288.15;288.15;287.65;293.65;293.15;288.15;294.65;292.65;287.65;288.15;293.65;287.65;288.15;287.65;293.15;287.65;288.15;293.15;292.65;293.15;294.65;291.65;287.65;292.65;293.15;288.15;293.65;285.404991575;288.65;293.65;288.15;288.15;288.15;293.15;288.15;288.15;287.65;293.15
