;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49
2014-01-01 00:00:00;21.5;21.5;21.5;19.5;21.5;15.5;15.0;21.5;14.5;20.5;19.5;15.0;15.0;15.0;14.5;20.5;20.0;15.0;21.5;19.5;14.5;15.0;20.5;20.0;15.0;14.5;20.0;14.5;20.0;20.0;19.5;15.0;21.5;18.5;14.5;19.5;15.0;15.0;20.5;11.0;15.5;20.5;18.5;15.0;15.0;20.0;15.0;15.0;14.5;20.0
2014-01-01 00:15:00;144.797178722;95.5976835987;96.4740596179;93.8337204723;112.436267919;100.672515194;133.896791933;138.789571303;89.5558418991;107.106351875;138.235458249;82.7737241494;100.415201306;78.1326121047;87.3479139731;110.463534902;146.81826828;85.644510959;112.380715046;104.689099654;86.1141290484;87.0261468928;109.115583874;91.8352603138;99.5848616817;87.3363961326;122.949520062;130.228367063;91.1899262826;108.339681405;107.67530827;111.193540755;108.708214463;116.975547631;104.973784354;117.65010563;110.718513527;85.5790605253;109.09559431;117.673573567;87.4829697366;109.82959995;95.0317814292;84.2576104833;97.2364247682;137.753022337;64.9051314084;106.747096119;86.8116748543;103.31884178
2014-01-01 00:30:00;110.834819717;71.649537166;72.2519410484;71.3700816501;85.8229031029;75.2750392152;101.631804639;106.437749906;66.3636141478;81.3769654252;106.00565256;61.3089856836;74.3300778504;57.5900011189;64.6866093624;83.9424636569;112.593228508;63.5466895604;85.7819427813;79.5833207044;63.783135666;64.6651101599;82.9010984484;68.5229094997;74.2391703589;64.7531596029;92.9506101302;99.0798836692;67.9824439363;82.438851986;81.6226365078;84.0904252817;83.0715663438;88.4021163397;78.0529727109;89.1614171293;83.8674687777;63.4235895632;82.8715370933;89.3545074744;65.0551987687;83.4876972262;70.7453611731;62.5628583346;72.1610897393;105.569424783;46.9787086005;79.0394993059;64.2963436116;77.4485971576
2014-01-01 00:45:00;93.9533209611;58.9340388208;59.3785464755;59.7669276943;72.2975045504;62.2758533175;85.7764478459;90.3881724714;54.3107361996;68.2195163902;89.9671796532;50.0407679061;60.8713585566;46.5540385952;52.8746628262;70.4265396981;95.8192458706;51.961880786;72.2634711865;66.7737448125;52.1299837759;53.0123924485;69.5553099924;56.1150757756;61.232560342;52.9936607254;77.6605456731;83.8721959912;55.6904660052;69.3194873845;68.3287107434;70.6452511994;70.0099048626;73.9468059072;64.2034575999;74.7464807595;70.5286955675;51.8881520627;69.4972587371;75.4419757813;53.3554643635;69.9741951239;57.9719238855;51.2155384901;59.2142714673;89.5479184991;37.1961390719;64.6630447763;52.6428238445;63.9973586555
2014-01-01 01:00:00;78.1039026877;47.2010346906;47.5107633763;49.0646498063;59.6757347966;50.1823073599;70.7509911655;75.2063774252;43.1722791866;55.9770417715;74.8405132926;39.7529021148;48.4363144163;36.6007393239;41.9685112666;57.9226454242;79.7607205972;41.3213533838;59.648209508;54.8249793623;41.3724647488;42.2440168887;57.0447575381;44.6867972842;49.1500213381;42.1264474059;63.3211895732;69.4667164293;44.2439084443;56.8348962867;55.9450796001;58.0472804749;57.8243879065;60.4470681248;51.3954628007;61.284898993;58.0240497377;41.2384898271;57.0437396244;62.5894648436;42.5538603111;57.4609999936;46.1933415097;40.7431308691;47.2865535904;74.331378295;28.4019223604;51.4670758742;41.7091475006;51.3448593427
2014-01-01 01:15:00;64.047528129;37.1997818345;37.3913892334;39.7359468639;48.8647241526;39.8440619129;57.7558989574;62.0766107164;33.6907303338;45.5114641979;61.7166796829;30.844274847;37.8680886454;28.0806610317;32.6885354127;47.0580049662;65.8678217292;32.2646945194;48.8427375897;44.5870386809;32.2186054239;33.0729626937;46.3961797863;34.9489867204;38.832123137;32.9601563993;50.9677321094;57.0293343689;34.7130053841;46.3937176025;45.3500232539;47.26124992;47.3850327439;48.9736221658;40.4633510851;49.7562554748;47.3090526985;32.1795772128;46.4659583379;51.186723208;33.3622254417;46.7525108769;36.1675929621;31.8303674088;37.0360904013;61.2133368904;21.0716117225;40.2465978348;32.5650807433;41.429642457
2014-01-01 01:30:00;52.0241647686;28.6799233787;28.7688077511;31.8352256928;39.5942015901;31.072879782;46.4784827063;50.6850546674;25.7117460703;36.5593233529;50.2958894256;23.3712308728;28.8928322461;20.9453338258;24.7977407762;37.845064182;53.7505528542;24.5659457513;39.5769344595;35.8050267668;24.4347225893;25.2660802324;37.2790755949;26.6586268165;30.018077689;24.990142811;40.303809441;46.343586235;26.3913915264;37.2550578693;36.2775845609;38.0119418985;38.4314786609;38.9678668326;31.1351512106;39.871801442;38.1997533002;24.4792164032;37.2615186213;41.6379473696;25.5460073381;37.5872762145;27.6409049477;24.2501843933;28.365366597;49.8041514247;15.0;30.7204106488;24.7161890596;32.1732181268
2014-01-01 01:45:00;41.5151326007;21.5;21.5;25.12688679;31.7194943094;23.5799736748;36.7635251372;40.8742295993;18.8309766315;28.9777640196;40.4243635266;17.0938480445;21.4086194401;15.0;18.1631936886;30.0268397366;43.3068670151;18.0945020922;31.7062041436;28.3421029902;17.8895818701;18.7438236151;29.5543289334;19.6770919115;22.5654634598;18.3676949741;31.1738952907;36.9892556226;19.5614213;29.5799938365;28.6350915033;30.1554311467;30.824082999;30.5586058211;23.2587444486;31.477711671;30.2852175259;18.0071433518;29.549177757;33.4592332089;19.0452234074;29.8192978258;20.5206043658;17.8748284162;21.0649344166;40.0999324949;15.0;22.7256604363;18.0377970137;24.3975431213
2014-01-01 02:00:00;32.6311340412;15.5232628454;21.5;19.5;25.0995046714;21.5;28.4575262991;32.4886887727;14.5;22.6277585044;31.950839191;15.0;15.1117365978;15.0;14.5;23.4713808987;34.2228829249;15.0;25.0895245936;22.064894395;14.5;15.0;23.0803854709;14.5;16.3358509283;14.5;23.4256655434;29.0999338679;15.0;23.1898113103;22.1270050617;23.5508252494;24.4267164397;23.4840942782;16.686772093;24.4237802743;23.7973682733;15.0;23.0785742712;26.3404431799;15.5;23.3071243727;15.0;15.0;15.0;31.5083652922;15.0;16.1054567755;14.5;20.0
2014-01-01 02:15:00;24.9427945716;15.5;21.5;19.5;21.5;15.5;21.4207437073;25.3869052594;14.5;20.5;24.7375114089;15.0;15.0;15.0;14.5;20.5;26.5190362005;15.0;21.5;19.5;14.5;15.0;20.5;14.5;15.0;14.5;20.0;22.4284603384;15.0;20.0;19.5;20.0;21.5;18.5;14.5;19.5;20.0;15.0;20.5;20.5797955923;15.5;20.5;15.0;15.0;15.0;24.4031069757;15.0;15.0;14.5;20.0
2014-01-01 02:30:00;21.5;15.5;15.5;19.5;21.5;15.5;15.5256761927;21.5;14.5;20.5;19.5;15.0;15.0;15.0;14.5;20.5;20.0;15.0;21.5;19.5;14.5;15.0;20.5;14.5;15.0;14.5;20.0;16.8609157234;15.0;20.0;19.5;20.0;21.5;18.5;14.5;19.5;20.0;15.0;20.5;15.8133241478;15.5;20.5;15.0;15.0;15.0;20.0;15.0;15.0;14.5;20.0
2014-01-01 02:45:00;21.5;15.5;15.5;19.5;21.5;15.5;15.0;21.5;14.5;20.5;20.0;15.0;15.0;15.0;14.5;20.5;20.0;15.0;21.5;19.5;14.5;15.0;20.5;14.5;18.5;14.5;20.0;14.5;15.0;20.0;19.5;20.0;21.5;18.5;14.5;19.5;20.0;15.0;20.5;11.7567597882;15.5;20.5;15.0;15.0;15.0;20.0;15.0;15.0;14.5;14.5
2014-01-01 03:00:00;21.5;15.5;15.5;19.5;21.5;15.5;15.0;21.5;14.5;20.5;20.0;15.0;15.0;15.0;14.5;20.5;20.0;15.0;21.5;19.5;14.5;15.0;20.5;14.5;15.0;14.5;20.0;14.5;15.0;20.0;19.5;20.0;21.5;18.5;14.5;19.5;20.0;15.0;20.5;11.0;15.5;20.5;15.0;15.0;15.0;20.0;15.0;15.0;14.5;14.5
2014-01-01 03:15:00;21.5;15.5;15.5;19.5;21.5;15.5;20.0;21.5;14.5;20.5;20.0;15.0;15.0;15.0;14.5;20.5;20.0;15.0;21.5;19.5;14.5;15.0;20.5;14.5;15.0;14.5;14.5;14.5;15.0;20.0;19.5;20.0;21.5;18.5;14.5;19.5;20.0;15.0;20.5;11.0;15.5;20.5;15.0;15.0;15.0;20.0;15.0;15.0;14.5;14.5
2014-01-01 03:30:00;15.5;15.5;15.5;19.5;21.5;15.5;15.0;21.5;14.5;20.5;20.0;15.0;15.0;15.0;14.5;20.5;20.0;15.0;21.5;19.5;14.5;15.0;20.5;14.5;15.0;14.5;14.5;20.0;15.0;20.0;19.5;20.0;21.5;18.5;14.5;19.5;20.0;15.0;20.5;11.0;15.5;20.5;15.0;15.0;15.0;20.0;15.0;15.0;14.5;14.5
2014-01-01 03:45:00;15.5;15.5;15.5;19.5;21.5;15.5;15.0;15.5;14.5;20.5;11.0;15.0;15.0;15.0;14.5;20.5;11.0;15.0;21.5;19.5;14.5;15.0;20.5;14.5;15.0;14.5;14.5;14.5;15.0;20.0;19.5;20.0;21.5;18.5;14.5;19.5;20.0;15.0;20.5;20.0;15.5;20.5;15.0;15.0;15.0;15.0;15.0;15.0;14.5;14.5
