;0;1;2;3;4;5;6;7;8;9
1/01/2014 0:00;293.15;293.15;291.15;293.15;293.15;291.15;293.15;293.15;291.15;293.15
1/01/2014 0:15;293.15;293.15;291.15;293.15;293.15;291.15;293.15;293.15;291.15;293.15
1/01/2014 0:30;293.15;293.15;291.15;293.15;293.15;291.15;293.15;293.15;291.15;293.15
1/01/2014 0:45;293.15;293.15;291.15;293.15;293.15;291.15;293.15;293.15;291.15;293.15
1/01/2014 1:00;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
1/01/2014 1:15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
1/01/2014 1:30;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
1/01/2014 1:45;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
1/01/2014 2:00;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
1/01/2014 2:15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
1/01/2014 2:30;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
1/01/2014 2:45;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
1/01/2014 3:00;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
1/01/2014 3:15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
1/01/2014 3:30;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
1/01/2014 3:45;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
1/01/2014 4:00;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
1/01/2014 4:15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
1/01/2014 4:30;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
1/01/2014 4:45;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
1/01/2014 5:00;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
1/01/2014 5:15;293.15;293.15;293.15;293.15;292.428898506;293.15;293.15;293.15;293.15;293.15
1/01/2014 5:30;293.15;293.15;293.15;293.15;292.025131693;293.15;293.15;293.15;293.15;293.15
1/01/2014 5:45;293.15;292.428339614;293.15;293.15;291.775377295;293.15;293.15;293.15;293.15;293.15
1/01/2014 6:00;293.15;292.02391865;293.15;293.15;291.600166678;293.15;293.15;293.15;293.15;293.15
1/01/2014 6:15;293.15;291.773581036;293.15;293.15;291.463084947;293.15;293.15;293.15;293.15;293.15
