;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49
2014-01-01 00:00:00;286.235483377;287.350167416;285.724601031;292.65;285.778517554;285.15;287.064986945;285.15;287.282346988;293.65;285.15;285.15;288.15;285.15;285.66381609;293.65;285.15;286.420125165;285.15;286.361108816;285.800121005;285.932996673;293.65;286.156827077;286.848299528;286.723021089;285.15;286.76487201;285.15;285.913605416;285.15;285.15;286.056217668;285.15;286.814766842;285.15;285.15;286.669587142;293.65;288.236159547;285.765205622;293.65;285.278317241;286.007655981;285.15;293.15;287.254483695;288.15;285.643775441;286.240854965
2014-01-01 00:15:00;285.15;285.15;285.15;292.65;285.15;285.15;285.15;285.15;285.15;293.65;285.15;285.15;288.15;285.15;285.15;293.65;285.15;285.15;285.15;285.15;285.15;285.15;293.65;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;293.65;285.15;285.15;293.65;285.15;285.15;285.15;293.15;285.15;288.15;285.15;285.15
2014-01-01 00:30:00;285.15;285.15;285.15;292.65;285.15;285.15;285.15;285.15;285.15;293.65;285.15;285.15;288.15;285.15;285.15;293.65;285.15;285.15;285.15;285.15;285.15;285.15;293.65;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;293.65;285.15;285.15;293.65;285.15;285.15;285.15;293.15;285.15;288.15;285.15;285.15
2014-01-01 00:45:00;285.15;285.15;285.15;292.65;285.15;285.15;285.15;285.15;285.15;293.65;285.15;285.15;288.15;285.15;285.15;293.65;285.15;285.15;285.15;285.15;285.15;285.15;293.65;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;293.65;285.15;285.15;293.65;285.15;285.15;285.15;293.15;285.15;288.15;285.15;285.15
2014-01-01 01:00:00;285.468158111;285.15;285.15;292.65;285.15;285.15;285.2986139;285.581695709;285.15;293.65;285.237617964;285.15;288.15;285.15;285.15;293.65;285.15;285.352771567;285.15;285.15;285.370990225;285.15;293.65;285.15;285.15;285.15;285.15;285.15;285.98432509;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;293.65;285.15;285.324844771;293.65;285.205200603;285.15;285.15;293.188794878;285.15;288.15;285.259205404;285.15
2014-01-01 01:15:00;286.1616699;285.686153867;285.570018986;292.858971873;285.66154109;285.256095236;286.052094422;286.279003324;285.15;293.65;285.741145409;285.15;288.15;285.15;285.625953666;293.65;285.463233426;286.057472085;285.301457605;285.346234376;286.001191086;285.654130356;294.15;285.719721143;285.418084772;285.15;285.15;285.316522754;286.993988366;285.711769106;285.270930896;285.211893412;285.678252109;285.152298297;285.15;285.442119296;285.259581605;285.533393628;293.65;285.1564138;285.930051884;293.65;285.684718662;285.405936886;285.242671197;293.15;285.560254037;288.15;285.811198767;285.930636991
2014-01-01 01:30:00;286.774059766;286.125897055;285.867998401;292.999764292;286.109061259;285.502555923;286.762002089;286.77939464;285.245252312;293.65;286.143055558;285.15;288.217010242;285.15;286.019371546;293.65;285.778857335;286.671081658;285.480937414;285.667760225;286.501921907;286.084765146;294.15;286.248843121;285.826623192;285.15;285.301048134;285.667453597;287.656029844;286.170039028;285.421042055;285.386025196;286.16605127;285.290882304;285.260829601;285.756106534;285.431507351;286.02055612;293.65;285.52719789;286.421175101;293.65;286.059689177;285.732570888;285.38889878;293.15;286.085517934;288.324903481;286.230844643;286.486800577
2014-01-01 01:45:00;287.083762796;286.282057998;285.891239815;292.984241332;286.313594639;285.601265811;287.217517043;286.969913594;285.441510544;293.65;286.294172521;285.261123276;288.348828731;285.205579377;286.1619913;293.65;285.928261196;287.011468632;285.479192077;285.845139867;286.718174648;286.283199418;294.15;286.540902472;286.092673703;285.327799392;285.431985087;285.838045808;287.949680138;286.392561195;285.408759566;285.434358844;286.420098728;285.351306836;285.502954715;285.894227863;285.375526288;286.350086281;293.65;285.857936932;286.664980904;293.65;286.19109429;285.893317232;285.36955374;293.15;286.446914938;288.445645267;286.337272072;286.712210226
2014-01-01 02:00:00;287.135868057;286.140717497;285.636679228;292.817447455;286.252948211;285.46705705;287.383358649;286.867781079;285.593115332;293.65;286.187672711;285.325277688;288.378640715;285.222008668;286.038325525;293.65;285.838214517;287.058550713;285.256697113;285.809167904;286.643562397;286.185180165;294.15;286.564800238;286.140873178;285.482741759;285.448113938;285.803620645;287.841541887;286.377294889;285.15;285.317300183;286.410913637;285.256805018;285.695271217;285.821377495;285.15;286.456920046;293.65;285.941182386;286.58898969;293.65;286.01441057;285.835886016;285.15;293.15;286.572179605;288.435868875;286.170422731;286.320653528
2014-01-01 02:15:00;286.907435191;285.746137327;285.15;292.65;285.959583087;285.15;287.287480804;286.52919087;285.634333915;293.65;285.863763534;285.296063662;288.310184863;285.15;285.684966227;293.65;285.565952365;286.848425533;285.15;285.566959374;286.352937902;285.855777947;293.65;286.380389605;285.9756626;285.549684261;285.337787315;285.564675859;287.475059639;286.117200051;285.15;285.15;286.1672155;285.15;285.782647313;285.560532452;285.15;286.368858324;293.65;285.86092487;286.276477261;293.65;285.598850147;285.576144559;285.15;293.15;286.468220463;288.294250921;285.767252732;285.801780809
