;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49
2014-01-01 00:00:00;285.15;285.15;285.15;292.65;285.15;285.15;285.15;285.15;285.15;293.65;285.15;285.15;288.15;285.15;285.15;293.65;285.15;285.15;285.15;285.15;285.15;285.15;293.65;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;293.65;285.15;285.15;293.65;285.15;285.15;285.15;293.15;285.15;288.15;285.15;285.15
2014-01-01 00:15:00;285.976759971;285.657554332;286.478800079;292.65;285.676132675;285.534323881;285.15;285.15;285.15;293.65;285.861170499;285.15;288.15;285.15;285.15;293.65;285.700412214;285.15;285.15;285.445779439;285.15;285.15;293.65;285.15;285.15;285.15;286.024281404;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;293.65;285.15;285.15;293.65;285.15;285.15;285.15;293.15;285.15;288.15;285.15;286.54075158
2014-01-01 00:30:00;285.15;285.15;285.15;292.65;285.15;285.15;285.15;285.15;285.15;293.65;285.61463272;285.15;288.15;285.15;285.15;293.65;285.504928618;285.15;285.15;285.15;285.15;285.15;293.65;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;293.65;285.15;285.15;293.65;285.15;285.15;285.15;293.15;285.15;288.15;285.15;285.15
2014-01-01 00:45:00;285.15;285.15;285.15;292.65;285.15;285.15;285.15;285.15;285.15;293.65;285.15;285.15;288.15;285.15;285.15;293.65;285.15;285.15;285.15;285.15;285.15;285.15;294.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;293.65;285.15;285.15;293.65;285.15;285.15;285.15;293.15;285.15;288.15;285.15;285.15
2014-01-01 01:00:00;285.15;285.15;285.15;292.65;285.15;285.961067145;285.15;285.15;285.15;293.65;285.15;285.15;288.15;285.15;285.15;293.65;285.15;285.15;285.15;285.15;285.15;285.15;294.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;293.65;285.15;285.15;293.65;285.15;285.15;285.15;293.15;285.15;288.15;285.15;285.15
2014-01-01 01:15:00;285.15;285.15;285.15;292.65;285.15;285.15;285.15;285.15;285.15;293.65;285.15;285.15;288.15;285.15;285.15;293.65;285.15;285.15;285.15;285.15;285.15;285.15;294.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;293.65;285.15;285.15;293.65;285.15;285.15;285.15;293.15;285.15;288.15;285.15;285.15
2014-01-01 01:30:00;285.15;285.15;285.15;292.65;285.15;285.15;285.15;285.15;285.15;293.65;285.15;285.15;288.15;285.15;285.15;293.65;285.153035726;285.15;285.15;285.15;285.15;285.15;293.65;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;293.65;285.15;285.15;293.65;285.15;285.15;285.15;293.15;285.15;288.15;285.15;285.15
2014-01-01 01:45:00;285.46475761;285.15;285.15;292.65;285.15;285.15;285.15;285.15;285.15;293.65;285.15;285.15;288.15;285.15;285.15;293.65;285.15;285.15;285.15;285.15;285.15;285.15;293.65;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;293.65;285.15;285.15;293.65;285.15;285.15;285.15;293.15;285.15;288.15;285.15;285.15
2014-01-01 02:00:00;285.15;285.15;285.15;292.65;285.15;285.15;285.15;285.15;285.15;293.65;285.179686141;285.15;288.15;285.15;285.15;293.65;285.15;285.15;285.15;285.15;285.15;285.15;293.65;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;293.65;285.15;285.15;293.65;285.15;285.15;285.15;293.15;285.15;288.15;285.15;285.15
2014-01-01 02:15:00;285.15;285.15;285.15;292.65;285.15;285.15;285.15;285.15;285.15;293.65;285.15;285.15;288.15;285.15;285.15;293.65;285.15;285.15;285.15;285.15;285.15;285.15;293.65;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;285.15;293.65;285.15;285.15;293.65;285.15;285.15;285.15;293.15;285.15;288.15;285.15;285.15
