;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Boxbergheide_D;[57.232075783400006, 60.39590394840001, 57.24720949989999, 60.5542303901];161.927484101;539.525956572;181.647616222;[13.0876536849, 13.8565741524, 13.1009830573, 14.0467217482];[13.0876536849, 13.8565741524, 13.1009830573, 14.0467217482];40341880.3;42657673.5256;50139793.8488;8053029.27595;0.000169984266664;0.00309505680561;0.000213281493965;0.00650636368632;9.30068448427e-05;3.45313258173e-05;0.00663327143088;0.00258314663432;860.216884503;2.7;1.7;2.13636348752;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Boxbergheide_SD;[44.65216591870001, 43.611392065100006, 43.2974111654, 44.285323052799995];131.168239847;379.457595737;147.950568371;[9.67506287372, 9.699042707050001, 9.634006430980003, 9.85049261507];[9.67506287372, 9.699042707050001, 9.634006430980003, 9.85049261507];30132045.8701;34554553.746;35367657.1597;6559129.61185;0.00022758112636;0.004143774761;0.000263296479112;0.00803212045539;0.000133391052285;4.23961400674e-05;0.00814405754869;0.00359579030415;684.163229341;2.7;1.7;2.16341491679;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Boxbergheide_T;[23.8276177479, 39.9718020188, 59.04557326169999, 21.3509304506];147.752214813;508.483415849;177.120624678;[3.22609207818, 8.42151356261, 14.6533882293, 5.198086979119999];[3.22609207818, 8.42151356261, 14.6533882293, 5.198086979119999];24708614.1319;38923384.6074;46472687.2534;7852333.02576;0.000277534179054;0.00505331503042;0.000233743607612;0.00713058077475;9.36101956531e-05;3.54139052473e-05;0.00680280992324;0.00443591971521;824.161295428;2.7;1.7;1.98358038627;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
OudWinterslag_D;[68.10964611109999, 59.3640353507, 68.0215632181, 59.73752657600001];172.867103832;615.452107769;192.910791576;[16.3188977161, 13.774904862700001, 16.3788453238, 13.9269153741];[16.3188977161, 13.774904862700001, 16.3788453238, 13.9269153741];40218178.4298;60218479.558;57061502.8403;8551407.64059;0.000131194255756;0.0055955377797;0.000264396642619;0.0078434924266;8.095799236e-05;3.32583137799e-05;0.00715239711205;0.00231338417316;997.999433964;2.7;1.7;2.11470782451;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
OudWinterslag_SD;[56.8510631305, 47.8704700229, 56.8436821122, 50.7914081587];137.474325908;539.810847612;161.325163176;[13.589739559100002, 11.0218477429, 12.8286544078, 11.7922307653];[13.589739559100002, 11.0218477429, 12.8286544078, 11.7922307653];33461990.5179;47889359.5191;49932493.5808;7151270.3967;0.000157683207284;0.00672531231261;0.000332465582723;0.0098628002775;9.16500461909e-05;3.97699125881e-05;0.00855275495397;0.00283811449487;844.735460928;2.7;1.7;2.09339080414;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
OudWinterslag_T;[45.9187212588, 19.5284204527, 61.70328420430001, 35.895596333];126.230964025;444.230480663;148.303090613;[10.8008733224, 3.7873128390499997, 15.0271155199, 8.54906916405];[10.8008733224, 3.7873128390499997, 15.0271155199, 8.54906916405];25691896.7843;43972719.8421;40973363.9745;6574024.04412;0.000205371912836;0.0087592729616;0.000362078212945;0.0107412775478;0.000110377561449;4.32619954934e-05;0.00930374803956;0.00366119997932;797.010475824;2.7;1.7;2.06703024521;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
TermienEast_D;[68.98409721680001, 65.9608043018, 68.270856951, 68.2653738699];138.443574418;567.717615224;157.213381862;[15.832534276199997, 15.020643956599999, 15.7618428269, 15.622733662400002];[15.832534276199997, 15.020643956599999, 15.7618428269, 15.622733662400002];49798668.5677;36827641.306;52999237.767;5551333.00824;0.000171154334255;0.00145553704503;0.000228302565466;0.00161188327077;8.95733432594e-05;3.06534368469e-05;0.00288016142;0.000384466308248;852.828613094;2.7;1.7;2.17819747892;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
TermienEast_SD;[48.676219397, 46.82868376239999, 46.9955398325, 44.1439074947];105.821892308;411.862270397;120.065057469;[11.208348423599999, 10.4768969295, 10.874405089000001, 9.958964257769999];[11.208348423599999, 10.4768969295, 10.874405089000001, 9.958964257769999];34236781.2813;28149884.9522;38345416.4141;4239595.3116;0.000248950329046;0.00211713263283;0.000298681326922;0.0021087780296;0.000122496309125;4.01376601485e-05;0.00377128805576;0.000562772798704;631.831934644;2.7;1.7;2.1531717613;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
TermienEast_T;[30.2121877661, 29.4173059559, 31.183592184000002, 30.3653789012];84.5038421268;298.986582701;99.2032684229;[6.921536122999999, 5.930221272280001, 7.208118445219999, 6.49396921303];[6.921536122999999, 5.930221272280001, 7.208118445219999, 6.49396921303];22228160.5888;22479029.4523;27692120.4978;3502948.48949;0.000383444142012;0.00326089991136;0.000374030605194;0.00264076609931;0.000166130546428;4.85783437281e-05;0.00456436490798;0.000901124479089;490.440935465;2.7;1.7;2.10529733379;5.0;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
TermienWest_D;[58.9972285053, 59.270105169000004, 58.19727180189999, 58.565269217499996];165.102751218;521.377343036;186.861495839;[13.8882895275, 13.9704826017, 13.6488737555, 13.584084493499999];[13.8882895275, 13.9704826017, 13.6488737555, 13.584084493499999];40273416.4959;43494156.0337;48529005.7069;8284177.5072;0.00017027323568;0.00310031832503;0.000209179650056;0.0063812328662;9.66922491752e-05;3.35678197989e-05;0.00644818740083;0.00253626801683;904.581593052;2.7;1.7;2.15078651352;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
