BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Bandstraat_8_1566987;[53.888229404040914, 70.021976008381515, 47.308221463586491, 64.532894608673018];126.677406311;363.370919873;140.191190934;[8.0612931086980044, 10.808256657549936, 9.6679940961906592, 16.133223652168255];[8.0612931086980044, 10.808256657549936, 9.6679940961906592, 16.133223652168255];40397039.6189;33371502.5061;34548610.5492;6215131.18811;0.000169752165093;0.00309083072304;0.000272630587638;0.00831686670143;0.000147106266662;4.47427044301e-05;0.00859481922609;0.00312793805713;740.322026248;2.7;1.7;2.34878973135;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Bandstraat_16_1570421;[43.934985957969097, 58.855912897831168, 69.787694665562057, 60.613729519209521];143.251064301;396.148186993;149.865317203;[10.982203984478943, 14.713978224457792, 15.155241572870873, 8.8419493306189167];[10.982203984478943, 14.713978224457792, 15.155241572870873, 8.8419493306189167];39958543.8307;37737615.4953;37424157.5582;6644016.65153;0.000171614985965;0.00312474878221;0.000241088161486;0.0073546336812;0.000132683255054;4.18544673093e-05;0.00804000529046;0.00281179129124;746.719806948;2.7;1.7;2.28864922445;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Bandstraat_6_1566985;[49.453133842431924, 78.53768177374279, 45.342250866923159, 81.937996424849615];251.60344696;692.478017864;265.909131769;[8.5982184238760198, 19.589741424480987, 9.6141594549842644, 15.877487053549059];[8.5982184238760198, 19.589741424480987, 9.6141594549842644, 15.877487053549059];43741834.3062;66281630.6814;63881529.4265;11788616.1537;0.000156771773462;0.00285448502913;0.000137264159694;0.00418737944611;7.08470910501e-05;2.35890094408e-05;0.00453131464555;0.00260298842024;929.704804293;2.7;1.7;2.06863417513;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Bandstraat_5_1566394;[39.177007667322819, 13.473287097336502, 41.218991084783241, 58.107460720168966];124.307609558;329.341706286;137.855083392;[8.0260296281333918, 3.3630215975073812, 5.5944775668020812, 11.919891322127409];[8.0260296281333918, 3.3630215975073812, 5.5944775668020812, 11.919891322127409];26041892.8456;32747210.6092;30690058.2822;6111563.9472;0.000263325134594;0.00479459814668;0.00027782800945;0.00847541921301;0.000153593754859;4.55009192649e-05;0.00874046798654;0.00483428581103;652.185642696;2.7;1.7;2.16145612192;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Bandstraat_10_4754145;[43.895426896826294, 59.834546234445277, 43.494972827172347, 31.529324421413413];96.0190887451;295.914243524;101.081599881;[7.1347256962270453, 8.4350461845587184, 10.873743206793087, 7.872190956270118];[7.1347256962270453, 8.4350461845587184, 10.873743206793087, 7.872190956270118];30630340.891;25294970.5398;28001177.1755;4481275.8903;0.000223878831877;0.00407636374724;0.000359679894638;0.0109723922206;0.000178408345634;6.20541525564e-05;0.0119202500216;0.00407182045363;545.642950968;2.7;1.7;2.30407457326;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Bandstraat_1_1566109;[62.402391954435714, 62.594915608771998, 47.402610502803924, 66.766263048946485];145.335716248;374.123921899;168.984516137;[15.536021566284816, 14.489090111021907, 11.850652625700981, 9.8668500918752855];[15.536021566284816, 14.489090111021907, 11.850652625700981, 9.8668500918752855];40982191.0357;38286789.7301;35534966.3168;7491632.887560001;0.000167328411814;0.00304669926176;0.000237630065167;0.00724914102035;0.00014250557938;3.71189808574e-05;0.00713034525716;0.00270043165356;754.585617175;2.7;1.7;2.33926995072;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Bandstraat_7_1566337;[46.148245306224112, 60.315489779269996, 50.29200418740303, 13.451038550509278];134.535591125;369.3505537630001;149.296661934;[9.7241979341082114, 11.792470231072478, 6.3387999069974459, 3.1134842679066415];[9.7241979341082114, 11.792470231072478, 6.3387999069974459, 3.1134842679066415];29165689.9475;35441638.309;34415982.6736;6618806.31501;0.000235121642965;0.00428107174555;0.000256706314174;0.00783108093225;0.000136928818142;4.20138865695e-05;0.00807062882428;0.004511854072930001;726.154929303;2.7;1.7;2.16082719002;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Bandstraat_12_4753864;[51.950573698277665, 32.341875825469138, 50.322640185046637, 56.815634396491383];111.500480652;354.357672653;118.512573578;[7.0721950530859541, 8.0701040514398201, 12.580660046261659, 14.203908599122846];[7.0721950530859541, 8.0701040514398201, 12.580660046261659, 14.203908599122846];32802507.7325;29373340.3443;33302850.3073;5254047.61398;0.000209053679511;0.00380642883135;0.000309739792341;0.00944891982719;0.000146248140746;5.29271522024e-05;0.0101670051269;0.00333264565775;680.308851773;2.7;1.7;2.2402189338;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Bandstraat_9_1565964;[42.097653046114594, 4.7068650122159914, 40.825585202205573, 51.012522538608472];82.04061889649999;249.942567816;94.1163220727;[8.678988032924785, 1.0830918249414392, 10.20636625305114, 9.2167193412296413];[8.678988032924785, 1.0830918249414392, 10.20636625305114, 9.2167193412296413];23757031.8249;21612525.8547;23526371.6138;4172482.48428;0.000288650745144;0.005255724372219999;0.000420963861409;0.0128419204602;0.000208234616633;6.66466015835e-05;0.0128024333786;0.004787616982300001;497.2968556930001;2.7;1.7;2.25469793325;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Bandstraat_11_4753584;[40.064035869767849, 67.887015914066637, 45.570588255440384, 10.490731492681174];126.259067535;279.997921459;140.042383477;[8.2628351158863431, 10.375283085396894, 6.8652103960440796, 0.95793375647671208];[8.2628351158863431, 10.375283085396894, 6.8652103960440796, 0.95793375647671208];28104250.8226;33261296.6382;26443264.2553;6208534.06982;0.000244001698603;0.00444275892504;0.000273533904513;0.008344423279359999;0.000187568331811;4.47902475233e-05;0.00860395198407;0.005280450791869999;666.005190932;2.7;1.7;2.28576281809;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
