BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Berm_11_1567578;[66.078502460575862, 70.704852322217079, 51.567296880252506, 70.8562723943447];162.968948364;705.257629013;210.459339977;[9.3283623307295009, 13.388480027434872, 12.891824220063127, 14.068316884092708];[9.3283623307295009, 13.388480027434872, 12.891824220063127, 14.068316884092708];44416261.6552;42932033.6367;65052650.6693;9330346.64306;0.000154391312621;0.00281114183231;0.000211918503922;0.00646478432209;6.95371000285e-05;2.98040135466e-05;0.005725181611330001;0.00281271896986;990.93407696;2.7;1.7;2.06753508703;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Berm_13_1570250;[41.912897830366212, 72.686069482287834, 46.857812774165772, 64.982531216432847];276.061534882;517.389750756;234.441583485;[6.3751319089080329, 18.171517370571959, 11.714453193541443, 15.56247466442319];[6.3751319089080329, 18.171517370571959, 11.714453193541443, 15.56247466442319];38801385.1731;72724793.4057;48089356.2755;10393557.4525;0.000176732993116;0.00321793695294;0.000125103034502;0.00381639225046;9.70267052278e-05;2.67552066764e-05;0.00513952313945;0.00269621283339;723.378922835;2.7;1.7;2.13765712593;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Berm_3_1570246;[65.146969542662063, 53.997439682472681, 63.670852772400089, 81.4899960372029];201.900253296;654.991064309;227.956315658;[9.8187032697321364, 6.7869811705478913, 15.062243906696644, 18.772321583166896];[9.8187032697321364, 6.7869811705478913, 15.062243906696644, 18.772321583166896];45289883.9042;53187975.7019;60653538.473;10106044.4492;0.000151413171055;0.00275691612365;0.000171055435341;0.0052182158525;7.57896402883e-05;2.7516381819e-05;0.005285740558210001;0.00277015664957;1005.89788172;2.7;1.7;2.10352498291;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Berm_7_1570248;[38.58739615771168, 26.617957740339001, 38.869575076291731, 58.49545616894202];276.44802475;487.779506847;230.867387074;[5.1563789533202762, 3.425677429054157, 9.7173937690729328, 13.16196093891574];[5.1563789533202762, 3.425677429054157, 9.7173937690729328, 13.16196093891574];27857160.0283;72826609.0963;44824382.6634;10235101.7076;0.000246165974266;0.00448216584342;0.000124928133432;0.003811056719710001;9.93491902486e-05;2.71694200692e-05;0.00521909117802;0.00444123098448;657.00063117;2.7;1.7;2.0332866241;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Berm_15_1570249;[31.042209177204015, 53.819015976156678, 37.479189210604794, 60.001913956617159];83.8663902283;447.805112134;114.819825102;[4.7284545440331875, 12.308169863188468, 9.3697973026511985, 14.855545881455983];[4.7284545440331875, 12.308169863188468, 9.3697973026511985, 14.855545881455983];31245170.6102;22093501.3842;41484230.2554;5090336.0707;0.000219473435566;0.00399615072459;0.000411799478063;0.0125623518492;0.00011099035967;5.46293552885e-05;0.0104939886652;0.00338634829861;522.663798991;2.7;1.7;2.10719126106;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Berm_5_1570245;[49.72652093523741, 79.852773140863533, 54.903041318928388, 53.923906429009605];184.219863892;625.636054446;207.132175693;[11.14535606466862, 19.956191473779334, 13.725760329732097, 7.555148797136761];[11.14535606466862, 19.956191473779334, 13.725760329732097, 7.555148797136761];40851972.0513;48530308.8258;57793625.5151;9182842.63532;0.00016786178474;0.00305641086352;0.000187472376721;0.0057190309455;7.87492065304e-05;3.02827554372e-05;0.0058171452076;0.00266744636745;841.942725677;2.7;1.7;2.08106218484;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Berm_29_4753520;[47.969951671852996, 54.585384695168543, 53.851662391169242, 14.30399297924798];129.430339813;390.064186928;166.777067884;[8.5239361938531584, 12.411018350790723, 11.587856894971399, 3.5309750803760052];[8.5239361938531584, 12.411018350790723, 11.587856894971399, 3.5309750803760052];29252089.2488;34096726.7583;36254908.4163;7393769.53114;0.000234427185024;0.00426842712367;0.000266831839991;0.00813997014836;0.000128698003616;3.76102847908e-05;0.007224721950449999;0.00387552618565;716.586667144;2.7;1.7;2.13764846263;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Berm_33_4754056;[13.070524363025729, 30.558046376392863, 56.758166294245015, 27.510220846965201];101.704528809;297.197388178;127.550562634;[2.8332769996440184, 4.6871635990578344, 12.809899748097223, 6.8775552117413001];[2.8332769996440184, 4.6871635990578344, 12.809899748097223, 6.8775552117413001];21915713.7364;26792725.2132;27601424.5706;5654731.04695;0.000312902651547;0.00569730069828;0.000339573233637;0.0103590185679;0.000168513018368;4.91768353676e-05;0.00944659057782;0.00513554579954;519.4089983490001;2.7;1.7;2.13034347867;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Berm_25_1567581;[48.754811298000327, 56.304016328240081, 48.711784312363967, 55.150954086028293];82.8390693665;540.27784349;118.827348522;[12.188702824500082, 12.583809350684296, 12.177946078090992, 13.787738521507073];[12.188702824500082, 12.583809350684296, 12.177946078090992, 13.787738521507073];35799641.4475;21822867.1668;49939235.8763;5268002.61042;0.000191551777096;0.00348775591389;0.0004169063702330001;0.0127181426642;9.13646287246e-05;5.27869475984e-05;0.0101400726193;0.0027538896262;653.611461583;2.7;1.7;2.08669282582;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Berm_27_4753143;[50.98837322046176, 26.692715266763049, 47.464790220541026, 73.559610255070098];151.529094696;501.763678355;186.940922102;[9.3596845035132361, 6.1984312545768869, 11.866197555135257, 15.483600689297786];[9.3596845035132361, 6.1984312545768869, 11.866197555135257, 15.483600689297786];34049071.1126;39918354.1142;46426391.9886;8287698.731610001;0.000201400059226;0.00366707246611;0.000227917521664;0.006952850239659999;9.86863368066e-05;3.35535577184e-05;0.006445447736229999;0.0032564480702;835.271425424;2.7;1.7;2.09601409495;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
