BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Boogstraat_12_1566849;[72.437555938658093, 108.85871040738165, 60.883336682480341, 116.57073121467073];444.733226776;723.445417861;390.844990726;[6.4168876960464312, 26.009817196964036, 14.717565056521369, 22.735335981625461];[6.4168876960464312, 26.009817196964036, 14.717565056521369, 22.735335981625461];61473468.6297;117159140.087;67666343.6315;17327428.8875;0.00011155194414;0.00203112682523;7.76558476942e-05;0.00236896871864;7.06794045533e-05;1.60486463138e-05;0.00308285374448;0.00199954467241;1229.88771275;2.7;1.7;2.19589136289;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Boogstraat_1A_1566862;[79.922651038761245, 56.141518159438185, 95.615067630233625, 54.337057204923681];440.825942993;839.203824551;360.7554348580001;[19.980662759690311, 13.50932023560609, 15.924060650066147, 12.993769590572768];[19.980662759690311, 13.50932023560609, 15.924060650066147, 12.993769590572768];49010166.683;116129817.382;77182058.3055;15993461.0693;0.000139919641225;0.00254764306315;7.83441543585e-05;0.00238996619668;5.78991000136e-05;1.7387216972e-05;0.00333998556015;0.00223894071119;1075.79206889;2.7;1.7;2.04081862554;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Boogstraat_16_1566851;[22.93925073113186, 32.121547023828995, 58.208396602656251, 31.168566141635718];162.401550293;292.622460511;186.975179691;[5.6985124788372614, 8.0303867559572488, 13.113413540132722, 4.5594907810185443];[5.6985124788372614, 8.0303867559572488, 13.113413540132722, 4.5594907810185443];24750053.9832;42782560.0509;27363214.7879;8289217.481889999;0.000277069494205;0.005044854094409999;0.000212658904184;0.00648737096704;0.000174615755579;3.35474100362e-05;0.00644426680141;0.00444966141837;513.159954147;2.7;1.7;2.19359765565;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Boogstraat_10_1566850;[64.699845637385636, 83.962808960567756, 57.449485940789998, 81.689537472711265];151.215278625;662.876751254;191.459832204;[13.618341140007583, 20.990702240141939, 14.273812659129087, 19.684937780195849];[13.618341140007583, 20.990702240141939, 14.273812659129087, 19.684937780195849];49316100.1847;39835683.3832;61588506.5223;8488036.70523;0.000139051646683;0.00253183870392;0.000228390517393;0.00696727944391;7.56459673058e-05;3.27616134804e-05;0.00629331974911;0.00203779917607;929.6649283710001;2.7;1.7;2.13417072249;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Boogstraat_34_1566102;[61.280626152044384, 76.97659685102883, 58.773468091199675, 78.432919157496812];300.149757385;574.958178123;251.71581222;[15.036723010735249, 14.016244465130741, 11.292455207136229, 16.045162824046756];[15.036723010735249, 14.016244465130741, 11.292455207136229, 16.045162824046756];47201917.2865;79070519.9331;53680426.3179;11159380.1625;0.000145279796519;0.00264524024344;0.000115063013957;0.003510111457530001;8.84703575672e-05;2.49191060521e-05;0.00478681864499;0.00247784967107;867.0249970589999;2.7;1.7;2.17910199512;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Boogstraat_36_1566111;[39.117944300759433, 53.524779604224847, 33.59692052728002, 49.194104371022092];173.318264008;341.148569665;205.275544102;[9.7794860751898582, 8.2845561244099244, 8.3992301318200049, 12.298526092755523];[9.7794860751898582, 8.2845561244099244, 8.3992301318200049, 12.298526092755523];30061354.7201;45658425.2087;31971989.1921;9100532.1219;0.000228116297569;0.00415351910571;0.000199264260583;0.00607875406787;0.000150728594982;3.05566503166e-05;0.005869758857249999;0.00360477066159;568.5658430230001;2.7;1.7;2.21424442135;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Boogstraat_38_1567188;[84.341232054720763, 62.014103368377405, 80.800144573702426, 64.422045515791979];195.339019775;617.127055542;245.280020165;[16.462322412934775, 15.503525842094351, 20.200036143425606, 7.0742201358872636];[16.462322412934775, 15.503525842094351, 20.200036143425606, 7.0742201358872636];49963108.482;51459504.7199;57576233.1831;10874060.581;0.000137250966704;0.00249905209999;0.00017680100864;0.005393490269290001;8.22540181884e-05;2.55729472603e-05;0.00491241782499;0.00235866217402;1042.22987673;2.7;1.7;2.17247568048;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Boogstraat_18_1566853;[52.825519436068205, 54.986360627308954, 41.090042769508877, 60.425959561658985];112.149951935;582.712022409;148.493938252;[13.206379859017051, 13.746590156827239, 8.9337177895002817, 12.799067122354703];[13.206379859017051, 13.746590156827239, 8.9337177895002817, 12.799067122354703];35869265.5684;29544435.042;53700369.6949;6583218.964930001;0.000191179965076;0.00348098599721;0.000307946059069;0.00939420021316;8.39206724299e-05;4.22410038654e-05;0.008114256766;0.00286998515187;742.374369562;2.7;1.7;2.0592304163;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Boogstraat_26_1566602;[70.629569183465463, 35.198540661370664, 57.930264157168835, 33.003161786631317];113.021274567;422.804084922;148.365492648;[17.208030470475155, 8.7996351653426661, 13.893190350326025, 7.4822260556677254];[17.208030470475155, 8.7996351653426661, 13.893190350326025, 7.4822260556677254];33715966.0725;29773973.5702;39416151.4045;6577524.5538;0.000203389839814;0.00370330219532;0.000305571989482;0.009321776863799999;0.000119789811908;4.22775734958e-05;0.00812128158417;0.00294888782513;713.701011452;2.7;1.7;2.16537283533;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Boogstraat_7_4752755;[50.416240029041724, 39.446675850193259, 47.569364624753305, 102.20567152388116];354.479328156;567.720044313;304.814951766;[12.604060007260431, 8.8438533342788972, 8.4463757926243925, 22.013332663598998];[12.604060007260431, 8.8438533342788972, 8.4463757926243925, 22.013332663598998];41063031.0841;93382933.3295;52678364.6293;13513437.6183;0.000166998995389;0.00304070127989;9.74277848662e-05;0.0029721312886;8.79783597717e-05;2.05781671251e-05;0.00395294894882;0.00269184734169;983.832367993;2.7;1.7;2.12210585028;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
