BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Boxbergstraat_47_1566463;[52.482744897709921, 117.1590721133945, 58.841415869160038, 98.345144287779036];378.884277344;900.250999849;323.545232615;[11.751660802144654, 29.289768028348625, 9.1241605889076283, 24.586286071944759];[11.751660802144654, 29.289768028348625, 9.1241605889076283, 24.586286071944759];56003499.017;99812097.3511;82998015.7321;14343811.8514;0.000122447437375;0.00222951089424;9.11522007859e-05;0.0027806883668;5.43913817731e-05;1.93868812994e-05;0.00372410971237;0.00186921589367;1178.59424737;2.7;1.7;2.06304139315;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Boxbergstraat_74_1570264;[33.421371155786936, 81.480276116160397, 36.419402383494969, 129.59242451983258];397.1329154969999;648.045203301;412.239721136;[5.3171367265877354, 19.198062249291805, 9.1048505958737422, 30.143534922960612];[5.3171367265877354, 19.198062249291805, 9.1048505958737422, 30.143534922960612];48135775.7584;104619461.913;60205969.2842;18275926.8306;0.000142461294757;0.00259392124063;8.69636697826e-05;0.00265291307081;7.73598578265e-05;1.52157414681e-05;0.00292285745743;0.00219133530301;941.008126005;2.7;1.7;2.13347820915;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Boxbergstraat_56_1567413;[49.479190413327501, 83.956258062726903, 48.018689021290598, 83.796909930526866];165.376888275;579.988230045;201.272628108;[7.9953750480638544, 19.202655848782186, 12.004672255322649, 20.949227482631716];[7.9953750480638544, 19.202655848782186, 12.004672255322649, 20.949227482631716];45451949.1319;43566373.8487;54022738.5762;8923069.84434;0.000150873286397;0.0027470859569;0.000208832903335;0.00637065501329;8.71029495111e-05;3.11643618839e-05;0.005986496795399999;0.00232290788135;869.9188402789999;2.7;1.7;2.1573386729;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Boxbergstraat_50_4753169;[87.748669421679722, 68.310321477704917, 85.310352725041611, 59.343090751890095];149.886386871;900.257981862;210.005271041;[20.230444129037256, 17.077580369426229, 21.327588181260403, 14.269071820213583];[20.230444129037256, 17.077580369426229, 21.327588181260403, 14.269071820213583];51528415.8277;39485604.2665;82735722.8923;9310216.29115;0.000133081617754;0.00242313700447;0.00023041542627;0.00702905129921;5.38436808906e-05;2.98684551516e-05;0.00573756047741;0.00191657634497;1134.06323798;2.7;1.7;2.03402917879;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Boxbergstraat_37_1570267;[41.411679210388556, 11.56473659704251, 46.620706153341473, 79.756562423897634];151.791469574;488.852677305;188.509388703;[10.1472256533189, 2.4663391855656505, 7.19167064920223, 17.5847050239406];[10.1472256533189, 2.4663391855656505, 7.19167064920223, 17.5847050239406];30733053.1521;39987473.3372;45088363.4916;8357233.95435;0.000223130611356;0.0040627402216;0.000227523561238;0.00694083208582;0.000100297428922;3.3274379928e-05;0.00639181926939;0.00373703172127;881.222469695;2.7;1.7;2.06688698398;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Boxbergstraat_4_1570415;[110.81821360764171, 59.758635848873354, 83.897657088156052, 63.21178323737314];215.094337463;1101.33819103;262.169971953;[26.323496552132568, 14.56183949811936, 15.653930405757135, 11.710914650683407];[26.323496552132568, 14.56183949811936, 15.653930405757135, 11.710914650683407];54436961.5995;56663784.2591;100710457.681;11622847.0449;0.000125971118468;0.00229366973293;0.000160562737868;0.004898125700550001;4.32970032305e-05;2.3925444142e-05;0.00459594183954;0.00204728238789;1485.10042319;2.7;1.7;1.98845480196;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Boxbergstraat_90_1566302;[87.157832406836221, 106.53191717990271, 84.184786425601487, 113.34473930912498];267.808067322;1462.45154461;353.355529528;[19.112192598286644, 23.768751140245531, 21.046196606400372, 28.336184827281244];[19.112192598286644, 23.768751140245531, 21.046196606400372, 28.336184827281244];67037166.3891;70550525.5439;133423988.913;15665399.2125;0.000102293776841;0.0018625550258;0.00012895853388;0.003934008086119999;3.23539922404e-05;1.77513368138e-05;0.0034099309123;0.00151444133939;1842.30286308;2.7;1.7;1.96750922228;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Boxbergstraat_15_1567571;[34.682809582276612, 75.08027727289911, 35.802092504532986, 75.197081945560257];264.658412933;544.218987379;210.056385546;[8.6707023955691529, 17.581348330340397, 5.333980597626522, 18.249586128187932];[8.6707023955691529, 17.581348330340397, 5.333980597626522, 18.249586128187932];37828597.3548;69720790.3735;50407464.2446;9312482.3633;0.000181277800875;0.00330068836554;0.000130493247278;0.00398082604175;9.12805706494e-05;2.98611870493e-05;0.005736164316270001;0.00280376567794;690.709059244;2.7;1.7;2.10564968593;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Boxbergstraat_33_1566139;[108.96219168029504, 90.526658954150207, 95.061160051307098, 80.817497741231435];533.0480957030001;990.998810307;450.798643275;[27.240547920073759, 10.384028922487616, 17.02442998528106, 20.204374435307859];[27.240547920073759, 10.384028922487616, 17.02442998528106, 20.204374435307859];64320895.4845;140424534.885;91521489.0568;19985369.1855;0.000106613642223;0.00194121070973;6.4789905454e-05;0.00197648037928;4.96772950664e-05;1.39142677407e-05;0.00267285175132;0.00186668112238;1724.13058176;2.7;1.7;2.07877695162;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Boxbergstraat_62_1566137;[75.78227318811993, 81.711173891966411, 73.120688333233048, 69.315896174958723];293.869457245;588.879708102;326.570672005;[13.212837135970105, 20.215997657946563, 16.908853804187014, 17.328974043739681];[13.212837135970105, 20.215997657946563, 16.908853804187014, 17.328974043739681];51394347.623;77416057.1683;55159770.7245;14477939.4138;0.000133428776817;0.00242945804254;0.000117522031881;0.00358512624023;8.71890070859e-05;1.92072759663e-05;0.00368960854866;0.00206493697627;1202.65631616;2.7;1.7;2.20932308833;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
