BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Congostraat_16_1566709;[35.249843734095357, 64.932630375537698, 39.33457998014682, 66.001444983145618];431.985263824;762.6325585210001;352.099427061;[8.8124609335238393, 16.233157593884425, 9.8336449950367051, 11.912436287593284];[8.8124609335238393, 16.233157593884425, 9.8336449950367051, 11.912436287593284];35216510.7588;113800856.318;69592486.6197;15609712.1071;0.000194723576837;0.00354550773156;7.99474857483e-05;0.00243887741226;6.20889857507e-05;1.78146640909e-05;0.0034220957223;0.00298615768004;990.937603512;2.7;1.7;1.96948560847;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Congostraat_15_4752612;[84.477162081687652, 103.56754672403042, 80.042806244443085, 100.24666509368285];379.730697632;673.1410343919999;330.897511265;[21.119290520421913, 23.399940166006338, 17.944988916788187, 25.061666273420713];[21.119290520421913, 23.399940166006338, 17.944988916788187, 25.061666273420713];63115703.3375;100035075.683;63309761.4425;14669762.2627;0.000108649425991;0.00197827806031;9.09490223952e-05;0.0027744902083;7.71479580317e-05;1.89561202673e-05;0.00364136296633;0.00159641221966;1066.45970116;2.7;1.7;2.24718723317;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Congostraat_18_1566710;[69.390667308593649, 65.057323416705572, 76.779674696841312, 68.487489066464732];469.10471344;845.304754098;350.120526781;[17.347666827148412, 16.264330854176393, 11.715380473005531, 14.146631405954412];[17.347666827148412, 16.264330854176393, 11.715380473005531, 14.146631405954412];47930438.3395;123579488.845;77658815.1198;15521981.0253;0.000143071609112;0.00260503378436;7.36213786253e-05;0.0022458932349;5.72807747058e-05;1.79153535423e-05;0.00344143759365;0.0023493858037;1200.35248875;2.7;1.7;2.03090450886;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Congostraat_22_1566068;[65.683153798705561, 69.526804506562343, 68.579540246079944, 70.466553673775195];279.469661713;454.0014517;286.126665149;[16.280763140000708, 17.381701126640586, 14.423057536315074, 11.161463211861461];[16.280763140000708, 17.381701126640586, 14.423057536315074, 11.161463211861461];46994996.8368;73622619.7537;42960388.9429;12684925.1259;0.000145919468033;0.00265688731946;0.000123577405545;0.00376985142472;0.000116285411569;2.19222246078e-05;0.0042111347523;0.00235838825748;953.232739656;2.7;1.7;2.30408628915;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Congostraat_5_4752822;[107.42844103000922, 68.459040626891621, 106.18956560280856, 69.866701992959207];182.944084167;851.93748552;204.378852343;[25.578055012654659, 13.804919991276499, 26.534764743881396, 17.466675498239802];[25.578055012654659, 13.804919991276499, 26.534764743881396, 17.466675498239802];60307129.9564;48194221.3774;78973471.4636;9060778.86148;0.000113709356483;0.00207040877694;0.000188779734968;0.00575891320655;5.84544114661e-05;3.06907145617e-05;0.00589551183677;0.00167570154852;1127.88629821;2.7;1.7;2.11310982934;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Congostraat_23_1566354;[55.499996928371523, 67.973306076909722, 70.204412760845003, 58.875470025134305];164.948154449;912.345803589;216.122399173;[13.397194862914461, 16.993326519227431, 17.318266371796533, 14.718867506283576];[13.397194862914461, 16.993326519227431, 17.318266371796533, 14.718867506283576];43276113.9493;43453429.5411;83321521.4104;9581408.46509;0.000158458889047;0.00288520386373;0.000209375702555;0.006387213642300001;5.20420902565e-05;2.90230584321e-05;0.00557516457239;0.00223822908561;1140.25826698;2.7;1.7;1.97681739182;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Congostraat_14_1574180;[65.66677237471194, 37.086664438644462, 88.369573293247612, 30.619548172546327];104.92905426;468.104206839;133.528999178;[16.401357909305318, 9.2716661096611155, 22.092393323311903, 6.7544777694412499];[16.401357909305318, 9.2716661096611155, 22.092393323311903, 6.7544777694412499];37996575.6102;27642184.1841;43678614.0803;5919774.57198;0.000180476393689;0.00328609642234;0.0003291379681879999;0.0100406804369;0.000108481758773;4.69750620336e-05;0.00902364243413;0.00256286981961;612.107713104;2.7;1.7;2.17370340843;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Congostraat_12_1574181;[81.469291058909775, 34.231957000631226, 58.729964457912338, 34.587091336060908];103.122905731;425.269005758;129.448527048;[20.367322764727444, 8.5579892501578065, 14.675711194497572, 5.2329600096101201];[20.367322764727444, 8.5579892501578065, 14.675711194497572, 5.2329600096101201];35816217.9056;27166378.0248;39758018.0482;5738873.97879;0.000191463123123;0.003486141711070001;0.0003349026627809999;0.0102165381678;0.000120072935338;4.84558083644e-05;0.00930808538845;0.00286127373889;608.457369155;2.7;1.7;2.19149667863;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Congostraat_7_1572012;[103.9318583348138, 68.059248454822409, 103.56657308098571, 63.400242207838957];169.038482666;575.235883809;169.087016059;[25.980378076382195, 10.455712593436216, 25.891643270246426, 15.850060551959739];[25.980378076382195, 10.455712593436216, 25.891643270246426, 15.850060551959739];58081950.5956;44530972.9034;54346083.5438;7496177.0423;0.000118065679068;0.00214972827003;0.0002043093098;0.00623265830216;9.13908201691e-05;3.70964794688e-05;0.0071260228683;0.00178730283526;1066.98705459;2.7;1.7;2.28925030865;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Congostraat_3_1572013;[60.726962111774228, 47.593217063996917, 62.589722932099662, 47.248261250048145];136.342403412;490.842970182;160.661511171;[15.180048736345427, 11.898304265999229, 15.647430733024915, 11.812065312512036];[15.180048736345427, 11.898304265999229, 15.647430733024915, 11.812065312512036];37382373.5657;35917619.3265;45655582.7196;7122647.02335;0.000183441667411;0.00334008783456;0.000253304436909;0.007727303289420001;0.000102498875903;3.90419147309e-05;0.00749972992527;0.00256202611928;891.324308207;2.7;1.7;2.14445612265;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
