BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Craenevenne_41_1570529;[72.442742395160991, 77.030724462813268, 76.157063182262178, 86.485603714006416];518.552371979;751.001860683;466.219359734;[6.8727111878313654, 19.257681115703317, 12.252463298088019, 19.572629663928634];[6.8727111878313654, 19.257681115703317, 12.252463298088019, 19.572629663928634];53482490.5394;136605826.445;69635717.4989;20669019.6714;0.000128219252123;0.00233460352939;6.66010563046e-05;0.00203173133381;6.63652355345e-05;1.34540380804e-05;0.00258444424929;0.0024109433837;1377.24569336;2.7;1.7;2.11559968103;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Craenevenne_9_1570646;[84.862037649543581, 64.53917215489075, 95.849033315366697, 65.154450615412486];439.590812683;883.9991151219999;317.464237557;[16.077671553150651, 15.741227198356977, 23.643823083690975, 15.951343689688365];[16.077671553150651, 15.741227198356977, 23.643823083690975, 15.951343689688365];53189227.6647;115804438.489;81393728.2063;14074221.5741;0.000128926198776;0.0023474755445;7.85642800683e-05;0.00239668134996;5.51636260362e-05;1.97582350313e-05;0.00379544465368;0.00195658086013;1250.22962029;2.7;1.7;2.05113688286;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Craenevenne_33_1566564;[36.812033128113157, 48.564718051140815, 37.911069709611269, 78.962121245879899];109.943119049;451.000323604;141.780877147;[5.5320207761445461, 12.141179512785204, 9.4777674274028172, 19.53714754633198];[5.5320207761445461, 12.141179512785204, 9.4777674274028172, 19.53714754633198];34656428.9603;28963073.8402;41967783.2378;6285607.14521;0.000197870500348;0.00360280660528;0.000314127305299;0.00958276526521;0.000111697010378;4.42410369149e-05;0.00849845174764;0.00299278291625;697.36896875;2.7;1.7;2.14844744349;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Craenevenne_78_1571070;[48.884999894546652, 86.794603162888635, 45.086425948732668, 99.266909689176771];136.935344696;516.732447362;163.175364221;[12.130930845881201, 20.905421016584057, 7.6293626337455995, 24.668110883361386];[12.130930845881201, 20.905421016584057, 7.6293626337455995, 24.668110883361386];47984892.0796;36073821.9369;48571905.7386;7234094.30039;0.000142909250005;0.00260207756572;0.000252207607902;0.007693843431810001;0.000100343104769;3.84404413596e-05;0.00738419030912;0.00213866849122;789.4767636260001;2.7;1.7;2.24193023899;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Craenevenne_43_1566729;[69.726869265737903, 87.786302426057432, 63.774502710637378, 75.697532737619099];130.113758087;557.212723314;131.228012773;[9.7590223283443063, 18.28770119142068, 15.732735574935184, 18.924383184404775];[9.7590223283443063, 18.28770119142068, 15.732735574935184, 18.924383184404775];50889738.8295;34276764.346;52326641.6165;5817764.365259999;0.000134751820237;0.00245354788698;0.000265430314448;0.00809721522044;9.28053726223e-05;4.77987350956e-05;0.009181865348;0.00222837052199;927.4247899630001;2.7;1.7;2.23298353522;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Craenevenne_15_4752775;[62.928396899428826, 49.996044633114884, 68.682284638502182, 54.153310174668114];187.176197052;570.819949981;251.161951182;[15.732099224857206, 11.480077841428665, 17.170571159625545, 13.538327543667029];[15.732099224857206, 11.480077841428665, 17.170571159625545, 13.538327543667029];40398532.9491;49309116.0524;52913732.9925;11134825.7023;0.000169745890211;0.00309071647059;0.000184511365585;0.00562870236155;8.72394645876e-05;2.49740575361e-05;0.00479737451275;0.00241237566626;1043.87515866;2.7;1.7;2.11301996602;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Craenevenne_24_1566364;[79.4157629661442, 102.34079299199149, 70.931444504750459, 106.88769035408946];244.517555237;793.671500753;306.237238568;[17.85471273554101, 21.356316322628846, 11.943089097027677, 26.286522011473775];[17.85471273554101, 21.356316322628846, 11.943089097027677, 26.286522011473775];61614897.157;64414945.3718;73891872.9012;13576492.2154;0.000111295891985;0.00202646465278;0.000141241947596;0.004308725814600001;6.35649673328e-05;2.04825939818e-05;0.00393458989117;0.00180431609875;1385.58220413;2.7;1.7;2.15305354983;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Craenevenne_53_4752806;[86.262642450247512, 66.751567254155518, 81.775465490870118, 70.941151980083987];302.898448944;543.413551174;303.081126266;[15.755817719520797, 10.797817628711732, 20.44386637271753, 9.6245348152457009];[15.755817719520797, 10.797817628711732, 20.44386637271753, 9.6245348152457009];52388339.7995;79794626.7009;51193383.1765;13436571.498;0.000130897160798;0.0023833626271;0.0001140188596;0.00347825849239;9.59999039379e-05;2.06958879194e-05;0.00397556244434;0.00246772109055;1048.03495512;2.7;1.7;2.26261170984;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Craenevenne_35_1566565;[40.788187569187876, 82.335468881901591, 37.729068471443235, 52.340724719228369];113.933654785;477.7227922930001;146.301517029;[6.2843821298844205, 20.358187243950034, 9.4322671178608086, 12.78354729539846];[6.2843821298844205, 20.358187243950034, 9.4322671178608086, 12.78354729539846];36531647.744;30014328.1814;44443952.0215;6486021.80561;0.000187713540509;0.0034178696797;0.000303124970301;0.00924712811468;0.000105375337344;4.2874012157e-05;0.00823585406111;0.00285984477831;757.985021597;2.7;1.7;2.1462702075;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Craenevenne_68_1566049;[79.286316264855316, 64.13041163351059, 81.109815796799936, 68.704006357297217];335.86687851;837.39175153;391.127876581;[19.821579066213829, 11.748994535130034, 19.906575466544655, 17.176001589324304];[19.821579066213829, 11.748994535130034, 19.906575466544655, 17.176001589324304];50246361.60399999;88479727.3981;77094240.7486;17339970.1371;0.00013647724372;0.00248496422801;0.000102826857701;0.0031368353648;5.82143496518e-05;1.60370390229e-05;0.00308062404987;0.0020352655692;1529.82526676;2.7;1.7;2.05017129022;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Craenevenne_91_1566084;[84.233085483853131, 133.12862612475192, 82.481130194589909, 144.99679791171894];239.031887054;720.048028997;288.795420228;[13.838226720042572, 32.853391347515547, 19.648081043599387, 36.107953638437678];[13.838226720042572, 32.853391347515547, 19.648081043599387, 36.107953638437678];76225254.8;62969817.9823;68235093.6725;12803239.7134;8.99634242832e-05;0.0016380451794;0.000144483383153;0.00440760902386;7.36031321101e-05;2.17196415882e-05;0.00417221970562;0.00136389063097;1348.81423077;2.7;1.7;2.31779162195;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Craenevenne_39_1566728;[61.413150728847057, 64.151694288076882, 57.358713550973235, 60.218822614753478];155.846466064;576.0420393859999;190.730345346;[9.220865491583849, 13.119292237632203, 14.051209781447263, 14.883867454727909];[9.220865491583849, 13.119292237632203, 14.051209781447263, 14.883867454727909];41663530.6381;41055709.0194;53450473.0124;8455696.18159;0.000164592026495;0.00299687542705;0.000221603585857;0.00676023736038;8.67069382156e-05;3.28869169104e-05;0.00631738982587;0.00272504638632;849.13570045;2.7;1.7;2.12209138319;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Craenevenne_44_1566787;[44.345019196127211, 76.728834595455268, 52.203731246943441, 80.611150166601462];154.079212189;478.7352241580001;186.713804788;[10.02346880058462, 15.157421780656126, 7.0721071951528476, 18.558002108282562];[10.02346880058462, 15.157421780656126, 7.0721071951528476, 18.558002108282562];43504966.2936;40590149.1468;44944174.7737;8277629.882839999;0.000157625336206;0.00287002661561;0.000224145329097;0.006837775760960001;0.00010793285543;3.3594372022e-05;0.006453287931970001;0.00274994379302;914.652508366;2.7;1.7;2.23033226383;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
