BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
DeHeuvel_31_1566142;[52.263545011796189, 73.55494171100888, 53.644206457351522, 65.601868494780078];236.493904114;463.090036223;259.523636491;[11.168473872481975, 18.332310393779672, 13.176131457201592, 15.498555805861884];[11.168473872481975, 18.332310393779672, 13.176131457201592, 15.498555805861884];41992904.8322;62301219.6384;43470067.0119;11505526.3919;0.000163301037784;0.00297336923161;0.000146033936276;0.00445491018604;0.000111541185409;2.41694094013e-05;0.00464280617928;0.00240182657874;853.39348748;2.7;1.7;2.22919420092;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
DeHeuvel_25_1567402;[54.712353635986759, 109.43205221883424, 44.19006461466121, 110.80429346907913];416.406299591;779.906845604;338.376368132;[13.67808840899669, 25.192503696843733, 9.8785440839423089, 25.218738947027109];[13.67808840899669, 25.192503696843733, 9.8785440839423089, 25.218738947027109];54685849.5195;109696782.363;72265607.3993;15001324.2977;0.000125397794839;0.00228323071271;8.29385524594e-05;0.00253012287136;6.37706634535e-05;1.85371486027e-05;0.00356088089078;0.00188902808809;1140.93112759;2.7;1.7;2.10920113182;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
DeHeuvel_32_1567407;[79.95267110724275, 59.179700436886051, 79.772570147491962, 63.72088117879948];263.770664215;654.70811352;203.166213955;[19.988167776810688, 14.702141191569606, 19.315819210862657, 15.93022029469987];[19.988167776810688, 14.702141191569606, 19.315819210862657, 15.93022029469987];48429194.3388;69486924.6081;60813126.4705;9007018.66005;0.000141598162684;0.00257820541676;0.000130932436425;0.00399422394263;7.65279080663e-05;3.08738982609e-05;0.00593070038426;0.00199792235081;812.59542893;2.7;1.7;2.13168217567;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
DeHeuvel_12_1570290;[23.0726206828313, 92.29336615640004, 30.458499842295456, 91.387152876355756];269.603317261;492.875198518;283.288663896;[3.14393718035116, 22.848350223904603, 7.4651292646017406, 20.590580047125993];[3.14393718035116, 22.848350223904603, 7.4651292646017406, 20.590580047125993];40647271.629;71023460.6125;46027662.7746;12559107.3054;0.000168707139836;0.00307180300595;0.000128099817443;0.0039078120888;0.000103274423787;2.21418426471e-05;0.004253322129459999;0.00258524648905;692.137577476;2.7;1.7;2.18128134723;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
DeHeuvel_10_1570289;[28.374110384865077, 64.832050355181238, 30.389221653283187, 62.20949861081705];158.677806854;337.043726829;173.57626383;[4.2207486249896835, 13.882970001557606, 7.5973054133207967, 15.367699598023794];[4.2207486249896835, 13.882970001557606, 7.5973054133207967, 15.367699598023794];31838494.4442;41801588.644;31713311.5931;7695199.98834;0.000215383455103;0.00392168076265;0.000217649439501;0.00663961220072;0.000154265680398;3.61370436331e-05;0.0069417206972;0.00340228235438;518.351802144;2.7;1.7;2.25127826514;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
DeHeuvel_24_1570303;[32.535231085389995, 107.81478732299674, 36.149159626887744, 101.88183875465872];141.375473022;564.589100896;157.214824855;[5.8506181473263652, 24.64541333372291, 8.7345947042360166, 25.470459688664679];[5.8506181473263652, 24.64541333372291, 8.7345947042360166, 25.470459688664679];47701827.8989;37243515.5539;52791882.2283;6969844.21543;0.00014375727809;0.00261751837767;0.000244286614819;0.007452205675060001;9.04872810092e-05;3.98978469459e-05;0.007664149639090001;0.00215958344227;855.8096365719999;2.7;1.7;2.19306835068;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
DeHeuvel_20_1570306;[69.082926822645788, 27.963416268661387, 66.962891318169042, 27.193484985772869];173.428382874;348.806334202;188.831627715;[14.552865571413902, 4.3895692513918281, 16.587280389360348, 6.7794544898884048];[14.552865571413902, 4.3895692513918281, 16.587280389360348, 6.7794544898884048];32763438.1093;45687434.5807;32809111.7469;8371519.857210001;0.000209302971068;0.0038109679075;0.00019913773715;0.006074894344949999;0.000148926343515;3.32175975793e-05;0.00638091170293;0.00330253216345;1041.90103203;2.7;1.7;2.24816297942;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
DeHeuvel_18_1570305;[62.10021883643924, 28.714721881659798, 63.762126402675996, 29.019838079210359];244.851402283;500.543301074;183.335673353;[15.333935033042517, 3.9918440367850883, 13.527243420883467, 7.0213211620373599];[15.333935033042517, 3.9918440367850883, 13.527243420883467, 7.0213211620373599];31460147.9498;64502893.0008;46166162.755;8127866.33565;0.000217973702781;0.003968843737579999;0.000141049368724;0.00430285100494;9.79518114345e-05;3.42133797801e-05;0.00657219580419;0.00350419294589;522.754232667;2.7;1.7;2.06679524989;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
DeHeuvel_2_1566304;[52.78177278228636, 42.779973993393419, 51.620369311221225, 40.18007860206918];83.713848114;522.217587145;116.478973671;[13.19544319557159, 9.2338783957098922, 12.905092327805306, 10.045019650517295];[13.19544319557159, 9.2338783957098922, 12.905092327805306, 10.045019650517295];32105347.0846;22053316.1634;48123090.0362;5163891.519830001;0.000213593234815;0.00388908460776;0.000412549852875;0.0125852427777;9.3627653124e-05;5.385120440199999e-05;0.0103445103026;0.00307909074131;575.8090069680001;2.7;1.7;2.05878185511;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
DeHeuvel_5_5213514;[71.439375038597007, 80.79075464182128, 68.520522283500924, 78.756007037258399];135.51102829;594.021986455;169.778872129;[16.881211245026051, 13.125637554465126, 17.130130570875231, 15.08626159107823];[16.881211245026051, 13.125637554465126, 17.130130570875231, 15.08626159107823];51321800.8433;35698604.4463;55610737.3695;7526849.270769999;0.00013361738727;0.0024328922431;0.0002548584876;0.00777471114837;8.62989786418e-05;3.69453097492e-05;0.00709698402433;0.00224558206212;867.05254385;2.7;1.7;2.20420130202;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
