BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Drijtap_18_1572000;[128.45343557371467, 52.726607750983618, 125.98063020731055, 57.229778244327676];232.349193573;977.21891247;281.792509092;[29.979648480784995, 7.5487936798633273, 31.021646490836162, 13.889439365685471];[29.979648480784995, 7.5487936798633273, 31.021646490836162, 13.889439365685471];62439927.9056;61209349.9655;90190890.0171;12492777.8997;0.000109825318009;0.00199968858649;0.000148638930878;0.0045343781322;5.02768050687e-05;2.22594029909e-05;0.00427590480334;0.00169490773553;1374.95573599;2.7;1.7;2.07288518174;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Drijtap_911_4752939;[68.154377710988882, 37.982924045186515, 25.678407449611335, 30.653097055160224];169.784603119;502.038012499;219.131430963;[17.038594427747221, 9.4935655105214263, 6.1844581743272276, 7.6627364467299941];[17.038594427747221, 9.4935655105214263, 6.1844581743272276, 7.6627364467299941];27839754.0341;44727528.5584;46085817.6384;9714808.62523;0.000246319882362;0.00448496818688;0.0002034114701140001;0.0062052688113;9.61972064065e-05;2.86245245245e-05;0.005498608473819999;0.00346036719197;846.918216688;2.7;1.7;2.02361853528;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Drijtap_8_1573990;[87.696944737978384, 104.01941777543593, 80.47149516482456, 95.823144083684952];342.78181076;696.4212266760001;342.802131542;[13.562638238230042, 15.18315618356157, 20.11787379120614, 23.955786020921238];[13.562638238230042, 15.18315618356157, 20.11787379120614, 23.955786020921238];63060325.2814;90301375.6751;65367406.1942;15197532.7757;0.000108744839296;0.00198001533637;0.000100752533066;0.00307355603273;7.41530823571e-05;1.82978238539e-05;0.00351490796674;0.00191881956848;1815.32773818;2.7;1.7;2.22843162682;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Drijtap_14_1574248;[64.672336642534972, 52.13698816811187, 52.718184540174278, 52.808718769618494];109.676002502;606.2602240919999;142.25634681;[12.880402864090192, 10.769912661077647, 13.179546135043569, 13.202179692404624];[12.880402864090192, 10.769912661077647, 13.179546135043569, 13.202179692404624];38098303.5833;28892705.4867;55916283.1704;6306686.26091;0.000179994495652;0.00327732207028;0.000314892364192;0.00960610414615;8.0869715927e-05;4.40931681456e-05;0.00847004699746;0.00279275819999;776.159368482;2.7;1.7;2.06673398532;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Drijtap_36_1571993;[84.636367897735568, 45.827839179609548, 74.516249526711903, 45.082001329218414];146.763645172;373.9109305280001;147.956194489;[16.912303848259789, 11.229100344126635, 18.629062381677976, 11.270500332304604];[16.912303848259789, 11.229100344126635, 18.629062381677976, 11.270500332304604];42849316.6304;38662958.8913;35626325.9732;6559379.03596;0.00016003720661;0.00291394171466;0.000235318056339;0.007178610896020001;0.000143736421829;4.23945279301e-05;0.008143747866279999;0.00240739259178;850.53142286;2.7;1.7;2.36877546901;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Drijtap_16_1572001;[64.973400434384075, 42.332213877490233, 65.866264176526187, 44.634849329184796];217.547397614;620.0825075419999;237.316940144;[16.243350108596019, 8.7061050508134823, 16.466566044131547, 11.158712332296199];[16.243350108596019, 8.7061050508134823, 16.466566044131547, 11.158712332296199];37322153.5196;57310010.8067;57094486.7577;10521031.3596;0.000183737654234;0.00334547713352;0.000158752235614;0.00484289453209;7.86453246933e-05;2.64310378176e-05;0.00507725214408;0.00265769095443;1100.43051921;2.7;1.7;2.05125443013;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Drijtap_20_1572599;[39.216451984518557, 44.962001138443753, 38.881009245713592, 44.611251691061049];169.427875519;167.67071406;169.814616519;[9.8041129961296392, 11.240500284610938, 9.7200959899132915, 11.152812922765262];[9.8041129961296392, 11.240500284610938, 9.7200959899132915, 11.152812922765262];28731124.119;44633553.3473;20244646.7569;7528433.93574;0.000238677919815;0.00434582408459;0.000203839749612;0.00621833390253;0.0003468480772880001;3.69375331068e-05;0.00709549017554;0.00333338867468;700.0975349610001;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Drijtap_32_1573991;[61.535660874719596, 45.612221168943591, 66.662062091557118, 45.208543944732376];119.092063904;457.202615888;131.989502261;[15.383915218679899, 11.403055292235898, 16.66551552288928, 11.302135986183094];[15.383915218679899, 11.403055292235898, 16.66551552288928, 11.302135986183094];37529794.0411;31373243.4596;42686005.2067;5851523.669480001;0.000182721091705;0.003326967663;0.000289995274168;0.00884659370101;0.000111254338495;4.75229689653e-05;0.00912889224167;0.00255188308485;797.885284518;2.7;1.7;2.17904032144;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Drijtap_30_1571992;[58.639790046497637, 48.108630442802905, 70.247771037461391, 47.91689787641107];135.567119598;456.573474535;136.504325301;[14.659947511624409, 10.139059712910523, 17.089733571286633, 11.979224469102768];[14.659947511624409, 10.139059712910523, 17.089733571286633, 11.979224469102768];38539860.2485;35713380.9664;42689777.9953;6051680.45035;0.000177932273092;0.00323977332478;0.000254753039125;0.00777149433796;0.000111878831661;4.59511667917e-05;0.008826957977450001;0.00259388660891;752.31525456;2.7;1.7;2.19261094204;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Drijtap_28_4753540;[86.919261223451159, 55.129874745178505, 13.273627705524371, 58.48544360429225];128.103404999;406.506083255;128.133380858;[18.455225574330917, 13.782468686294626, 0.0, 10.60148245322187];[18.455225574330917, 13.782468686294626, 0.0, 10.60148245322187];36636989.2049;33747163.1718;38145305.1907;5680569.27331;0.000187173812245;0.00340804236056;0.000269595766977;0.00822428648467;0.000126943954849;4.89531531726e-05;0.00940362249945;0.00326167318021;784.363675475;2.7;1.7;2.22596557859;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
