BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Genkerhei_21_4752710;[88.872375315345693, 60.611166052220653, 85.217880883108322, 54.704501294995005];372.096321106;630.4003998640001;422.055100763;[22.218093828836423, 8.5028224859898565, 20.097423470591231, 13.234965970790359];[22.218093828836423, 8.5028224859898565, 20.097423470591231, 13.234965970790359];49590994.8067;98023899.2406;58729444.6288;18711074.5145;0.000138280850493;0.00251780412271;9.28150421386e-05;0.00283141499287;8.018192701000001e-05;1.48618817978e-05;0.00285488302592;0.00218142361429;1299.35976153;2.7;1.7;2.15908270935;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Genkerhei_10_1566935;[104.30817096059764, 72.278331524989227, 102.43665123794618, 63.646079164213567];853.73759079;1493.46786265;614.552687803;[25.885216359753215, 16.163723695290255, 24.304417395136959, 10.476926892905707];[25.885216359753215, 16.163723695290255, 24.304417395136959, 10.476926892905707];58717900.2432;224905979.529;135682364.383;27245118.2649;0.000116786957815;0.00212644543924;4.045286994e-05;0.00123405495288;3.12269916699e-05;1.02066643661e-05;0.0019606422152;0.00181864996264;1564.07375463;2.7;1.7;1.92944533422;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Genkerhei_2_1572038;[76.199987538230616, 59.777195559475878, 77.086036962923203, 55.635834617810232];348.93945694;664.980884512;262.897427286;[19.049996884557654, 14.944298889868969, 15.414682998455753, 10.585339964126527];[19.049996884557654, 14.944298889868969, 15.414682998455753, 10.585339964126527];46042780.5411;91923526.8612;61582270.7759;11655097.5044;0.000148937246145;0.00271183472645;9.89745786446e-05;0.00301931776822;7.46646208061e-05;2.38592407862e-05;0.00458322455114;0.00232901042451;934.155272597;2.7;1.7;2.10407034388;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Genkerhei_12_1566934;[48.198778427275343, 47.415721939145527, 41.002160588438066, 33.683989891124945];145.874629974;462.049910795;208.52550846;[10.318276791765506, 9.0418141615338321, 10.00732574654735, 8.1958935309217864];[10.318276791765506, 9.0418141615338321, 10.00732574654735, 8.1958935309217864];29181775.5083;38428759.4886;42624123.4552;9244613.60594;0.000234992039354;0.00427871193575;0.000236752173624;0.007222360067390001;0.000106177015049;3.00804111018e-05;0.005778276010790001;0.003719783823409999;794.3621837039999;2.7;1.7;2.06857630933;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Genkerhei_17_1566938;[72.69138516474564, 53.30256835830982, 72.828098989156985, 51.302918514969647];189.214019775;628.553010578;220.516776899;[18.17284629118641, 13.325642089577455, 18.207024747289246, 12.825729628742412];[18.17284629118641, 13.325642089577455, 18.207024747289246, 12.825729628742412];42860028.5276;49845953.7419;58169935.5645;9776225.51367;0.00015999720892;0.00291321344066;0.000182524190142;0.00556808160211;7.88304293209e-05;2.84446975323e-05;0.005464064730660001;0.00223452129831;1266.70924076;2.7;1.7;2.09793775039;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Genkerhei_15_1570637;[54.718709118076269, 50.074546532950194, 54.68289352031087, 49.84599541227999];162.891830444;535.1058054719999;180.842907375;[13.679677279519067, 12.518636633237548, 13.670723380077717, 12.461498853069997];[13.679677279519067, 12.518636633237548, 13.670723380077717, 12.461498853069997];35868282.3689;42911717.9314;49485353.8896;8017353.91705;0.000191185205585;0.00348108141588;0.000212018832552;0.00646784494654;9.23872282807e-05;3.46849821801e-05;0.00666278794487;0.00267009291402;1000.62316004;2.7;1.7;2.09117898263;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Genkerhei_19_1566939;[57.704524150118289, 53.702152870075096, 57.9415763187612, 54.230066682691103];199.067363739;579.7119259790001;223.844025839;[14.426131037529572, 9.9192828268708091, 14.4853940796903, 13.557516670672776];[14.426131037529572, 9.9192828268708091, 14.4853940796903, 13.557516670672776];38311141.5663;52441688.0749;53578262.4389;9923733.27446;0.000178994534183;0.003259114870219999;0.000173489692506;0.00529247528366;8.51203172491e-05;2.80218915657e-05;0.00538284610749;0.00266714759018;1068.03921593;2.7;1.7;2.08567141713;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Genkerhei_4_1566579;[39.636520964411908, 80.555086804313149, 46.206975651918256, 79.842793704765455];161.665485382;723.050077687;212.584153327;[9.9091302411029769, 20.138771701078287, 11.023783144322067, 17.453024098611873];[9.9091302411029769, 20.138771701078287, 11.023783144322067, 17.453024098611873];42194557.4044;42588653.3967;66497443.5111;9424546.52562;0.000162520603616;0.00295915916304;0.000213627142748;0.006516908045540001;6.71941338867e-05;2.9506117561e-05;0.00566795748559;0.00238749402937;924.7092520210001;2.7;1.7;2.04055922919;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Genkerhei_7_1570502;[47.090080938717634, 82.83104837582998, 47.920825594211443, 79.970312040794084];198.949455261;655.7111774719999;221.642914186;[11.772520234679408, 20.707762093957495, 11.980206398552861, 19.992578010198521];[11.772520234679408, 20.707762093957495, 11.980206398552861, 19.992578010198521];44177280.9442;52410626.6317;60651876.8849;9826150.84015;0.000155226505391;0.00282634894011;0.000173592512117;0.00529561189795;7.54450798966e-05;2.83001739204e-05;0.0054363025662;0.00216789364452;1219.76191477;2.7;1.7;2.09317961293;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Genkerhei_6_1566936;[48.790296936030174, 40.759248625192605, 48.666398658700516, 41.306408303939079];128.871795654;437.2659438319999;150.150150777;[12.197574234007543, 10.189812156298151, 12.166599664675129, 10.325666723101717];[12.197574234007543, 10.189812156298151, 12.166599664675129, 10.325666723101717];30761955.1895;33949585.6197;40522719.8423;6656644.2497;0.000222920971584;0.00405892312126;0.000267988317752;0.00817524965042;0.000113792297445;4.17750697368e-05;0.00802475346803;0.00311337956291;744.105992498;2.7;1.7;2.11055644753;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
