BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Gruisweg_22_1570465;[59.413063955574103, 53.369564131313545, 61.788162972698373, 7.4982314409698132];118.250213623;320.329398477;134.079528724;[14.344983006025917, 8.5659204047659117, 15.447040743174593, 1.796819755838474];[14.344983006025917, 8.5659204047659117, 15.447040743174593, 1.796819755838474];31198338.4399;31151469.0361;30195951.9113;5944181.33624;0.000219802889564;0.00400214939056;0.000292059816764;0.00890957462226;0.000163130572872;4.67821827791e-05;0.008986591425549998;0.00347972146129;664.696221614;2.7;1.7;2.26838062122;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Gruisweg_1_1566545;[40.516177247074076, 30.452272032502286, 44.710867585387099, 30.656937969513116];172.651599884;146.336254834;180.876252109;[10.129044311768519, 7.6130680081255715, 11.177716896346775, 7.664234492378279];[10.129044311768519, 7.6130680081255715, 11.177716896346775, 7.664234492378279];25075369.4486;45482801.2824;17668713.3675;8018832.19751;0.000273474931355;0.00497940464764;0.000200033684867;0.00610222611942;0.000397415287516;3.46785879658e-05;0.00666155965264;0.00381935136738;637.988527095;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Gruisweg_37_1566437;[14.836241666866872, 43.082781472190533, 63.016698811950498, 37.568962775751736];189.741130829;296.057739536;204.589338609;[2.9857701053283709, 10.770695368047633, 12.887741368986989, 5.2670566707104465];[2.9857701053283709, 10.770695368047633, 12.887741368986989, 5.2670566707104465];27160484.1422;49984814.2408;27809318.4359;9070110.40185;0.000252480217317;0.00459713495975;0.000182017128138;0.00555261317233;0.000174795234537;3.06591392413e-05;0.005889446397180001;0.00437862304301;641.280746659;2.7;1.7;2.23538436447;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Gruisweg_16_4753105;[52.420991822599198, 53.873567446905028, 49.605245079528451, 56.201089861859415];154.179519653;338.286448715;176.374428797;[12.586030216039349, 13.468391861726257, 10.540706703297758, 5.9915507592255537];[12.586030216039349, 13.468391861726257, 10.540706703297758, 5.9915507592255537];36344433.5017;40616573.8337;32089039.9132;7819251.736830001;0.000188680473953;0.00343547550873;0.000223999502662;0.006833327180819999;0.000157067751214;3.556373258e-05;0.006831590902310001;0.00328101169798;727.735901368;2.7;1.7;2.32698607945;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Gruisweg_20_1566952;[46.231227828433987, 37.153705436839616, 46.58690950629817, 62.052551361471259];155.508895874;305.884005644;169.073925004;[8.1834145637242592, 9.2205082731465193, 9.3736012654563581, 7.7354922308126568];[8.1834145637242592, 9.2205082731465193, 9.3736012654563581, 7.7354922308126568];32904235.7376;40966780.5768;29017842.3144;7495596.67327;0.000208407361087;0.00379466072908;0.000222084630779;0.006774912113229999;0.000173743791979;3.70993517749e-05;0.00712657462196;0.00404854192984;742.151365707;2.7;1.7;2.32776866587;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Gruisweg_46_1567114;[51.364676504496941, 6.3927439057947408, 53.587478402945912, 56.231275998951268];106.476577759;313.063441353;122.476763809;[12.287230217448267, 1.5945724909775036, 13.396869600736478, 10.443063764019783];[12.287230217448267, 1.5945724909775036, 13.396869600736478, 10.443063764019783];28714924.3976;28049858.9685;29406365.1616;5429793.05256;0.000238812571599;0.00434827581103;0.000324354298852;0.00989474985531;0.000165295081932;5.12140656287e-05;0.00983793093239;0.00370416126869;655.239087164;2.7;1.7;2.2352786454;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Gruisweg_40_1567113;[43.629506557613439, 77.724432925597881, 50.029280866726232, 9.4625787183080785];258.871391296;530.429653744;213.777735112;[6.4458691424286148, 13.228427425718099, 10.655613203824633, 1.3068518279498054];[6.4458691424286148, 13.228427425718099, 10.655613203824633, 1.3068518279498054];30988733.6531;68196275.3657;48784579.5101;9477461.88591;0.000221289614975;0.0040292195406;0.000133410399466;0.00406981666493;9.16073426634e-05;2.93413765301e-05;0.005636311669859999;0.00441661493414;832.951089197;2.7;1.7;2.04094209815;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Gruisweg_31_1565975;[66.344988670605161, 54.672013154911568, 69.802987957209126, 51.913541593411658];196.696735382;480.457614323;213.408333657;[15.461607564519877, 9.6091799453918263, 12.77383577801389, 11.290909395479314];[15.461607564519877, 9.6091799453918263, 12.77383577801389, 11.290909395479314];41593472.4017;51817177.1028;44984053.421;9461085.118660001;0.000164869258148;0.00300192323372;0.000175580624945;0.005356261253270001;0.000106730290994;2.9392165302e-05;0.005646067904290001;0.00284371382825;807.339003307;2.7;1.7;2.20521320537;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Gruisweg_13_1566950;[39.966184667991293, 56.064372015357399, 42.084929085918105, 8.263832693457136];113.249816895;267.360855328;118.223985345;[9.9915461669978232, 7.0459441454713652, 6.0318088974640478, 2.0021113573358478];[9.9915461669978232, 7.0459441454713652, 6.0318088974640478, 2.0021113573358478];25082748.5932;29834180.0513;25146461.8094;5241253.55953;0.000273394477211;0.0049779397465;0.000304955333881;0.00930296517259;0.000194255141176;5.30563489413e-05;0.0101918230861;0.00557317640246;557.727504622;2.7;1.7;2.24749719544;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Gruisweg_3_1566546;[38.581908385540608, 30.25269871898233, 38.814047309603794, 30.738994711831008];162.710845947;138.387649126;172.120300375;[9.6454770963851519, 7.5631746797455826, 9.7035118274009484, 7.3595679968376801];[9.6454770963851519, 7.5631746797455826, 9.7035118274009484, 7.3595679968376801];23713340.4356;42864039.9375;16708994.697;7630652.395769999;0.000289182578781;0.00526540794676;0.000212254662693;0.006475039179090001;0.000420241727903;3.64427264303e-05;0.00700044062521;0.00407704505215;573.32110727;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
