BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Hasseltweg_333_1572365;[42.622701227385711, 100.51463059755784, 45.876014456586638, 98.43390463230503];266.196895599;578.424484801;209.653946094;[6.3408591899619919, 23.671821442412089, 11.46900361414666, 24.608476158076257];[6.3408591899619919, 23.671821442412089, 11.46900361414666, 24.608476158076257];49255367.5219;70126083.469;54108206.7961;9294640.91429;0.000139223099607;0.00253496050188;0.000129739062679;0.00395781889191;8.84287653327e-05;2.99185068373e-05;0.00574717512175;0.00211419359394;800.867387863;2.7;1.7;2.19694862245;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hasseltweg_344_1571796;[36.728210895922949, 95.197497355564636, 33.289285080953285, 99.900807210078739];219.683837891;389.471986456;232.812058062;[9.1820527239807372, 23.610100339106548, 3.8466351909173522, 24.975201802519685];[9.1820527239807372, 23.610100339106548, 3.8466351909173522, 24.975201802519685];45428773.9753;57872827.9984;37155999.4391;10321315.2937;0.0001509502533;0.00274848736269;0.000157208359316;0.004795797053109999;0.000138435197684;2.69424748525e-05;0.00517549629174;0.00226778680656;730.6006957139999;2.7;1.7;2.38070569839;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hasseltweg_431_1570743;[84.601634942006172, 68.831294148509215, 82.9984825245905, 74.363647514434334];214.110359192;988.000488207;243.600657808;[13.054173812969669, 17.207823537127304, 20.749620631147625, 18.590911878608583];[13.054173812969669, 17.207823537127304, 20.749620631147625, 18.590911878608583];53256118.5148;56404568.0791;90605983.2236;10799608.9889;0.00012876426465;0.00234452706385;0.000161300629514;0.004920635817659999;4.87233600526e-05;2.57492449985e-05;0.0049462836185;0.00200750452651;1524.54621014;2.7;1.7;2.01456974246;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hasseltweg_367_1571055;[95.871768488548156, 52.432944113132791, 100.20702506134361, 53.131777748601202];254.239456177;840.261687104;294.983646555;[11.889913675728501, 9.5267400173118837, 25.051756265335904, 9.6283832796780722];[11.889913675728501, 9.5267400173118837, 25.051756265335904, 9.6283832796780722];51687960.7127;66976052.7629;77433044.7216;13077583.9015;0.000132670835609;0.00241565752357;0.000135840975443;0.00414396379781;5.81931599899e-05;2.12640025741e-05;0.00408469404064;0.00249082676004;1466.08454021;2.7;1.7;2.05898758689;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hasseltweg_346_4753018;[38.222405730676456, 114.81475560774194, 44.014525869832148, 102.53584841087292];161.931022644;561.774638891;177.212903399;[9.5556014326691141, 28.703688901935486, 4.2966535727412491, 25.633962102718229];[9.5556014326691141, 28.703688901935486, 4.2966535727412491, 25.633962102718229];51335659.4122;42658605.7084;52756766.7425;7856424.04142;0.000133581315935;0.00243223545978;0.000213276833303;0.0065062215082;9.20601259675e-05;3.53954644349e-05;0.006799267548;0.002049092042;913.59159949;2.7;1.7;2.23328775434;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hasseltweg_187_4753343;[48.20014013598648, 95.245673946929458, 46.581753992662456, 75.442100340875911];138.672237396;565.063860921;167.37120794;[5.6960682710567312, 23.294202460510348, 11.449107924475207, 18.860525085218978];[5.6960682710567312, 23.294202460510348, 11.449107924475207, 18.860525085218978];45489410.8126;36531383.5557;52703658.7704;7420109.6911;0.000150749038428;0.00274482366211;0.000249048665916;0.007597476770800001;8.97571556751e-05;3.74767745115e-05;0.007199075384590001;0.00235628365199;817.393357459;2.7;1.7;2.16980471903;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hasseltweg_340_4752491;[106.98208977487749, 88.721566756308192, 110.0564722832211, 99.630528207176894];319.283401489;735.221376016;343.23258609;[24.558958761823849, 17.075706584049051, 15.486823049618691, 19.517290938655588];[24.558958761823849, 17.075706584049051, 15.486823049618691, 19.517290938655588];69465495.8016;84111027.7139;69179670.0303;15216616.2251;9.87178578304e-05;0.00179744504423;0.000108167651566;0.00329976158315;7.07214612969e-05;1.82748762031e-05;0.00351049985346;0.00182319440581;1574.62059807;2.7;1.7;2.25138584139;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hasseltweg_114_1573995;[45.752684228690264, 41.978218316849961, 44.665725564875714, 53.420421078410392];104.434551239;394.686151667;160.728647757;[11.405927235735803, 10.491274356977566, 11.144875820745208, 13.355105269602598];[11.405927235735803, 10.491274356977566, 11.144875820745208, 13.355105269602598];31840579.5169;27511913.8439;36816434.1028;7125623.406439999;0.000215369350769;0.00392142395234;0.000330696453552;0.01008822358;0.000128543597951;3.90256068673e-05;0.007496597277359999;0.00301154909996;715.445723271;2.7;1.7;2.17079698237;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hasseltweg_313_4753877;[35.207063128608084, 71.64196347672879, 41.903715718255427, 71.292891483203334];110.277877808;336.622171893;131.897464679;[6.7459260451966809, 17.910490869182198, 10.475928929563857, 17.823222870800834];[6.7459260451966809, 17.910490869182198, 10.475928929563857, 17.823222870800834];37705800.0391;29051261.6479;32022065.5613;5847443.34431;0.000181868172312;0.00331143779059;0.0003131737426370001;0.00955367588965;0.00015900792299;4.755613032399999e-05;0.0091352623502;0.00263857790864;624.077201133;2.7;1.7;2.35368728557;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hasseltweg_443_1571808;[76.755025029244393, 77.923442603337051, 83.605415063982079, 80.06519953358557];339.074573517;1674.6473763;414.103495934;[19.188756257311098, 18.785545684599725, 19.881960563140268, 19.330941066047608];[19.188756257311098, 18.785545684599725, 19.881960563140268, 19.330941066047608];54550534.0394;89324752.6089;151480821.549;18358554.0256;0.000125708850691;0.00228889438706;0.000101854100603;0.00310716044392;2.74208320634e-05;1.51472592752e-05;0.0029097024174;0.0018102403933;2378.93060495;2.7;1.7;1.89009917355;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
