BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Hazelnootstraat_1_1570270;[64.182495907608086, 44.71641220649947, 56.266598717842371, 66.594150237312775];164.571315765;597.956800624;208.835315563;[5.9112596079299156, 9.5399397183829748, 13.612379620295298, 16.648537559328194];[5.9112596079299156, 9.5399397183829748, 13.612379620295298, 16.648537559328194];39713050.1315;43354156.3285;55276026.2125;9258348.361860001;0.000172675856323;0.00314406500534;0.000209855135219;0.0064018392116;8.25764689915e-05;3.00357868245e-05;0.00576970394074;0.00305668178221;854.202683594;2.7;1.7;2.08758595408;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hazelnootstraat_7_1570271;[31.106423571517297, 64.964857971864802, 26.898548036338283, 63.025847932559913];118.479507446;347.68559603;145.258836855;[4.0701266701458927, 14.187651667015119, 6.7246370090845708, 15.709762881287331];[4.0701266701458927, 14.187651667015119, 6.7246370090845708, 15.709762881287331];31871188.2762;31211873.4888;32657318.2087;6439796.40423;0.000215162512274;0.00391765785736;0.000291494592335;0.008892331889969999;0.000148820720457;4.318176542999999e-05;0.008294971715739998;0.0034337654025;563.529515614;2.7;1.7;2.23495364673;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hazelnootstraat_21_4753257;[66.226143796094973, 42.081501764848895, 56.820944608785794, 53.529558176285384];144.130653381;602.9247193909999;182.489690162;[8.9408250751846641, 9.9828083735883251, 14.205236152196449, 13.382389544071346];[8.9408250751846641, 9.9828083735883251, 14.205236152196449, 13.382389544071346];37468048.2217;37969331.7111;55583925.1141;8090361.15092;0.000183022208632;0.00333245037038;0.000239616867841;0.00730975040809;8.12033489198e-05;3.43719856946e-05;0.00660266309893;0.00300416278377;896.3613377710001;2.7;1.7;2.06266243747;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hazelnootstraat_3_1570269;[63.91343720207373, 43.549381058842556, 52.985352574660197, 11.722121904354436];117.005134583;534.414311295;157.000205657;[6.3748815552681997, 10.887345264710639, 13.246338143665049, 0.94995364936069859];[6.3748815552681997, 10.887345264710639, 13.246338143665049, 0.94995364936069859];29502146.9793;30823469.2804;49050070.2183;6960329.44877;0.000232440199809;0.00423224829235;0.000295167693677;0.0090043834925;9.03225696017e-05;3.99523872815e-05;0.007674626527579999;0.004441639336829999;732.264732837;2.7;1.7;2.02216632134;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hazelnootstraat_9_1570274;[58.447968719022718, 10.81636799241501, 51.846098746246682, 45.376859198986217];106.729671478;543.885121805;148.195452617;[12.618150382329443, 1.669954576853232, 12.96152468656167, 11.344214799746554];[12.618150382329443, 1.669954576853232, 12.96152468656167, 11.344214799746554];28528339.9301;28116533.1919;49831450.0786;6569986.126519999;0.000240374482198;0.004376714925569999;0.000323585140334;0.00987128591122;8.82396263223e-05;4.23260829459e-05;0.00813059997381;0.00362045802271;697.4914149780001;2.7;1.7;2.00610746274;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hazelnootstraat_15_1567397;[46.1528454427432, 85.850778592916285, 66.64020081453053, 85.011115870394065];465.299285889;847.33980095;363.196334956;[11.5382113606858, 19.951091454677453, 16.660050203632633, 11.729990515182553];[11.5382113606858, 19.951091454677453, 16.660050203632633, 11.729990515182553];48605538.2689;122576998.83;77878650.9535;16101674.1048;0.000141084435702;0.0025688515264;7.42234874853e-05;0.00226426116335;5.72210721479e-05;1.72703643071e-05;0.00331753882736;0.00233348239147;1209.27315758;2.7;1.7;2.03475937328;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hazelnootstraat_23_4753638;[67.74490284984023, 56.068589935900022, 56.188724682390273, 43.309238078483673];123.19373703;583.669915019;159.708405963;[8.5322794738231629, 14.017147483975005, 14.047181170597568, 9.1779156171589413];[8.5322794738231629, 14.017147483975005, 14.047181170597568, 9.1779156171589413];38265413.1491;32453775.4897;53926004.4248;7080392.7714;0.000179208438491;0.00326300961882;0.000280340028281;0.00855205084099;8.44552822457e-05;3.92749084299e-05;0.00754448669063;0.00305251441887;850.4637930010001;2.7;1.7;2.08259887961;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hazelnootstraat_11_1570273;[63.762784916159696, 47.003568715926562, 54.276355372167991, 9.8548172763929127];130.710002899;544.310993688;171.842022347;[7.0505583243772367, 11.28332447109851, 13.569088843041998, 1.3668136829467517];[7.0505583243772367, 11.28332447109851, 13.569088843041998, 1.3668136829467517];29969470.6011;34433837.2275;49953775.6217;7618315.42625;0.000228815684799;0.00416625347961;0.000264219531459;0.0080602790835;8.86535319418e-05;3.65017411574e-05;0.00701177701886;0.00419982853511;767.928235227;2.7;1.7;2.02131911409;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hazelnootstraat_4_1567459;[47.984801767360736, 63.69940516385315, 40.170341252997829, 58.261384672898799];103.90404892;537.861782466;138.882972366;[11.996200441840184, 9.8892436948751055, 5.2292431500072807, 14.5653461682247];[11.996200441840184, 9.8892436948751055, 5.2292431500072807, 14.5653461682247];36004301.5273;27372159.9604;49737356.3566;6157133.60658;0.000190462934921;0.00346793038268;0.000332384888579;0.0101397309665;9.18975029728e-05;4.51641616883e-05;0.008675778770030002;0.003352381996070001;637.138783001;2.7;1.7;2.09065042304;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hazelnootstraat_24_1567367;[51.479551136019658, 62.919476461797856, 47.462732928215715, 58.315247918487024];201.446651459;504.418257529;176.33645421;[12.869887784004915, 10.110258366606107, 11.865683232053929, 13.119073923365059];[12.869887784004915, 10.110258366606107, 11.865683232053929, 13.119073923365059];37728311.6688;53068480.2426;46877806.6756;7817568.19993;0.00018175965569;0.003309461930599999;0.000171440604612;0.00522996582342;9.948445414799998e-05;3.55713913371e-05;0.00683306210603;0.00291311738624;631.5574214559999;2.7;1.7;2.13649690541;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
