BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Heiblok_3_1567092;[38.626520654234319, 47.827639181725573, 57.809340097829292, 42.104977838282188];188.48008728;321.703728627;203.578041021;[5.5660786966566169, 7.4888470136881153, 14.452335024457323, 8.8960907692343643];[5.5660786966566169, 7.4888470136881153, 14.452335024457323, 8.8960907692343643];31935069.2622;49652608.8447;30361047.8503;9025276.29257;0.000214732114165;0.00390982121093;0.000183234930657;0.005589763447029999;0.000162949312595;3.081144207999999e-05;0.00591870290688;0.00383831125369;643.962247221;2.7;1.7;2.27931712066;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Heiblok_5_1567090;[50.796564135324225, 39.428776256521125, 18.04403773072189, 41.736273024036102];165.245548248;469.329976708;185.023542543;[12.699141033831056, 9.5376692208845029, 3.0183835775618562, 10.312839631689675];[12.699141033831056, 9.5376692208845029, 3.0183835775618562, 10.312839631689675];25704136.8602;43531774.0399;43064402.8614;8202695.0633;0.00026678526402;0.00485759984288;0.000208998887348;0.00637571852035;0.000102754507053;3.39012697166e-05;0.00651224123486;0.003928454292860001;747.319621923;2.7;1.7;2.01961659939;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Heiblok_7_1567091;[6.5754931190481525, 36.606082853596341, 40.443288692444796, 36.470483335730258];158.446926117;120.095348001;177.736571822;[1.6189306260284309, 9.1240620885580803, 10.110822173111199, 9.1176208339325644];[1.6189306260284309, 9.1240620885580803, 10.110822173111199, 9.1176208339325644];20578873.1137;41740766.1396;14500373.0142;7879639.964810001;0.000333229370761;0.00606740760214;0.000217966587105;0.00664928710321;0.000484250770385;3.52911781485e-05;0.00677923474509;0.00466201869833;663.8717395890001;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Heiblok_2_1565839;[33.331020688058423, 38.520713295283144, 37.105510653209294, 38.107985878444545];141.446987152;147.065230515;160.12340604;[8.332467576555608, 9.6014657133928196, 9.2759463564730815, 9.5269964696111362];[8.332467576555608, 9.6014657133928196, 9.2759463564730815, 9.5269964696111362];25200282.6803;37262355.0141;17756730.2596;7098791.073760001;0.0002721193657089999;0.00495472264171;0.00024416310604;0.007448437917159999;0.000395445371999;3.91731176273e-05;0.00752493325599;0.00380346421695;604.4630290690001;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Heiblok_6_1570404;[36.30633775888942, 14.663017657489656, 35.83049241089163, 32.7363648102695];142.132305145;119.536212638;161.330892364;[9.076584439722355, 3.6657544143724139, 8.9576231027229074, 8.1840912025673749];[9.076584439722355, 3.6657544143724139, 8.9576231027229074, 8.1840912025673749];20483062.7773;37442893.0579;14432862.7278;7152322.86746;0.000334788064325;0.00609578814121;0.000242985827098;0.00741252385441;0.00048651587252;3.88799251512e-05;0.00746861264768;0.004675650689170001;597.512696893;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Heiblok_15_1567088;[36.598588745203976, 26.650291111057189, 35.914244108027894, 40.100758186237684];180.522891998;139.263882151;204.835647467;[8.9219593421784182, 6.3243535266778066, 8.732692062825528, 9.8287583653279];[8.9219593421784182, 6.3243535266778066, 8.732692062825528, 9.8287583653279];23863486.8695;47556390.0317;16814791.5152;9081030.07418;0.000287363073811;0.00523227857926;0.00019131166879;0.005836152361119999;0.000417597613186;3.06222725255e-05;0.00588236451062;0.00413299728002;730.8395218080001;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Heiblok_4_1570405;[37.227031582630758, 44.342689915428949, 37.717028554781038, 24.472983503960712];157.678661346;143.759733557;176.081136099;[6.9601794425210759, 11.085672478857237, 9.4292571386952595, 5.6848881750142706];[6.9601794425210759, 11.085672478857237, 9.4292571386952595, 5.6848881750142706];24633871.0448;41538376.8544;17357622.8862;7806249.11815;0.000278376261944;0.005068647592850001;0.000219028595424;0.00668168472116;0.000404537928321;3.56229699482e-05;0.00684297006408;0.00421373357662;681.457442361;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Heiblok_13_1567087;[34.832716617948705, 45.481079920679136, 34.904428041892331, 28.432777404941671];180.250785828;143.651001985;204.790651549;[8.7081791544871763, 11.370269980169784, 8.7261070104730827, 6.905404581691311];[8.7081791544871763, 11.370269980169784, 8.7261070104730827, 6.905404581691311];24615239.4054;47484707.2271;17344494.5814;9079035.258860001;0.000278586969061;0.005072484127300001;0.000191600472444;0.00584496260327;0.000404844129072;3.0629000749e-05;0.005883656964109999;0.00391284086866;754.5990235310001;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Heiblok_8_1567085;[56.209959307326578, 36.861651619435364, 7.5501756972930529, 42.546245842161163];104.453239441;291.386324703;116.789936287;[14.052489826831644, 6.5832775549381406, 1.4678700978455823, 6.7315265480627913];[14.052489826831644, 6.5832775549381406, 1.4678700978455823, 6.7315265480627913];24532480.4259;27516837.0058;27240968.1932;5177677.503409999;0.000279526766948;0.00508959587479;0.000330637287153;0.0100864186502;0.000175233781123;5.37078212308e-05;0.0103169672103;0.00484572911102;600.588214644;2.7;1.7;2.19133408238;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Heiblok_1_1570440;[59.672249586124394, 48.911380066045446, 42.020584131986276, 41.181111195205688];116.526706696;322.819893766;130.304515326;[14.918062396531099, 6.7802682697948056, 6.1470947766378305, 8.5008223044914466];[14.918062396531099, 6.7802682697948056, 6.1470947766378305, 8.5008223044914466];32863270.1726;30697433.7237;30514588.1505;5776822.72156;0.000208667150367;0.00379939094673;0.000296379574283;0.009041353113370001;0.000163075734403;4.81374954966e-05;0.00924693929568;0.00384434164211;655.931486208;2.7;1.7;2.29409388542;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
