BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Heiweier_27_1571983;[77.899327132490967, 70.547601881393604, 73.09107072464613, 84.548005460232332];213.64364624;621.928015697;249.794748751;[12.502234687230999, 17.636900470348401, 11.122254795875403, 11.66880200185784];[12.502234687230999, 17.636900470348401, 11.122254795875403, 11.66880200185784];52449201.1367;56281618.6685;58147634.0074;11074213.1744;0.000130745269519;0.00238059700563;0.000161652997086;0.00493138514022;8.21216079381e-05;2.51107481284e-05;0.004823631998659999;0.00263984294385;1173.26513998;2.7;1.7;2.1921566443;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Heiweier_13_1571883;[77.997294753917316, 45.922211275027855, 76.582159137366233, 44.059539561820607];153.003921509;541.035264787;169.873613322;[19.499323688479329, 8.9043744916151351, 19.145539784341558, 11.014884890455152];[19.499323688479329, 8.9043744916151351, 19.145539784341558, 11.014884890455152];41906652.376;40306877.9095;50365489.0524;7531049.455789999;0.000163637144698;0.00297948903323;0.000225720591881;0.006885830715859999;9.32159486136e-05;3.69247047674e-05;0.007093025924449999;0.00238588724527;1028.38622972;2.7;1.7;2.15202451789;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Heiweier_15_1572623;[60.522735184312722, 69.351163501449776, 60.777522217917593, 70.694141428867539];187.20223999;377.469791764;214.783444908;[14.618382056179851, 15.361361040353085, 14.558509415794742, 13.328688060972565];[14.618382056179851, 15.361361040353085, 14.558509415794742, 13.328688060972565];44782726.855;49315976.7231;36055501.7375;9522048.2702;0.000153127900426;0.00278813774735;0.000184485696992;0.005627919315640001;0.000143279528167;2.92039874041e-05;0.005609919999600001;0.00241463247177;735.774604521;2.7;1.7;2.39236152941;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Heiweier_24_1571972;[50.244394083668602, 50.942960323106448, 49.996485082467416, 50.388856587687791];196.376663208;201.572696077;197.51444553;[12.561098520917151, 11.387457298754196, 12.499121270616854, 12.597214146921948];[12.561098520917151, 11.387457298754196, 12.499121270616854, 12.597214146921948];34540379.83;51732858.2833;24337989.1998;8756457.39461;0.00019853530773;0.00361491135269;0.000175866801884;0.00536499136487;0.00028851261069;3.17573380663e-05;0.00610040414986;0.00284896938754;791.729037437;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Heiweier_23_1571984;[48.670020727791332, 43.278503174337203, 48.850989152214126, 37.101852130107041];133.05777359;444.016912365;171.839576325;[12.167505181947833, 10.819625793584301, 12.212747288053531, 5.7880793048751995];[12.167505181947833, 10.819625793584301, 12.212747288053531, 5.7880793048751995];30484191.7846;35052326.6471;41104090.2658;7618206.98613;0.000224952164949;0.00409590689024;0.000259557444794;0.00791805750198;0.000111694461219;3.65022607354e-05;0.00701187682685;0.00340898649357;758.576417807;2.7;1.7;2.10066348878;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Heiweier_18_1571969;[65.477002362618492, 59.908974241595331, 65.424287823724939, 60.434537218874169];115.233901978;616.560322887;143.555586808;[16.369250590654623, 7.8155761750766795, 16.356071955931235, 15.10756460084777];[16.369250590654623, 7.8155761750766795, 16.356071955931235, 15.10756460084777];43051916.4951;30356861.2637;57119431.4982;6364285.79323;0.000159284080639;0.00290022887107;0.000299704645338;0.0091427877065;8.06199247597e-05;4.36941059498e-05;0.00839338941771;0.00251089401948;871.933322856;2.7;1.7;2.1074942748;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Heiweier_16_1572598;[45.784704656952783, 72.372172452759486, 45.5944360965578, 65.989704344607446];102.765911102;640.80466196;143.385949689;[11.026255314766111, 18.093043113189871, 10.554504921515347, 16.497426086151862];[11.026255314766111, 18.093043113189871, 10.554504921515347, 16.497426086151862];39367147.2534;27072332.4684;59049364.6532;6356765.22831;0.000174193087818;0.00317169060714;0.00033606606853;0.010252029015;7.62940386109e-05;4.37457995941e-05;0.00840331947298;0.00248752600137;781.976028605;2.7;1.7;2.05851957888;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Heiweier_11_1571996;[74.483019915624624, 42.884400461691698, 73.34992641269001, 33.669585318112354];90.80527877809999;587.60804722;118.560347279;[18.620754978906156, 10.720694399368659, 18.337481603172503, 8.4173963295280885];[18.620754978906156, 10.720694399368659, 18.337481603172503, 8.4173963295280885];38449700.8511;23921460.6342;54285509.6857;5256165.577409999;0.000178349500435;0.0032473701592;0.000380331806562;0.0116023992938;8.38684103552e-05;5.29058252919e-05;0.0101629083486;0.00249084744845;702.502004861;2.7;1.7;2.08186497474;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Heiweier_22_1571970;[52.829711371182697, 56.564757887253549, 10.440376541290044, 60.20787718362287];103.136260986;354.400747581;103.286291222;[13.207427842795674, 10.648755787398281, 2.2843087591497064, 15.051969295905717];[13.207427842795674, 10.648755787398281, 2.2843087591497064, 15.051969295905717];30851122.9869;27169896.2917;33191701.6603;4579017.0238;0.000222276671795;0.00404719177408;0.000334859295778;0.0102152152143;0.000144817463407;6.07295793614e-05;0.0116658070391;0.00339206223745;646.899178313;2.7;1.7;2.20802015575;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Heiweier_9_1571995;[58.78446830780053, 67.621180830629726, 62.061368314567346, 57.451131954161781];114.934520721;455.490575249;115.473769581;[14.696117076950133, 16.905295207657431, 11.657174031093138, 14.362782988540445];[14.696117076950133, 16.905295207657431, 11.657174031093138, 14.362782988540445];42139170.8943;30277993.1954;42805931.6322;5119327.55509;0.000162734216007;0.002963048596449999;0.00030048531552;0.00916660282532;0.000113765667753;5.43199814334e-05;0.010434559706;0.00242492317411;775.4118525389999;2.7;1.7;2.23989733876;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
