BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Huiskensweier_3436_1572328;[55.475303803402028, 31.062293285776725, 56.06471951179779, 28.496373646232414];140.432006836;341.058658814;160.845436585;[13.868825950850507, 4.1025140274628322, 14.016179877949448, 7.1240934115581034];[13.868825950850507, 4.1025140274628322, 14.016179877949448, 7.1240934115581034];29318523.1163;36994971.7518;31920277.9215;7130801.0348;0.000233895988262;0.00425875514528;0.000245927808775;0.007502271925819999;0.000150190281354;3.89972706274e-05;0.00749115404672;0.00357252953984;594.788615771;2.7;1.7;2.20166939271;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Huiskensweier_10_4753145;[67.86779054240678, 53.297468269169542, 61.433271530331709, 55.001967660463379];151.408988953;491.820934099;175.124181247;[12.258983397894964, 13.324367067292386, 14.501821513308741, 11.052700858038236];[12.258983397894964, 13.324367067292386, 14.501821513308741, 11.052700858038236];40713904.2565;39886713.8302;45938251.0567;7763824.198960001;0.000168431032688;0.00306677567416;0.000228098318085;0.006958365613959999;0.000103554647909;3.58176293818e-05;0.006880363034929999;0.00273236617011;941.1647591880001;2.7;1.7;2.1831036695;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Huiskensweier_4_1573914;[44.359602527956021, 34.211735954831603, 44.883973061294981, 43.109771405515502];103.10906601;372.783214969;147.594706013;[10.640385552643984, 8.5529339887079008, 10.720399816770103, 10.777442851378876];[10.640385552643984, 8.5529339887079008, 10.720399816770103, 10.777442851378876];28541669.3008;27162732.1315;34683162.692;6543353.0768;0.000240262223852;0.00437467093666;0.00033494761479;0.0102179094734;0.000135062429081;4.24983604705e-05;0.00816369350717;0.00343385114022;621.43437063;2.7;1.7;2.14681486789;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Huiskensweier_32_1572327;[111.85874664256752, 62.205373705757751, 109.28190143994756, 55.696059568626261];407.661365509;684.156156064;407.708517049;[22.530412534120792, 9.0395056039354635, 27.32047535998689, 13.924014892156565];[22.530412534120792, 9.0395056039354635, 27.32047535998689, 13.924014892156565];58096371.6631;107393044.086;63989212.6851;18075043.8246;0.00011803637202;0.00214919465019;8.47177060302e-05;0.0025843977171;7.47307498551e-05;1.53848466671e-05;0.00295534160506;0.00191895253754;1350.95288316;2.7;1.7;2.19556242146;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Huiskensweier_2224_1574067;[62.837603601154591, 44.739874447757003, 42.21277169047282, 40.595023717185121];120.212863922;603.4955792430001;143.923764108;[15.709400900288648, 5.6801759889925458, 10.544924004368823, 10.14875592929628];[15.709400900288648, 5.6801759889925458, 10.544924004368823, 10.14875592929628];32623365.1045;31668503.5356;55349888.0282;6380608.28968;0.000210201642801;0.00382733083401;0.000287291514371;0.00876411282452;7.97922424809e-05;4.35823302605e-05;0.00837191794309;0.00332026093745;822.200351113;2.7;1.7;2.01547086674;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Huiskensweier_33_1572034;[53.760351692989822, 59.747954659401756, 57.480928732230851, 60.249304338988487];204.425537109;231.238539424;204.879746615;[13.440087923247455, 14.936988664850439, 14.370232183057713, 14.709151519011662];[13.440087923247455, 14.936988664850439, 14.370232183057713, 14.709151519011662];39623754.3004;53853228.6271;27919858.1187;9082985.132760001;0.000173064997493;0.00315115044948;0.000168942374869;0.005153754845260001;0.000251499014542;3.06156812633e-05;0.005881098366609999;0.00243188308233;1043.91419217;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Huiskensweier_41_1573864;[81.897775099624113, 36.636597225990549, 46.109332066851771, 34.51245051871885];139.986984253;354.607578556;140.739844832;[20.474443774906028, 9.158977113978624, 11.149496694533822, 2.7919001903508232];[20.474443774906028, 9.158977113978624, 11.149496694533822, 2.7919001903508232];34126294.7313;36877736.3846;33402993.4719;6239454.79882;0.000200944315597;0.00365877433096;0.000246709620236;0.00752612186051;0.000147071250531;4.45682814782e-05;0.00856131356835;0.00320660879124;700.2446832869999;2.7;1.7;2.26162407956;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Huiskensweier_35_1572324;[107.50270431823223, 41.298780821345076, 109.60689282553638, 45.395865434293555];100.463500977;440.439497306;100.464094209;[26.875676079558058, 10.324695205336269, 25.205924819397776, 6.739643954223431];[26.875676079558058, 10.324695205336269, 25.205924819397776, 6.739643954223431];52058211.0832;26465792.6953;42058771.0287;4453899.85664;0.000131727249093;0.00239847679311;0.000343767989243;0.0104869837516;0.000122710857765;6.24355703305e-05;0.0119935182082;0.00202076063514;656.313267199;2.7;1.7;2.3897752024;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Huiskensweier_39_1572325;[54.639779482146388, 60.66277643668208, 90.65691264871522, 59.825751968646699];189.617355347;422.993724259;190.252454112;[13.154017913973531, 15.087611094416626, 22.467727013845732, 8.5581491533785581];[13.154017913973531, 15.087611094416626, 22.467727013845732, 8.5581491533785581];45543482.0746;49952207.2122;40129972.624;8434509.70982;0.000150570062417;0.0027415648845;0.000182135942461;0.0055562377212;0.000125661266469;3.29695248818e-05;0.006333258347670001;0.00235757171381;834.6932508880001;2.7;1.7;2.32834317696;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Huiskensweier_29_4753408;[48.045282830384764, 109.80396062016125, 50.125453102451068, 114.65427651772011];134.764072418;552.231229846;149.636174345;[12.011320707596191, 25.466095793308135, 12.531363275612767, 24.720566922801293];[12.011320707596191, 25.466095793308135, 12.531363275612767, 24.720566922801293];55283912.4093;35501828.7112;52144667.3066;6633858.003769999;0.000124041238035;0.00225853065987;0.000256271089938;0.0078178039849;9.50608929296e-05;4.19185604494e-05;0.00805231721841;0.00186977940958;946.09266272;2.7;1.7;2.2842280473;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Huiskensweier_27_1572621;[43.623433481092739, 96.555434888348287, 43.244016888144465, 96.137278777188683];180.207252502;639.97466904;180.208600439;[10.905858370273185, 24.138858722087072, 10.811004222036116, 24.034319694297171];[10.905858370273185, 24.138858722087072, 10.811004222036116, 24.034319694297171];47903880.0345;47473238.9432;59477809.4043;7989233.02875;0.000143150929188;0.00260647803652;0.000191646758072;0.00584637459227;7.84205851273e-05;3.48070680556e-05;0.00668623994768;0.00199924612625;1085.49100546;2.7;1.7;2.13683004587;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Huiskensweier_6_1573863;[60.621149985943035, 64.304989700418574, 60.421073051554558, 60.050760880948985];152.567848206;443.795190416;152.57265657;[15.155287496485759, 8.1334541283911204, 15.105268262888639, 15.012690220237246];[15.155287496485759, 8.1334541283911204, 15.105268262888639, 15.012690220237246];42050036.4547;40192000.1128;41765338.6526;6764041.80591;0.000163079167507;0.00296932943942;0.000226365752216;0.006905511972300001;0.000117216150297;4.11117769114e-05;0.00789733868609;0.00261628959414;805.7486388689999;2.7;1.7;2.25295320661;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
