BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Kennipstraat_3436_1603078;[62.702067671626743, 92.729462031426905, 55.554921282766848, 93.805052773929759];280.602031708;807.2871244869999;306.050083563;[13.041793479777594, 19.317329511021075, 13.673974977423963, 19.621824593265597];[13.041793479777594, 19.317329511021075, 13.673974977423963, 19.621824593265597];52227382.5459;73920927.7885;74545231.5573;13568195.0256;0.000131300566951;0.00239070780666;0.000123078708707;0.00375463818263;6.09567709251e-05;2.0495119448e-05;0.00393699596204;0.00212820894913;1347.95748796;2.7;1.7;2.07755030957;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Kennipstraat_4_1566806;[33.986123315861732, 31.605846505607236, 34.786706803984607, 31.476428416156931];133.204715729;398.264536499;160.456350886;[8.4965308289654331, 7.9014616264018089, 8.6966767009961519, 7.8691071040392329];[8.4965308289654331, 7.9014616264018089, 8.6966767009961519, 7.8691071040392329];22593959.8929;35091036.6277;36589557.4745;7113551.601039999;0.000303509653517;0.00552627391417;0.00025927111915;0.00790932285399;0.000121584056721;3.90918339165e-05;0.00750931911711;0.00423881634938;646.719147422;2.7;1.7;2.03107418049;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Kennipstraat_43_4753450;[71.240440280887043, 30.326990416201873, 71.744327815324766, 32.063989486380265];132.959682465;707.693085035;184.506854845;[17.810110070221761, 7.0850357206764585, 17.8334273100619, 7.7764818487817813];[17.810110070221761, 7.0850357206764585, 17.8334273100619, 7.7764818487817813];35192049.726;35026485.8256;64726539.8182;8179788.61813;0.000194858923878;0.00354797211716;0.000259748933533;0.007923899056039999;6.74236515052e-05;3.39962058589e-05;0.00653047792822;0.00276660215278;796.63781134;2.7;1.7;1.99020454254;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Kennipstraat_12_1566055;[101.42370481881194, 59.943808834538949, 74.710966631528237, 46.251521939627551];136.183475494;472.8537449;139.297772835;[19.751686021451384, 9.4119980454444949, 15.995285368064145, 11.561626511137202];[19.751686021451384, 9.4119980454444949, 15.995285368064145, 11.561626511137202];48378504.1527;35875751.8495;44710809.7243;6175523.0597;0.000141746526867;0.0025809068172;0.000253600046538;0.00773632115459;0.000111427360136;4.50296719899e-05;0.00864994406333;0.00246343310431;813.368097723;2.7;1.7;2.29707680286;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Kennipstraat_10_1566808;[114.26623070641418, 17.90947795854219, 72.089335480047296, 57.398860711316274];159.077087402;599.901194285;202.003501615;[19.699003739331545, 4.4773694896355476, 18.022333870011824, 14.349715177829069];[19.699003739331545, 4.4773694896355476, 18.022333870011824, 14.349715177829069];44837276.2653;41906773.8715;55749529.2165;8955471.84261;0.000152941603725;0.00278474567534;0.000217103143432;0.00662294689686;8.3641436966e-05;3.10516053907e-05;0.005964836913899999;0.00247093354906;935.1904054639999;2.7;1.7;2.13617833628;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Kennipstraat_39_1566738;[40.224560862517052, 37.999480618831605, 41.729155808862913, 37.282942866785035];135.702312469;420.1063565269999;169.703980573;[10.056140215629263, 9.4998701547079012, 10.432288952215728, 8.2665976747966319];[10.056140215629263, 9.4998701547079012, 10.432288952215728, 8.2665976747966319];26943113.3766;35748995.7565;38778947.29300001;7523529.08463;0.000254517168926;0.00463422357426;0.000254499242456;0.007763752018659999;0.000117005574836;3.69616139734e-05;0.00710011597314;0.00365253613831;682.238586466;2.7;1.7;2.07427698418;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Kennipstraat_6_1566807;[46.904340884342695, 25.610372925033577, 47.904510018574641, 28.36781994658995];130.152965546;346.783343518;153.447902748;[11.726085221085674, 4.3127624152934683, 11.97612750464366, 7.0919549866474876];[11.726085221085674, 4.3127624152934683, 11.97612750464366, 7.0919549866474876];25495323.056;34287093.0371;32202064.4988;6802844.31399;0.000268970309715;0.00489738493995;0.000265350355855;0.00809477600418;0.00014435676606;4.08772808709e-05;0.007852293329479999;0.00398005160924;565.515143349;2.7;1.7;2.12904899141;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Kennipstraat_28_4752765;[73.910229694911465, 43.532061083494966, 75.074718904481472, 45.36417141434206];188.079528809;237.881181097;188.162834914;[18.477557423727866, 10.706064336631503, 17.538571545055824, 11.341042853585515];[18.477557423727866, 10.706064336631503, 17.538571545055824, 11.341042853585515];40762000.5557;49547086.9649;28721894.0315;8341870.0984;0.000168232295893;0.00306315709414;0.000183625171447;0.005601668129680001;0.000244476105763;3.33356638816e-05;0.006403591568569999;0.00240646927373;858.9000355539999;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Kennipstraat_21_1570612;[79.634246092241582, 52.226094775356145, 79.863602159172942, 51.369988436638401];178.167640686;585.0758040219999;200.777216465;[19.908561523060396, 13.056523693839036, 19.965900539793235, 10.810161716586682];[19.908561523060396, 13.056523693839036, 19.965900539793235, 10.810161716586682];45082317.6976;46935929.9405;54451403.2675;8901106.63583;0.00015211030153;0.00276960940676;0.00019384067494;0.00591330220412;8.613449552799999e-05;3.12412589941e-05;0.00600126829322;0.00219210665777;1132.32316389;2.7;1.7;2.14967494751;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Kennipstraat_32_5417684;[40.09662539535357, 51.263679798416248, 38.854462639073731, 47.110081447900725];143.880382538;427.2899219130001;158.479979416;[9.7121198179562889, 8.5716089175397556, 9.7136156597684327, 11.777520361975181];[9.7121198179562889, 8.5716089175397556, 9.7136156597684327, 11.777520361975181];30385403.2151;37903401.1373;39617341.8068;7025932.629539999;0.000225683526071;0.00410922344159;0.000240033666257;0.00732246525752;0.000116619995112;3.95793401968e-05;0.00760296630281;0.00351295710502;711.814313068;2.7;1.7;2.11499890399;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
