BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Kievitstraat_23_1566909;[113.17638146700213, 63.181754474485473, 102.59048173903872, 81.79992721175428];371.479030609;568.619730195;394.442719263;[27.198432480221037, 12.774102944124243, 25.647620434759681, 19.592540352092225];[27.198432480221037, 12.774102944124243, 25.647620434759681, 19.592540352092225];61815870.9299;97861282.1492;53980691.3466;17486927.8881;0.000110934050358;0.00201987627603;9.29692738415e-05;0.00283611998407;9.36365657271e-05;1.59022659397e-05;0.00305473490656;0.0016397485347;1183.95563123;2.7;1.7;2.33442846904;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Kievitstraat_66_1567559;[45.529822708703733, 34.807862871495004, 46.336499489199085, 44.272494615326082];165.562976837;477.240624997;200.345639477;[11.382455677175933, 8.4982348774802254, 11.571253870887407, 11.061935886872529];[11.382455677175933, 8.4982348774802254, 11.571253870887407, 11.061935886872529];29292475.429;43615396.4415;43975594.18399999;8881973.425139999;0.000234103975108;0.00426254214931;0.00020859818048;0.00636349455959;0.000102430808044;3.13085577308e-05;0.00601419599804;0.00328662998351;746.0913390219999;2.7;1.7;2.05819808862;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Kievitstraat_1A_4753685;[52.057295611404413, 79.803269533120982, 51.95643616651472, 77.174967216903568];187.18094635;502.823328391;197.787165491;[13.014323902851103, 18.648132528791081, 12.648380803390072, 19.186805151950253];[13.014323902851103, 18.648132528791081, 12.648380803390072, 19.186805151950253];44722136.9807;49310367.1927;47148337.7567;8768547.95696;0.000153335359212;0.002791915136510001;0.000184506684022;0.00562855954581;0.000102413515468;3.17135492797e-05;0.006091992572819999;0.00220051309777;840.898851806;2.7;1.7;2.21905302278;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Kievitstraat_72_1570239;[14.167013687184047, 40.292555270170936, 37.778289584958991, 40.963827264124767];152.541881561;133.201685806;176.861601099;[3.5260091203686814, 10.073138817542734, 9.4445723962397476, 10.236172805823285];[3.5260091203686814, 10.073138817542734, 9.4445723962397476, 10.236172805823285];22824702.5083;40185159.5407;16082838.8648;7840849.66852;0.000300441372069;0.005470406947399999;0.000226404285627;0.00690668747225;0.000436603068775;3.54657708667e-05;0.00681277301396;0.004198552956959999;693.457913231;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Kievitstraat_58_1567562;[68.935361596714557, 70.322602664086958, 70.38503333526937, 61.072357325798684];172.614971161;615.945297244;209.738669786;[17.233840399178639, 17.580650666021739, 17.596258333817342, 15.268089331449671];[17.233840399178639, 17.580650666021739, 17.596258333817342, 15.268089331449671];46388282.57399999;45473151.9253;57261227.6215;9298396.99095;0.00014782795478;0.0026916368584;0.000200076131814;0.00610352100566;8.15506392076e-05;2.99064212912e-05;0.005744853557039999;0.0020645654738;1145.22325893;2.7;1.7;2.13951200883;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Kievitstraat_15_1570629;[45.443529237309178, 63.806342289293653, 39.068511644323728, 63.04736325504404];138.017017365;364.062943386;157.179243101;[11.360882309327295, 14.10033614069561, 6.5027620757702813, 15.251639800589077];[11.360882309327295, 14.10033614069561, 6.5027620757702813, 15.251639800589077];36218462.6524;36358774.4254;34363358.701;6968266.76062;0.000189336720459;0.003447424380550001;0.000250230996022;0.00763354492432;0.000144042175538;3.99068788979e-05;0.00766588462573;0.00295934677516;719.520436686;2.7;1.7;2.28057473375;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Kievitstraat_46_4752745;[43.961104602738779, 63.569834808801716, 54.975106355512182, 60.921656206835415];192.822338104;583.599668527;218.996832524;[10.835156314185744, 15.892458702200429, 11.259820124237875, 15.20441243093576];[10.835156314185744, 15.892458702200429, 11.259820124237875, 15.20441243093576];38285332.4925;50796517.9164;53920955.8842;9708841.43894;0.000179115198751;0.00326131191882;0.000179108582868;0.00546388511171;8.44724629694e-05;2.86421175475e-05;0.00550198799354;0.00262685731234;934.140031656;2.7;1.7;2.08284412076;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Kievitstraat_64_1567560;[58.393520058810736, 33.619423340144444, 59.159068575934029, 43.150893451384803];220.249263763;194.322905426;252.874561557;[14.598380014702684, 8.3953240693159863, 14.543621024616465, 7.9808893223002428];[14.598380014702684, 8.3953240693159863, 14.543621024616465, 7.9808893223002428];33298095.8916;58021782.0343;23462645.8125;11210751.2871;0.000205942254506;0.00374977631094;0.000156804772615;0.004783485240180001;0.00029927642684;2.48049190122e-05;0.00476488396362;0.00306970287602;922.381020345;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Kievitstraat_48_1567565;[54.510623644684287, 47.840893516956797, 58.0001737508844, 70.985731989095683];154.157505035;539.6524329719999;174.852995249;[13.615942765188377, 11.960223379239199, 12.18373191086938, 17.436523935113719];[13.615942765188377, 11.960223379239199, 12.18373191086938, 17.436523935113719];39640698.4251;40610774.3712;50109741.3631;7751801.64221;0.000172991022134;0.00314980351342;0.000224031491137;0.00683430302099;9.27531801725e-05;3.5873180272e-05;0.00689103404521;0.00253145745161;884.17900397;2.7;1.7;2.1286785508;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Kievitstraat_16_1565922;[43.29073552129681, 47.069558913379154, 43.184976492314277, 42.397133890326302];172.820903778;175.942404817;190.509353843;[10.822683880324202, 11.767389728344789, 10.779404549337798, 10.570053774950335];[10.822683880324202, 11.767389728344789, 10.779404549337798, 10.570053774950335];30148515.1951;45527402.1744;21243374.8795;8445898.90993;0.000227456804897;0.00414151112802;0.000199837721989;0.00609624807729;0.000330541490833;3.29250658467e-05;0.0063247180197;0.00317999276741;813.570262672;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
