BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Kleinven_43_1566613;[58.272914406903389, 33.970132590270595, 94.407389513192555, 34.203239555653035];234.420906067;380.008194193;266.247279353;[14.202918488011038, 8.3066684293059332, 22.12291271676726, 4.922406885637602];[14.202918488011038, 8.3066684293059332, 22.12291271676726, 4.922406885637602];37844261.6814;61755115.4709;35870736.2712;11803607.3353;0.000181202767183;0.00329932215945;0.00014732532308;0.00449430522238;0.000138022252855;2.35590501993e-05;0.00452555964553;0.00281964801395;765.707985047;2.7;1.7;2.28118135198;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Kleinven_76_4752717;[84.500394964697975, 38.784056447907425, 54.100715468178201, 45.26509737167882];200.028179169;460.032023896;230.894461932;[18.674313858734507, 6.2309404412509144, 13.247463123593814, 10.532426394934742];[18.674313858734507, 6.2309404412509144, 13.247463123593814, 10.532426394934742];38152115.0741;52694802.3078;42973133.3701;10236302.0241;0.00017974062317;0.0032726995851;0.000172656352053;0.00526705340593;0.000110740961446;2.71662341625e-05;0.00521847918346;0.0028700211767;890.410983762;2.7;1.7;2.18398861968;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Kleinven_88_1566783;[34.480957345869307, 49.476633697778674, 25.718219624029551, 46.465309938972133];203.440261841;345.252181703;238.25851763;[8.6202393364673267, 8.2557881100323254, 6.4295549060073878, 11.616327484743033];[8.6202393364673267, 8.2557881100323254, 6.4295549060073878, 11.616327484743033];26755476.8964;53593670.7702;32140648.3169;10562774.5502;0.000256302100883;0.004666723439729999;0.000169760574483;0.005178714836680001;0.000146086808088;2.63265845942e-05;0.005057187273529999;0.00400113837992;565.983256976;2.7;1.7;2.15225237922;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Kleinven_19_1570117;[35.727330269679221, 29.833917052767699, 37.216011875665743, 61.706534432866746];183.725418091;313.128530875;203.365574886;[4.2899638210079187, 7.4552237073093375, 9.3040029689164356, 13.551265659532604];[4.2899638210079187, 7.4552237073093375, 9.3040029689164356, 13.551265659532604];28185031.1003;48400053.5597;29380906.7668;9015856.97817;0.000243302372606;0.004430025666090001;0.000187976906418;0.00573442212471;0.000164766260205;3.08436323266e-05;0.00592488647031;0.00403831074125;593.015992425;2.7;1.7;2.22529162121;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Kleinven_63A_1566761;[79.595679646113354, 68.950582423770712, 71.385730922398793, 74.096988489604684];187.839401245;603.112241064;214.043366023;[15.990849627667266, 16.541403475322596, 17.846122544818403, 10.964108273671879];[15.990849627667266, 16.541403475322596, 17.846122544818403, 10.964108273671879];50383176.3878;49483828.5053;56360220.865;9489238.16762;0.000136106641746;0.00247821634374;0.000183859911681;0.00560882911353;8.45619794782e-05;2.93049634578e-05;0.00562931692562;0.00227782418998;1229.1702819;2.7;1.7;2.18751950543;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Kleinven_50_1570126;[15.579609131894005, 30.411467043026192, 75.022480698938267, 33.351143697023325];274.371994019;471.693237558;228.420003984;[3.3429635469313546, 4.3351937189300784, 18.696074365945801, 8.3377859242558312];[3.3429635469313546, 4.3351937189300784, 18.696074365945801, 8.3377859242558312];26451079.4062;72279706.0078;43317513.0271;10126601.26;0.000259251610618;0.00472042782285;0.000125873399895;0.00383989301146;0.000102518227044;2.74605240797e-05;0.00527501060395;0.00402533196246;709.934805945;2.7;1.7;2.02725654786;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Kleinven_65_1566762;[33.77654298343392, 51.625379417432036, 24.938507370890111, 56.801393013580345];220.855171204;364.15033719;260.698505146;[8.44413574585848, 12.882886025146849, 6.2346268427225278, 6.3228230136149151];[8.44413574585848, 12.882886025146849, 6.2346268427225278, 6.3228230136149151];28640496.242;58181400.4086;33924685.5824;11557612.1383;0.000239433174646;0.00435957569026;0.000156374584914;0.00477036193733;0.00013880324796;2.40604870985e-05;0.00462188282397;0.00412364091985;642.582071421;2.7;1.7;2.15899126189;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Kleinven_23_1566308;[64.156675923926969, 58.915976054631066, 60.152341294853841, 54.44476215434257];222.260730743;521.500504939;181.831707344;[16.039168980981742, 8.4650862535256639, 15.03808532371346, 12.368151119352898];[16.039168980981742, 8.4650862535256639, 15.03808532371346, 12.368151119352898];40725771.825;58551676.6486;48566529.9188;8061190.633789999;0.00016838195156;0.00306588200981;0.000155385684226;0.004740194540210001;9.68225363804e-05;3.44963654101e-05;0.00662655573536;0.00269169852249;620.365122641;2.7;1.7;2.15574213865;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Kleinven_18_1570255;[35.20337421381069, 73.588511763164064, 28.577994705011836, 64.315384200014876];259.953083038;509.669578847;212.547942015;[8.8008435534526726, 18.397127940791016, 4.4010966250550991, 14.99997245650262];[8.8008435534526726, 18.397127940791016, 4.4010966250550991, 14.99997245650262];34559668.9964;68481232.8789;47156374.567;9422941.16044;0.000198424497045;0.00361289372264;0.000132855264956;0.00405288173565;9.71458876422e-05;2.95111444515e-05;0.0056689231227;0.002998503660659999;608.440076103;2.7;1.7;2.09571768309;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Kleinven_42_4753288;[36.988064958157686, 71.136529740017608, 37.67728889120351, 64.812884488109447];216.770072937;359.529875805;238.531974675;[9.2470162395394215, 8.8911448554429597, 7.2608481277292771, 16.203221122027362];[9.2470162395394215, 8.8911448554429597, 7.2608481277292771, 16.203221122027362];36089779.1654;57105234.808;33954493.0036;10574897.7898;0.000190011828757;0.00345971668603;0.000159321511753;0.0048602608658;0.000146077970262;2.62964033573e-05;0.00505138962947;0.0033586515096;691.33492397;2.7;1.7;2.28580602685;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
