BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Klotstraat_43_1570454;[61.95514679064064, 24.776526121303991, 10.177475816446487, 38.989382733696438];162.060588837;276.389139677;194.832258231;[12.732305461173855, 5.4740613295491913, 2.450168920948673, 9.4703892839009516];[12.732305461173855, 5.4740613295491913, 2.450168920948673, 9.4703892839009516];23286819.0305;42692738.2238;25839919.6026;8637547.31316;0.000294479247238;0.005361849164979999;0.000213106320118;0.006501019834220001;0.000184762675242;3.21945301904e-05;0.00618438627211;0.00463795736772;547.1049236580001;2.7;1.7;2.19169273301;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Klotstraat_119_4753677;[105.22639884377159, 55.608887691966693, 108.12687227904937, 56.098473564296121];331.445728302;744.727685602;250.572128652;[26.306599710942898, 8.8592721397491445, 27.031718069762341, 10.192386499352345];[26.306599710942898, 8.8592721397491445, 27.031718069762341, 10.192386499352345];55700588.069;87315033.3178;69210710.6564;11108676.9524;0.000123113331051;0.00224163542078;0.000104198463803;0.00317867757044;6.73824037425e-05;2.50328440494e-05;0.004808667067850001;0.00193020360913;1120.79757898;2.7;1.7;2.13648254075;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Klotstraat_25_1567230;[68.018855975753979, 72.485006974814411, 68.764065269288594, 40.068076921481051];311.073459625;591.005194594;267.430954085;[16.975737358813127, 9.1383467270900596, 15.769313804242394, 9.8487922923585991];[16.975737358813127, 9.1383467270900596, 15.769313804242394, 9.8487922923585991];42724835.7068;81948226.1263;54837660.4361;11856083.4837;0.000160503482932;0.002922431628070001;0.00011102244391;0.0033868498574;8.45059530561e-05;2.34547756117e-05;0.0045055290899;0.00270097579973;855.882717238;2.7;1.7;2.12188462542;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Klotstraat_63_1567534;[85.42593570815815, 95.358084238177668, 74.337486117704501, 95.853163230297966];589.934650421;1107.3271931;471.9123073219999;[20.343084717971092, 23.839521059544417, 18.584371529426125, 23.545110722705509];[20.343084717971092, 23.839521059544417, 18.584371529426125, 23.545110722705509];60141073.7866;155410552.191;101575601.022;20921406.543;0.000114023320618;0.00207612540502;5.85423075224e-05;0.00178589120273;4.35100923416e-05;1.32917343378e-05;0.00255326662279;0.00161886239737;1822.25240287;2.7;1.7;2.0169566064;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Klotstraat_39_5213548;[62.505982004774431, 50.622858031103384, 8.5590713886603051, 49.678662059948373];131.756267548;350.683956297;166.759907231;[14.233992787421951, 10.734125314527372, 1.1334322675168809, 12.419665514987093];[14.233992787421951, 10.734125314527372, 1.1334322675168809, 12.419665514987093];29364426.1029;34709461.9372;32775105.2619;7393008.743639999;0.000233530357945;0.00425209778445;0.000262121387968;0.00799627313358;0.000145482804437;3.76141551278e-05;0.007225465420180001;0.00362728409636;737.81212677;2.7;1.7;2.18866385361;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Klotstraat_49_1570144;[52.316387227024066, 23.357121352364, 93.085559855643098, 53.442894753366872];298.980266571;638.7614419480001;225.702849846;[13.0750978069424, 4.6919418304995695, 20.877013440669124, 13.360723688341718];[13.0750978069424, 4.6919418304995695, 20.877013440669124, 13.360723688341718];38075296.6888;78762432.905;58792557.5285;10006140.9849;0.000180103256836;0.00327930238323;0.000115513094289;0.00352384160485;7.62554468143e-05;2.77911112951e-05;0.00533851452913;0.00268681845088;883.48081061;2.7;1.7;2.04786376978;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Klotstraat_44_1570155;[37.438484413024575, 37.52934435733237, 54.686299394312712, 31.439752335037767];72.88421249390001;452.630730475;100.591307018;[8.9232779426312181, 9.0391934294697176, 12.607173932546178, 7.5512092856192394];[8.9232779426312181, 9.0391934294697176, 12.607173932546178, 7.5512092856192394];27604154.3772;19200390.5884;41697455.3553;4459539.61395;0.000248422206489;0.004523247097789999;0.0004738493363830001;0.0144552443708;0.00010791441377;6.23566111789e-05;0.011978350604;0.00366537936392;518.782160015;2.7;1.7;2.05590575198;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Klotstraat_50_1570150;[66.032988016673016, 42.13622796581388, 47.353528805012701, 35.046965307057299];264.617988586;497.038460095;217.44650392;[14.854602732684061, 10.47506152995247, 11.820421301470562, 7.5677998931387194];[14.854602732684061, 10.47506152995247, 11.820421301470562, 7.5677998931387194];32654969.1444;69710141.109;45926077.1611;9640110.332560001;0.000209998206041;0.0038236266775;0.000130513182069;0.00398143417233;9.92026906402e-05;2.88463272878e-05;0.005541215524029999;0.00312464223926;669.423858599;2.7;1.7;2.08341039053;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Klotstraat_41_1570156;[34.055237596542426, 64.975726066086764, 75.939128368585429, 53.007231487551081];196.948726654;601.006864534;236.077447123;[6.3658576933605664, 6.6514261733668869, 18.855328448327853, 13.112124109222972];[6.3658576933605664, 6.6514261733668869, 18.855328448327853, 13.112124109222972];39064930.4207;51883560.9009;55507972.5799;10466080.6049;0.000175540692504;0.00319622766069;0.000175355973658;0.00534940804275;8.19280443917e-05;2.6569810442e-05;0.00510390957652;0.003106106756570001;988.214412903;2.7;1.7;2.07932565661;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Klotstraat_17_1570414;[94.793344934116433, 42.546378471092432, 108.86899765781409, 37.474238619372109];140.472091675;564.6271430319999;166.225634953;[23.326708685082444, 7.6920942805106138, 25.949370848006541, 9.3685596548430272];[23.326708685082444, 7.6920942805106138, 25.949370848006541, 9.3685596548430272];48610339.4429;37005531.5772;52848751.5091;7369322.7169;0.000141070500993;0.0025685978046;0.000245857631301;0.007500131092310001;9.07423290227e-05;3.77350522465e-05;0.007248689069580001;0.00210633515466;718.964468426;2.7;1.7;2.20242529638;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
