BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Krommestraat_45_1566004;[66.762319034996665, 31.144909874794877, 67.281105949460567, 43.133256708653057];291.970294952;564.206006241;242.699261515;[15.104763964922233, 7.7862274686987192, 16.353079097499887, 8.33890335629658];[15.104763964922233, 7.7862274686987192, 16.353079097499887, 8.33890335629658];35696833.1504;76915747.7521;52051739.6908;10759647.1613;0.000192103453821;0.00349780078943;0.000118286470645;0.00360844620356;8.69718903921e-05;2.58448788865e-05;0.004964654344850001;0.00293649980938;741.682599866;2.7;1.7;2.06922965949;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Krommestraat_23_1566567;[36.385534711087971, 56.059530838623274, 45.252038397612608, 86.422272663070061];170.241298676;540.060004662;205.751642637;[5.4311730885452025, 12.911613825238184, 11.178235029074003, 20.894865779391154];[5.4311730885452025, 12.911613825238184, 11.178235029074003, 20.894865779391154];38403854.0241;44847839.0175;50073075.5855;9121639.117519999;0.00017856241549;0.00325124689557;0.000202865791038;0.00618862232942;9.22682630182e-05;3.04859438267e-05;0.005856176542399999;0.002771495258;884.277171019;2.7;1.7;2.11498976905;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Krommestraat_28_4754050;[61.094454041493961, 52.354219449829358, 62.384839396687404, 53.441709844639398];247.402557373;520.0279387969999;200.860435052;[15.27361351037349, 13.08855486245734, 13.902808576540624, 10.991147034041985];[15.27361351037349, 13.08855486245734, 13.902808576540624, 10.991147034041985];39287331.2354;65174961.3749;48351515.8086;8904795.98632;0.000174546977945;0.00317813420376;0.000139594901887;0.00425848105031;9.66353588122e-05;3.12283154124e-05;0.00599878190475;0.00262368687953;640.604190525;2.7;1.7;2.14089020152;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Krommestraat_27_1566680;[32.456974503785986, 55.507875042313465, 41.638798401570043, 50.99523535136565];128.992271423;438.583426146;167.581559884;[8.1142436259464965, 13.823823029420359, 10.409699600392511, 7.7634498204844578];[8.1142436259464965, 13.823823029420359, 10.409699600392511, 7.7634498204844578];30946423.5356;33981323.3822;40650212.45699999;7429435.27651;0.000221592163332;0.00403472831133;0.000267738022922;0.00816761415817;0.000113496298164;3.74297328659e-05;0.00719003895183;0.00348349931561;702.6296749310001;2.7;1.7;2.11177772012;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Krommestraat_13_4753625;[73.491387555666947, 55.520207871629196, 74.71149119772349, 52.332278484743725];124.113391876;546.7785249;150.8205702;[18.372692175605614, 8.1187387318436937, 17.244229497229234, 13.082900601973121];[18.372692175605614, 8.1187387318436937, 17.244229497229234, 13.082900601973121];43876227.9839;32696046.5063;50989871.7009;6686366.12193;0.000156291578692;0.00284574169;0.000278262766016;0.00848868189359;9.27147599739e-05;4.15893734613e-05;0.00798908226892;0.00245918571809;765.24621199;2.7;1.7;2.168298138;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Krommestraat_43A_1567240;[60.198734091529424, 51.384427661081077, 60.757488905682351, 54.880968674825382];141.481800079;463.32183906;153.96787249;[15.049683522882356, 7.1323251407386081, 15.178576483621008, 13.69488001879597];[15.049683522882356, 7.1323251407386081, 15.178576483621008, 13.69488001879597];38935437.1405;37271526.0235;43310503.1757;6825896.26282;0.000176124513869;0.00320685782268;0.000244103027412;0.00744660515898;0.000110174496346;4.07392329207e-05;0.007825775102839999;0.00273677643119;914.179603015;2.7;1.7;2.19041853886;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Krommestraat_2_4753515;[73.721868272825148, 63.944108932673146, 76.594353662707604, 62.319681404131067];277.418872833;572.133494328;237.418718587;[18.108194851319659, 15.986027233168286, 15.930858313662803, 13.361590342267139];[18.108194851319659, 15.986027233168286, 15.930858313662803, 13.361590342267139];47393217.7482;73082366.3003;53441617.6772;10525543.5288;0.000144693381553;0.00263456285743;0.000124490938091;0.00379771964183;8.90270264008e-05;2.64197071613e-05;0.005075075589420001;0.00220436555695;848.457719722;2.7;1.7;2.18341866892;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Krommestraat_9_4753726;[72.875638994705497, 44.300465128811609, 73.356035703883947, 41.330011449448385];119.028808594;556.523848665;149.109408056;[18.218909748676374, 6.8585198160668543, 18.339008925970987, 10.332502862362096];[18.218909748676374, 6.8585198160668543, 18.339008925970987, 10.332502862362096];39730612.9707;31356579.6771;51608739.3902;6610504.74196;0.000172599525301;0.00314267517759;0.000290149385944;0.00885129503369;8.95869236742e-05;4.20666482514e-05;0.0080807640435;0.002599630620300001;793.787913246;2.7;1.7;2.11662572383;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Krommestraat_31_1566679;[32.539043555490551, 68.918009082608918, 31.074814261359442, 40.732040965514734];101.256729126;314.079055265;116.281361761;[4.6244731528452183, 14.944405209928716, 7.7687035653398606, 9.8020156234438751];[4.6244731528452183, 14.944405209928716, 7.7687035653398606, 9.8020156234438751];29689542.8049;26674758.2555;29553707.8637;5155130.7415;0.000230973073035;0.00420553499237;0.000341074968757;0.0104048304885;0.000165563696097;5.39427206967e-05;0.0103620900626;0.003762221536079999;581.906733249;2.7;1.7;2.25165699514;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Krommestraat_33_1566776;[44.428957790812476, 66.254198593443178, 49.080460843953595, 54.64532373443086];130.915706635;497.845006636;164.336594909;[7.9271819251584921, 16.284004001504751, 12.270115210988399, 7.2542633863760644];[7.9271819251584921, 16.284004001504751, 12.270115210988399, 7.2542633863760644];36739927.599;34488027.1807;46237702.7103;7285575.431369999;0.000186649386289;0.00339849366435;0.000263804371614;0.0080476142203;0.000100607652245;3.81688145794e-05;0.007332012348430001;0.00319482314383;722.6909480260001;2.7;1.7;2.1306740815;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
