BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Leemstraat_35_1567007;[66.049401176049571, 35.611116415229262, 71.777329170744366, 44.674867383206063];182.511054993;538.612706516;240.521781379;[16.504111268902555, 8.9027791038073154, 17.944332292686092, 6.8897470259338629];[16.504111268902555, 8.9027791038073154, 17.944332292686092, 6.8897470259338629];37374585.6406;48080145.5164;49884408.6805;10663112.3889;0.000183479892048;0.00334078382499;0.000189227637331;0.00577257691275;9.22093299025e-05;2.60788564916e-05;0.00500960011299;0.00278114444463;1018.77865215;2.7;1.7;2.10495278241;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Leemstraat_32_1567016;[68.345298023989997, 50.610342361961287, 68.330921591542818, 50.936156571856884];222.926052094;684.074822736;256.829690723;[17.086324505997499, 12.652585590490322, 17.082730397885705, 12.734039142964221];[17.086324505997499, 12.652585590490322, 17.082730397885705, 12.734039142964221];40820524.5203;58726946.8389;62965864.7962;11386095.0193;0.000167991102987;0.00305876547744;0.000154921936663;0.004726047460479999;7.12136169002e-05;2.44229279022e-05;0.004691505642430001;0.00234616403676;1371.03247534;2.7;1.7;2.04824073425;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Leemstraat_11_1566116;[55.538883786228062, 55.400087535418265, 58.368685614794011, 57.737469896361063];135.176948547;767.752921022;164.323464205;[13.884720946557016, 13.850021883854566, 14.592171403698503, 14.434367474090266];[13.884720946557016, 13.850021883854566, 14.592171403698503, 14.434367474090266];38905194.364;35610595.5164;70262334.2756;7284993.30459;0.000176261423462;0.00320935065908;0.000255488351337;0.00779392576688;6.22748251776e-05;3.81718645601e-05;0.007332598232390001;0.00246166734691;945.844653462;2.7;1.7;1.99572681603;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Leemstraat_36_1567015;[41.760469479810951, 59.220039023938568, 46.040953216493165, 62.762938886458329];247.64276123;705.069923068;290.957085147;[10.378697268461362, 14.805009755984642, 11.234006609263837, 15.690734721614582];[10.378697268461362, 14.805009755984642, 11.234006609263837, 15.690734721614582];35947491.9986;65238239.9331;64538621.169;12899073.3458;0.000190763932542;0.00347341091775;0.000139459500255;0.00425435048914;6.78560070545e-05;2.15582755667e-05;0.00414122221002;0.00268147293117;1260.90650384;2.7;1.7;1.99753701547;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Leemstraat_41_1565942;[60.088128711287048, 40.505559809106977, 59.849964291553519, 37.114810859282521];183.992172241;531.504150012;210.409038476;[14.605649202477691, 10.126389952276744, 14.96249107288838, 9.2787027148206302];[14.605649202477691, 10.126389952276744, 14.96249107288838, 9.2787027148206302];33852523.2169;48470326.4446;49047983.2501;9328116.614;0.000202569388838;0.00368836350466;0.00018770437515;0.005726108287859999;9.24009805353e-05;2.98111386522e-05;0.00572655030363;0.00285313803796;899.086210384;2.7;1.7;2.07169693532;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Leemstraat_30_1565945;[118.37512134975186, 35.02986477248546, 110.80915623995703, 34.354874643481864];157.437465668;532.977952553;177.412905146;[29.593780337437966, 4.2702275486597667, 27.702289059989258, 8.588718660870466];[29.593780337437966, 4.2702275486597667, 27.702289059989258, 8.588718660870466];51161131.7086;41474837.0138;50197240.072;7865290.768960001;0.000134037006408;0.00244053262709;0.000219364149293;0.00669192112502;9.78102169656e-05;3.53555622942e-05;0.006791602573560001;0.00199169499915;803.6247936030001;2.7;1.7;2.26019018343;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Leemstraat_45_1565940;[57.08983281202508, 60.845478432286576, 54.943688973695146, 50.229186156384493];207.893508911;599.528329502;259.462581681;[14.265156023432565, 14.773703974670649, 13.363646597630076, 10.435657113496875];[14.265156023432565, 14.773703974670649, 13.363646597630076, 10.435657113496875];38230582.0705;54766820.3483;55328026.6426;11502819.6337;0.000179371711527;0.0032659824782;0.000166124165704;0.0050677825772;8.192929461200002e-05;2.41750967675e-05;0.00464389869;0.00264444075912;1067.32357241;2.7;1.7;2.07213952268;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Leemstraat_14_1570653;[100.54856689559772, 74.236951578845421, 102.80872372189305, 73.574456396566632];249.000507355;351.168698593;249.013506421;[25.137141723899429, 17.542835574408382, 24.005769372832319, 18.393614099141658];[25.137141723899429, 17.542835574408382, 24.005769372832319, 18.393614099141658];60174321.5717;65595920.3554;42400286.1498;11039578.1625;0.000113960319943;0.00207497829494;0.000138699057644;0.00423115243244;0.000165607769206;2.51895293145e-05;0.004838765416739999;0.00164231833061;1208.57524147;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Leemstraat_29_1567004;[54.182052523712201, 47.954869604477956, 81.489510712640467, 49.828739626512288];132.355937958;540.463778424;156.630036778;[13.54551313092805, 11.988717401119489, 20.372377678160117, 7.6613584398729255];[13.54551313092805, 11.988717401119489, 20.372377678160117, 7.6613584398729255];40003584.2514;34867437.2477;50202920.8333;6943918.659139999;0.000171421762999;0.00312123059746;0.000260933783976;0.00796004409495;9.27127074502e-05;4.00468080625e-05;0.00769276422296;0.0026084132456;803.060127531;2.7;1.7;2.13195341073;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Leemstraat_8_1567543;[40.597333136028674, 82.390483578813729, 78.175715267459196, 15.981357650519579];133.551567078;353.932563583;146.212174844;[10.149333284007168, 20.597620894703432, 14.455839482919727, 3.9953394126298947];[10.149333284007168, 20.597620894703432, 14.455839482919727, 3.9953394126298947];37208744.597;35182410.0699;33525011.1002;6482060.97612;0.000184297670156;0.00335567384834;0.000258597757247;0.00788878128071;0.000149560560945;4.29002100981e-05;0.0082408865367;0.0028400954471;708.513013021;2.7;1.7;2.31352051768;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
