BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Oosterwennel_88_1567159;[10.649674021675285, 87.754009300810864, 37.577083467954012, 60.638928866775728];185.962528229;323.413412088;203.044832215;[2.6624185054188212, 21.938502325202716, 1.2451547698616701, 12.372807667475328];[2.6624185054188212, 21.938502325202716, 1.2451547698616701, 12.372807667475328];33691661.1338;48989390.9068;30615986.7175;9001637.412969999;0.000203536563882;0.00370597373272;0.000185715563517;0.00566543761481;0.000163417571226;3.08923549113e-05;0.005934245801910001;0.00365597793034;722.889298107;2.7;1.7;2.30795158243;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Oosterwennel_90_1567157;[38.22520356244766, 54.580714020268616, 54.837706301143513, 56.635321919826538];195.894245148;337.75302875;212.803411821;[3.6417483147927969, 11.321782976079085, 12.143740179165597, 14.12791221427031];[3.6417483147927969, 11.321782976079085, 12.143740179165597, 14.12791221427031];35004107.7817;51605771.5677;31962749.7093;9434266.96734;0.000195905148659;0.00356702167507;0.000176299899454;0.00537820343613;0.000156341063045;2.94757164183e-05;0.00566211759887;0.003388547867760001;709.904911476;2.7;1.7;2.30481750988;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Oosterwennel_50_1567163;[38.00736746520306, 41.372027928799213, 50.640853392400125, 43.285076718892945];176.379772186;173.305325505;210.723296516;[9.5018418663007651, 10.231233177214449, 12.660213348100031, 9.006447758445935];[9.5018418663007651, 10.231233177214449, 12.660213348100031, 9.006447758445935];29696639.9022;46464939.4154;20924972.5905;9342048.69442;0.000230917873579;0.004204529926110001;0.00019580553538;0.00597324222224;0.000335571135045;2.97666803974e-05;0.005718010125560001;0.00337507933006;756.7285095980001;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Oosterwennel_42_4747899;[45.611123768495325, 37.958099706665671, 46.092396407953949, 47.630114152928535];165.706760406;508.705254849;198.753843845;[10.734262659129195, 9.1092731380802903, 11.187206010385129, 10.593413008678656];[10.734262659129195, 9.1092731380802903, 11.187206010385129, 10.593413008678656];30379728.7703;43653274.3385;46825330.0296;8811403.95058;0.000225725680124;0.00410999097845;0.000208417180074;0.006357972962529999;9.57727694382e-05;3.15593042044e-05;0.00606236297051;0.0033568824248;766.818416888;2.7;1.7;2.04851563326;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Oosterwennel_110_1567149;[39.153386492396294, 36.550385821485804, 37.740322617050133, 40.01391586022968];204.060508728;153.458010791;235.370455338;[6.2863009535294907, 9.0093266727491006, 9.4309245488126496, 9.9908193417841407];[6.2863009535294907, 9.0093266727491006, 9.4309245488126496, 9.9908193417841407];26295714.0716;53757066.68399999;18528597.7811;10434737.361;0.000260783370248;0.0047483179515;0.000169244583081;0.005162974006779999;0.0003789718405;2.66496192594e-05;0.00511924039676;0.00402471119342;835.1920065830001;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Oosterwennel_62_1567162;[45.020237263501606, 30.807331665735273, 31.016868625268835, 38.974901626509492];147.159038544;145.819339181;179.846238037;[11.240641982058108, 7.6833873988528962, 7.5890743829553724, 9.7437254066273731];[11.240641982058108, 7.6833873988528962, 7.5890743829553724, 9.7437254066273731];24986793.6476;38767120.0932;17606300.7102;7973168.32563;0.000274444373911;0.00499705616233;0.000234685793444;0.0071593230888;0.000398824086817;3.48771989236e-05;0.006699711688830001;0.00385382276792;676.752711612;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Oosterwennel_60_1570493;[15.407000158455146, 30.768207607211504, 39.57546588720394, 36.191039004936719];141.953151703;121.941712658;173.91029537;[3.8426104064285114, 7.6920519018028761, 9.893866471800985, 9.0477597512341799];[3.8426104064285114, 7.6920519018028761, 9.893866471800985, 9.0477597512341799];20895255.9265;37395697.4314;14723304.016;7710008.69227;0.00032818382138;0.00597553873535;0.000243292489873;0.00742187890676;0.000476918550031;3.60676347904e-05;0.006928387653020001;0.00458479035617;615.677303695;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Oosterwennel_13_4753265;[65.923737016355275, 54.817210149394057, 62.198808201278808, 50.049529511584339];143.747917175;364.762043362;165.839172857;[10.184071140724022, 9.0631938103442202, 14.998442289974344, 10.608435447272981];[10.184071140724022, 9.0631938103442202, 14.998442289974344, 10.608435447272981];39923752.3367;37868504.8736;34643815.2755;7352189.59595;0.000171764539586;0.00312747183984;0.000240254860047;0.00732921299366;0.000146141889491;3.782298784800001e-05;0.00726558099884;0.00311515024868;766.410024143;2.7;1.7;2.33874322759;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Oosterwennel_82_1566413;[42.184504864884829, 5.9800453236805717, 37.337529738183328, 56.236218482645782];156.386882782;454.512063973;197.349177604;[10.546126216221207, 1.4884119167656811, 9.3343824345458319, 14.059054620661446];[10.546126216221207, 1.4884119167656811, 9.3343824345458319, 14.059054620661446];24287489.1233;41198074.7211;41669221.9069;8749130.53023;0.000282346392575;0.00514093534083;0.000220837803713;0.00673687641591;0.000105809387126;3.17839329043e-05;0.00610551286709;0.00394398474674;738.45230877;2.7;1.7;2.01184716456;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Oosterwennel_19_1565824;[67.119196244624746, 108.00194351817623, 69.547035922839626, 100.77283885381816];315.62171936;753.9512837039999;259.604071156;[13.872960118624412, 21.267265343151475, 15.609631387188875, 22.175922708367736];[13.872960118624412, 21.267265343151475, 15.609631387188875, 22.175922708367736];59192857.3823;83146405.5457;70232800.3532;11509092.322;0.000115849871791;0.0021093830691;0.000109422557462;0.0033380437332;6.70230551142e-05;2.41619208503e-05;0.00464136767119;0.00191602194174;1141.0504346;2.7;1.7;2.15817418447;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Oosterwennel_94_1567155;[32.903798937274708, 33.462904150198838, 39.04436698351077, 68.395746764304675];153.342586517;480.49198987;195.507566258;[8.2259497343186769, 8.3657260375497096, 9.7610917458776925, 17.098936691076169];[8.2259497343186769, 8.3657260375497096, 9.7610917458776925, 17.098936691076169];29782572.6766;40396094.7676;44292264.8778;8667485.91306;0.000230251597574;0.00419239843816;0.000225222076316;0.0068706230037;0.000101861688064;3.2083326184e-05;0.00616302461452;0.00321569421256;761.7965881519999;2.7;1.7;2.06172677277;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Oosterwennel_68_1570448;[15.530519126164343, 37.291097947231059, 41.609829863989418, 27.409762699994136];148.542884827;121.841209637;181.919306227;[3.8571882497956107, 9.3227744868077647, 10.402457465997355, 6.8465849288708922];[3.8571882497956107, 9.3227744868077647, 10.402457465997355, 6.8465849288708922];20878034.286;39131676.2603;14711169.2305;8065074.177;0.000328454529996;0.00598046777121;0.000232499427781;0.00709262583396;0.0004773119452950001;3.4479754512e-05;0.006623364876239999;0.00459191462706;642.074538576;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
