BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
OudeHeide_20_1570330;[29.709665260406272, 59.132022464340238, 33.505421559494458, 32.33584007368848];146.034843445;286.964443499;159.882326085;[7.427416315101568, 14.78300561608506, 4.2903527443928891, 8.0839600184221201];[7.427416315101568, 14.78300561608506, 4.2903527443928891, 8.0839600184221201];26505612.7542;38470965.6277;26965734.5425;7088103.21573;0.000258718219505;0.00471071588993;0.000236492435013;0.00721443648324;0.000180530491275;3.92321851531e-05;0.00753627979199;0.00404014646885;506.417298335;2.7;1.7;2.23903176112;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
OudeHeide_30_1566151;[42.649408628029214, 46.704352250818722, 34.667151266516143, 46.318152382251498];95.7079277039;361.754919935;131.150985966;[10.662352157007303, 11.676088062704681, 8.6667878166290357, 11.579538095562874];[10.662352157007303, 11.676088062704681, 8.6667878166290357, 11.579538095562874];29188357.8638;25212999.2414;33744861.2867;5814349.51651;0.000234939045583;0.004277747030380001;0.0003608492687240001;0.0110080651378;0.000140248329774;4.7826807961e-05;0.009187257985879998;0.00328115911961;615.0296004730001;2.7;1.7;2.170868688;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
OudeHeide_44_4753019;[69.933732146696485, 66.466196523893487, 69.177868379375923, 65.714799148693444];161.722728729;594.738053657;186.853593928;[17.483433036674121, 16.135294523693986, 16.811389445678724, 16.375156125370992];[17.483433036674121, 16.135294523693986, 16.811389445678724, 16.375156125370992];46487195.4393;42603733.4063;55389503.5172;8283827.189789999;0.000147513414691;0.0026859097434;0.000213551527324;0.006514601321969999;8.49107288263e-05;3.35692393592e-05;0.00644846009029;0.00209156234531;1073.33716083;2.7;1.7;2.15615476348;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
OudeHeide_18_1570329;[46.496369708397772, 59.961793073502371, 43.901630607814205, 87.194862655904245];189.049743652;367.46375181;198.724083281;[11.127828298101837, 14.748522781851896, 6.4406677440821287, 21.581298752591309];[11.127828298101837, 14.748522781851896, 6.4406677440821287, 21.581298752591309];40706049.0329;49802677.3502;34929131.7016;8810084.56803;0.000168463535558;0.00306736748322;0.000182682795839;0.00557292002633;0.000145375560137;3.15640304695e-05;0.00606327085917;0.00259242588697;858.127153787;2.7;1.7;2.3464709917;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
OudeHeide_23_1570574;[51.026408892921097, 70.169382779920042, 59.631832862096459, 76.296797790196706];171.675739288;446.37082888;187.945398922;[8.3245532935460709, 16.306819004114558, 12.901354013155828, 18.312387777368539];[8.3245532935460709, 16.306819004114558, 12.901354013155828, 18.312387777368539];44059415.7022;45225723.5977;42111795.8659;8332230.45412;0.000155641758506;0.00283390982798;0.000201170741225;0.006136913152319999;0.000117327755025;3.33742302587e-05;0.006410999950419999;0.00250205225706;878.55106739;2.7;1.7;2.27603321205;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
OudeHeide_9_1570207;[40.183123043749021, 18.624927557898516, 38.193399257148116, 61.389764392245112];99.20085144040002;295.764146685;111.284837686;[7.1731967527666898, 4.6534162195169246, 9.5483498142870289, 15.347441098061278];[7.1731967527666898, 4.6534162195169246, 9.5483498142870289, 15.347441098061278];27141040.4705;26133164.2229;27782182.0249;4933618.58797;0.000252661092567;0.0046004283185;0.000348143541326;0.0106204643113;0.000174976473826;5.63646688097e-05;0.01082733253;0.00380496315516;560.2984463290001;2.7;1.7;2.23553216651;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
OudeHeide_17_1570211;[37.451241777099924, 16.949416550822544, 41.113765671086895, 64.78809998889966];111.519657135;334.400172609;126.058405905;[7.8583779093373369, 4.2174127215565509, 10.278441417771724, 16.197024997224915];[7.8583779093373369, 4.2174127215565509, 10.278441417771724, 16.197024997224915];27468551.9121;29378392.1374;31221871.0582;5588578.88888;0.000249648578513;0.00454557675896;0.000309686530701;0.00944729502797;0.000152126330669;4.97589428857e-05;0.009558410123639999;0.00362445752634;674.455642653;2.7;1.7;2.17937332908;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
OudeHeide_12_1570197;[36.819799098049543, 61.412728815852219, 37.965259303845166, 13.298897617291111];123.698795319;262.515178487;144.338763503;[9.2049497745123858, 10.601012672599126, 5.2830876267986371, 3.1431848331467873];[9.2049497745123858, 10.601012672599126, 5.2830876267986371, 3.1431848331467873];25616923.2144;32586826.4767;24748987.0129;6399006.56183;0.000267693543103;0.00487413769908;0.000279195408768;0.00851713308653;0.000199120707681;4.34570233765e-05;0.008347847202850001;0.00494921476142;608.237810844;2.7;1.7;2.26947825149;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
OudeHeide_8_1570195;[33.388477700006462, 77.373451287363636, 31.810604469509549, 7.5354167883546292];131.431388855;292.023653065;147.006433369;[8.1297662104701693, 19.343362821840909, 3.3913430312263881, 1.8831769217755898];[8.1297662104701693, 19.343362821840909, 3.3913430312263881, 1.8831769217755898];25721666.2667;34623876.9034;27367425.7075;6517273.038319999;0.00026660344892;0.00485428937142;0.000262769312749;0.00801603872219;0.000176072865971;4.26684252921e-05;0.00819636199283;0.00426679160427;694.277361597;2.7;1.7;2.21402668472;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
OudeHeide_6_1570194;[30.929216117890007, 18.919057106824031, 33.449129592556439, 89.638392337285666];149.930183411;312.608066883;164.826300701;[7.7323040294725018, 4.3278668089150258, 4.5208471488501552, 22.409598084321416];[7.7323040294725018, 4.3278668089150258, 4.5208471488501552, 22.409598084321416];29633319.2297;39497141.8908;29420174.8718;7307285.680930001;0.000231411300419;0.00421351419346;0.000230348118954;0.00702699802272;0.000166418597117;3.80554134444e-05;0.007310228634910001;0.00358361595245;764.7002700180001;2.7;1.7;2.25320323906;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
OudeHeide_25_1567512;[42.879212217010426, 71.885047854387736, 51.923767726229805, 71.347337141896674];132.760482788;430.522639109;150.423398424;[7.6434950772134602, 15.930685647580034, 12.258039594889722, 16.067718245720098];[7.6434950772134602, 15.930685647580034, 12.258039594889722, 16.067718245720098];40788420.6442;34974009.2815;40516028.203;6668758.2061;0.000168123325943;0.00306117298002;0.000260138672275;0.007935788423229999;0.000120827854391;4.16991843384e-05;0.00801017631429;0.00269224584098;779.040641948;2.7;1.7;2.25289860118;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
OudeHeide_15_1570208;[47.252355337379107, 59.163913240737507, 44.782174571601367, 11.700864557886135];190.595970154;346.361999968;204.552946712;[8.8014834288611343, 12.783834810144036, 11.195543642900342, 1.4981138420288098];[8.8014834288611343, 12.783834810144036, 11.195543642900342, 1.4981138420288098];27913522.3756;50210010.4578;32307060.553;9068497.03077;0.000245668921549;0.00447311555645;0.000181200765657;0.0055277092245;0.000146455677731;3.06645937911e-05;0.0058904941852;0.00407618345645;626.324887814;2.7;1.7;2.17031518389;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
OudeHeide_33_1567516;[47.35973285944776, 62.505079885075482, 45.274226546285789, 14.089756385013176];199.476501465;358.596349387;214.162752855;[9.2719886097237776, 13.555303513337847, 11.318556636571447, 3.3792637248887316];[9.2719886097237776, 13.555303513337847, 11.318556636571447, 3.3792637248887316];28998108.3479;52549470.0467;33454029.4101;9494530.973960001;0.000236480423357;0.004305812285260001;0.000173133855213;0.005281620113829999;0.000141530472752;2.92886271588e-05;0.00562617881544;0.00372357028397;646.3905661819999;2.7;1.7;2.17192001805;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
OudeHeide_10_1570196;[38.441287775847115, 31.122162631766699, 42.815965311590084, 76.610429347737778];159.203845978;310.43739298;181.203899418;[9.6103219439617789, 7.337846001262128, 6.0120146226025035, 14.83017616753361];[9.6103219439617789, 7.337846001262128, 6.0120146226025035, 14.83017616753361];32384252.2309;41940166.757;29390226.9618;8033357.86774;0.000211753690953;0.003855590374090001;0.000216930285264;0.00661767368685;0.000170288340933;3.46158832113e-05;0.00664951442568;0.00369743496558;746.01580233;2.7;1.7;2.30878569831;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
OudeHeide_7_1570204;[39.531118231640718, 62.517522375792019, 44.176573104957178, 3.8818354462096947];116.042320251;299.816262415;129.5239171;[6.1403114058468118, 13.316275804973559, 11.044143276239295, 0.2258502065785557];[6.1403114058468118, 13.316275804973559, 11.044143276239295, 0.2258502065785557];25721511.8615;30569828.4632;28057286.2141;5742216.26485;0.00026660504933;0.00485431851153;0.00029761672852;0.0090790937314;0.000170797511191;4.84276044158e-05;0.00930266757021;0.004547443633350001;647.752774313;2.7;1.7;2.20066346618;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
OudeHeide_16_4753836;[35.160065840002204, 58.974043182459624, 38.042446885457764, 5.0371429543316433];113.450813293;255.890403269;135.065098464;[8.790016460000551, 10.161267160034248, 4.7637287147863097, 1.061414118821141];[8.790016460000551, 10.161267160034248, 4.7637287147863097, 1.061414118821141];23512178.8259;29887129.9184;24038477.6016;5987874.84645;0.000291656719245;0.00531045685295;0.000304415056362;0.00928648347057;0.00020228351423;4.64408132894e-05;0.00892101628676;0.005639529736520001;563.7053781530001;2.7;1.7;2.23622057377;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
OudeHeide_2_1566311;[45.34940248942744, 54.649100062519935, 43.456947833114981, 50.114915908996572];118.202060699;325.938599021;142.782157615;[11.33735062235686, 8.5749887168750618, 5.1373952366496889, 12.404063360295783];[11.33735062235686, 8.5749887168750618, 5.1373952366496889, 12.404063360295783];33169144.9574;31138783.7794;30808699.3418;6329997.16303;0.000206742891548;0.00376435423144;0.000292178795519;0.008913204187290002;0.000161505785943;4.39307902645e-05;0.00843885512938;0.003730660212030001;638.558608576;2.7;1.7;2.29388598612;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
OudeHeide_35_1567517;[47.706429830192981, 58.083367398161684, 48.432048567647549, 59.70473348562016];95.6939125061;405.314404294;110.334787716;[11.926607457548245, 14.520841849540421, 12.108012141911887, 12.958217832343699];[11.926607457548245, 14.520841849540421, 12.108012141911887, 12.958217832343699];36657272.7752;25209307.1212;38041004.2869;4891499.78464;0.000187070243352;0.00340615658834;0.0003609021182080001;0.0110096773638;0.00012738762763;5.68500030639e-05;0.0109205624819;0.00271243280813;644.140630005;2.7;1.7;2.22780403809;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
OudeHeide_31_1567515;[42.812794222432757, 15.652477075489362, 43.093641058383959, 63.34746400379575];118.503929138;345.52205324;132.751096122;[6.0049822293409907, 2.8508759283516043, 10.77341026459599, 13.84013467562963];[6.0049822293409907, 2.8508759283516043, 10.77341026459599, 13.84013467562963];28257442.5342;31218307.0634;32252944.6169;5885287.6009;0.000242678895316;0.00441867345293;0.00029143452014;0.00889049932803;0.000147132602428;4.72503293979e-05;0.00907651973033;0.004174779972659999;666.343775005;2.7;1.7;2.17726729687;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
OudeHeide_11_1570206;[38.894692297114418, 55.668869297957528, 37.427659529918095, 11.944813456976849];100.595211029;279.713126562;112.639181237;[6.1973122722390661, 13.917217324489382, 9.3569148824795239, 2.979863846903779];[6.1973122722390661, 13.917217324489382, 9.3569148824795239, 2.979863846903779];24664081.0112;26500489.9825;26215301.4498;4993661.039940001;0.000278035290898;0.005062439225569999;0.000343317891277;0.0104732530664;0.000183853219115;5.56869550256e-05;0.0106971475639;0.00430575532875;584.81866415;2.7;1.7;2.21458448286;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
OudeHeide_21_1567511;[47.163232172707623, 58.057893071480215, 48.204338160943209, 59.619257107290039];93.84894943239999;400.742619377;108.316220305;[11.790808043176906, 14.514473267870054, 12.051084540235802, 13.042951143670454];[11.790808043176906, 14.514473267870054, 12.051084540235802, 13.042951143670454];36506162.3448;24723275.7788;37627375.1985;4802010.129930001;0.000187844585632;0.0034202557364;0.00036799704133;0.0112261150364;0.000128988754452;5.79094525459e-05;0.011124076706;0.00271846790812;633.463945887;2.7;1.7;2.23162481406;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
OudeHeide_5_1570205;[42.071030227659982, 9.8955066492226145, 46.829842459939833, 68.1193759660745];114.040477753;323.017302544;128.084947435;[7.3480888654327359, 1.5016172083494705, 11.707460614984958, 14.907928548577814];[7.3480888654327359, 1.5016172083494705, 11.707460614984958, 14.907928548577814];28601758.5714;30042469.2922;30280885.5929;5678422.06224;0.000239757458324;0.004365480215569999;0.000302841029814;0.00923846622825;0.000159309769853;4.89716640814e-05;0.00940717833982;0.00393985671869;657.5706491130001;2.7;1.7;2.21673936346;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
OudeHeide_26_4753955;[41.00579390915685, 59.494381494639633, 42.316546828190539, 63.148419177181943];107.377357483;316.582344168;127.458976198;[10.251448477289212, 14.839602417771598, 7.0111914670736075, 10.718554659790694];[10.251448477289212, 14.839602417771598, 7.0111914670736075, 10.718554659790694];35293044.9137;28287157.5815;30105805.1251;5650670.72254;0.000194301312212;0.0035378191788;0.000321633317607;0.00981174362146;0.000168930511348;4.9212171687e-05;0.00945337848393;0.00326307316696;601.32191297;2.7;1.7;2.35058947602;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
OudeHeide_22_1570200;[35.115099706858665, 31.748653527979524, 37.547905771533678, 58.096816978957619];100.098018646;272.441703524;121.849201435;[8.7787749267146662, 7.8959582920024669, 5.4564734741549774, 9.8838939211118042];[8.7787749267146662, 7.8959582920024669, 5.4564734741549774, 9.8838939211118042];27846551.6182;26369511.1653;25759178.1997;5401971.17266;0.000246259753548;0.004483873367359999;0.00034502317019;0.0105252742923;0.000193362580132;5.14778344527e-05;0.00988859942434;0.004364421509550001;546.555557084;2.7;1.7;2.29648898786;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
OudeHeide_13_1570209;[44.082151304935799, 9.8206227789086302, 45.527672468503063, 58.863135588802315];92.5710487366;343.435679614;106.649007329;[11.02053782623395, 2.4345013089412637, 11.381918117125766, 12.847459177078903];[11.02053782623395, 2.4345013089412637, 11.381918117125766, 12.847459177078903];27124310.7733;24386629.5882;32001535.157;4728097.1594;0.000252816928547;0.0046032657647;0.000373077071011;0.0113810863845;0.00014726511299;5.88147342089e-05;0.0112979761683;0.00370782957491;610.360084424;2.7;1.7;2.1609118724;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
OudeHeide_24_1570201;[39.009670737065733, 56.381890549342906, 40.509622992698695, 29.916641445146986];100.922233582;291.334724833;124.67598919;[9.7524176842664332, 9.6114957380479744, 5.3970039775498861, 7.3789736977228531];[9.7524176842664332, 9.6114957380479744, 5.3970039775498861, 7.3789736977228531];28413623.4449;26586639.7881;27465071.2919;5527291.86234;0.000241344964396;0.00439438536996;0.000342205423894;0.0104393161446;0.000179406905557;5.03106737747e-05;0.00966439449166;0.004347475644079999;570.506638026;2.7;1.7;2.26916601967;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
OudeHeide_4_1567519;[45.621686975534651, 68.412032242880755, 46.25017444866883, 63.130505109483437];148.184432983;362.7711034880001;171.735662701;[11.130889940697751, 10.372213248654894, 7.6263773710626346, 15.714896284437843];[11.130889940697751, 10.372213248654894, 7.6263773710626346, 15.714896284437843];38283052.9304;39037246.8199;34370771.5577;7613600.157389999;0.000179125864156;0.00326150611344;0.000233061834012;0.0071097825943;0.000146012299537;3.65243474829e-05;0.00701611956551;0.00311582864075;773.069689927;2.7;1.7;2.31585500231;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
OudeHeide_34_1566469;[64.055280378945966, 66.156120401271721, 62.812801622562688, 65.951127650526004];153.76026535;874.016391455;180.511370441;[16.013820094736491, 16.53903010031793, 15.703200405640672, 16.487781912631501];[16.013820094736491, 16.53903010031793, 15.703200405640672, 16.487781912631501];44376576.9905;40506126.7822;79992315.0683;8002655.8071;0.000154529380221;0.00281365575359;0.000224610276552;0.0068519594446;5.47149435607e-05;3.4748686492e-05;0.00667502518111;0.00215815759318;1137.90874583;2.7;1.7;1.99630488923;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
OudeHeide_27_4754027;[39.185570422466277, 56.25388275402215, 43.708080087658338, 57.012284853559194];103.227287292;376.790341799;118.222552993;[7.210266893032621, 14.063470688505538, 10.927020021914585, 14.253071213389799];[7.210266893032621, 14.063470688505538, 10.927020021914585, 14.253071213389799];33612859.0679;27193875.9791;35336488.7312;5241190.05871;0.000204013735482;0.00371466202627;0.00033456401528;0.0102062073896;0.000136734206078;5.30569917575e-05;0.0101919465675;0.00300787679528;643.920358297;2.7;1.7;2.22060734142;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
OudeHeide_28_1570203;[38.865679435643223, 53.930357790209385, 41.440330457742697, 50.582229969102158];86.88243103030001;314.768808224;108.965016188;[9.7164198589108057, 8.7535566047905924, 8.4878735303348449, 12.537469700257805];[9.7164198589108057, 8.7535566047905924, 8.4878735303348449, 12.537469700257805];31669490.3963;22888037.8064;29731492.3694;4830773.36035;0.000216532847635;0.00394260878881;0.000397504251591;0.0121262617756;0.00016691536636;5.75646500055e-05;0.0110578420976;0.00353782156548;564.011550541;2.7;1.7;2.28715664584;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
OudeHeide_40_4754034;[49.757088480805912, 70.487651461272634, 50.04125442628559, 67.536815499196507];102.762485504;393.04506176;102.767446622;[11.161191470737061, 12.700519172127088, 9.8752000988125808, 15.610925436915418];[11.161191470737061, 12.700519172127088, 9.8752000988125808, 15.610925436915418];40751998.3854;27071430.0395;37196261.7876;4556014.95619;0.000168273586827;0.00306390891541;0.000336077271328;0.0102523707674;0.000134357503423;6.10361863203e-05;0.0117247044933;0.00283147964673;641.089660621;2.7;1.7;2.3050777201;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
OudeHeide_14_4754054;[35.29951535977748, 0.82421069103773359, 38.686123646272108, 54.983629230611839];101.844417572;251.533781967;124.279091668;[8.8248788399443701, 0.0, 4.852863320224106, 8.7533063814247196];[8.8248788399443701, 0.0, 4.852863320224106, 8.7533063814247196];22240691.0701;26829577.0746;23577888.6259;5509696.10506;0.000308330569273;0.005614052674;0.000339106811609;0.010344789901;0.000204538714743;5.04713458677e-05;0.00969525868753;0.00622919581717;544.631703;2.7;1.7;2.21600813979;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
OudeHeide_19_1570210;[37.154196051003545, 51.110270915784426, 40.666490230328009, 0.47234761774029188];85.49943923949999;300.402183294;99.3599423493;[9.2885490127508863, 12.777567728946106, 10.16626235929731, 0.0];[9.2885490127508863, 12.777567728946106, 10.16626235929731, 0.0];22173832.997;22523706.7441;27900343.5324;4404949.21562;0.0003092602410959999;0.0056309800471;0.000403934061209;0.0123224095005;0.000166738233151;6.31293947176e-05;0.0121267979296;0.00433500094151;576.897282864;2.7;1.7;2.1307668586;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
