BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Plaggenstraat_17_4752919;[45.488537677916725, 76.445417139306329, 49.248162297232284, 31.938143133368349];172.25560379;322.411642084;203.205902661;[8.4173716819616029, 14.154488107680368, 12.312040574308071, 7.4537614309764297];[8.4173716819616029, 14.154488107680368, 12.312040574308071, 7.4537614309764297];34805561.8478;45378481.3013;30593028.2516;9008778.18942;0.000197022676107;0.0035873695049;0.000200493539619;0.00611625444508;0.000164939488149;3.08678681945e-05;0.005929542042779999;0.00330030964929;761.29450949;2.7;1.7;2.33000287128;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Plaggenstraat_3_1570172;[97.374047745776366, 39.468714526546499, 68.955817026510687, 41.879859410870338];198.823894501;370.358530568;212.819580875;[24.049416535318191, 6.222736220953947, 17.15786963459874, 10.469964852717585];[24.049416535318191, 6.222736220953947, 17.15786963459874, 10.469964852717585];42440804.3114;52377549.2949;35287768.8475;9434983.794060001;0.000161577638547;0.00294198974783;0.000173702138819;0.005298956169319999;0.000145114239905;2.94734769888e-05;0.005661687417189999;0.00241325430975;790.2856395480001;2.7;1.7;2.36875316286;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Plaggenstraat_88_1566312;[46.534063303144862, 80.025412560614853, 46.397968628494461, 80.078048798993009];189.258426666;631.552346624;219.43948399;[11.633515825786215, 20.006353140153713, 11.599492157123615, 20.019512199748252];[11.633515825786215, 20.006353140153713, 11.599492157123615, 20.019512199748252];43358759.48899999;49857652.1553;58464810.5247;9728465.61725;0.000158156852721;0.00287970441602;0.000182481363348;0.005566775128220001;7.85273190443e-05;2.8584340911e-05;0.00549088943004;0.00220881888043;1283.7441409;2.7;1.7;2.10065640583;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Plaggenstraat_5_1567521;[78.137665797682843, 45.292723348048796, 92.056735265970005, 38.955951631712793];140.763786316;383.607550531;155.152100689;[19.443115700390095, 8.251324837855865, 23.014183816492501, 9.2652694108270381];[19.443115700390095, 8.251324837855865, 23.014183816492501, 9.2652694108270381];43599955.0668;37082374.7076;36528934.7452;6878396.94825;0.00015728192674;0.00286377384982;0.000245348158265;0.00748458911163;0.000139896054335;4.04282829032e-05;0.00776604337175;0.00232980360248;728.484231219;2.7;1.7;2.36329006218;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Plaggenstraat_64_1567531;[39.812792881396483, 67.330876803046792, 40.633869999091608, 68.252114989958429];235.513477325;216.029654673;235.551688305;[9.9531982203491207, 16.832719200761698, 10.158467499772902, 17.063028747489607];[9.9531982203491207, 16.832719200761698, 10.158467499772902, 17.063028747489607];37017644.1164;62042939.0501;26083529.6873;10442772.0076;0.000185249091409;0.00337299723292;0.000146641865745;0.00447345567794;0.000269205007419;2.66291150992e-05;0.00511530166411;0.00258718913311;937.056505305;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Plaggenstraat_22_1570189;[29.330770442498324, 58.739614741388351, 33.363509347741335, 32.87432039730411];85.1761703491;284.000216272;101.372098931;[7.3326926106245809, 14.684903685347088, 4.675116359440862, 8.120271604512606];[7.3326926106245809, 14.684903685347088, 4.675116359440862, 8.120271604512606];26441400.3397;22438545.7916;26699539.564;4494154.65744;0.000259346511552;0.00472215576972;0.000405467111065;0.0123691767082;0.000182648571066;6.18763257922e-05;0.0118860905109;0.0040136574534;525.66557478;2.7;1.7;2.2433383712;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Plaggenstraat_11_1570175;[42.293705332391077, 54.522910307015536, 44.389444969445478, 86.793608125784971];189.729679108;359.737118381;211.45251065;[4.0758262539960901, 13.518430745692534, 9.8643428238890731, 21.162444989249021];[4.0758262539960901, 13.518430745692534, 9.8643428238890731, 21.162444989249021];39068759.373;49981797.4349;34148566.306;9374377.1273;0.000175523488555;0.00319591441288;0.000182028114344;0.00555294831745;0.000147981060263;2.96640271634e-05;0.00569829102273;0.00287380483673;794.194924978;2.7;1.7;2.33379522736;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Plaggenstraat_62_1567530;[74.891730684220278, 45.509161389687648, 105.44076668125811, 33.695237989796944];138.934055328;537.405007402;182.337622346;[18.722932671055069, 11.377290347421912, 25.17433826028137, 8.419819987469328];[18.722932671055069, 11.377290347421912, 25.17433826028137, 8.419819987469328];44472803.9459;36600356.0587;50195143.2532;8083619.49033;0.000154195021007;0.00280756777391;0.0002485793396109999;0.00758315950601;9.47661804696e-05;3.44006515988e-05;0.0066081696562;0.00219371616416;888.2249482330001;2.7;1.7;2.1829446938;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Plaggenstraat_19_4754119;[34.150711290097931, 46.824130878490422, 31.668397110709304, 71.520724883375621];97.31616973879999;307.362618337;111.316897591;[5.8411397077834462, 11.705914544887223, 7.9170992776773259, 17.880181220843905];[5.8411397077834462, 11.705914544887223, 7.9170992776773259, 17.880181220843905];31557316.0303;25636669.5285;29069270.2171;4935039.907790001;0.000217302540307;0.00395662327728;0.000354885892198;0.0108261464174;0.000171524704997;5.63484354615e-05;0.0108242141961;0.00322365989816;556.469569712;2.7;1.7;2.29917489368;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Plaggenstraat_12_1570192;[34.69359145429987, 26.623130942411994, 25.962714192016428, 78.508601606304907];134.929115295;296.899068774;149.387891544;[7.5614281603539517, 6.6557827356029984, 3.5947413775367005, 19.627150401576227];[7.5614281603539517, 6.6557827356029984, 3.5947413775367005, 19.627150401576227];28408519.219;35545307.0942;27957348.6139;6622850.82019;0.000241388327417;0.00439517491958;0.00025595762373;0.00780824138708;0.000175491679392;4.19882291318e-05;0.008065700176330001;0.00373212453735;649.739860099;2.7;1.7;2.25839864665;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Plaggenstraat_20_1570188;[29.738480190865445, 61.537456072273322, 28.475257375727988, 88.796371444522549];173.978481293;337.625300984;189.708242959;[7.0838382775176321, 15.384364018068331, 2.8261779124123425, 22.199092861130637];[7.0838382775176321, 15.384364018068331, 2.8261779124123425, 22.199092861130637];35735554.7194;45832350.7999;31994591.8247;8410383.060419999;0.000191895298464;0.00349401071717;0.000198508088279;0.006055686281109999;0.000156967718853;3.30641037092e-05;0.00635142640287;0.00294203360421;735.1272369410001;2.7;1.7;2.31768938665;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Plaggenstraat_40_5213546;[35.833210620787298, 39.243944523040298, 38.076811631420682, 62.563004363978941];114.516242981;294.359923105;136.911977488;[8.9583026551968246, 9.8109861307600745, 6.2215984679081586, 11.040550223122471];[8.9583026551968246, 9.8109861307600745, 6.2215984679081586, 11.040550223122471];30109886.1297;30167803.4064;27832890.4489;6069752.9969;0.000227748617485;0.00414682442292;0.00030158285693;0.00920008441551;0.000178987963209;4.58143482752e-05;0.00880067591803;0.00387793003927;603.4235639919999;2.7;1.7;2.29694597446;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Plaggenstraat_1A_1566307;[51.83448604373617, 46.283529761285521, 56.608392653896928, 41.750102562305415];96.0988235474;311.205209752;107.718556442;[12.958621510934043, 9.7348866327470329, 8.6296816007792572, 8.5382204828998489];[12.958621510934043, 9.7348866327470329, 8.6296816007792572, 8.5382204828998489];33667125.8083;25315975.6284;29533880.8394;4775513.74819;0.000203684893617;0.00370867450594;0.00035938146221;0.0109632882431;0.00017094229276;5.82307563976e-05;0.0111857973498;0.00350532991565;553.122160344;2.7;1.7;2.33134068732;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Plaggenstraat_9_1567520;[35.056997451196743, 79.727211807712294, 37.714720417010724, 29.756865237146734];147.323032379;304.861507804;155.116520916;[4.6704812592020897, 19.579210055632728, 9.4286801042526811, 6.6204085811563127];[4.6704812592020897, 19.579210055632728, 9.4286801042526811, 6.6204085811563127];31230342.7251;38810322.1199;28828584.7813;6876819.581239999;0.000219577639574;0.00399804806091;0.000234424551038;0.007151353629899999;0.000172865890087;4.04375561201e-05;0.00776782470402;0.00346728595132;763.186726751;2.7;1.7;2.2978314423;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Plaggenstraat_16_1570190;[41.259784311011003, 36.867025639024831, 36.525763102598376, 88.664459711532373];189.408351898;344.627167652;205.704739048;[10.200485944328186, 8.3860878465652444, 6.0702884696534891, 22.126652253551697];[10.200485944328186, 8.3860878465652444, 6.0702884696534891, 22.126652253551697];34839279.6954;49897147.9928;32561534.5673;9119559.728939999;0.00019683199534;0.00358389760826;0.000182336921139;0.00556236877526;0.000152576460144;3.0492895053e-05;0.00585751183346;0.00298668014152;816.5633286489999;2.7;1.7;2.28996228925;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Plaggenstraat_1B_1570587;[73.971925542062223, 66.980681625741596, 71.552984209833994, 55.073934567229038];170.504718781;470.016057012;193.035051147;[13.183135603797531, 9.6190769067600179, 17.024036589806371, 13.76848364180726];[13.183135603797531, 9.6190769067600179, 17.024036589806371, 13.76848364180726];45850944.3032;44917233.5919;44310571.0894;8557871.28127;0.000149560386223;0.00272318079968;0.000202552374914;0.00617906125946;0.000111207857024;3.24942697319e-05;0.00624196453447;0.00260711056107;832.246468427;2.7;1.7;2.26929869087;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Plaggenstraat_15_1570177;[45.231232807814408, 10.885970562721459, 36.342240840227227, 59.563431056873661];105.004310608;268.056421715;137.250094724;[6.6358784559918256, 2.3987269555733959, 9.0855602100568067, 10.55393713246035];[6.6358784559918256, 2.3987269555733959, 9.0855602100568067, 10.55393713246035];26049797.2036;27662009.4826;25265037.1501;6084742.83302;0.000263245233161;0.00479314330925;0.0003289020757639999;0.0100334843043;0.000194871261473;4.57014840849e-05;0.00877899534856;0.004872947375140001;563.562274786;2.7;1.7;2.26713013736;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Plaggenstraat_24_1570186;[36.419809065760802, 50.376904328486042, 38.650435808344312, 74.648434419089156];106.452465057;345.539596988;122.514936879;[8.1613431618961361, 10.233575471745466, 4.6095233596388834, 17.090224221454289];[8.1613431618961361, 10.233575471745466, 4.6095233596388834, 17.090224221454289];34287270.0277;28043506.7933;32609855.4797;5431485.38885;0.000200000902175;0.00364159675218;0.000324427768812;0.009896991129370002;0.000151699762451;5.1198108406e-05;0.00983486564059;0.00348493719842;607.810319932;2.7;1.7;2.27911042719;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Plaggenstraat_30_1570332;[29.855906387830796, 65.182482943649063, 29.108847404107316, 12.642199841719828];87.4595336914;266.960907219;103.895746864;[7.4191437446890349, 16.295620735912266, 3.051436489972474, 3.1508325152852863];[7.4191437446890349, 16.295620735912266, 3.051436489972474, 3.1508325152852863];23439479.5925;23040067.9392;25014237.0728;4606036.17349;0.000292561313556;0.00532692761717;0.000394881315568;0.0120462465086;0.000192507316425;6.03733377833e-05;0.0115973750566;0.00467049628487;516.9856392830001;2.7;1.7;2.21239500945;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Plaggenstraat_28_1570331;[28.463723823125658, 20.613698708587748, 30.257856484001344, 72.510341991202509];95.9100418091;281.302789586;111.753848438;[7.1158463725983188, 5.1344753868180115, 5.4430197799399878, 18.127585497800627];[7.1158463725983188, 5.1344753868180115, 5.4430197799399878, 18.127585497800627];26019423.8961;25266243.5536;26435880.8373;4954411.35917;0.00026355252776;0.00479873849907;0.000360088840247;0.0109848675123;0.000184205775474;5.61281164571e-05;0.0107818921675;0.00390071964372;556.544357675;2.7;1.7;2.23979422398;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
