BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Roerstraat_12_4753843;[76.265858740219343, 41.11429739186665, 75.481997073300107, 37.951373936717289];280.56180954;566.111043011;232.73255647;[19.066464685054836, 8.1297585175883018, 18.870499268325027, 9.4878434841793222];[19.066464685054836, 8.1297585175883018, 18.870499268325027, 9.4878434841793222];39550926.5518;73910331.7855;52446980.0943;10317790.7297;0.00017338367357;0.00315695287215;0.000123096353633;0.00375517645862;8.78109198375e-05;2.69516784193e-05;0.00517726424462;0.00251513788917;764.205908625;2.7;1.7;2.10771776137;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Roerstraat_74_1566392;[98.446067693450146, 47.640056164948732, 14.656719175006003, 45.065008515085054];150.300785065;494.288213487;170.184632651;[24.611516923362537, 5.9922880822479021, 3.4600302541248675, 11.266252128771264];[24.611516923362537, 5.9922880822479021, 3.4600302541248675, 11.266252128771264];35266092.595;39594772.0396;45836110.5285;7544837.95361;0.000194449808132;0.00354052297791;0.0002297801419209999;0.00700967131954;0.000100858358232;3.68572233697e-05;0.00708006313146;0.00308244262916;868.416091448;2.7;1.7;2.11637216088;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Roerstraat_16_1570220;[73.356057029179198, 42.177705863393612, 76.620381509623144, 38.033974873817115];133.940254211;365.716119154;149.953916494;[18.339014257294799, 7.5200248296602288, 16.769291230029069, 9.5084937184542788];[18.339014257294799, 7.5200248296602288, 16.769291230029069, 9.5084937184542788];39443760.1267;35284804.6013;34699943.1766;6647944.54609;0.000173854747028;0.00316553013133;0.000257847321004;0.00786588847822;0.000145385382296;4.1829737871e-05;0.00803525490591;0.00268001352854;642.1287348769999;2.7;1.7;2.32941748318;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Roerstraat_70_1566968;[53.563425876606075, 41.171457377884607, 60.151991903277597, 43.182328340985954];161.35112381;520.7714511180001;185.26183255;[13.390856469151519, 10.234858814379177, 14.970623629947395, 10.795582085246489];[13.390856469151519, 10.234858814379177, 14.970623629947395, 10.795582085246489];33940040.7626;42505838.9604;48102876.5154;8213259.233860001;0.000202047044865;0.00367885271698;0.000214043354069;0.00652960498505;9.45832230283e-05;3.38576647621e-05;0.00650386497092;0.00282895240607;798.7686125060001;2.7;1.7;2.08033806015;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Roerstraat_70A70B_4752782;[51.927271847619267, 41.798345255863779, 56.579892160861085, 44.737919782237235];183.252586365;522.661852508;206.528941044;[12.961285717080763, 7.7922045166219487, 13.758465662120166, 11.169768364111386];[12.961285717080763, 7.7922045166219487, 13.758465662120166, 11.169768364111386];33421560.8251;48275492.2382;48239774.0167;9156099.2825;0.00020518146877;0.0037359239991;0.000188461927922;0.00574921818716;9.40116005955e-05;3.03712060304e-05;0.00583413606385;0.003058715405639999;848.3499846230001;2.7;1.7;2.07317326319;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Roerstraat_60_4752796;[52.276855631728225, 35.747676945257616, 45.26012127659336, 37.232203151927941];184.825042725;170.516857006;206.831354838;[13.069213907932056, 6.0085122392352863, 11.31503031914834, 9.3080507879819852];[13.069213907932056, 6.0085122392352863, 11.31503031914834, 9.3080507879819852];29218823.3973;48689735.2582;20588291.4946;9169506.269;0.000234694082148;0.00427328676025;0.000186858529634;0.00570030493077;0.000341058742287;3.03267994575e-05;0.005825605813560001;0.00351951014132;731.9486726360001;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Roerstraat_72_1566391;[38.474495443229657, 56.817842056353911, 116.54685475484845, 49.517319782885679];186.89276123;785.701192823;200.788228182;[4.0957616637226213, 7.1093170545422284, 29.136713688712113, 12.37932994572142];[4.0957616637226213, 7.1093170545422284, 29.136713688712113, 12.37932994572142];44784603.1357;49234448.5998;72196721.1015;8901594.82105;0.000153121485031;0.00278802093646;0.000184791189855;0.005637238678670001;6.16639650444e-05;3.12395456471e-05;0.006000939168999999;0.00265031144093;1145.48556073;2.7;1.7;2.0326411038;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Roerstraat_68_1566967;[58.911709303398851, 41.649390576499428, 49.675919283177635, 44.12012382901603];190.309764862;574.9766727159999;215.885632626;[14.712242310123237, 7.6556659776895462, 12.418979820794409, 11.017709707683119];[14.712242310123237, 7.6556659776895462, 12.418979820794409, 11.017709707683119];33303962.651;50134613.4246;52864773.7562;9570911.83443;0.00020590597613;0.00374911575784;0.000181473272;0.005536022300989999;8.44234369142e-05;2.90548886621e-05;0.005581278978669999;0.00305051021975;881.01756734;2.7;1.7;2.03802613604;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Roerstraat_50_1566994;[69.16234313864723, 46.754267090199576, 42.691984324727557, 48.859763879199875];198.348739624;360.873670017;213.052833837;[14.569446909493259, 7.0592238891075221, 9.3889114500898376, 12.214940969799969];[14.569446909493259, 7.0592238891075221, 9.3889114500898376, 12.214940969799969];35550627.8501;52252375.9698;34041658.9683;9445324.65608;0.000192893497341;0.00351218582412;0.000174118251462;0.005311650098550001;0.000145077363102;2.94412090499e-05;0.00565548892952;0.00323199719442;730.020255024;2.7;1.7;2.27490577914;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Roerstraat_34_4753649;[48.696613381051606, 88.055634655966173, 46.590433264582529, 88.800027268418944];241.112667084;591.175965101;200.155265671;[9.2742627713718537, 20.666315773632533, 11.563211763452848, 19.662834700698212];[9.2742627713718537, 20.666315773632533, 11.563211763452848, 19.662834700698212];46632865.9829;63517972.2111;55082716.3462;8873533.53547;0.000147052616092;0.00267751956784;0.000143236504912;0.004369571765409999;8.55361802085e-05;3.13383362595e-05;0.00601991628416;0.00228437311572;806.3973765810001;2.7;1.7;2.16034129369;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Roerstraat_64_1570418;[46.23329153892999, 42.986121394404059, 54.721004374247798, 43.40436471534251];192.566585541;187.344782023;217.381527485;[11.542975266599722, 10.731449866206434, 13.679294241485486, 10.851091178835627];[11.542975266599722, 10.731449866206434, 13.679294241485486, 10.851091178835627];32102363.3467;50729143.2553;22620103.6661;9637229.71597;0.00021361308713;0.00388944607676;0.000179346461517;0.00547114183602;0.0003104237233679999;2.88549496006e-05;0.005542871821310001;0.00298532121162;817.750971907;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Roerstraat_66_1566996;[41.22157905803023, 40.908873298989178, 32.895899498966372, 40.999213191412409];155.118625641;156.025565047;179.711638011;[10.2838553523677, 10.220388691569292, 8.072932742166504, 10.249803297853102];[10.2838553523677, 10.220388691569292, 8.072932742166504, 10.249803297853102];26735675.9363;40863968.9986;18838605.5796;7967201.06894;0.000256491923189;0.00467017970561;0.000222643383929;0.006791957432699999;0.000372735485825;3.49033211711e-05;0.006704729624109999;0.00359871907235;730.515295571;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Roerstraat_67_1566982;[67.906176688764674, 53.404144936684126, 74.342102176420994, 56.772311159062916];168.011844635;375.548514258;182.971936995;[16.976544172191169, 13.351036234171032, 9.7250932651071604, 10.268009315770751];[16.976544172191169, 13.351036234171032, 9.7250932651071604, 10.268009315770751];43254103.3271;44260518.5689;35795174.8176;8111740.72056;0.00015853952368;0.00288667205119;0.000205557743849;0.00627074302208;0.000143239471973;3.42813937629e-05;0.00658526090372;0.00277673881703;824.412811595;2.7;1.7;2.37214947038;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Roerstraat_47_1566989;[58.514564978452199, 43.196531422509608, 63.717373912239211, 47.530714472494829];190.605682373;340.847597261;202.438203435;[14.350104754284418, 8.7686797855482794, 9.2533629648483071, 6.8218821963286711];[14.350104754284418, 8.7686797855482794, 9.2533629648483071, 6.8218821963286711];36491505.4169;50212569.0146;32324426.5602;8974743.58728;0.000187920034;0.00342162949287;0.000181191532661;0.005527427562779999;0.000155792458889;3.09849273174e-05;0.00595202843499;0.00356501729513;666.127247647;2.7;1.7;2.32479297638;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Roerstraat_85_1566341;[26.827478882588693, 43.865095848967286, 27.15823516908274, 41.174513748490654];189.208320618;139.025323649;199.156223409;[6.7068697206471732, 10.966273962241821, 5.196175262889664, 10.293628437122663];[6.7068697206471732, 10.966273962241821, 5.196175262889664, 10.293628437122663];23822608.8071;49844452.3735;16785987.8412;8829242.74459;0.000287856170338;0.00524125683232;0.000182529687967;0.005568249318699999;0.000418314183795;3.14955411e-05;0.006050114440560001;0.00421335872643;602.3336147680001;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Roerstraat_46_1566993;[56.666891973544011, 46.738070283123754, 62.258783555576436, 41.814532925368148];131.483779907;335.406905752;144.041222245;[14.001918611893945, 6.1891941046905217, 8.7427339697406126, 8.2513446619094761];[14.001918611893945, 6.1891941046905217, 8.7427339697406126, 8.2513446619094761];35552327.7385;34637678.6395;31787411.5303;6385815.59073;0.000192884274388;0.00351201789351;0.000262664609638;0.00801284464985;0.00015804559943;4.35467911331e-05;0.0083650910787;0.00375760857169;658.845130893;2.7;1.7;2.31858678274;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Roerstraat_91_1566961;[61.758805300683058, 56.54382777507498, 63.273484147353216, 57.678902142144509];127.510593414;438.061499773;143.169179664;[15.439701325170764, 14.135956943768745, 15.818371036838304, 11.363910610675619];[15.439701325170764, 14.135956943768745, 15.818371036838304, 11.363910610675619];40997413.8658;33590994.729;41195724.9647;6347155.1085;0.000167266280774;0.00304556798589;0.000270849149065;0.00826252214943;0.000118512535455;4.38120343666e-05;0.008416042796340001;0.00246181228487;780.803214877;2.7;1.7;2.24616764881;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Roerstraat_69_4753754;[52.335585215360439, 49.724463342907143, 57.523209518198989, 47.091530877590394];117.363864899;331.901641371;132.300903941;[7.1256416015297344, 10.566525614298074, 7.4393145046172364, 11.772882719397598];[7.1256416015297344, 10.566525614298074, 7.4393145046172364, 11.772882719397598];35414646.1832;30917972.0808;31469006.1937;5865329.11815;0.000193634150775;0.00352567156899;0.000294265494349;0.008976861006419999;0.000159898301799;4.74111123421e-05;0.00910740522009;0.00378620241456;623.771910528;2.7;1.7;2.32269890592;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Roerstraat_18_1570221;[62.863168882728971, 26.354909874383171, 55.582417151640811, 27.996276622645322];80.870552063;320.652988962;96.0824976457;[13.240463322150999, 3.7932417293264162, 13.732131260942836, 6.9990691556613305];[13.240463322150999, 3.7932417293264162, 13.732131260942836, 6.9990691556613305];29609497.0836;21304287.0819;30130952.1292;4259649.438519999;0.000231597481014;0.004216904151429999;0.000427054531496;0.013027722397;0.00016155672819;6.52827848295e-05;0.0125404519314;0.00369992700943;488.7698737269999;2.7;1.7;2.23889025981;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Roerstraat_55_1570088;[94.786497582634226, 51.37451283908311, 51.968953713150427, 48.399153846666636];155.876110077;389.3633312380001;170.143279859;[21.665111715454039, 12.65011571540704, 10.883807215895814, 6.2760931603455976];[21.665111715454039, 12.65011571540704, 10.883807215895814, 6.2760931603455976];42243863.0824;41063518.346;36958374.7492;7543004.649939999;0.000162330914795;0.00295570532766;0.000221561442007;0.006758951720390001;0.000136697317888;3.68661814024e-05;0.00708178391864;0.00271446424132;790.825755055;2.7;1.7;2.33315956641;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Roerstraat_48_1570420;[37.728714008151293, 42.99294861934461, 64.122418887796513, 45.164053431956006];195.071624756;345.706392394;210.333189636;[8.3448875553112245, 5.8922527959104851, 13.575221610226146, 11.291013357989002];[8.3448875553112245, 5.8922527959104851, 13.575221610226146, 11.291013357989002];32558740.7402;51389063.0064;32522624.5396;9324753.98838;0.000210618862486;0.00383492752899;0.000177043359157;0.005400883412390001;0.000150326622209;2.98218889303e-05;0.005728615370960001;0.00357328216832;669.294483227;2.7;1.7;2.24962285664;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Roerstraat_20_1567295;[101.53336767379513, 40.978925545170981, 96.537284391256918, 50.842223573151117];155.8228302;805.158311193;187.520567474;[16.099446402735989, 8.631687625528631, 24.13432109781423, 12.710555893287779];[16.099446402735989, 8.631687625528631, 24.13432109781423, 12.710555893287779];49674252.1053;41049482.4607;74206704.367;8313396.295089999;0.000138049082735;0.00251358411817;0.000221637199624;0.0067612627817;6.07524145657e-05;3.34498402185e-05;0.00642552419397;0.00226918553893;986.4965109410001;2.7;1.7;2.06004323268;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Roerstraat_51_1570457;[78.120348546740857, 53.616184133327366, 34.18410803162886, 60.204720425568766];137.494522095;491.298563652;150.204477141;[17.299659231337625, 13.404046033331841, 6.7347571371595922, 10.192223252115584];[17.299659231337625, 13.404046033331841, 6.7347571371595922, 10.192223252115584];38747588.4129;36221129.8943;45776257.1465;6659052.71402;0.000176978367417;0.00322240470408;0.000251181903082;0.007662553288100001;0.000102922421486;4.17599604158e-05;0.008021851053339999;0.00293355831082;787.705868265;2.7;1.7;2.16026057853;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
