BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Sintelstraat_7_1566389;[43.506899274325434, 63.460017284526621, 44.438809035704296, 37.108420588583286];112.89119339;298.154466007;125.828645155;[9.1475690149042652, 8.8357156679856832, 6.6393122283259984, 9.0639745786019255];[9.1475690149042652, 8.8357156679856832, 6.6393122283259984, 9.0639745786019255];32302739.1071;29739705.389;28298145.8969;5578392.84798;0.000212288032786;0.00386531961762;0.00030592409103;0.009332518071040002;0.000178470660342;4.98498017838e-05;0.00957586360157;0.00414786627343;590.46825578;2.7;1.7;2.33227007366;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Sintelstraat_15_1566976;[40.135651199258675, 77.514333974067128, 39.329553121776556, 46.944381097440527];153.087749481;327.553451253;167.329627882;[7.9751323255999189, 11.930088354477142, 5.4642532428871204, 11.729360132336467];[7.9751323255999189, 11.930088354477142, 5.4642532428871204, 11.729360132336467];34943272.4239;40328961.2902;31056298.473;7418266.311980001;0.000196246214592;0.00357323177002;0.00022559699153;0.00688206016446;0.000162014944578;3.74860871866e-05;0.00720086429654;0.00376635539386;722.611234713;2.7;1.7;2.32256684707;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Sintelstraat_26_1567125;[39.260353115757347, 48.599301989631826, 70.325054700346314, 47.240292349236434];74.7076721191;504.255690632;85.0386431253;[9.8050243786176754, 12.149825497407956, 17.581263675086579, 11.810073087309108];[9.8050243786176754, 12.149825497407956, 17.581263675086579, 11.810073087309108];35200489.6452;19680757.1291;46714729.2755;3770039.46938;0.00019481220312;0.00354712143019;0.00046228365499;0.0141024217793;9.85714325236e-05;7.37609725316e-05;0.0141690636032;0.00272128083696;657.8479449509999;2.7;1.7;2.10738261555;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Sintelstraat_12_1570431;[72.405167450739611, 57.460740154015689, 75.727767287897748, 81.764617386574898];149.720111847;539.618752179;166.708655338;[18.101291862684903, 13.763577589170024, 18.931941821974437, 19.320959456851917];[18.101291862684903, 13.763577589170024, 18.931941821974437, 19.320959456851917];49240124.0634;39441801.2905;50671909.6138;7390736.580610001;0.000139266199448;0.00253574525956;0.000230671319284;0.007036857569609999;9.58179670669e-05;3.76257189945e-05;0.00722768677325;0.00199275293972;982.804453353;2.7;1.7;2.23252095321;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Sintelstraat_13_1570434;[44.796182572859969, 12.077142180153604, 38.929434719998923, 62.305035111763154];177.794502258;312.835470976;192.254896766;[11.199045643214992, 3.0115060336951305, 9.4007240601183621, 13.391899823974731];[11.199045643214992, 3.0115060336951305, 9.4007240601183621, 13.391899823974731];27092475.2475;46837631.5119;29290605.6419;8523284.50165;0.000253114005864;0.00460867491925;0.00019424748957;0.00592571248824;0.000163927545546;3.26261287758e-05;0.00626729390739;0.00377609196053;603.052340641;2.7;1.7;2.20540238961;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Sintelstraat_33_1567135;[39.013765295131286, 30.487535410594134, 35.146988513001446, 32.142907810037499];173.715934753;136.791197029;182.64124296;[9.7534413237828215, 7.6218838526485335, 8.7867471282503615, 8.0357269525093749];[9.7534413237828215, 7.6218838526485335, 8.7867471282503615, 8.0357269525093749];23439781.2537;45763186.3549;16516238.2639;8097079.979060001;0.0002925575484009999;0.00532685906161;0.000198808104577;0.006064838576080001;0.00042514625248;3.43434643678e-05;0.00659718431414;0.00408585923027;576.198383201;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Sintelstraat_10_1566946;[43.579604625149273, 60.593167308222036, 48.929720642467785, 34.391563293002584];127.634895325;320.672873618;144.157930218;[6.9225602339790306, 11.038435867651126, 12.232430160616946, 8.5972302926709112];[6.9225602339790306, 11.038435867651126, 12.232430160616946, 8.5972302926709112];32127942.0855;33623740.4383;30281166.7585;6390989.63451;0.000213443018554;0.00388634948487;0.0002705853727159999;0.00825447539007;0.000163726214119;4.35115363421e-05;0.00835831883371;0.00360208890902;702.56913969;2.7;1.7;2.28468948045;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Sintelstraat_16_1567107;[46.07203251182834, 74.355557577806024, 51.03302427174895, 46.129567126548515];131.237678528;533.395128387;145.241478329;[7.46484063089681, 16.397082774366471, 12.758256067937237, 11.170568436551264];[7.46484063089681, 16.397082774366471, 12.758256067937237, 11.170568436551264];37285047.3409;34572846.4564;49417199.9946;6439026.84436;0.000183920510438;0.0033488065613;0.00026315716729;0.00802787060995;9.32035161391e-05;4.31869262958e-05;0.008295963088729999;0.0029237331463;803.716588552;2.7;1.7;2.10793432468;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Sintelstraat_8_1566947;[43.887734585934219, 11.938263055806623, 41.725234715070734, 61.818358108598126];107.96692276;288.494582836;113.521370764;[7.2559348501059961, 2.423055199864347, 10.431308678767683, 8.9391970543266108];[7.2559348501059961, 2.423055199864347, 10.431308678767683, 8.9391970543266108];27308689.5952;28442470.8272;27148518.3176;5032771.36922;0.000251109996134;0.00457218610723;0.00031987700344;0.0097581655144;0.000180286777232;5.52542043624e-05;0.010614018621;0.0048099765584;573.486876735;2.7;1.7;2.25241796535;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Sintelstraat_21_1567128;[34.269326600053468, 18.140111986698557, 35.355295297110068, 26.405286487339716];153.475982666;114.170020371;162.830956243;[8.5673316500133669, 4.1438195976689451, 8.838823824277517, 6.6013216218349289];[8.5673316500133669, 4.1438195976689451, 8.838823824277517, 6.6013216218349289];19563541.8168;40431236.2347;13784945.9615;7218825.57521;0.0003505236936590001;0.006382300932170001;0.000225026320882;0.00686465128987;0.000509382976371;3.852174773399999e-05;0.00739980880154;0.00496344432265;492.327985979;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
