BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Turfstraat_146_1566814;[55.682758701956459, 61.605480942405201, 51.378746331167989, 59.166294148595831];423.330963135;783.6073432339999;341.794168192;[13.689090389486342, 13.005083895416965, 12.390174476076648, 8.4762514809657503];[13.689090389486342, 13.005083895416965, 12.390174476076648, 8.4762514809657503];39040247.9431;111520994.221;71674050.8978;15152846.484;0.000175651674873;0.003198248416760001;8.15818797362e-05;0.002488736223239999;6.09039416669e-05;1.83517847974e-05;0.00352527355731;0.00293788120922;950.3793951810001;2.7;1.7;1.99074929184;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Turfstraat_41_1570149;[13.567101493328567, 31.169185913323481, 59.772778320524992, 33.929649730199372];168.14295578;286.23278284;194.25179281;[3.2262454466549979, 7.7922964783308704, 13.512172747158676, 4.6792536324112106];[3.2262454466549979, 7.7922964783308704, 13.512172747158676, 4.6792536324112106];23722090.8791;44295058.0818;26737008.3489;8611813.394210001;0.000289075907079;0.0052634656789;0.00020539745815;0.00626585334773;0.000177964027379;3.22907342524e-05;0.00620286652566;0.004783551707180001;527.908055465;2.7;1.7;2.18365779099;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Turfstraat_94_1570166;[94.347943419684526, 47.385643523931925, 114.24803318591276, 51.538249728618048];174.3919487;471.0106840669999;191.707039243;[23.034208412613836, 6.4171845511611103, 26.215378749599601, 11.419902714621207];[23.034208412613836, 6.4171845511611103, 26.215378749599601, 11.419902714621207];52694900.2365;45941273.3696;44802343.5834;8498996.19682;0.000130135647053;0.00236949705974;0.000198037443704;0.00604132880116;0.000113615310469;3.2719367241e-05;0.00628520448664;0.00208278909249;1019.2069791;2.7;1.7;2.35289361847;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Turfstraat_134_1566820;[50.020167740198083, 54.03579790831126, 50.865926645962091, 53.347728219882995];176.155532837;560.5806861880001;237.168118026;[12.274939848112808, 13.348566089777927, 12.35207910960756, 13.184360478052378];[12.274939848112808, 13.348566089777927, 12.35207910960756, 13.184360478052378];35687927.6788;46405866.4976;51730236.8341;10514433.5913;0.000192151390812;0.00349867362144;0.000196054788441;0.0059808459343;8.76031158599e-05;2.64476231962e-05;0.00508043810104;0.00273118730512;1112.274776;2.7;1.7;2.07152478786;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Turfstraat_160_1566045;[72.756647924738417, 34.019305885642531, 68.28791536995935, 39.325585139089455];182.984470367;561.648823216;249.045726878;[17.76331753862306, 7.3616054452572524, 16.66310955461044, 9.1070948349752783];[17.76331753862306, 7.3616054452572524, 16.66310955461044, 9.1070948349752783];36736588.4758;48204860.5925;51886444.1999;11041006.6001;0.000186666351536;0.00339880256589;0.000188738069705;0.005757642166340001;8.77403037177e-05;2.51862704023e-05;0.004838139398229999;0.00274539825246;1132.88852947;2.7;1.7;2.08171441915;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Turfstraat_24_4753371;[51.999855779394899, 43.578046247098314, 54.594887385958422, 52.01225669942734];137.154289246;679.25865451;199.63217541;[12.999963944848725, 10.894511561774578, 8.6966394190116034, 13.003064174856835];[12.999963944848725, 10.894511561774578, 8.6966394190116034, 13.003064174856835];34645308.7376;36131500.0091;62176794.28;8850343.2439;0.000197934011517;0.00360396301039;0.000251804999414;0.00768156146021;7.04375170629e-05;3.14204511713e-05;0.006035690092020001;0.00306458843007;806.919078816;2.7;1.7;1.9976554583;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Turfstraat_90_1570168;[11.603496738407989, 44.760294699965456, 61.509251244095779, 42.735267772870358];168.897815704;296.853152985;184.711610341;[1.9984526478026086, 8.3897937888286052, 12.380270234941708, 10.68381694321759];[1.9984526478026086, 8.3897937888286052, 12.380270234941708, 10.68381694321759];27520949.7861;44493916.0359;27900974.0673;8188866.09483;0.000249173265893;0.00453692231352;0.000204479469311;0.00623784918697;0.000174620869952;3.39585205722e-05;0.00652323879883;0.00417691020779;620.092755323;2.7;1.7;2.24103622899;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Turfstraat_111_1566087;[38.101793492277977, 63.352095518775783, 53.518028672091752, 61.194821890266347];122.883991241;707.7027045389999;200.250093754;[9.2558919290340214, 15.394266521191639, 12.917857883101142, 14.767177458154173];[9.2558919290340214, 15.394266521191639, 12.917857883101142, 14.767177458154173];37041134.225;32372177.0211;64835935.016;8877737.57264;0.000185131613331;0.00337085820362;0.000281046663395;0.00857360744657;6.77979425587e-05;3.13234960449e-05;0.006017065563279999;0.00266985528527;876.520953475;2.7;1.7;2.00544851417;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Turfstraat_89_1566059;[66.731535447770312, 31.189403538253625, 66.485969251503334, 31.332546998112448];79.1389656067;440.120863927;102.358346272;[16.682883861942578, 7.7973508845634063, 16.621492312875834, 6.0672292160653356];[16.682883861942578, 7.7973508845634063, 16.621492312875834, 6.0672292160653356];33540828.0146;20848123.3235;40938944.9567;4537878.2079;0.000204451867905;0.00372263949833;0.0004363986243480001;0.0133127732249;0.000114321893854;6.12801324768e-05;0.0117715651635;0.00296227444453;532.542509458;2.7;1.7;2.14474023224;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Turfstraat_148_1566813;[66.538865854541328, 33.552309083280505, 66.492401707846724, 41.098291536913393];142.834190369;493.35024892;191.824183032;[16.490409678202667, 8.1653055680827862, 16.493657694990482, 10.199649699106118];[16.490409678202667, 8.1653055680827862, 16.493657694990482, 10.199649699106118];35587213.6973;37627795.5213;45771954.79;8504189.56176;0.000192695190947;0.00350857508081;0.000241791798126;0.007376098815369999;0.000101202657792;3.26993860761e-05;0.006281366218409999;0.00272113054086;847.849364615;2.7;1.7;2.12096232573;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Turfstraat_10_1567431;[48.065420572403639, 74.516015731437889, 66.08934277328369, 75.380491869609145];251.599437714;767.2501463739999;312.142623419;[12.01635514310091, 18.629003932859472, 16.522335693320922, 18.845122967402286];[12.01635514310091, 18.629003932859472, 16.522335693320922, 18.845122967402286];45246362.0847;66280574.4979;70590187.4996;13838297.1214;0.000151558813189;0.00275956796129;0.000137266347003;0.00418744617216;6.34029712314e-05;2.00950865056e-05;0.00386015190739;0.00211667064883;1331.78022419;2.7;1.7;2.04415278015;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
