BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Wennel_14_1565833;[57.339331975555893, 48.762594088843485, 64.774817483236362, 52.71663428868613];256.912746429;511.046350248;231.192515428;[14.334832993888973, 12.190648522210871, 16.061153538053901, 9.1857500814749127];[14.334832993888973, 12.190648522210871, 16.061153538053901, 9.1857500814749127];38313721.7899;67680296.0448;47499059.3111;10249515.7044;0.000178982479861;0.00325889538631;0.000134427490279;0.00410084402979;9.82267220976e-05;2.71312114411e-05;0.005211751517729999;0.0026988788209;689.344319277;2.7;1.7;2.13752074098;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Wennel_23_1570620;[55.207241320262803, 74.677331803370677, 59.945519168747495, 79.925365259858921];416.485603333;819.666849764;316.764804161;[13.41397542249023, 18.121063301510681, 13.871874812181499, 19.467678159648884];[13.41397542249023, 18.121063301510681, 13.871874812181499, 19.467678159648884];46223799.8817;109717673.894;75288586.1084;14043213.4182;0.000148353985527;0.0027012147745;8.29227599867e-05;0.0025296411063;5.90347722476e-05;1.98018622564e-05;0.00380382519567;0.00215380767875;1084.60221566;2.7;1.7;2.02910377872;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Wennel_39_4753524;[75.113682754605748, 78.570553867117582, 74.201569255572821, 82.746604477999867];129.203918457;827.448084183;150.004859138;[18.778420688651437, 19.642638466779395, 18.550392313893205, 20.686651119499967];[18.778420688651437, 19.642638466779395, 18.550392313893205, 20.686651119499967];53228247.9224;34037079.0194;76389067.4958;6650202.99908;0.0001288316863;0.00234575467063;0.000267299445214;0.00815423490985;5.94282326915e-05;4.1815532215e-05;0.00803252608013;0.00179926355515;1244.07544978;2.7;1.7;2.07541015115;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Wennel_10_1572202;[80.544855546518832, 52.082341246728518, 80.192079235248755, 48.768922982731446];234.346160889;730.280520789;255.564955446;[20.136213886629708, 13.02058531168213, 20.048019808812189, 12.192230745682862];[20.136213886629708, 13.02058531168213, 20.048019808812189, 12.192230745682862];44824303.7313;61735424.8333;67292122.8741;11330025.1934;0.000152985866323;0.00278555160438;0.000147372312788;0.004495738690050001;6.69389549397e-05;2.45437916507e-05;0.00471472288159;0.00213660087539;1395.11349881;2.7;1.7;2.05820235042;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Wennel_17_1572204;[54.620974107258128, 47.118967895147556, 53.967962131657131, 51.05543154184921];94.1582832336;543.99198863;109.237089942;[13.584532774776449, 7.8751889588451318, 13.491990532914283, 12.763857885462302];[13.584532774776449, 7.8751889588451318, 13.491990532914283, 12.763857885462302];35429819.0586;24804765.7148;50246337.5252;4842835.27425;0.000193551226647;0.00352416169462;0.000366788077873;0.011189234406;9.05381289399e-05;5.74212753473e-05;0.0110303006407;0.00292833960288;675.454257869;2.7;1.7;2.0800852586;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Wennel_2_1572199;[39.775074685253486, 33.813562555849551, 39.514300855506583, 33.680355462827897];138.541568756;146.783293559;138.593182037;[9.9437686713133715, 8.4533906389623876, 9.8785752138766458, 8.2694095094716218];[9.9437686713133715, 8.4533906389623876, 9.8785752138766458, 8.2694095094716218];25151971.5265;36496960.615;17722689.0491;6144286.259330001;0.00027264204444;0.00496423952462;0.000249283561845;0.00760464250428;0.000396204931629;4.52585973386e-05;0.00869391932172;0.00382341888218;501.84071725;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Wennel_35_4753519;[54.24919574724705, 84.313471037509942, 51.561236362364568, 84.297672378446265];318.204776764;652.115972498;244.501867484;[9.2390544370387282, 21.078367759377485, 9.8473097608906599, 21.074418094611566];[9.2390544370387282, 21.078367759377485, 9.8473097608906599, 21.074418094611566];47023359.9921;83826878.1661;60500936.3803;10839562.5433;0.000145831453555;0.00265528476049;0.000108534309492;0.00331094684714;7.6559968903e-05;2.56543358307e-05;0.00492805210679;0.00228166775064;900.601192931;2.7;1.7;2.12081713545;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Wennel_29_1567177;[35.66240985364044, 37.964658447810145, 44.831339681743167, 39.536513527033016];99.95645141600001;357.907824342;112.613723076;[7.6616222988729774, 9.4911646119525361, 11.207834920435792, 9.0507343779702936];[7.6616222988729774, 9.4911646119525361, 11.207834920435792, 9.0507343779702936];27073133.9431;26332217.1338;33279784.9942;4992532.39691;0.000253294832917;0.00461196740045;0.000345511822737;0.0105401811234;0.000140432816481;5.56995439661e-05;0.0106995658278;0.00373489250078;457.070060058;2.7;1.7;2.14144025574;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Wennel_9_1572209;[8.8059847060215048, 34.407789602005195, 88.816639069713744, 36.844039773006983];187.303096771;168.874453151;187.714034347;[2.1914875556918672, 7.7644812653537825, 22.204159767428436, 9.2110099432517458];[2.1914875556918672, 7.7644812653537825, 22.204159767428436, 9.2110099432517458];28937390.177;49342546.1203;20389986.8231;8321973.310430001;0.000236976620791;0.00431484699933;0.000184386357292;0.00562488885947;0.000344375740108;3.3415365247e-05;0.006418901747890001;0.00337741233887;973.342513141;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Wennel_21_1565835;[99.67101788051049, 31.912989226776887, 99.350845669026711, 37.642385375106379];153.069046021;541.114393303;190.095654202;[24.917754470127623, 3.3388153406018457, 24.837711417256678, 9.4101465443010213];[24.917754470127623, 3.3388153406018457, 24.837711417256678, 9.4101465443010213];46021906.7363;40324034.1086;50614749.3108;8427558.26014;0.000149004798475;0.00271306471262;0.000225624557159;0.006882901081329999;9.45082642087e-05;3.29967197094e-05;0.00633848231947;0.00223547992886;895.473075604;2.7;1.7;2.19634096131;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Wennel_25_1570458;[48.827803361683394, 38.230592558500874, 44.834431633629954, 67.502757949950222];98.39818573;526.300858941;119.924174833;[7.4198650008368379, 9.5445928335612571, 11.208607908407489, 16.875689487487556];[7.4198650008368379, 9.5445928335612571, 11.208607908407489, 16.875689487487556];34167322.2305;25921712.4609;48605796.9673;5316628.48604;0.000200703025318;0.00365438094129;0.000350983460385;0.0107070988612;9.35426344927e-05;5.23041582601e-05;0.0100473315313;0.00310169266688;721.370530053;2.7;1.7;2.07886236003;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Wennel_8_1572201;[41.556974204739362, 34.838482151794267, 40.77371707163185, 34.903882985086575];126.475906372;152.073056413;140.651348844;[10.388547234339333, 8.7096205379485667, 10.193429267907963, 8.7259707462716438];[10.388547234339333, 8.7096205379485667, 10.193429267907963, 8.7259707462716438];26058395.9666;33318419.988;18361377.6895;6235531.48398;0.000263158367363;0.00479156166534;0.000273064939511;0.00833011703646;0.000382423199485;4.45963232578e-05;0.00856670023485;0.00367533753171;607.036697053;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Wennel_4_1572200;[48.628044122959778, 35.165184829649583, 48.186418670766471, 35.34930876094343];120.164085388;167.328956384;120.165573196;[12.157011030739945, 8.7912962074123957, 12.046604667691618, 8.8373271902358574];[12.157011030739945, 8.7912962074123957, 12.046604667691618, 8.8373271902358574];28672562.4182;31655653.4701;20203382.7624;5327330.46014;0.000239165402751;0.00435470012595;0.000287408135397;0.00876767046467;0.000347556490196;5.2199085419e-05;0.0100271476357;0.00334018443118;528.559302684;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Wennel_11_1572207;[84.640188210093555, 32.751161293207922, 4.3429821429218451, 31.56387945507937];350.631313324;601.146050457;273.283321695;[17.484922451666606, 6.4030598991207182, 0.0, 7.8909698637698424];[17.484922451666606, 6.4030598991207182, 0.0, 7.8909698637698424];26268331.6826;92369224.2528;54768883.8746;12115537.9631;0.000261055213614;0.00475326764876;9.84970092821e-05;0.003004749040760001;7.83410220256e-05;2.29524911392e-05;0.00440904309747;0.00439685338921;771.6836930869999;2.7;1.7;1.95500992809;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Wennel_13_1572206;[4.7867187642482012, 33.770086504954911, 80.485708128853958, 33.171289484846689];132.842773438;487.977779934;166.408775864;[0.0, 6.4622212047334955, 19.373527877056098, 8.2928223712116722];[0.0, 6.4622212047334955, 19.373527877056098, 8.2928223712116722];26082513.5014;34995687.6746;44737721.6042;7377441.94877;0.000262915034561;0.00478713108562;0.000259977527037;0.0079308725278;9.8555791858e-05;3.76935229955e-05;0.00724071153648;0.00409414715592;806.682010505;2.7;1.7;2.01192773348;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Wennel_7_1572208;[78.933241746303082, 35.502114425152961, 0.11437841075557953, 34.983138453171676];157.790706635;149.532873035;157.791049317;[19.733310436575771, 8.8755286062882401, 0.0, 8.7457846132929191];[19.733310436575771, 8.8755286062882401, 0.0, 8.7457846132929191];25623124.2238;41567893.7171;18054674.6647;6995390.11888;0.000267628759037;0.00487295811717;0.000218873065846;0.00667694013699;0.0003889195974669999;3.97521472024e-05;0.00763616154645;0.00374056489061;832.1122461010001;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
