BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Westerwennel_30_1567093;[38.708823890572546, 35.902606402983849, 37.327210524873436, 19.346315149352144];145.218299866;131.284955968;166.241123233;[9.6765513589727803, 8.9749857336295182, 9.3318026312183591, 4.3275381664657875];[9.6765513589727803, 8.9749857336295182, 9.3318026312183591, 4.3275381664657875];22496262.3081;38255857.9231;15851411.9354;7370009.362689999;0.000304827746261;0.005550273617189999;0.000237822201162;0.00725500231959;0.000442977372086;3.77315365638e-05;0.0072480137269;0.004324469122270001;642.127206556;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Westerwennel_3_1566410;[38.158317469562803, 33.411016899161936, 38.755927777972175, 27.347572765673835];128.137317657;137.672834912;146.177127883;[9.5395793673907008, 8.352754224790484, 9.6889819444930438, 6.5849748331698059];[9.5395793673907008, 8.352754224790484, 9.6889819444930438, 6.5849748331698059];23590853.8343;33756097.0173;16622687.6676;6480507.23045;0.000290684050133;0.005292746589439999;0.000269524416106;0.00822210985553;0.000422423674402;4.29104957151e-05;0.00824286234529;0.00408962729748;567.77718933;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Westerwennel_52_1567102;[31.768048084870092, 35.42039484280096, 14.756219782084386, 36.664547966767778];139.310646057;118.609210677;162.89304604;[7.9420120212175229, 8.8550987107002399, 3.6808310206645647, 9.1661369916919444];[7.9420120212175229, 8.8550987107002399, 3.6808310206645647, 9.1661369916919444];20324216.8599;36699563.9507;14320936.0425;7221578.217739999;0.000337404633395;0.006143430373449999;0.000247907368895;0.00756266037227;0.0004903182852099999;3.85070644337e-05;0.00739698822301;0.0047135009644;586.400636215;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Westerwennel_50_1567103;[15.422353792877272, 34.986582786276465, 31.073251062642413, 33.229594373309261];134.710472107;114.711782015;155.427006631;[3.8555603109633214, 8.7466456965691162, 7.7683127656606032, 8.3073985933273153];[3.8555603109633214, 8.7466456965691162, 7.7683127656606032, 8.3073985933273153];19656375.0889;35487708.4117;13850358.5362;6890584.42225;0.000348868237792;0.00635215855461;0.00025637305833;0.00782091463191;0.000506977258721;4.03567768281e-05;0.007752307461139999;0.004872299196770001;560.332519392;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Westerwennel_21_1570626;[37.89807806266208, 41.47634249780198, 36.876251136071104, 45.897395706463591];161.459533691;162.148067403;182.960964728;[6.8839554148996811, 10.369085624450495, 9.2190627840177761, 11.474348926615898];[6.8839554148996811, 10.369085624450495, 9.2190627840177761, 11.474348926615898];27784794.0014;42534398.1229;19577839.6084;8111254.284310001;0.000246807118251;0.004493839730020001;0.000213899637472;0.00652522076761;0.000358661473556;3.42834496364e-05;0.006585655825330001;0.00368222544201;663.732327029;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Westerwennel_18_1567185;[18.463635591997516, 53.056297153965609, 32.239049028868834, 51.450624430963828];192.144260406;155.209606206;218.732763451;[4.572002581235723, 13.264074288491402, 8.0597622572172085, 12.862656107740957];[4.572002581235723, 13.264074288491402, 8.0597622572172085, 12.862656107740957];26595857.7523;50617887.2335;18740086.2967;9697134.39855;0.000257840337489;0.00469473150054;0.000179740657618;0.00548316717941;0.000374695008967;2.86766962605e-05;0.005508630367770001;0.00360507787787;770.5354672410001;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Westerwennel_14_1567181;[44.568482779132161, 43.335753668665248, 44.596610038316243, 19.498011091263816];210.140975952;151.998857577;233.926475508;[11.14212069478304, 10.833938417166312, 11.149152509579061, 4.874502772815954];[11.14212069478304, 10.833938417166312, 11.149152509579061, 4.874502772815954];26045681.6653;55358886.0858;18352418.8846;10370721.0415;0.000263286829148;0.00479390068488;0.000164347460397;0.00501358241818;0.000382609880864;2.68141218563e-05;0.00515084041067;0.00367706431422;861.855652635;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Westerwennel_4_1566409;[45.903120500687507, 39.620006229073368, 44.391084403815448, 28.30470150276436];167.415023804;158.218912636;185.820127488;[11.475780125171877, 9.6959449267023423, 10.84226232346227, 6.001277738221134];[11.475780125171877, 9.6959449267023423, 10.84226232346227, 6.001277738221134];27111515.8209;44103293.9426;19103431.476;8238010.263189999;0.000252936242443;0.00460543822037;0.000206290540349;0.00629309770674;0.0003675683508380001;3.37559397063e-05;0.00648432416586;0.00367556015544;685.074445444;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Westerwennel_25_1567078;[35.806577354933196, 17.534089990910616, 36.005567069780724, 31.203038261648249];138.34753418;397.244341037;159.736267281;[8.7491286316957986, 4.0702126992884162, 8.7980008359088835, 7.8007595654120623];[8.7491286316957986, 4.0702126992884162, 8.7980008359088835, 7.8007595654120623];20656655.1301;36445844.7488;36385469.584;7081627.954189999;0.000331974605544;0.006044560960500001;0.000249633185932;0.007615308134109999;0.000120697326647;3.92680580713e-05;0.007543170775670001;0.00474970802064;574.932932334;2.7;1.7;2.00346378847;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Westerwennel_40_1566540;[34.778492979884092, 15.992665805825974, 34.153665984760579, 31.928372830922314];153.070209503;116.853197601;175.033921799;[8.694623244971023, 3.7766860492544563, 8.5384164961901448, 7.9820932077305784];[8.694623244971023, 3.7766860492544563, 8.5384164961901448, 7.9820932077305784];20023316.1934;40324340.6129;14108914.1363;7759822.704260001;0.000342474986283;0.00623575086004;0.000225622842192;0.00688284876458;0.0004976865501569999;3.58360993984e-05;0.00688391102014;0.004819545602119999;614.712972327;2.7;1.7;2.7;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
