BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Zandoerstraat_1_1566241;[66.388524574695538, 44.662678822491173, 70.60645572883773, 41.691831873488546];143.36995697;348.052295565;170.971734089;[16.597131143673884, 11.165669705622793, 13.680512529917426, 9.2720225225810253];[16.597131143673884, 11.165669705622793, 13.680512529917426, 9.2720225225810253];38271930.6935;37768936.211;33067233.1056;7579732.718839999;0.000179177920068;0.00326245394239;0.000240888233859;0.007348534690510001;0.000153283212854;3.66875440149e-05;0.007047468691790001;0.00275513099273;745.4945321910001;2.7;1.7;2.34171244909;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Zandoerstraat_15_1567428;[58.281759326828194, 40.927100218781085, 63.580936266961508, 41.477062538758268];133.643810272;326.167004836;147.24911699;[14.570439831707048, 8.121493050552715, 9.7730168272028983, 5.9637661622527469];[14.570439831707048, 8.121493050552715, 9.7730168272028983, 5.9637661622527469];35002036.5429;35206710.3306;30937039.4149;6528031.99207;0.000195916741309;0.00356723275289;0.000258419268747;0.007883336311840001;0.000162871272626;4.25981027792e-05;0.008182853437770001;0.00363601516679;663.0576744040001;2.7;1.7;2.32626462923;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Zandoerstraat_11_1570286;[6.3819113098699081, 37.588426239091405, 62.552991101481439, 34.769677733603856];181.911891937;298.831519568;193.957307232;[0.77435576365608461, 9.3971065597728511, 15.63824777537036, 4.0953535268416736];[0.77435576365608461, 9.3971065597728511, 15.63824777537036, 4.0953535268416736];24211186.3502;47922303.8619;27881180.0809;8598757.89133;0.000283236221451;0.00515713725746;0.000189850896251;0.00579159004479;0.000169883844106;3.23397613072e-05;0.00621228434424;0.004672365707;607.894055225;2.7;1.7;2.17281828432;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Zandoerstraat_23_1570283;[59.726318035776387, 37.11317208425789, 13.146091563323628, 31.932921239148278];99.5607261658;292.451538201;110.849568293;[14.832282013360881, 9.2782930210644725, 2.6552645344682673, 5.2564153899560546];[14.832282013360881, 9.2782930210644725, 2.6552645344682673, 5.2564153899560546];24318367.9697;26227968.5029;27322664.689;4914321.68095;0.000281987876292;0.00513440751161;0.0003468851328540001;0.0105820753117;0.00017426731315;5.65859941204e-05;0.0108698478643;0.00436344641967;585.529310759;2.7;1.7;2.18527186349;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Zandoerstraat_27_1567576;[54.059968286458336, 46.245227625040144, 58.497574878644095, 45.411785196378176];159.503505707;334.340883501;173.945840959;[13.514992071614584, 9.4358731949028112, 9.4475767861359081, 11.352946299094544];[13.514992071614584, 9.4358731949028112, 9.4475767861359081, 11.352946299094544];34993074.2996;42019108.1854;31660055.3531;7711584.543810001;0.000195966918481;0.0035681463739;0.000216522737667;0.00660524104285;0.000158203316403;3.60602644196e-05;0.006926971846669999;0.00319366765294;597.878330005;2.7;1.7;2.31079744077;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Zandoerstraat_17_1567429;[61.262648414583659, 43.453249055508103, 62.189163998950228, 43.210859188480264];122.395698547;391.021743411;138.228393922;[15.315662103645915, 10.863312263877026, 15.547290999737557, 4.9950000577661919];[15.315662103645915, 10.863312263877026, 15.547290999737557, 4.9950000577661919];36004299.4368;32243542.7102;36737249.0235;6128114.01644;0.00019046294598;0.00346793058404;0.000282167887703;0.008607811507069999;0.000132421991357;4.53780358848e-05;0.008716862787620001;0.00299065944552;724.244922251;2.7;1.7;2.23735098929;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Zandoerstraat_29_1567575;[71.259980629407877, 47.431005040191977, 71.349707070427513, 49.505551903493867];132.513980865;423.462916396;147.13907157;[17.446931582625179, 11.857751260047994, 17.837426767606878, 6.8176726705316533];[17.446931582625179, 11.857751260047994, 17.837426767606878, 6.8176726705316533];41047316.6151;34909071.5805;39906330.8172;6523153.32089;0.000167062928935;0.00304186537562;0.000260622581085;0.00795055054185;0.000123303542991;4.26299619317e-05;0.00818897339989;0.00258947289711;831.7673688110001;2.7;1.7;2.26568411393;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Zandoerstraat_31_1566485;[66.828453372167473, 43.399352118590265, 67.296697163949318, 45.677147000089981];118.004245758;354.151440609;132.918822382;[15.424574864684839, 10.849838029647566, 15.209916803634997, 5.9431587085813549];[15.424574864684839, 10.849838029647566, 15.209916803634997, 5.9431587085813549];38246597.4202;31086672.0256;33605619.1644;5892723.451230001;0.00017929660156;0.00326461488331;0.000292668585789;0.00892814572564;0.00015016728293;4.71907056297e-05;0.00906506634332;0.002946126781;649.681314941;2.7;1.7;2.33024351749;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Zandoerstraat_25_1567430;[70.342835998556296, 46.420174509494849, 70.215518734543096, 47.885977713903287];123.075962067;416.039899107;138.891175045;[17.585708999639074, 11.605043627373712, 17.553879683635774, 7.6188048419286059];[17.585708999639074, 11.605043627373712, 17.553879683635774, 7.6188048419286059];40245079.9972;32422749.2191;39201924.4976;6157497.257999999;0.000170393124803;0.00310250125438;0.000280608293798;0.00856023454687;0.000125461053526;4.516149436899999e-05;0.00867526639315;0.00257024575834;787.433139623;2.7;1.7;2.26452399748;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Zandoerstraat_5_1570288;[33.798918148544175, 44.641138431374443, 78.09823889532359, 42.78757914615106];151.088378906;342.163528735;161.974083831;[7.4813167926714561, 11.160284607843611, 19.524559723830897, 6.507747194294601];[7.4813167926714561, 11.160284607843611, 19.524559723830897, 6.507747194294601];34155376.9601;39802253.3153;32303119.3517;7180837.63589;0.000200773217836;0.00365565899974;0.000228582343481;0.006973131289109999;0.000153348305623;3.87255347975e-05;0.00743895513822;0.0031277181471;846.4668458560001;2.7;1.7;2.28254564815;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
