;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Gierenshof_5_1587139;[82.906123538469942, 70.743617943723777, 89.227552251041487, 60.553680614889217];194.987239838;832.844571455;215.752003747;[15.51060527734198, 17.685904485930944, 22.306888062760372, 12.181587432200367];[15.51060527734198, 17.685904485930944, 22.306888062760372, 12.181587432200367];47812986.5825;67924057.5908;76794340.7712;9563919.76955;0.0001103548296;0.00470671992946;0.000234402425054;0.00695369512817;5.88196521377e-05;2.97373258479e-05;0.0063951878295;0.00206437798896;1271.97558223;2.7;1.7;2.06433085446;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Gierenshof_16_4753805;[39.034595626553184, 52.039540850340011, 35.048541618188295, 51.379542216356718];210.78740310700002;368.600593725;253.00073808599998;[8.7589217590415132, 13.009885212585003, 8.7621354045470738, 12.84488555408918];[8.7589217590415132, 13.009885212585003, 8.7621354045470738, 12.84488555408918];27969825.0857;73428064.9336;34423174.8976;11215092.8783;0.000188645941503;0.00804589718188;0.00021683213132700006;0.0064324613318;0.000138105536352;2.53591656937e-05;0.00545363859011;0.00322131934806;652.643092226;2.7;1.7;2.18155706565;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Gierenshof_21_4753194;[96.263609165516144, 68.60045184365859, 96.407369346590542, 71.56102239740261];148.001754761;837.0322971139999;162.804256608;[24.065902291379036, 17.150112960914647, 24.101842336647636, 11.339548634700092];[24.065902291379036, 17.150112960914647, 24.101842336647636, 11.339548634700092];52445910.0851;51556602.9976;77461253.9949;7216836.09562;0.000100606395778;0.00429094159048;0.000308817161975;0.00916125502638;5.91901535052e-05;3.94085988378e-05;0.00847505229469;0.00182275139003;1312.14983499;2.7;1.7;2.0976339430400004;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Gierenshof_10_1588419;[75.057598563780488, 56.773470213642838, 67.882891739048404, 55.887253326471694];153.336013794;868.945269019;207.415659138;[18.764399640945122, 14.19336755341071, 16.970722934762101, 13.971813331617923];[18.764399640945122, 14.19336755341071, 16.970722934762101, 13.971813331617923];40276235.5893;53414799.042;79509368.1462;9194383.77625;0.000131005142605;0.005587471955659999;0.000298074018892;0.00884255294087;5.49910260845e-05;3.09325133137e-05;0.00665221996394;0.00218664679481;1194.03671109;2.7;1.7;1.9941511082;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Gierenshof_12_1587020;[56.401664278543628, 74.882318493360344, 66.525786458524493, 74.262153862915596];143.972183228;533.0506370830001;164.593437788;[13.133879846009046, 16.396787675049204, 16.631446614631123, 18.565538465728899];[13.133879846009046, 16.396787675049204, 16.631446614631123, 18.565538465728899];42871599.5006;50152896.534;49936140.5243;7296147.45755;0.00012307434405100002;0.00524921718472;0.00031746050416100004;0.00941766519976;9.6352551622e-05;3.89802152745e-05;0.008382925875379999;0.00215869706585;964.003324949;2.7;1.7;2.2104053989700003;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Gierenshof_15_4753893;[76.757027550552593, 67.270294910617736, 75.031159323995993, 62.394051455751878];109.021190643;717.5372958139999;126.16666098399999;[19.189256887638148, 16.817573727654434, 18.757789830998998, 15.59851286393797];[19.189256887638148, 16.817573727654434, 18.757789830998998, 15.59851286393797];44349744.5321;37977672.9905;66363925.5003;5592753.72783;0.000118972364839;0.00507426455799;0.000419234844188;0.0124368649041;6.89228382425e-05;5.08524802648e-05;0.0109361266898;0.00198580403084;993.9252132519999;2.7;1.7;2.0922479498700004;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Gierenshof_17_1589280;[85.895075910454054, 66.765591312489434, 78.11094228160448, 65.344200891214456];122.51363372799999;786.170345308;142.894316736;[21.473768977613513, 16.69120885971331, 19.527545933897954, 16.336050222803614];[21.473768977613513, 16.69120885971331, 19.527545933897954, 16.336050222803614];46660303.2196;42677783.0176;72588218.4209;6334262.2875;0.000113081005113;0.0048229934506800005;0.000373064453985;0.0110671912868;6.25750461116e-05;4.48995298366e-05;0.0096559094866;0.00188747920176;1088.05171275;2.7;1.7;2.07665604174;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Gierenshof_13_1587013;[94.659306022113327, 76.682086734733019, 93.146355352231907, 71.859738171418286];151.552444458;839.857892775;188.620964633;[20.242316275800246, 15.586780524780226, 23.286588838057977, 16.080098472351999];[20.242316275800246, 15.586780524780226, 23.286588838057977, 16.080098472351999];52999789.7648;52793490.3533;77746837.1439;8361246.900510001;9.95549984328e-05;0.00424609867008;0.000301581950961;0.00894661794842;5.9047153084e-05;3.40147111973e-05;0.007315064851;0.00185818121856;1150.85762347;2.7;1.7;2.1004814257;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Gierenshof_9_4753099;[63.565519022210097, 98.685137463967649, 61.347231433089377, 98.663609353614845];154.946453094;942.0473096510001;176.77578044;[15.891379755552524, 24.671284365991912, 15.336807858272344, 24.665902338403711];[15.891379755552524, 24.671284365991912, 15.336807858272344, 24.665902338403711];50780196.9732;53975797.6586;86652653.7617;7836170.0098600015;0.00010390652855799997;0.00443169483871;0.000294975980151;0.008750647676249999;5.1601177879e-05;3.62939290766e-05;0.007805224138270002;0.00173433556205;1391.75726193;2.7;1.7;2.04208631984;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Gierenshof_1_1587015;[152.00357567009942, 61.067723625595235, 150.88261952971624, 57.797315779741865];163.119117737;611.068327501;172.899069148;[38.000893917524856, 15.266930906398809, 37.720654882429059, 10.853064212049869];[38.000893917524856, 15.266930906398809, 37.720654882429059, 10.853064212049869];66457243.4131;56822755.9739;58355128.9771;7664321.984680002;7.93953181924e-05;0.00338627251564;0.000280196965914;0.008312218938689999;8.84558957949e-05;3.71077049136e-05;0.00798023144575;0.00137200781109;1135.1087904;2.7;1.7;2.39018670356;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Gierenshof_25_1587133;[64.904079296084703, 84.735704390545465, 61.100661483537067, 85.664851838896467];155.695037842;771.226937024;196.498845918;[16.226019824021176, 17.456910959356073, 12.714855999252594, 17.904777136858453];[16.226019824021176, 17.456910959356073, 12.714855999252594, 17.904777136858453];46705918.9304;54236568.125;71268080.2495;8710459.99355;0.000112970563642;0.004818283035399999;0.000293557729945;0.00870857439331;6.39537929119e-05;3.26510194388e-05;0.00702179487166;0.0021729676895100004;1171.24103051;2.7;1.7;2.08432954398;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Gierenshof_19_1589372;[71.371791840807958, 46.245982709574726, 71.015256444427393, 46.0870734302218];169.89540863;574.510921686;195.046136665;[17.84294796020199, 11.561495677393681, 17.753814111106848, 11.52176835755545];[17.84294796020199, 11.561495677393681, 17.753814111106848, 11.52176835755545];36985905.0403;59183285.6849;53230036.1961;8646063.860480001;0.00014265958832799998;0.0060845431953;0.00026902128928;0.00798068547376;8.65511029415e-05;3.28942051735e-05;0.00707409340244;0.00238117470325;1094.10473938;2.7;1.7;2.10855638346;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Gierenshof_22_1589272;[81.987996558513842, 82.305005744738921, 87.546256017131412, 91.342029401554498];172.48484039299996;1033.12064929;221.966225606;[20.496999139628461, 20.57625143618473, 21.868839102889993, 22.835507350388625];[20.496999139628461, 20.57625143618473, 21.868839102889993, 22.835507350388625];54076622.6667;60085317.5939;94926864.4212;9839385.66679;9.75725503328e-05;0.00416154570566;0.000264982602346;0.00786087528982;4.68885650604e-05;2.89047922504e-05;0.006216146554649999;0.00162894973267;1514.03825189;2.7;1.7;2.03217929383;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Gierenshof_20_1587019;[36.450843432742985, 70.41616414890602, 28.96957841933574, 69.346125766852722];154.91698074299998;515.016673255;178.034087142;[9.1127108581857463, 17.604041037226505, 7.2423946048339349, 17.336531441713181];[9.1127108581857463, 17.604041037226505, 7.2423946048339349, 17.336531441713181];32331564.9162;53965530.9269;47665024.6611;7891948.60811;0.00016319636864599998;0.006960452963489999;0.00029503209818;0.008752312452829999;9.62236090872e-05;3.60374113787e-05;0.00775005848995;0.00272396036774;864.66591496;2.7;1.7;2.0984001342500003;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Gierenshof_6_1588418;[55.422108894021754, 36.593942217011445, 59.879001359221228, 73.767262078943489];103.13444519;638.200095311;130.47801104200002;[13.855527223505439, 8.0709936740063206, 14.969750339805307, 17.482049154581482];[13.855527223505439, 8.0709936740063206, 14.969750339805307, 17.482049154581482];35558628.2544;35927017.5861;58777693.0798;5783868.55106;0.000148385757438;0.00632876879347;0.000443164083426;0.0131467408121;7.64747710489e-05;4.91721753459e-05;0.0105747671775;0.00256954228713;901.975212909;2.7;1.7;2.05359179074;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Gierenshof_11_4752944;[74.25774218025461, 70.265230181738616, 74.892509945213689, 63.311275526583842];169.095077515;959.1070678919999;203.017653062;[18.564435545063652, 17.566307545434654, 18.723127486303422, 15.82781888164596];[18.564435545063652, 17.566307545434654, 18.723127486303422, 15.82781888164596];44550529.8457;58904489.304;87765342.2941;8999427.63899;0.00011843616687;0.005051395294600001;0.000270294573587;0.008018458252270001;4.983300413e-05;3.16026096302e-05;0.00679632814064;0.001976854187;1220.61855213;2.7;1.7;1.99478122652;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Gierenshof_4_1587022;[65.714971736341283, 46.041952458199631, 65.868455114081826, 43.942961161502666];146.954959869;809.388179948;192.084231978;[16.428742934085321, 11.510488114549908, 16.467113778520456, 10.985740290375666];[16.428742934085321, 11.510488114549908, 16.467113778520456, 10.985740290375666];34913522.3019;51191950.6411;73893762.1774;8514767.6579;0.000151127518482;0.0064457070498;0.000311016939565;0.00922651280991;5.85952572042e-05;3.34014279657e-05;0.00718317466429;0.00252251550837;1026.28270342;2.7;1.7;1.97374793203;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Gierenshof_24_1589371;[91.950233435007988, 72.177497571312102, 94.12989836172612, 73.612508065711964];153.521930695;945.957860212;205.047027269;[22.987558358751997, 18.044374392828026, 23.53247459043153, 18.403127016427991];[22.987558358751997, 18.044374392828026, 23.53247459043153, 18.403127016427991];52294273.7218;53479563.4352;87095620.1208;9089386.34973;0.00010089812156200003;0.004303383923680001;0.000297713047678;0.00883184450313;5.15449883037e-05;3.12898349379e-05;0.0067290640929;0.00168412132324;1360.92851365;2.7;1.7;2.05082972656;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Gierenshof_2_1587023;[60.936316473754161, 53.425965788969627, 61.540648745044273, 59.989387941546582];123.795207977;731.0731508580002;159.648677768;[15.23407911843854, 13.356491447242407, 15.385162186261068, 14.997346985386645];[15.23407911843854, 13.356491447242407, 15.385162186261068, 14.997346985386645];37170616.1675;43124221.0676;67103654.2366;7076954.646869998;0.00014195067316600006;0.006054307408319999;0.000369202351362;0.0109526195874;6.60375340759e-05;4.01875400878e-05;0.00864256821818;0.00236934198404;920.5107492989999;2.7;1.7;2.0226658217099995;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Gierenshof_7_1589307;[60.997364942528392, 68.043095906343723, 60.9478719565288, 66.95352504764098];171.246032715;599.433923283;195.780952062;[15.249341235632098, 17.010773976585931, 15.2369679891322, 16.738381261910245];[15.249341235632098, 17.010773976585931, 15.2369679891322, 16.738381261910245];40487486.91;59653777.3344;55660558.6218;8678636.978589999;0.00013032159784799998;0.00555831823633;0.000266899507965;0.0079177414987;8.35018875792e-05;3.27707449075e-05;0.0070475425419200015;0.00217523754078;1187.69149417;2.7;1.7;2.12864083575;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
