BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Gierensstraat_53_1588425;[87.271659644803634, 47.88341604448447, 74.534194326944913, 67.353862560245929];179.854507446;996.461162362;251.711262068;[21.817914911200909, 11.970854011121117, 18.633548581736228, 16.838465640061482];[21.817914911200909, 11.970854011121117, 18.633548581736228, 16.838465640061482];43654935.3905;62652550.6588;91015618.8088;11157932.5971;0.000120865921339;0.005155026226060001;0.00025412475073;0.00753877030366;4.76703673932e-05;2.54890765914e-05;0.005481576697119999;0.00201740995997;1465.68794477;2.7;1.7;1.97802702508;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Gierensstraat_24_1588427;[83.209121579961916, 86.913826897436152, 76.271312949293616, 88.608658207367853];183.680438995;1030.25772615;227.096856499;[20.802280394990479, 20.985507497108443, 17.135044060579947, 21.405549553862951];[20.802280394990479, 20.985507497108443, 17.135044060579947, 21.405549553862951];52787920.3366;63985318.8702;94591073.8397;10066817.8175;9.995457205600002e-05;0.00426314079812;0.00024883151479;0.00738174313569;4.69020721315e-05;2.82517677113e-05;0.00607570976466;0.00173945237199;1497.4211516;2.7;1.7;2.0251641906;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Gierensstraat_28_1586988;[65.327100479657631, 62.032177890356245, 46.047440494785931, 53.608851888346088];185.579589844;598.174750441;213.517176081;[16.331775119914408, 15.029339924233831, 9.6493885179093546, 10.394412485443119];[16.331775119914408, 15.029339924233831, 9.6493885179093546, 10.394412485443119];35771866.9353;64646890.5284;55247536.8572;9464853.656030001;0.000147501219227;0.00629104254586;0.00024628506783;0.00730620118762;8.23211996086e-05;3.00485785524e-05;0.006462124564760001;0.00271817181106;1048.80858204;2.7;1.7;2.07951379691;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Gierensstraat_6_1589309;[47.726856311117714, 69.117007058753657, 47.613647451502111, 68.183159471761272];154.146648407;540.933967107;178.070772624;[11.931714077779429, 17.279251764688414, 11.903411862875528, 17.045789867940318];[11.931714077779429, 17.279251764688414, 11.903411862875528, 17.045789867940318];36658239.2294;53697184.6596;50236338.1798;7893574.81323;0.000143934736034;0.006138929243890001;0.0002965064913500001;0.00879605125202;9.25754530442e-05;3.60299870844e-05;0.007748461851529999;0.00240245858257;1038.10363262;2.7;1.7;2.13007221665;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Gierensstraat_31_1588423;[83.821837291771303, 50.956155428825141, 83.778958130067622, 54.187290920357086];183.059112549;1004.98069197;213.324077259;[20.955459322942826, 12.739038857206285, 20.944739532516905, 13.546822730089271];[20.955459322942826, 12.739038857206285, 20.944739532516905, 13.546822730089271];42977539.7857;63768878.9976;91726741.6115;9456293.91331;0.000122770963933;0.005236277785029999;0.0002496760813279999;0.00740679773236;4.71499181078e-05;3.00757782253e-05;0.006467974015319999;0.00204920760699;1309.07390168;2.7;1.7;1.97139251923;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Gierensstraat_2_1587025;[69.690883272138933, 52.591311530207214, 71.367894217631573, 52.173057117238038];197.129817963;640.0827820630001;228.367164782;[17.422720818034733, 13.084530762098359, 17.841973554407893, 13.043264279309509];[17.422720818034733, 13.084530762098359, 17.841973554407893, 13.043264279309509];38735461.3786;68670427.4562;59147410.244;10123128.4254;0.00013621611307;0.005809723928039999;0.000231854735853;0.00687811632825;7.70497335191e-05;2.80946152828e-05;0.00604191320531;0.00227596885359;1277.03010933;2.7;1.7;2.08404899027;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Gierensstraat_27_1587003;[71.576655297160414, 27.653064818010407, 71.572379027537735, 22.462783909788808];257.431476593;436.646757137;287.584877495;[17.894163824290104, 5.8052695909211689, 17.893094756884434, 5.6150203586640073];[17.894163824290104, 5.8052695909211689, 17.893094756884434, 5.6150203586640073];30453618.9165;89676588.35700001;40606420.6463;12748149.0208;0.00017325999913;0.00738967468701;0.000177544263341;0.00526696205786;0.000115152541509;2.23095445548e-05;0.00479779952469;0.00295985277988;773.528978303;2.7;1.7;2.14261151582;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Gierensstraat_57_4754004;[74.488450275109159, 54.621949667684802, 70.510911970083598, 45.474623409844341];245.872997284;527.844775655;210.027819855;[18.62211256877729, 7.5814276751542806, 17.627727992520899, 11.368655852461085];[18.62211256877729, 7.5814276751542806, 17.627727992520899, 11.368655852461085];38620871.4921;85650177.1164;49203095.6737;9310176.42282;0.000136620272488;0.005826961643810001;0.000185890611728;0.00551456172371;9.59201857605e-05;3.05477990592e-05;0.0065694848878;0.00253129684608;767.767500457;2.7;1.7;2.16433335448;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Gierensstraat_8_1589308;[61.821285076536533, 93.211215206352222, 60.953387925775893, 87.616107994578329];195.499546051;1012.13205602;250.52536744;[12.764118453049518, 23.302803801588055, 15.238346981443973, 21.904026998644582];[12.764118453049518, 23.302803801588055, 15.238346981443973, 21.904026998644582];47839935.2672;68102520.1239;92670270.4155;11105363.9031;0.000110292665688;0.00470406858993;0.000233788173915;0.006935472982430001;4.73114798803e-05;2.56097324727e-05;0.00550752445812;0.00190860178879;1420.51243474;2.7;1.7;1.99996283034;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Gierensstraat_25_1587004;[63.598263376570635, 43.421086152749254, 63.632820233940173, 43.210730056317892];118.640716553;688.4257660310001;153.270676792;[15.899565844142659, 10.855271538187313, 15.908205058485043, 10.802682514079473];[15.899565844142659, 10.855271538187313, 15.908205058485043, 10.802682514079473];33699341.2803;41328647.3025;63105944.3006;6794228.699659999;0.000156572614969;0.00667794468038;0.000385242800284;0.011428469577;6.98274498098e-05;4.18598506383e-05;0.009002208494339999;0.0026134012747;852.0185492610001;2.7;1.7;2.01065499052;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
