;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Haagsteeg_12_4753117;[51.1616883271247, 80.671532060937821, 42.528860887743932, 80.887243952792502];153.609695435;553.900433017;184.461357188;[12.790422081781175, 20.167883015234455, 5.3475236430821438, 20.221810988198126];[12.790422081781175, 20.167883015234455, 5.3475236430821438, 20.221810988198126];40220786.9139;53510136.39600001;51612258.6853;8176858.5695199985;0.000131185747267;0.00559517488597;0.00029754294963700004;0.00882679843794;9.1306385152e-05;3.4781743643e-05;0.0074800197156999985;0.00238737448492;879.770261152;2.7;1.7;2.16082167482;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Haagsteeg_3_1586941;[35.859534260899288, 58.608834521346594, 37.893372251662434, 59.477304061620487];122.05165100100001;324.14327483200003;161.280589095;[4.3452353801078125, 14.652208630336649, 9.4733430629156086, 14.869326015405122];[4.3452353801078125, 14.652208630336649, 9.4733430629156086, 14.869326015405122];30228943.2015;42516850.7362;30632278.6587;7149294.50342;0.000174547748884;0.0074445982227899984;0.000374476555603;0.011109082168;0.000162305211246;3.97809040366e-05;0.00855511873;0.0032239739075900003;620.012997808;2.7;1.7;2.2918341054400004;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Haagsteeg_25_1586943;[55.079662218221635, 64.790636965200406, 56.639891384030861, 62.071979449054467];412.346172333;633.633096225;452.90333393;[10.602168235123964, 16.197659241300101, 13.562829106009817, 15.513736234087048];[10.602168235123964, 16.197659241300101, 13.562829106009817, 15.513736234087048];37594468.1268;143641323.3;58503437.4202;20076435.3231;0.000140350276247;0.00598604922607;0.00011084250306999997;0.00328821245519;7.76356905384e-05;1.41661302912e-05;0.00304651011637;0.00250065164745;1220.27694618;2.7;1.7;2.07653047393;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Haagsteeg_5_1586925;[45.776168511277596, 68.19030980797983, 46.100993079040094, 68.240236095034334];155.779979706;539.867666905;185.68918622400003;[11.444042127819399, 17.047577451994957, 11.525248269760024, 17.060059023758583];[11.444042127819399, 17.047577451994957, 11.525248269760024, 17.060059023758583];35975474.7468;54266157.7334;50098258.8556;8231286.14465;0.000146666417166;0.00625543758404;0.000293397662259;0.00870382588491;9.25412029248e-05;3.45517569882e-05;0.00743055972513;0.00244805390557;1073.90922483;2.7;1.7;2.12289568627;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Haagsteeg_20_1586588;[39.120355380393782, 73.711837054664173, 42.398253584158269, 106.66738963334817];118.00721740700001;545.679665487;149.090265425;[9.4005682217088271, 17.947423012746562, 5.2450008724091024, 25.947009329542851];[9.4005682217088271, 17.947423012746562, 5.2450008724091024, 25.947009329542851];41268422.6748;41107967.0545;50951522.5287;6608918.16616;0.000127855479928;0.00545313637519;0.000387310902475;0.0114898211271;9.32418998888e-05;4.30335784798e-05;0.00925462560963;0.00238687035055;740.243533851;2.7;1.7;2.17994794788;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Haagsteeg_14_5213848;[28.261224102787889, 29.82609471385646, 29.31247599364886, 95.184699808675035];106.72898864700001;380.371802358;116.75219337899999;[7.0653060256969722, 7.3724124789851171, 2.9602255446849193, 23.796174952168759];[7.0653060256969722, 7.3724124789851171, 2.9602255446849193, 23.796174952168759];28770661.9607;37179181.4558;35516560.1116;5175426.37381;0.000183394945663;0.0078219380959;0.00042823868615;0.0127039695297;0.00013376724574700006;5.49530373014e-05;0.0118179757367;0.00339192576845;610.073665088;2.7;1.7;2.18001585156;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Haagsteeg_8_1588841;[43.413393081601718, 31.234975383582885, 37.727043798410477, 84.948845370011426];114.327484131;488.21900250699997;137.975113832;[10.85334827040043, 7.7907147882040677, 5.4832604145594317, 19.903484791524779];[10.85334827040043, 7.7907147882040677, 5.4832604145594317, 19.903484791524779];31093272.8701;39826127.2008;45213278.6988;6116202.38035;0.00016969567690799998;0.00723765355212;0.000399776853483;0.0118596313915;0.000101700707496;4.65003250193e-05;0.0100001699599;0.0031734006087300003;732.4618997;2.7;1.7;2.1041716045900003;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Haagsteeg_21_4752931;[69.554616623867346, 87.326847874942047, 80.110670417108977, 85.760328593403997];419.394462585;820.2548743980002;314.244580992;[14.633770049140701, 19.283926159290321, 16.335957497951572, 20.802409423034653];[14.633770049140701, 19.283926159290321, 16.335957497951572, 20.802409423034653];50857560.7365;146096604.34;75874283.6786;13929928.3827;0.000103748467496;0.00442495341059;0.000108979697993;0.00323295117288;6.03167903803e-05;2.04168600696e-05;0.004390766530310001;0.0019664387189;1224.99459554;2.7;1.7;2.09347826338;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Haagsteeg_10_1588842;[41.092067129407262, 76.682177145801404, 39.720414789884842, 14.10452330224639];102.463027954;443.39819359800003;121.075720015;[10.273016782351815, 18.795423800109059, 4.9175962658486654, 3.4040806120348921];[10.273016782351815, 18.795423800109059, 4.9175962658486654, 3.4040806120348921];27039656.7843;35693128.522;40985820.003;5367080.96404;0.000195135390551;0.00832267726733;0.000446068038249;0.0132328884554;0.000111339098591;5.2990703974e-05;0.0113959643468;0.00373701403581;668.28398391;2.7;1.7;2.08700920492;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Haagsteeg_34_2983518;[47.660208019106634, 49.858884859459607, 52.699859471569781, 50.307921504912805];160.009433746;200.526873855;182.020492255;[11.915052004776658, 12.430871626802434, 13.174964867892445, 12.339395990734733];[11.915052004776658, 12.430871626802434, 13.174964867892445, 12.339395990734733];31597923.5464;55739493.5274;24211716.0961;8068659.17398;0.000166985465967;0.0071220609324099985;0.000285642419965;0.008473761752470001;0.000290017311251;3.5248161118e-05;0.0075803255527;0.00280237859007;710.9479843260001;2.7;1.7;2.7;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Haagsteeg_6_4753521;[51.180493563259176, 77.141171584058057, 54.771615676834116, 44.040275474260639];127.978801727;628.8283347409999;157.13757382100002;[12.795123390814794, 19.285292896014514, 6.7078795885944134, 10.908691905542247];[12.795123390814794, 19.285292896014514, 6.7078795885944134, 10.908691905542247];35790458.4496;44581581.37;57962739.8556;6965641.6752;0.000147424599056;0.006287774635569999;0.0003571332225;0.0105945813011;7.78191041693e-05;4.08297486193e-05;0.00878067896175;0.00281158677797;934.999017314;2.7;1.7;2.06120121144;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Haagsteeg_13_1588436;[70.859015396241617, 57.398517102462009, 71.612319409217122, 56.420233274143641];165.054016113;586.3981174090001;190.31280849799998;[17.714753849060404, 14.349629275615502, 17.902069084955542, 14.10505831853591];[17.714753849060404, 14.349629275615502, 17.902069084955542, 14.10505831853591];40384784.1518;57496780.3299;54499873.5071;8436243.464639999;0.000130653019393;0.00557245362483;0.000276912267564;0.00821477629956;8.55918403782e-05;3.37123270283e-05;0.00725003534676;0.00218080380185;1150.45979201;2.7;1.7;2.13705816505;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Haagsteeg_26_1586974;[37.343986895170367, 49.350571431799295, 32.026602177285014, 49.30276946260301];135.13892746;438.301784886;160.700624747;[9.3359967237925918, 12.337642857949824, 8.0057587618919275, 12.325692365650752];[9.3359967237925918, 12.337642857949824, 8.0057587618919275, 12.325692365650752];26476288.1453;47075820.4443;40498583.9105;7123585.66924;0.000199287526938;0.00849976913683;0.000338211074571;0.0100332439009;0.00011249459232;3.99244722778e-05;0.00858599392953;0.00332643951937;733.15287556;2.7;1.7;2.08335214631;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
