;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Hengelhoefstraat_12_1587098;[94.608761977973714, 75.884575431772276, 94.956447446878514, 73.792241138717927];691.921779633;1220.90441003;654.66727676;[23.386644631855479, 18.937207474801838, 23.057853646241899, 11.766065873278926];[23.386644631855479, 18.937207474801838, 23.057853646241899, 11.766065873278926];53455895.4371;241031848.275;111513972.267;29020288.1176;9.870555799e-05;0.004209869369780001;6.605585084600001e-05;0.00195958829398;3.89045635214e-05;9.80022656625e-06;0.00210759669458;0.00181116564749;1805.88769762;2.7;1.7;1.9778612504;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hengelhoefstraat_34_1586947;[69.592856984740536, 111.15842581923044, 21.82670343806636, 58.441701620228876];535.54510498;674.87581274;586.307473232;[15.14085011524077, 27.495319501876118, 5.4566758595165901, 9.5507094084004294];[15.14085011524077, 27.495319501876118, 5.4566758595165901, 9.5507094084004294];41130048.9686;186557831.084;62380967.8879;25990014.1686;0.00012828562375399998;0.00547148234632;8.53438514281e-05;0.00253177894281;7.31445982562e-05;1.09428720094e-05;0.00235332935626;0.00242398988107;1500.95421369;2.7;1.7;2.0867669917;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hengelhoefstraat_29_1586922;[85.581323205780222, 52.685765855036848, 67.687212420882901, 59.114388794084761];378.442157745;738.069163298;280.96399384299997;[21.395330801445056, 13.171441463759212, 13.618746798462162, 14.77859719852119];[21.395330801445056, 13.171441463759212, 13.618746798462162, 14.77859719852119];41768068.533;131830815.898;68016765.1368;12454656.4972;0.000126326023019;0.00538790383992;0.000120772701817;0.00358279803654;6.62539857739e-05;2.28352663628e-05;0.00491085910931;0.00221915913452;902.366986217;2.7;1.7;2.05913800963;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hengelhoefstraat_66_1586881;[42.205449308225717, 72.408395110031393, 41.28738822480544, 71.523224655554344];153.701656342;397.7494161;185.880940685;[10.148104102435106, 18.102098777507848, 6.5649965178348637, 17.880806163888586];[10.148104102435106, 18.102098777507848, 6.5649965178348637, 17.880806163888586];35836297.0317;53542171.0971;37507626.2349;8239786.294089999;0.000147236026711;0.00627973187732;0.000297364927356;0.008821517295180001;0.000131507798981;3.45161134548e-05;0.007422894372439998;0.00265157467365;694.122504844;2.7;1.7;2.27177823045;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hengelhoefstraat_132_1589073;[55.752900017482716, 35.512624285572564, 39.554666880584627, 28.227240063271537];81.3422966003;272.676528232;97.79246168600001;[13.758374069473467, 8.8728553706763442, 9.4345008845292817, 4.0555706227877906];[13.758374069473467, 8.8728553706763442, 9.4345008845292817, 4.0555706227877906];25061820.7733;28335694.3944;25744991.139;4334973.67991;0.000210535141668;0.00897948871594;0.000561890723311;0.0166688411366;0.00019246732578;6.56071800131e-05;0.0141092121495;0.00386828242851;444.509893214;2.7;1.7;2.28328244194;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hengelhoefstraat_104_1589381;[50.531727314685256, 66.195762814694291, 42.75566092373893, 65.621490220112321];134.722896576;763.996227577;179.976758406;[12.632931828671314, 16.486914667071282, 10.688915230934732, 16.40537255502808];[12.632931828671314, 16.486914667071282, 10.688915230934732, 16.40537255502808];35470753.1621;46930895.547;69910189.8546;7978063.9247;0.000148753367679;0.00634444765822;0.000339255486886;0.0100642270481;6.25562522266e-05;3.56484231331e-05;0.00766640426673;0.00248562742334;904.527159947;2.7;1.7;1.99464103768;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hengelhoefstraat_25_1589349;[123.75381839580871, 23.159386146072706, 78.600665676679597, 68.379065114767968];241.144973755;511.02827316300005;242.58880998200001;[25.31835044572863, 5.789711404955189, 19.650166419169899, 17.094766278691992];[25.31835044572863, 5.789711404955189, 19.650166419169899, 17.094766278691992];46310034.7747;84003163.9952;48206936.6652;10753549.795;0.000113936299393;0.00485947242169;0.000189535287262;0.0056226833120400005;0.000102455313101;2.64475827976e-05;0.005687709126630001;0.00205926642854;1000.48917477;2.7;1.7;2.27510112604;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hengelhoefstraat_137_1586859;[53.656593093120875, 43.278899798463542, 53.263240835085732, 41.56160817713004];211.613033295;524.771175644;236.43176969700002;[13.414148273280219, 9.2920476539632837, 13.315810208771433, 10.39040204428251];[13.414148273280219, 9.2920476539632837, 13.315810208771433, 10.39040204428251];30216541.5848;73715674.2792;48393467.7411;10480618.6598;0.000174619387602;0.00744765367021;0.000215986138287;0.00640736441704;9.33853190944e-05;2.71363177883e-05;0.00583582566048;0.00301056116733;1032.60981481;2.7;1.7;2.0654170632900004;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hengelhoefstraat_141_1586858;[73.766680517980745, 41.468500244986259, 74.952453869306211, 36.041673006556834];121.409080505;520.084074485;161.46952680799998;[18.441670129495186, 5.49939853557182, 18.738113467326553, 9.0104182516392086];[18.441670129495186, 5.49939853557182, 18.738113467326553, 9.0104182516392086];35647971.9117;42293010.4716;48325778.3578;7157669.79122;0.000148013861772;0.006312907151979999;0.000376458512677;0.011167878169200002;9.64405888158e-05;3.97343558541e-05;0.008545108267990001;0.0027032012766999994;759.909402341;2.7;1.7;2.13498603156;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Hengelhoefstraat_69_4753719;[63.87757386030686, 41.981757646108591, 64.781705637861151, 59.847952116862054];119.509777069;708.528097538;168.431072167;[15.969393465076715, 10.495439411527148, 16.194095252874604, 14.95788034004288];[15.969393465076715, 10.495439411527148, 16.194095252874604, 14.95788034004288];36319189.1488;41631385.6592;65053121.447;7466263.26954;0.00014527840820899998;0.006196237914699999;0.000382441361648;0.0113453631407;6.82029013905e-05;3.80920667143e-05;0.00819192427382;0.0024251151263200003;882.876163021;2.7;1.7;2.02530677338;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
