;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Koerweg_49_1586937;[93.996328747152404, 44.965421870857341, 92.408799765863776, 43.793637835108775];269.341537476;515.677234484;229.33430933;[23.499082186788101, 8.2232636985819774, 23.102199941465944, 10.36445404054793];[23.499082186788101, 8.2232636985819774, 23.102199941465944, 10.36445404054793];43358861.6573;93825473.4941;48429331.3674;10166000.3001;0.000121691248001;0.00519022705471;0.00016969340229100002;0.005034061335;0.000100298865529;2.79761351736e-05;0.006016433356979999;0.00214341981062;761.327018958;2.7;1.7;2.23359770379;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Koerweg_83_1587113;[77.362968596834705, 36.48487495932897, 77.274602537310869, 44.020651268781172];246.97617340099998;527.1205906480001;207.21169029700002;[19.340742149208676, 5.4801335230080834, 18.474458023797695, 11.005162817195293];[19.340742149208676, 5.4801335230080834, 18.474458023797695, 11.005162817195293];37052557.9444;86034469.9458;49038614.9783;9185342.18408;0.000142402961623;0.0060735978653;0.00018506028838;0.005489929660189999;9.54948132293e-05;3.09629617352e-05;0.006658768077090001;0.0025732249744;707.6942987939999;2.7;1.7;2.14608975922;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Koerweg_71_4752845;[96.809931055829509, 71.537967651601704, 94.535925140382261, 73.881189790594931];450.21677398699995;1030.60060019;388.111059585;[20.842280656985494, 15.109316432943087, 23.087355748033637, 17.645711456267595];[20.842280656985494, 15.109316432943087, 23.087355748033637, 17.645711456267595];53065581.4329;156833596.445;94639164.7711;17204303.8817;9.94315683442e-05;0.00424083428011;0.000101518833845;0.003011619953;4.69131590573e-05;1.65310610953e-05;0.00355510247512;0.001822103481;1406.2180729;2.7;1.7;2.02676578451;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Koerweg_109_1586981;[85.867776507880009, 78.957068199829763, 86.140836447916982, 74.482265016948546];359.266365051;802.968337408;278.863876295;[19.050164173045488, 13.889305931503987, 20.00664108865147, 16.555989977494566];[19.050164173045488, 13.889305931503987, 20.00664108865147, 16.555989977494566];51282300.0917;125150903.672;74371053.811;12361561.8543;0.00010288918354899997;0.00438830427716;0.000127218928123;0.0037740293877;6.18594182425e-05;2.30072382375e-05;0.00494784267825;0.0020104053172;1162.10406962;2.7;1.7;2.10531853002;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Koerweg_90_1586982;[125.59946941989108, 151.79384151200077, 129.79981404239388, 147.36714256840443];333.735233307;1505.45610342;355.324112136;[27.755156207024633, 29.993185085922814, 23.352671370246775, 29.998290669089599];[27.755156207024633, 29.993185085922814, 23.352671370246775, 29.998290669089599];87384561.4745;116257100.855;138875214.014;15750914.2054;6.03813064681e-05;0.00257531002087;0.00013695132341799994;0.0040627470054;3.25851814178e-05;1.80564375415e-05;0.00388314370297;0.00125768019744;2726.14969228;2.7;1.7;2.06836694626;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Koerweg_28_4753040;[94.691054801497984, 85.452453956962415, 92.717842827345834, 82.506117141599475];396.66242981;829.5174626239999;315.93976391900003;[23.672763700374496, 21.363113489240604, 23.179460706836458, 18.053012760220223];[23.672763700374496, 21.363113489240604, 23.179460706836458, 18.053012760220223];55996854.1465;138177871.275;77023020.6683;14005072.9618;9.422661446600003e-05;0.004018838919880001;0.00011522513461700002;0.00341822597206;6.03362559038e-05;2.0307312882e-05;0.00436720775959;0.0016196831478299998;1380.88232835;2.7;1.7;2.12840263736;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Koerweg_9_4752511;[124.92422920823024, 18.35211837137448, 83.543463914686697, 56.274567866711521];286.743431091;856.5812415439999;339.436800297;[31.231057302057561, 4.5880295928436201, 20.525613521594909, 13.883748254759904];[31.231057302057561, 4.5880295928436201, 20.525613521594909, 13.883748254759904];44608457.6271;99887445.6782;78691250.1741;15046656.6636;0.000118282367686;0.00504483563893;0.000159395044199;0.00472855407552;5.65184752207e-05;1.89015676325e-05;0.00406489392825;0.00198961242052;1270.26407275;2.7;1.7;2.03049332116;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Koerweg_45_1588947;[45.251350039751955, 32.439127083406859, 60.095236777729504, 40.429701366420439];126.521217346;684.300284652;169.37448144799998;[11.080676260197837, 4.7306002000214367, 15.023809194432376, 10.10742534160511];[11.080676260197837, 4.7306002000214367, 15.023809194432376, 10.10742534160511];28082206.4302;44073829.9626;62382167.6558;7508083.00015;0.000187891004935;0.00801369854588;0.000361247566465;0.0107166358983;6.89621284803e-05;3.78798953827e-05;0.008146295573890001;0.00341277050064;734.116148624;2.7;1.7;1.96043451868;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Koerweg_72_1586991;[53.921797452221341, 38.592377448774577, 47.090501233739069, 38.101334577369876];207.105449677;177.706010712;213.58822969099998;[13.335559048055432, 9.6480943621936444, 11.772625308434767, 8.512753262137263];[13.335559048055432, 9.6480943621936444, 11.772625308434767, 8.512753262137263];28001937.2579;72145451.6865;21456313.5465;9468003.34183;0.000188429605365;0.00803667027613;0.000220687007241;0.00654681864641;0.000327261101389;3.00385824024e-05;0.00645997483358;0.0032292701582;800.8569129760001;2.7;1.7;2.7;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Koerweg_19_1587143;[86.866776517903091, 55.69357851989637, 98.124147162987072, 54.806824006431626];123.149326324;827.017945165;162.899506567;[21.716694129475773, 10.013856722922041, 24.531036790746768, 13.701706001607906];[21.716694129475773, 10.013856722922041, 24.531036790746768, 13.701706001607906];46561900.4307;42899227.3571;76198513.265;7221058.36445;0.000113319987762;0.004833186247840001;0.000371138708076;0.0110100628252;5.9090515838e-05;3.9385555997e-05;0.00847009679546;0.00199715288505;992.43433164;2.7;1.7;2.05729735725;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
