BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Lantmeetersweg_16_1588964;[49.624091622035905, 60.950114884359948, 66.993597282173255, 82.945539621807924];125.794750214;460.876075344;139.365815722;[12.406022905508976, 15.237528721089987, 12.340620472742696, 11.156579884412409];[12.406022905508976, 15.237528721089987, 12.340620472742696, 11.156579884412409];41050261.9906;43820764.1959;43430085.6899;6177849.83239;0.00012853496497;0.005482116944510001;0.000363333778197;0.0107785246794;0.000113279842948;4.60363081471e-05;0.00990038038669;0.00273221234202;822.5232976130001;2.7;1.7;2.26525681707;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Lantmeetersweg_31_1588959;[39.929917516738413, 36.947692813056001, 102.41261974825798, 137.18090611859552];186.883899689;640.786909207;192.335127525;[9.3668084861915233, 3.1416573692694101, 23.720925746327513, 33.507966760694416];[9.3668084861915233, 3.1416573692694101, 23.720925746327513, 33.507966760694416];49867783.6738;65101248.5526;59921996.1614;8525889.43122;0.000105807669767;0.00451278000055;0.000244566182259;0.00725520936781;7.97471549556e-05;3.33578567802e-05;0.007173804423100001;0.00200362326637;1095.6867486;2.7;1.7;2.19387890366;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Lantmeetersweg_18_1587036;[65.68457673213544, 99.757423160022086, 68.479701479835327, 98.946185806557907];97.23334884639999;576.450589815;165.885848683;[10.456434734128496, 24.568321563883181, 6.0673934341580544, 24.736546451639477];[10.456434734128496, 24.568321563883181, 6.0673934341580544, 24.736546451639477];52451493.6473;33871363.0302;54392077.8694;7353437.836730001;0.000100595686034;0.00429048481151;0.0004700597317149999;0.0139446171072;9.08890623337e-05;3.86765217691e-05;0.0083176147906;0.0021225909345;770.152168801;2.7;1.7;2.27744391811;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Lantmeetersweg_22_1588522;[40.194532876327287, 95.304102847469451, 38.876582825459259, 94.271993936478566];120.939250946;504.41996334;139.620592529;[10.048633219081822, 23.826025711867363, 3.8794734844650232, 23.567998484119641];[10.048633219081822, 23.826025711867363, 3.8794734844650232, 23.567998484119641];42331952.4106;42129344.736;47366965.1871;6189143.65537;0.000124643293931;0.00531613412611;0.000377920993515;0.0112112635816;0.000102506223111;4.59523020319e-05;0.009882314374700002;0.00227858020751;772.796174981;2.7;1.7;2.23258640024;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Lantmeetersweg_43_1587034;[62.6964253646575, 60.112336148113201, 60.957700514150204, 56.105996051746523];119.517757416;494.463049509;136.148658315;[15.674106341164375, 8.1540564836667144, 8.072635570413885, 14.026499012936631];[15.674106341164375, 8.1540564836667144, 8.072635570413885, 14.026499012936631];37797784.6338;41634165.6233;46195080.1515;6035238.710390001;0.000139595323856;0.005953849915160001;0.000382415825571;0.011344605597;0.000103065919505;4.71241341425e-05;0.0101343238018;0.00304236046176;749.3596649469999;2.7;1.7;2.18511705438;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Lantmeetersweg_23_1588415;[43.970942479358015, 37.630679994508064, 47.777663831731374, 76.332701663348729];108.239891052;419.71034002;120.409502935;[5.4445459987446672, 9.4026789990028945, 11.944415957932843, 19.083175415837182];[5.4445459987446672, 9.4026789990028945, 11.944415957932843, 19.083175415837182];32414965.3533;37705506.2658;39232549.2876;5337548.69276;0.000162776480846;0.006942544419899999;0.0004222609744719999;0.0125266369592;0.000121611638538;5.32838977106e-05;0.0114590173942;0.00304584093849;641.2215131730001;2.7;1.7;2.19012847279;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Lantmeetersweg_35_1588844;[67.520813231199256, 14.593685236228744, 56.151821283826891, 24.083625617413549];84.7922935486;246.232536616;92.5074073251;[14.017204086826935, 3.648421309057186, 13.617798581943301, 6.0209064043533873];[14.017204086826935, 3.648421309057186, 13.617798581943301, 6.0209064043533873];25582212.8122;29537505.3006;23437583.5576;4100696.19925;0.000206252446796;0.00879682842478;0.0005390287248960001;0.0159906255978;0.000217712026249;6.93553935115e-05;0.0149152876343;0.00374560787765;472.523300013;2.7;1.7;2.35933587656;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Lantmeetersweg_37_1588843;[46.130354944390675, 19.858307563418983, 71.024599919594721, 23.625351236289028];82.4447631836;247.071719132;90.4250977535;[11.532491949900505, 2.2065779843624846, 17.75614997989868, 5.9063378090722569];[11.532491949900505, 2.2065779843624846, 17.75614997989868, 5.9063378090722569];25312550.5602;28719740.0569;23494554.5505;4008390.95373;0.000208449716453;0.008890543696860001;0.000554377016897;0.0164459423177;0.000216432275319;7.09525098359e-05;0.0152587569473;0.003735870970510001;434.34609822;2.7;1.7;2.35016997586;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Lantmeetersweg_13_1588520;[59.229357776071353, 80.284340034778893, 59.69957141878573, 80.800002062630398];169.57093811;619.155147513;198.215069306;[14.807339444017838, 20.071085008694723, 14.924892854696433, 20.200000515657599];[14.807339444017838, 20.071085008694723, 14.924892854696433, 20.200000515657599];44122953.5382;59070255.9589;57639154.8402;8786537.26053;0.000119583880132;0.00510034616427;0.000269536056012;0.0079959563521;8.14606166497e-05;3.23683141763e-05;0.00696099743266;0.00199601101912;1261.85462218;2.7;1.7;2.1522505747;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Lantmeetersweg_20_1588963;[40.006478560123, 74.687842892703358, 36.955524739139193, 74.239842942513931];130.29970932;438.390413927;131.069858237;[10.00161964003075, 18.67196072317584, 6.9652627546261288, 18.559960735628483];[10.00161964003075, 18.67196072317584, 6.9652627546261288, 18.559960735628483];35594456.6929;45390072.5365;41089905.9438;5810104.131659999;0.00014823639626;0.00632239842222;0.000350771940406;0.0104058698733;0.000117331210396;4.89501379193e-05;0.0105270167155;0.00257805309002;744.0508832139999;2.7;1.7;2.21527059433;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
