;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Vogelsberg_71_1586914;[147.68009431189924, 133.92725523156409, 152.13600513180504, 120.55854428860219];338.895641327;1319.62790299;363.58935267;[26.893646637318465, 33.010027961764649, 27.631841091458224, 24.98327649537271];[26.893646637318465, 33.010027961764649, 27.631841091458224, 24.98327649537271];87343849.1728;118054735.674;122419971.837;16117298.2758;6.0409451117e-05;0.0025765104122;0.000134865947799;0.0040008830282;3.78237797577e-05;1.76459722779e-05;0.003794870720010001;0.00124181384314;1854.60580282;2.7;1.7;2.12004408796;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Vogelsberg_86_4752556;[38.423017312318422, 55.293589791706793, 91.789476053534955, 40.305993876220356];446.537643433;613.380161751;483.458355382;[9.1023005675971937, 12.743169277561449, 22.664816401555221, 9.04279331870063];[9.1023005675971937, 12.743169277561449, 22.664816401555221, 9.04279331870063];35582227.0043;155551966.55;56581673.5442;21430887.512;0.000148287345431;0.00632457144428;0.000102355271822;0.0030364334108400003;7.996966701e-05;1.32708175716e-05;0.00285396781996;0.00260913835178;1185.30496592;2.7;1.7;2.0681437567;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Vogelsberg_50_1586961;[95.547615073075676, 64.673890074048188, 88.317715236738096, 54.644350223347956];459.912334442;895.339835866;356.93588910000005;[17.674580832325393, 14.02993023192335, 22.079428809184524, 13.552761564069376];[17.674580832325393, 14.02993023192335, 22.079428809184524, 13.552761564069376];47774002.0597;160211057.49;82325141.3748;15822361.5398;0.000110444881306;0.00471056070525;9.93786825221e-05;0.00294813102014;5.42271327892e-05;1.79749020305e-05;0.00386560900903;0.00207505551604;1128.49476366;2.7;1.7;2.03862401567;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Vogelsberg_59_1589355;[69.568618344029574, 52.127528544988138, 68.74177458308165, 52.661089615722133];182.227649689;597.38237443;211.753844185;[17.392154586007393, 12.563585003121267, 17.185443645770413, 13.165272403930533];[17.392154586007393, 12.563585003121267, 17.185443645770413, 13.165272403930533];38306207.1376;63479237.8332;55339412.2368;9386688.14893;0.00013774253264;0.00587482691842;0.000250815295871;0.00744059324713;8.31928012264e-05;3.02988012447e-05;0.00651593643488;0.0023169558262;1137.20449122;2.7;1.7;2.10694038106;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Vogelsberg_52_1586962;[78.010819550318729, 65.535977032609139, 65.52762297318526, 63.584946957973642];187.13384246799998;1021.19473639;299.400777931;[19.502704887579682, 16.066883341429268, 16.381905743296315, 15.591309014151616];[19.502704887579682, 16.066883341429268, 16.381905743296315, 15.591309014151616];42964165.6088;65188316.4436;93161537.8438;13271927.8122;0.000122809180912;0.00523790776909;0.000244239530753;0.00724551904579;4.63252929839e-05;2.14290947475e-05;0.00460845358549;0.0020687236474;1359.94725659;2.7;1.7;1.96700036418;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Vogelsberg_13_1586884;[72.416925657279393, 60.989403496494582, 71.562116955751293, 56.556175646337053];188.02516937299998;1013.62529925;224.929027218;[17.692327672413768, 13.605059994589283, 17.536604232569125, 13.548350086089805];[17.692327672413768, 13.605059994589283, 17.536604232569125, 13.548350086089805];41209613.6786;65498811.3254;92379375.0515;9970721.62853;0.00012803793862599998;0.00546091838157;0.000243081721586;0.0072111719098000016;4.65139654705e-05;2.85240536409e-05;0.00613426646448;0.00223985489006;1314.79432384;2.7;1.7;1.95800916961;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Vogelsberg_10_1586946;[75.542658968833024, 45.748550394245399, 75.594266929942805, 58.627502415683864];156.537284851;517.602547801;191.66180601099998;[16.487147645358828, 11.43713759856135, 18.347776810495628, 5.7102083202432965];[16.487147645358828, 11.43713759856135, 18.347776810495628, 5.7102083202432965];40262331.9814;54529965.9618;48401428.851;8496042.23247;0.000131050382015;0.005589401451929999;0.000291978246052;0.00866171801181;9.87191281831e-05;3.34750452962e-05;0.00719900650667;0.00268798174345;799.674823542;2.7;1.7;2.19364706529;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Vogelsberg_53_1589298;[57.944751832005423, 62.39966813619877, 51.852302799608438, 68.263951537241383];152.953895569;852.27625658;199.331817155;[14.486187958001356, 13.744806376129205, 12.96307569990211, 16.587015626267636];[14.486187958001356, 13.744806376129205, 12.96307569990211, 16.587015626267636];37890472.5164;53281687.6633;77881178.8445;8836040.79537;0.000139253845005;0.00593928557469;0.00029881868456200003;0.00886464391555;5.58198606317e-05;3.21869721017e-05;0.00692199874684;0.00241822029049;1031.1225601;2.7;1.7;1.98213935616;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Vogelsberg_46_1589343;[87.709396450394891, 45.811789141962215, 113.71933850910882, 40.125911352285335];101.38591003399999;496.780955717;129.467421261;[21.70750976331572, 10.359003074787946, 28.209737836535599, 6.8187837131475861];[21.70750976331572, 10.359003074787946, 28.209737836535599, 6.8187837131475861];45281624.7653;35317913.0993;46879784.8553;5739070.82302;0.000116523954569;0.004969837942020001;0.00045080703874;0.0133734738807;0.000105495969725;4.95560008476e-05;0.0106573111221;0.0020825295795;721.705389703;2.7;1.7;2.27845702849;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Vogelsberg_15_4753095;[113.92425007727819, 47.983298867941684, 110.04837750271719, 45.114662274134304];155.20396804799998;627.478524818;156.800140138;[28.481062519319547, 11.995824716985421, 26.658905779746455, 10.345329686445412];[28.481062519319547, 11.995824716985421, 26.658905779746455, 10.345329686445412];49962242.1107;54065503.3262;58749863.2659;6950683.81332;0.00010560763016399998;0.004504248154760001;0.000294486554998;0.00873612857176;8.17253243065e-05;4.09176141814e-05;0.00879957497064;0.00180337337504;949.7137465860001;2.7;1.7;2.20530906825;5.0;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
