BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Asbergstraat_29_1578017;[62.189649535890865, 43.783583062369438, 88.081378218753201, 50.858271042183787];212.301776886;375.374071129;235.40187103;[13.996733334957868, 10.583307962780745, 20.333693377832894, 7.5798703853962381];[13.996733334957868, 10.583307962780745, 20.333693377832894, 7.5798703853962381];44925167.825;56474803.6927;35703744.4856;8312232.4663;0.000189721227057;0.00161343430426;0.000148877808163;0.00105112112024;0.000142544635842;2.04719293492e-05;0.00192351876884;0.000455833044118;735.4121902139999;2.7;1.7;2.35245018422;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Asbergstraat_43_1574412;[47.192277153898104, 50.765426389595561, 37.996390670581462, 8.8200651110123331];169.399837494;276.934536828;204.018840487;[11.783651417623418, 12.683479427097199, 9.4931210538915352, 0.65889046282035779];[11.783651417623418, 12.683479427097199, 9.4931210538915352, 0.65889046282035779];26556395.707;45062376.3417;25977779.1904;7204072.007610001;0.00032094935094;0.00272942938844;0.000186582370323;0.00131732642045;0.000186159021737;2.36210070644e-05;0.00221940246335;0.0006911875384389999;500.128208147;2.7;1.7;2.22277394139;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Asbergstraat_24_1574476;[37.008995595593163, 28.116435002968529, 30.510422325612254, 30.557354231210901];135.141639709;247.15017737;158.473808557;[8.1030329111074568, 3.6984318531097564, 6.8278071547839421, 7.4974337578201524];[8.1030329111074568, 3.6984318531097564, 6.8278071547839421, 7.4974337578201524];23148031.1154;35949287.3081;23153477.1411;5595839.705030001;0.000368206605694;0.00313131628917;0.000233880714189;0.00165126664165;0.000207823965888;3.04096337197e-05;0.00285725396056;0.0009158567516189999;397.721713278;2.7;1.7;2.21059322918;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Asbergstraat_36_1574480;[47.940990451894741, 29.74626362892575, 33.09288680164574, 28.414291334486723];152.829406738;231.642544705;168.791157893;[11.36612989659724, 3.9764970118639624, 6.6048624994571448, 7.1035728336216808];[11.36612989659724, 3.9764970118639624, 6.6048624994571448, 7.1035728336216808];25532888.1853;40654444.2096;21911976.2535;5960153.74271;0.000333814878427;0.00283884088504;0.000206812444584;0.00146015669571;0.000227704864758;2.85508466946e-05;0.00268260448473;0.000823664194883;520.962588965;2.7;1.7;2.30090184381;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Asbergstraat_31_1574293;[13.216159899281585, 22.640234149055196, 44.309849885340448, 24.933301633595171];124.343978882;194.5798541;138.598849716;[1.492841495861178, 5.660058537263799, 10.443351749443305, 3.7154905245536485];[1.492841495861178, 5.660058537263799, 10.443351749443305, 3.7154905245536485];19278752.0489;33076980.7993;18286624.9983;4894038.66399;0.000442106311854;0.0037597769145;0.000254190218908;0.00179465771931;0.000266332137031;3.47703496983e-05;0.00326698178286;0.00112277632898;406.906944734;2.7;1.7;2.2401358021;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Asbergstraat_39_1577409;[45.568906329141541, 23.938375521934589, 30.264856527554279, 27.333879924383503];132.102676392;216.970756767;147.97961997;[10.991377295813395, 5.9845938804836472, 6.1653772183332354, 3.6680320646392088];[10.991377295813395, 5.9845938804836472, 6.1653772183332354, 3.6680320646392088];23315471.038;35140886.8354;20491047.6535;5225281.32883;0.0003655623320490001;0.00310882875904;0.000239261036001;0.00168925329634;0.000242058517584;3.25661768382e-05;0.00305988025404;0.0008925353507519999;439.7602924;2.7;1.7;2.28582096591;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Asbergstraat_17_1574442;[72.446225819706029, 24.392195648667965, 78.588483265480093, 17.79513069820996];116.217975616;341.52560904;140.297903787;[17.995291438180168, 6.0980489121669912, 18.912282215074931, 3.1093619827546171];[17.995291438180168, 6.0980489121669912, 18.912282215074931, 3.1093619827546171];35443347.4604;30915367.0533;32184983.4763;4954033.651930001;0.000240475535642;0.00204506098005;0.000271963291774;0.00192014084195;0.000152889431625;3.43492692501e-05;0.00322741755169;0.00051888382976;532.959279603;2.7;1.7;2.26576148411;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Asbergstraat_12_1574466;[91.164901888079953, 36.553210867711286, 112.68469887496138, 36.698747717614211];248.029510498;517.544125266;211.823813447;[22.403142920236629, 5.0420675278736038, 28.052112783635497, 9.1746869294035527];[22.403142920236629, 5.0420675278736038, 28.052112783635497, 9.1746869294035527];50829641.8048;65978806.7761;48614161.5783;7479671.98205;0.000167682825667;0.00142601451279;0.000127432510545;0.000899711010605;9.99914273682e-05;2.27506548673e-05;0.00213762517905;0.0003699949906;809.241254345;2.7;1.7;2.23541629751;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Asbergstraat_45_1574411;[59.714450303192883, 34.601005910726201, 44.315949133760192, 36.819741294394817];174.650009155;313.733815709;203.852564703;[12.366595890212643, 8.6502514776815502, 10.762870275089609, 6.1297604634453871];[12.366595890212643, 8.6502514776815502, 10.762870275089609, 6.1297604634453871];32183575.4336;46458984.5957;29545236.3678;7198200.673810001;0.000264832538046;0.00225219870437;0.000180973498741;0.00127772613714;0.000166115687443;2.36402739373e-05;0.00222121275641;0.000631196233419;560.841554072;2.7;1.7;2.25923568916;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Asbergstraat_42_1577002;[54.653146629480155, 23.64535784836508, 40.348096569121481, 27.497701536604271];153.51140213;260.559776522;177.602244869;[13.405561513536803, 3.2948220093638581, 10.08702414228037, 6.8744253841510679];[13.405561513536803, 3.2948220093638581, 10.08702414228037, 6.8744253841510679];26807725.5487;40835863.1146;24542023.6646;6271280.42536;0.000317940362004;0.00270384023299;0.000205893652024;0.00145366974996;0.000200112668975;2.71344006713e-05;0.00254951685707;0.000710844229921;409.151446101;2.7;1.7;2.26088589165;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
