BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Boekweitstraat_36_1574928;[65.896367795499131, 43.152948315227029, 14.815119555941827, 99.228959716785255];139.233078003;324.643184812;154.52445051;[16.474091948874783, 8.87271979334826, 3.7037798889854567, 24.729496145842411];[16.474091948874783, 8.87271979334826, 3.7037798889854567, 24.729496145842411];40922748.3347;37037658.6719;30992590.1856;5456384.64446;0.000208276773001;0.00177123506713;0.000227008004601;0.00160274329025;0.000166366568881;3.11868474956e-05;0.00293028006669;0.000444928983583;653.376513005;2.7;1.7;2.38719568382;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Boekweitstraat_17_1578139;[87.72784043312592, 29.574823395647687, 27.157442209310293, 30.658614431504226];149.802150726;416.712165294;172.085104865;[21.93196010828148, 6.9291989144408275, 6.7773269592583443, 3.5830606703365553];[21.93196010828148, 6.9291989144408275, 6.7773269592583443, 3.5830606703365553];32122597.4178;39849158.0198;38658603.6177;6076465.70251;0.00026533526709;0.00225647403138;0.000210991785222;0.00148966407003;0.000119786541721;2.80043439912e-05;0.00263125572375;0.000610080984408;692.6447406269999;2.7;1.7;2.12023904041;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Boekweitstraat_15_1574667;[27.424571385091902, 30.087672511114853, 81.681739910750892, 32.47410682978898];97.0473365784;418.345672424;121.326481781;[6.7417541814624382, 6.8593719601432568, 20.420434977687723, 5.5303335103611833];[6.7417541814624382, 6.8593719601432568, 20.420434977687723, 5.5303335103611833];31489637.1457;25815748.5187;38768451.8091;4284137.23506;0.000270668662393;0.00230183048977;0.000325686663089;0.00229944364696;0.000118930584476;3.9720351251e-05;0.00373207819512;0.000604985425242;546.1918513119999;2.7;1.7;2.11034986604;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Boekweitstraat_34_4753416;[34.38117376090365, 46.21731667878943, 35.585282479736854, 43.334695331133197];134.274051666;288.686604847;144.116606268;[8.5952934402259125, 11.408562911464287, 4.3871707021906925, 10.764423601084159];[8.5952934402259125, 11.408562911464287, 4.3871707021906925, 10.764423601084159];29260992.3289;35718498.5454;27167020.6405;5088875.15766;0.00029128396842;0.00247714794081;0.00023539189307;0.00166193600909;0.000180174731949;3.34391059934e-05;0.00314189966634;0.000680643238698;637.5895490409999;2.7;1.7;2.25256622778;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Boekweitstraat_30_1574929;[62.178482937159615, 43.343109977772116, 49.067586194884747, 86.222918449680321];119.373882294;475.296548853;133.017125702;[15.544620734289904, 10.308891250603692, 7.0708731145804053, 21.55572961242008];[15.544620734289904, 10.308891250603692, 7.0708731145804053, 21.55572961242008];44172947.6009;31754875.8539;44507758.9631;4696943.426969999;0.000192951985964;0.00164090944414;0.000264773354142;0.00186937776725;0.000107936891385;3.62293986355e-05;0.00340407233097;0.000439211993554;691.363563342;2.7;1.7;2.20665652452;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Boekweitstraat_13_1577290;[39.479604479903784, 79.643754139924113, 31.911348455738271, 41.968099048710798];117.662384033;316.140005526;138.075553384;[6.1015848013550968, 16.363227198190284, 7.9778371139345676, 10.298017257432706];[6.1015848013550968, 16.363227198190284, 7.9778371139345676, 10.298017257432706];35403133.5143;31299596.9123;29935585.2669;4875560.6428;0.000240748688588;0.00204738393748;0.000268624705097;0.00189656943792;0.000167297321754;3.49021268016e-05;0.00327936340685;0.000587332557937;627.839823194;2.7;1.7;2.31049788939;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Boekweitstraat_21_1578140;[30.446476062879178, 75.702227900115957, 28.280269147042755, 28.714642854691199];114.51927948;402.353622679;136.865275898;[4.3994039964813574, 18.918393187789924, 6.7294335336799351, 7.1199705440816201];[4.3994039964813574, 18.918393187789924, 6.7294335336799351, 7.1199705440816201];29925964.9846;30463493.6293;37266682.9882;4832824.7556;0.000284811466226;0.0024221042473;0.000275997398477;0.00194862282197;0.000123457835257;3.52107606606e-05;0.00330836228675;0.0006438020345669999;599.359151725;2.7;1.7;2.10547321254;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Boekweitstraat_14_1577285;[58.766191557603975, 39.18994230586479, 19.221159783802417, 86.226870824245296];81.8854446411;530.945943036;97.95815400069999;[14.691547889400994, 9.7953774830856126, 4.8052899459506042, 18.461292003696947];[14.691547889400994, 9.7953774830856126, 4.8052899459506042, 18.461292003696947];37311088.5627;21782504.5048;49057437.3765;3458982.48157;0.000228437665419;0.00194268807708;0.000385990738042;0.00272520815547;9.28575394832e-05;4.91958073481e-05;0.00462238107451;0.0005010798396489999;839.797097864;2.7;1.7;2.08309769034;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Boekweitstraat_32_1576969;[29.413784497404773, 47.160492408938637, 25.971216567523321, 66.064953528189235];77.02156066890001;368.316806865;90.5962659303;[7.3534137907471884, 10.372861475667165, 3.4213538792923037, 16.516238382047309];[7.3534137907471884, 10.372861475667165, 3.4213538792923037, 16.516238382047309];30928763.6122;20488653.3815;34308363.8449;3199028.19674;0.000275577067106;0.0023435727274;0.000410365914913;0.00289730407449;0.000137180504822;5.3193477931e-05;0.004997997571939999;0.0006353123394470001;483.86954736;2.7;1.7;2.15778645953;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Boekweitstraat_16_1578136;[58.534683385188394, 85.860008028113469, 56.940477172757682, 0.014130020626293316];80.3625602722;522.799539696;96.43058255870001;[14.633670846297099, 18.423928488207622, 14.23511929318942, 0.0];[14.633670846297099, 18.423928488207622, 14.23511929318942, 0.0];36934157.8225;21377399.107;48315477.5913;3405042.68543;0.000230768981019;0.00196251413778;0.000393305329059;0.00277685131975;9.436953400299999e-05;4.99751255725e-05;0.00469560491218;0.000505962027263;823.5907277360001;2.7;1.7;2.08513671746;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
