BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Flekeleerstraat_3840_1574449;[39.856900576557798, 20.377829467473923, 40.022388276862856, 30.08805478767491];101.049259186;210.214313734;113.344980498;[9.5706687948768288, 2.4340983229270292, 9.5638792403225192, 7.4917427744577685];[9.5706687948768288, 2.4340983229270292, 9.5638792403225192, 7.4917427744577685];23909639.7569;26880307.6428;19925701.6579;4002303.90125;0.000356477891433;0.00303157252182;0.0003127882724379999;0.00220837721472;0.000252273041552;4.25173699905e-05;0.003994882836070001;0.000823399841017;347.60894424;2.7;1.7;2.32005850503;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Flekeleerstraat_4446_1574451;[72.809674250390003, 30.61109544621451, 64.464652999164016, 32.362427981665874];160.759841919;281.976572296;171.758597203;[17.430373137843745, 4.9300526160710376, 15.592819339580252, 8.0906069954164685];[17.430373137843745, 4.9300526160710376, 15.592819339580252, 8.0906069954164685];36732115.6404;42764034.5136;26984885.6984;6064936.450119999;0.000232038308082;0.00197330879613;0.00019661019092;0.00138812578369;0.000192699994763;2.80575793635e-05;0.00263625765766;0.0005196854456369999;549.793170587;2.7;1.7;2.41015775902;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Flekeleerstraat_26_1577680;[61.299116791328665, 41.955276452785583, 50.337925344752648, 43.157926379981468];111.416095734;276.759926671;121.858476131;[14.26700591433994, 9.5720637692469204, 12.108357540422043, 10.789481594995367];[14.26700591433994, 9.5720637692469204, 12.108357540422043, 10.789481594995367];36090538.4304;29638009.757;26487753.5813;4302922.39036;0.000236163225492;0.00200838807195;0.000283684534122;0.00200289626091;0.000196370471775;3.95469451564e-05;0.00371578515933;0.0005119790845460001;582.31559109;2.7;1.7;2.41090582851;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Flekeleerstraat_29_1574423;[37.17250410131448, 34.876528781745165, 71.39750541621801, 26.531091664257975];93.08179473879999;331.807586018;105.623557263;[8.4207343823140697, 8.7023125681037818, 16.519563896135896, 2.354245881708394];[8.4207343823140697, 8.7023125681037818, 16.519563896135896, 2.354245881708394];31179550.437;24760867.1126;31089978.0535;3729654.13591;0.000273360515017;0.00232472264281;0.000339561815504;0.0023974063046;0.000154879198156;4.56255270819e-05;0.00428692167618;0.000664733589721;542.624667621;2.7;1.7;2.21227770891;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Flekeleerstraat_17_1577067;[103.15731781569087, 34.05637857689554, 115.13298133653055, 30.905586553289723];143.817310333;450.729429505;153.825662473;[25.461863866862757, 8.514094644223885, 28.741014682437452, 4.1145667661041507];[25.461863866862757, 8.514094644223885, 28.741014682437452, 4.1145667661041507];51957885.6494;38257119.1246;42761694.9754;5431709.867740001;0.000164041662954;0.00139504920163;0.00021977203675;0.00155165522866;0.000117931550579;3.13285208392e-05;0.00294359152996;0.0003580393300249999;724.643728402;2.7;1.7;2.32843081845;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Flekeleerstraat_19_1575387;[53.417532168432047, 31.675597812474663, 53.709110754628107, 17.690947739331392];73.92993927;452.212945555;86.6292745764;[12.571676821171181, 7.9067014063942533, 12.645263952460962, 3.313786830156801];[12.571676821171181, 7.9067014063942533, 12.645263952460962, 3.313786830156801];28706055.4036;19666245.2313;41614147.5975;3058950.4897;0.000296914983464;0.00252503542805;0.000427526703308;0.00301846428867;0.000107644855951;5.56293527329e-05;0.00522686954682;0.000656696162207;440.157577646;2.7;1.7;2.04606083265;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Flekeleerstraat_34_1577809;[2.5738266460243446, 22.052774653689287, 39.301602306634628, 29.475330618754477];56.499370575;174.075424484;70.2430976591;[0.20221315486314551, 2.9830831031826932, 9.3423299363020327, 7.3677451308763278];[0.20221315486314551, 2.9830831031826932, 9.3423299363020327, 7.3677451308763278];17133314.5838;15029506.1529;16353348.9185;2480341.1899;0.0004974669626130001;0.004230577016449999;0.00055942257215;0.00394968792181;0.000297387184168;6.86064628839e-05;0.00644618378512;0.00120270787614;331.867568422;2.7;1.7;2.23656933195;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Flekeleerstraat_13_1574425;[36.523720333676216, 32.096924081199823, 74.740962984782655, 23.874264262166417];97.4488601685;333.712449421;111.150250167;[8.6108045068609229, 7.7191447263741999, 15.849031709509784, 3.244279369321966];[8.6108045068609229, 7.7191447263741999, 15.849031709509784, 3.244279369321966];30676620.7793;25922558.5806;31230942.5677;3924806.17947;0.000277842140006;0.00236283544446;0.000324344719448;0.00228996913011;0.000153471445189;4.33569017177e-05;0.00407376426472;0.0006754973873339999;499.273268077;2.7;1.7;2.20113764695;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Flekeleerstraat_25_1578016;[73.339129098533476, 29.514379527318695, 74.392233492794077, 23.951834517929068];90.8121337891;356.621709937;101.421577145;[17.966514217567152, 7.3785948818296738, 17.201890170701397, 2.4705861785905703];[17.966514217567152, 7.3785948818296738, 17.201890170701397, 2.4705861785905703];36906326.9672;24157110.2413;33601913.0214;3581278.78356;0.00023094300262;0.00196399405874;0.000348048458869;0.00245732450322;0.000146349776611;4.75158305366e-05;0.004464532399229999;0.000531532723339;518.0618992880001;2.7;1.7;2.26417646775;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Flekeleerstraat_21_1575388;[30.943925850141436, 26.995438226375221, 56.754849043696929, 22.354936317843094];76.7892456055;289.717881128;88.2238141541;[6.3321539766582848, 6.7488595565938052, 13.019224852897166, 2.9661855769588019];[6.3321539766582848, 6.7488595565938052, 13.019224852897166, 2.9661855769588019];25139371.976;20426854.8049;27031529.5927;3115254.98545;0.000339040210456;0.00288327834772;0.0004116074192769999;0.00290606946051;0.000175240271439;5.46239189339e-05;0.00513240015168;0.0008232288850539999;444.509881426;2.7;1.7;2.17304346181;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Flekeleerstraat_28_1577462;[48.015360489586158, 22.299988226130893, 58.144380014926796, 23.401811471918482];119.108066559;227.275282268;128.795482175;[11.423823567899909, 3.2485173390224649, 13.962931040913526, 5.840024385736668];[11.423823567899909, 3.2485173390224649, 13.962931040913526, 5.840024385736668];27856457.0715;31684165.6994;21653483.4647;4547873.743559999;0.000305970638822;0.00260204686862;0.000265364253867;0.00187354969312;0.000236435978829;3.74169217044e-05;0.003515650623;0.0006940714754169999;390.926756632;2.7;1.7;2.36818326519;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Flekeleerstraat_12_1577032;[49.283145993020163, 25.202573898430995, 67.161430841470349, 36.798989638595103];94.47101593020001;387.279209219;113.963970256;[12.317971399844152, 1.6013762120215, 16.296250394780223, 9.1997474096487757];[12.317971399844152, 1.6013762120215, 16.296250394780223, 9.1997474096487757];32732956.8909;25130416.5117;36086341.42;4024160.93553;0.000260387657427;0.00221439838556;0.0003345684695;0.00236215181294;0.000130587428325;4.22864389646e-05;0.00397318482437;0.000607081316653;522.678332501;2.7;1.7;2.16076870672;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Flekeleerstraat_2_1577034;[54.029118576123061, 55.729918987189919, 56.721851087528478, 55.418720390881433];106.530910492;352.194523287;122.119863159;[13.505161920767657, 11.73015518874352, 14.180462771882119, 13.854680097720358];[13.505161920767657, 11.73015518874352, 14.180462771882119, 13.854680097720358];40703768.2168;28338492.242;33419231.537;4312152.17997;0.000209397270545;0.00178076404395;0.000296693448558;0.00209474302359;0.000150993498234;3.94622983332e-05;0.00370783184187;0.000449185529861;596.199107627;2.7;1.7;2.33004843735;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Flekeleerstraat_48_1576974;[2.4405859870684239, 35.093151970510803, 63.813676045042435, 43.793391164508087];111.861118317;363.535504264;132.23969009;[0.15014610925051292, 4.6708286026019517, 10.781120684479355, 10.942954130330799];[0.15014610925051292, 4.6708286026019517, 10.781120684479355, 10.942954130330799];26623650.7483;29756391.0696;33648479.6669;4669491.540080001;0.000320138588282;0.00272253447053;0.0002825559380020001;0.00199492804031;0.000136357527368;3.64423908521e-05;0.00342408483293;0.000901423060734;576.510151514;2.7;1.7;2.09924795093;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Flekeleerstraat_38_1577673;[50.956796006340404, 24.405032056373575, 26.622952730242297, 26.64546966150402];114.412216187;203.820748807;125.155037054;[12.324259057332078, 2.9245022914369381, 6.0230702938595186, 6.4548282871831342];[12.324259057332078, 2.9245022914369381, 6.0230702938595186, 6.4548282871831342];23595065.9074;30435013.5169;19342414.3589;4419326.65094;0.0003612305216240001;0.00307199001597;0.0002762556680170001;0.0019504462809;0.000260986731329;3.85052858104e-05;0.00361791205375;0.0008630076558889998;371.131063735;2.7;1.7;2.3310949754;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
