BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Gildelaan_43_1577100;[80.238452521847577, 112.4028908803551, 73.807872231965177, 115.27766776300474];152.913276672;1152.65425919;189.018808081;[13.891533704283965, 27.27175891968772, 18.338692272439747, 24.044485250036107];[13.891533704283965, 27.27175891968772, 18.338692272439747, 24.044485250036107];70021405.8556;40676754.612;105898360.521;6674408.60346;0.000121723605251;0.00103516640387;0.000206699012013;0.00145935582839;4.20111185469e-05;2.54955076763e-05;0.0023955283696;0.000286407310204;1417.4015919;2.7;1.7;2.03117205819;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Gildelaan_23_1574322;[45.759283785698514, 38.338369587922358, 86.234594755912241, 36.317213747549658];98.44325256350001;492.965211999;118.358541168;[10.704430581773332, 7.2468571291339856, 21.55864868897806, 8.0096998765410969];[10.704430581773332, 7.2468571291339856, 21.55864868897806, 8.0096998765410969];37906384.0387;26187078.8127;45727460.2624;4179336.82621;0.000224850198235;0.00191217940545;0.0003210684570940001;0.00226683775413;0.000101223026504;4.07163726831e-05;0.00382566321518;0.000503545937357;635.69893725;2.7;1.7;2.11919684563;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Gildelaan_37_1574324;[49.066234782944896, 75.540564608553211, 49.143216610768093, 68.943092291133567];80.719543457;474.857598039;104.587796381;[12.266558695736224, 12.017712696158984, 12.285804152692023, 17.235773072783392];[12.266558695736224, 12.017712696158984, 12.285804152692023, 17.235773072783392];44517987.528;21472360.8901;44487883.6424;3693080.57262;0.000191456497447;0.00162819145515;0.00039156593135;0.00276457066025;0.000108182844446;4.60773688626e-05;0.004329376206520001;0.000444715963163;629.828244304;2.7;1.7;2.2110860799;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Gildelaan_1_1578030;[83.508090973095634, 41.75029326461248, 65.064433709478777, 37.481075369619369];101.383666992;473.816298712;122.206697404;[18.299883427368901, 8.4670822992628221, 16.266108427369694, 8.1821608895523745];[18.299883427368901, 8.4670822992628221, 16.266108427369694, 8.1821608895523745];41786810.317;26969264.1061;44245456.3171;4315218.36811;0.000203970054206;0.00173460970923;0.000311756559509;0.00220109301794;0.000107411921067;3.94342583081e-05;0.00370519723359;0.000467210972893;614.18695579;2.7;1.7;2.180785262;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Gildelaan_3_1574395;[72.744151827881694, 39.139423294658329, 90.346087904664174, 37.380493831128589];96.55492401120001;506.85899719;116.391300094;[17.662441818095189, 7.8501206263440757, 19.548341058576039, 8.2841717739055643];[17.662441818095189, 7.8501206263440757, 19.548341058576039, 8.2841717739055643];43952471.7023;25684760.9054;47289858.3829;4109871.93601;0.000193919878345;0.00164914063047;0.000327347605889;0.00231117039172;0.000100156698264;4.14045591769e-05;0.00389032442101;0.000448557241085;618.950172567;2.7;1.7;2.17273533307;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Gildelaan_12_1576848;[101.58688288065679, 43.689473780208701, 98.805124581678001, 49.858673353600075];110.524944305;614.987319513;157.505358402;[25.129817263834511, 9.4038445124883854, 22.364931690099848, 5.2387481085607854];[25.129817263834511, 9.4038445124883854, 22.364931690099848, 5.2387481085607854];53918400.1899;29400952.8528;57410632.596;5561642.9385;0.0001580769818;0.00134432413867;0.00028597185378;0.00201904541054;8.26823658917e-05;3.05966128473e-05;0.00287482230281;0.000385087600872;853.93213512;2.7;1.7;2.17796132582;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Gildelaan_38_1574320;[112.87363595839142, 82.926390573949419, 113.15022137085016, 70.829260274416228];123.66286087;822.079480712;125.928476899;[28.218408989597854, 20.731597643487355, 28.28755534271254, 11.303561053197733];[28.218408989597854, 20.731597643487355, 28.28755534271254, 11.303561053197733];69664192.4747;32895795.2881;76610648.8062;4446637.443990001;0.000122347760919;0.00104047437168;0.000255590263637;0.00180454244694;6.15428840124e-05;3.82687902775e-05;0.00359569120741;0.000270250918139;1225.9377328;2.7;1.7;2.16197419725;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Gildelaan_47_1577576;[65.13358373251306, 75.633915456550369, 81.779588202319772, 0.084375739184196163];102.137195587;737.252411922;140.733918315;[16.283395933128265, 12.287547656869645, 20.444897050579943, 0.0];[16.283395933128265, 12.287547656869645, 20.444897050579943, 0.0];40838014.5966;27169711.6959;67517356.3113;4969429.68128;0.000208708921079;0.00177491015686;0.000309456540589;0.00218485420779;6.49987054821e-05;3.42428501253e-05;0.00321741853398;0.0004881752404719999;914.0334378560001;2.7;1.7;2.00197454702;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Gildelaan_19_1578026;[5.3257789586676525, 32.325451538386844, 23.49328232978398, 29.882895948210571];92.75162124629999;199.573375877;111.184017841;[0.0, 5.7301919053313828, 5.8459373413640208, 6.393809223039467];[0.0, 5.7301919053313828, 5.8459373413640208, 6.393809223039467];16697454.1512;24673037.0273;18586698.0179;3925998.54361;0.000510452544937;0.00434100948786;0.000340770574004;0.00240594049518;0.000253034357947;4.33437338027e-05;0.00407252702268;0.0013315749429;527.57366298;2.7;1.7;2.15610998148;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Gildelaan_17_1578027;[71.426806038670392, 33.049109957189344, 0.25160374489922455, 32.251863247028474];98.94947814940001;258.694020744;118.960074697;[17.856701509667598, 5.8771904080681239, 0.0, 6.9495753666322244];[17.856701509667598, 5.8771904080681239, 0.0, 6.9495753666322244];25126574.4888;26321740.8538;24284306.7095;4200577.46678;0.00033921289069;0.00288474686138;0.000319425870687;0.0022552406109;0.000199689225176;4.05104862677e-05;0.00380631836607;0.0007798440629249999;546.036972478;2.7;1.7;2.22950347516;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
