BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Heibergstraat_16_1578018;[79.339070638533755, 24.32602643104789, 34.475301565303283, 25.871482170300105];102.503520966;259.611078193;120.010563111;[19.252378219428198, 3.2267761527621053, 7.0349908410851265, 6.4678705425750262];[19.252378219428198, 3.2267761527621053, 7.0349908410851265, 6.4678705425750262];30085233.633;27267158.6138;24638614.3578;4237671.071280001;0.000283303698733;0.002409281835;0.000308350609951;0.00217704601216;0.000204938518212;4.01558858443e-05;0.00377300052102;0.000665007762601;520.3849786000001;2.7;1.7;2.33175994625;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Heibergstraat_1_1574456;[77.091539220781314, 40.595865863276181, 62.947606499256338, 25.321905096641416];120.972869873;432.596793999;147.799996286;[18.610170766140264, 10.148966465819045, 15.736901624814084, 4.9768584281547206];[18.610170766140264, 10.148966465819045, 15.736901624814084, 4.9768584281547206];37779348.2169;32180225.613;40375865.4997;5218938.66975;0.000225606273474;0.00191860924856;0.00026127364958;0.00184466882355;0.000117474009676;3.26057550303e-05;0.00306359897512;0.000483665220855;621.003237151;2.7;1.7;2.17609441294;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Heibergstraat_10_1578021;[71.22547186542765, 24.971996055539375, 73.768729742575374, 22.242651395282525];139.104541779;286.298692809;152.811297304;[17.712936407926051, 3.1701625132599727, 17.993517028571052, 5.5606628488206313];[17.712936407926051, 3.1701625132599727, 17.993517028571052, 5.5606628488206313];35257495.3831;37003466.5039;27286089.9229;5395891.80454;0.000241743149162;0.00205584106602;0.000227217765918;0.00160422426685;0.000187852547249;3.15364803351e-05;0.00296313116331;0.0005384740118790001;474.216673612;2.7;1.7;2.37135775987;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Heibergstraat_7_1577068;[18.116183977605814, 41.638530093039641, 52.651287659824582, 41.227372579974308];119.663734436;361.768735028;140.092678312;[3.7394974755035761, 10.40963252325991, 10.853680666205044, 8.0008754456139854];[3.7394974755035761, 10.40963252325991, 10.853680666205044, 8.0008754456139854];28181470.3744;31831979.9793;33577640.1417;4946786.97267;0.000302441918475;0.00257203779401;0.000264132014272;0.0018648497191;0.000138179622043;3.43995884044e-05;0.00323214548114;0.0007250196148239999;621.36257536;2.7;1.7;2.12467289026;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Heibergstraat_8_1577403;[66.315900610676138, 21.148408344467104, 41.535588678933323, 22.240082355943809];81.1712646484;239.421918161;98.2533580933;[16.459645244315041, 3.3213374798990083, 10.067450943016512, 5.5600205889859522];[16.459645244315041, 3.3213374798990083, 10.067450943016512, 5.5600205889859522];27742442.2567;21592524.1124;22722370.7315;3469406.37936;0.000307228105104;0.00261274066007;0.0003893868519700001;0.00274918571882;0.000222215458647;4.90479976045e-05;0.00460849304221;0.000675779846771;414.8923206219999;2.7;1.7;2.33168811424;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Heibergstraat_20_1578020;[51.337793485210483, 31.035279708749862, 31.890530809737051, 32.336857436349419];119.780548096;234.876302199;136.569308963;[7.1098072978303213, 6.2424492019741749, 7.8571097626414828, 8.0842143590873548];[7.1098072978303213, 6.2424492019741749, 7.8571097626414828, 8.0842143590873548];26891400.2539;31863053.8055;22273091.3967;4822373.92121;0.000316951065582;0.00269542702162;0.000263874424641;0.00186303106053;0.000226042939475;3.52870678559e-05;0.00331553202243;0.000816845168258;424.326618728;2.7;1.7;2.32416029232;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Heibergstraat_9_1574458;[36.77871142674433, 37.656716015270597, 14.482744650593462, 33.199423359177658];100.547809601;370.902263421;126.208220999;[8.3931625997335253, 9.3162100660778489, 3.0456101044461277, 5.1108603266875461];[8.3931625997335253, 9.3162100660778489, 3.0456101044461277, 5.1108603266875461];22400428.3826;26746916.075;34068887.9784;4456515.43681;0.000380495311068;0.00323582235374;0.000314348202486;0.00221939077973;0.00013046903892;3.81839664188e-05;0.0035877212559;0.0009250933635519999;513.2579455380001;2.7;1.7;2.02924467574;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Heibergstraat_14_1574481;[25.741170583228097, 23.293126071947359, 68.779933683916113, 29.703614588975753];146.861667633;246.18087746;165.064621002;[4.8938366848427188, 5.4826298156336701, 10.11058299436997, 7.4259036472439384];[4.8938366848427188, 5.4826298156336701, 10.11058299436997, 7.4259036472439384];27059678.8959;39066954.4609;23283043.1461;5828566.67929;0.00031498001134;0.00267866470894;0.000215216289732;0.00151949031457;0.000214155705272;2.91954171835e-05;0.00274316758126;0.0008572478759179999;485.722898486;2.7;1.7;2.29922544127;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Heibergstraat_6_1574351;[40.673641423130249, 19.033864851376023, 61.201521724269028, 18.910676044239374];87.771686554;240.373460757;106.531129625;[10.136659577822011, 3.8170657238733599, 15.300380431067257, 4.7276690110598434];[10.136659577822011, 3.8170657238733599, 15.300380431067257, 4.7276690110598434];25647583.8334;23348315.0288;22691169.7075;3761701.25779;0.000332322062804;0.00282614562699;0.000360105000289;0.00254244723226;0.000218231562051;4.5236828797e-05;0.00425040003556;0.000704151562773;436.198189616;2.7;1.7;2.28167696052;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Heibergstraat_18_1578019;[47.079625371989827, 22.091507335023522, 67.654828368918842, 21.594529254184355];77.8866958618;242.687572544;93.6875688838;[11.761027968032419, 3.6969662832942309, 16.913707092229711, 5.3986323135460887];[11.761027968032419, 3.6969662832942309, 16.913707092229711, 5.3986323135460887];29059586.6619;20718789.6568;23084052.5644;3308184.63063;0.000293302794174;0.00249431651376;0.000405807729577;0.00286512194516;0.000220498734082;5.14383127859e-05;0.004833084287930001;0.0006335215359470001;409.056353837;2.7;1.7;2.35277545393;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
