BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Hooiopperstraat_17_1578044;[84.317013647673804, 39.240679810029512, 29.117902617370085, 38.819551469898627];135.291454315;438.0290678330001;162.873912929;[20.03053772275458, 6.1187739070887917, 6.6956174511311897, 9.3137340420848567];[20.03053772275458, 6.1187739070887917, 6.6956174511311897, 9.3137340420848567];35126578.7893;35989139.7793;40710959.6385;5751210.98671;0.000242644124741;0.002063503176;0.000233621727048;0.00164943811625;0.000114587793151;2.95881052142e-05;0.00278006409377;0.000567577765021;672.494246142;2.7;1.7;2.13717452016;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Hooiopperstraat_14_1578039;[41.174992972589834, 34.253729754609637, 74.292659451683306, 35.484588154634018];118.111366272;407.058738278;141.689813018;[9.8188590076235496, 7.7616100673722652, 18.572128763303962, 6.02835986866637];[9.8188590076235496, 7.7616100673722652, 18.572128763303962, 6.02835986866637];33972934.5237;31419031.5405;37905641.9708;5003183.10452;0.000250883772184;0.00213357509176;0.000267603569492;0.00188935992016;0.000124013620697;3.401183451199999e-05;0.00319571257455;0.000567277773964;614.0596824869999;2.7;1.7;2.15498586056;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Hooiopperstraat_29_1578042;[77.912026162881403, 35.610871174793409, 64.698278735124276, 35.132008257347735];235.889549255;466.025379765;196.589953764;[19.478006540720351, 5.7487611544637494, 16.173991160612317, 8.1136605329567928];[19.478006540720351, 5.7487611544637494, 16.173991160612317, 8.1136605329567928];39136069.6884;62749432.3541;43409957.2961;6941751.9456;0.000217785230692;0.00185209724612;0.000133990773698;0.0009460142776749999;0.000108419710136;2.45136151677e-05;0.00230327088683;0.000483259625924;583.767157958;2.7;1.7;2.15781451739;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Hooiopperstraat_12_1578040;[24.412726098705878, 32.021580482090329, 23.159949536693205, 33.22531541584015];210.019851685;347.223685303;175.219630649;[5.9536063561065804, 6.888542311273353, 5.7899873841733012, 5.2230773559805961];[5.9536063561065804, 6.888542311273353, 5.7899873841733012, 5.2230773559805961];20694861.563;55867784.3843;31878798.6207;6187148.36989;0.000411853828523;0.00350250262235;0.000150495407736;0.00106254184907;0.00013915239954;2.75033707955e-05;0.00258418486256;0.0010030645873;534.12599105;2.7;1.7;2.02491899691;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Hooiopperstraat_28_4753970;[23.413612792439555, 42.487813362165141, 80.256222021847833, 43.588645664807444];106.33864975;429.41705495;133.07178312;[5.7732075336352011, 10.017776984545335, 20.064055505461958, 7.8607158308360479];[5.7732075336352011, 10.017776984545335, 20.064055505461958, 7.8607158308360479];34805780.8568;28287348.5924;39930874.3689;4698873.42507;0.00024488052719;0.00208252207276;0.000297229871606;0.00209853032811;0.000117063260828;3.62145179047e-05;0.00340267415474;0.0005473614563890001;646.610967227;2.7;1.7;2.14186948714;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Hooiopperstraat_22_1578037;[84.717353887019684, 43.248152985635315, 30.57181268244938, 46.271684110100004];127.737232208;451.464979007;154.291907257;[20.480870017027879, 10.228700131516485, 7.6419921089232661, 6.8393966692560477];[20.480870017027879, 10.228700131516485, 7.6419921089232661, 6.8393966692560477];37568782.7928;33979626.6382;42034725.0195;5448173.35214;0.000226870750977;0.0019293626651;0.00024743782737;0.00174698384874;0.000111768097977;3.12338511984e-05;0.00293469648017;0.0005294935172869999;688.3896173060001;2.7;1.7;2.15365424383;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Hooiopperstraat_19_1577299;[30.292114673288886, 34.184173252209156, 81.470585505629685, 32.58591264421058];126.448814392;426.874903385;150.675481775;[6.583809323096955, 3.5105722708654636, 20.367646376407421, 7.398023945222012];[6.583809323096955, 3.5105722708654636, 20.367646376407421, 7.398023945222012];32748850.5946;33636892.1387;39592771.7046;5320474.41255;0.000260261285838;0.0022133236916;0.000249959031754;0.00176478429334;0.000116857686011;3.19835079711e-05;0.0030051333622;0.0006320202583189999;656.4926079759999;2.7;1.7;2.11823209718;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Hooiopperstraat_16_1577280;[66.973371340339909, 31.206218089467555, 84.03841515271526, 32.624930574128364];211.388988495;448.160165381;176.150552923;[16.589835998988896, 7.0061430365885551, 21.009603788178815, 5.3454071236670719];[16.589835998988896, 7.0061430365885551, 21.009603788178815, 5.3454071236670719];39409339.536;56231991.0985;41843346.1934;6220019.99625;0.000216275077579;0.00183925454593;0.000149520670102;0.00105565991464;0.000113511463523;2.73580206955e-05;0.00257052793552;0.000479035947373;554.169479548;2.7;1.7;2.17938873589;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Hooiopperstraat_31_1577294;[69.429808058807154, 35.108347138117239, 80.830141860752747, 30.5416801677835];117.698097229;455.295200614;141.400947273;[17.208289005133221, 4.1170988733317575, 20.207535465188187, 7.1149464758797585];[17.208289005133221, 4.1170988733317575, 20.207535465188187, 7.1149464758797585];39605070.539;31309097.0481;42485782.2785;4992983.01897;0.000215206231159;0.00183016482251;0.000268543196161;0.00189599396085;0.000111551806178;3.40813167475e-05;0.00320224104491;0.00049186778127;605.724779961;2.7;1.7;2.17421975223;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Hooiopperstraat_13_1578045;[22.34350205714177, 30.973257225701872, 37.541951796856054, 30.135395639107106];95.534942627;232.226337859;114.580523402;[5.402406176499289, 5.4631763732551377, 9.3854879492140135, 6.3472012085165961];[5.402406176499289, 5.4631763732551377, 9.3854879492140135, 6.3472012085165961];22194343.184;25413433.697;21779820.7717;4045931.93104;0.0003840283938480001;0.00326586852752;0.000330842541407;0.00233584566457;0.000221880626669;4.20588973528e-05;0.00395180527809;0.0008996193457539999;524.084478198;2.7;1.7;2.2210180199;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
