BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Horstenstraat_22_1574502;[28.64336138407862, 60.709077339545061, 26.862691940667457, 69.375865625006711];177.419410706;366.897545362;148.164725393;[7.160840346019655, 14.151651902193585, 3.6756260557497624, 17.273475943769469];[7.160840346019655, 14.151651902193585, 3.6756260557497624, 17.273475943769469];34043561.0892;47195678.4246;34354022.3982;5231817.55259;0.000250363290231;0.0021291487898;0.000178148620189;0.00125778166359;0.000139791614219;3.25254912033e-05;0.00305605747891;0.000566195388925;504.966796822;2.7;1.7;2.20583875154;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Horstenstraat_30_4754073;[24.52204701975274, 59.419032127188103, 22.536369830443544, 77.754879481105519];144.377563477;272.147748991;160.933579699;[6.1305117549381851, 13.955840589152141, 3.0708375319039019, 19.378843835515116];[6.1305117549381851, 13.955840589152141, 3.0708375319039019, 19.378843835515116];33794336.2226;38406153.14;25952832.4095;5682696.23448;0.00025220965754;0.00214485073523;0.000218919217438;0.00154563407344;0.000197917100578;2.9944841104e-05;0.00281358258477;0.0005625423365509999;524.503252795;2.7;1.7;2.37695701744;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Horstenstraat_13_1574462;[106.95730442632888, 95.763516049760767, 83.815847638552668, 66.185129322362769];242.230014801;566.953837842;230.207067182;[18.234465978929073, 18.538600560937578, 20.735053840797185, 13.582402730701157];[18.234465978929073, 18.538600560937578, 20.735053840797185, 13.582402730701157];64700908.4418;64436071.7796;53752072.0758;8128799.69655;0.000131733203919;0.00112029040456;0.000130483512697;0.0009212519832989998;9.35916778494e-05;2.09338945646e-05;0.00196692448538;0.000336589446025;1130.21432574;2.7;1.7;2.32213494979;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Horstenstraat_26_1574505;[32.167726163215434, 71.752187344123556, 33.304330479274171, 70.750466532870178];173.290821075;339.445772226;190.252688385;[8.0419315408038585, 12.327835588651617, 6.5126222251675943, 17.687616633217544];[8.0419315408038585, 12.327835588651617, 6.5126222251675943, 17.687616633217544];38149478.7147;46097424.3623;32149947.9897;6717977.92545;0.000223417416244;0.00189999468763;0.000182392945084;0.00128774784588;0.000155907045601;2.53301570313e-05;0.00237999221452;0.000536870463921;714.5368150039999;2.7;1.7;2.31268905827;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Horstenstraat_10_1574506;[41.245875652969403, 70.770469437315143, 35.502719481584073, 66.599670579992875];123.244384766;334.347098189;140.539869987;[10.311468913242351, 17.692617359328786, 4.6900875769659107, 16.636702041326277];[10.311468913242351, 17.692617359328786, 4.6900875769659107, 16.636702041326277];39276497.1697;32784475.6552;31760741.394;4962577.6762;0.000217006570842;0.0018454753381;0.000256458119954;0.00181066976783;0.000159509244609;3.42901304296e-05;0.00322186093661;0.00048505767148;651.7174278790001;2.7;1.7;2.34040853446;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Horstenstraat_32_1575460;[33.876343971131057, 115.92669466558928, 30.967162238701185, 97.090239108908747];150.94090271;458.198376386;167.356332141;[8.4690859927827642, 28.630627696473443, 4.7981719434318064, 23.104791000664846];[8.4690859927827642, 28.630627696473443, 4.7981719434318064, 23.104791000664846];50968845.7523;40152079.6235;43368333.2408;5909488.872690001;0.000167224857453;0.0014221198425;0.000209399987972;0.00147842551319;0.000115296309964;2.87956267369e-05;0.00270560373398;0.0003681128382860001;751.4550705839999;2.7;1.7;2.30641952112;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Horstenstraat_24_1574504;[27.686327109762107, 85.627905790522135, 24.877811729404691, 62.823430376033841];102.251464844;382.355822296;118.539229712;[6.9215817774405268, 20.190483229375175, 3.4741868046104951, 15.160449747018099];[6.9215817774405268, 20.190483229375175, 3.4741868046104951, 15.160449747018099];36872923.4718;27200108.6804;35878203.6301;4185717.08639;0.000231152215853;0.00196577325769;0.0003091107130859999;0.00218241256388;0.000134952335441;4.06543089922e-05;0.00381983178267;0.000523061094604;557.2918595980001;2.7;1.7;2.22572881929;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Horstenstraat_27_1574484;[47.157588306968677, 53.879208975191084, 70.285440379180827, 33.609817467298328];171.253463745;554.766863478;205.82685952;[10.94991588183492, 12.649108229807663, 17.571360094795207, 6.9862235549603948];[10.94991588183492, 12.649108229807663, 17.571360094795207, 6.9862235549603948];37591354.5236;45555463.0233;51181879.7658;7267914.637410001;0.000226734526422;0.00192820417918;0.000184562825888;0.00130306784266;8.845690786200001e-05;2.34135160185e-05;0.00219990684502;0.000496885493061;782.690302829;2.7;1.7;2.06940211938;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Horstenstraat_29_1577373;[56.090395055867219, 33.475958255236186, 47.160018299968399, 34.358954568120438];172.489215851;357.9712362130001;152.74970307;[13.920065432897298, 8.3689895638090466, 11.686598051519134, 5.6503995962985192];[13.920065432897298, 8.3689895638090466, 11.686598051519134, 5.6503995962985192];31382738.7626;45884187.8159;33417414.8444;5393716.861819999;0.000271590635538;0.00230967116802;0.000183240575685;0.00129373236726;0.000142045250523;3.15491969904e-05;0.00296432600552;0.000603853227732;444.6466435580001;2.7;1.7;2.17793037225;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Horstenstraat_4_1577690;[25.85890883382795, 78.884362442275446, 25.409946537768477, 80.153911754819632];69.8686103821;382.42190618;85.65932146600001;[6.424725522420017, 19.721090610568861, 4.3072548960525809, 19.740571939812241];[6.424725522420017, 19.721090610568861, 4.3072548960525809, 19.740571939812241];38577321.9397;18585883.3284;35977872.7991;3024700.65261;0.000220939597072;0.00187892272582;0.00045237801409;0.00319392185317;0.000135906607407;5.62592650738e-05;0.005286055380750001;0.000476720125824;447.213036871;2.7;1.7;2.24993483943;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
