BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
NieuweErvenstraat_10_1578062;[41.732126872576217, 78.243187549649406, 44.248055591400131, 11.95181838673798];90.89545822139999;421.6980308080001;106.844441481;[6.982175969791335, 10.909601126927821, 11.062013897850033, 2.8522614817215932];[6.982175969791335, 10.909601126927821, 11.062013897850033, 2.8522614817215932];32316388.7722;24179275.5337;39110675.5585;3772764.5555;0.000263744133837;0.00224294265689;0.00034772940068;0.00245507185856;0.000118274509974;4.51041758055e-05;0.00423793611413;0.000752319697941;690.9177494080001;2.7;1.7;2.11777569618;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
NieuweErvenstraat_19_1578058;[58.59382066478674, 1.8208837009821783, 56.194097857429206, 84.053001597350246];71.87158203119999;488.148131946;84.9867378844;[14.648455166196685, 0.44927344339284736, 14.048524464357302, 18.2569546393946];[14.648455166196685, 0.44927344339284736, 14.048524464357302, 18.2569546393946];36808048.4141;19118697.6663;45240635.3781;3000951.17662;0.000231559627112;0.00196923797965;0.0004397708011790001;0.00310491122142;0.000101948372258;5.67044999298e-05;0.0053278891321;0.000504782712941;754.606313387;2.7;1.7;2.1110674418;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
NieuweErvenstraat_17_1577014;[58.260412073362978, 83.385259742642603, 56.40710851670012, 1.9043444350293217];72.4353942871;489.698701916;86.64874856370001;[14.565103018340745, 18.12642754582242, 14.10177712917503, 0.46292172220661482];[14.565103018340745, 18.12642754582242, 14.10177712917503, 0.46292172220661482];36678786.8396;19268678.4481;45370815.2484;3059638.13211;0.000232375678147;0.00197617787117;0.0004363477761519999;0.0030807436578;0.000101533393741;5.56168502406e-05;0.00522569482713;0.000506352709211;757.679100935;2.7;1.7;2.10832684258;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
NieuweErvenstraat_1_1576918;[38.587642551327583, 62.841244957742816, 37.988926800621684, 33.27605344199673];56.43918991090001;398.450627395;70.1799959519;[9.6469106378318958, 15.710311239435704, 9.497231700155421, 8.3137779610535851];[9.6469106378318958, 15.710311239435704, 9.497231700155421, 8.3137779610535851];31677798.7838;15013497.3788;37017383.3365;2478113.01704;0.000269060928875;0.00228815794268;0.000560019080037;0.00395389944296;0.000125816419118;6.86681497631e-05;0.00645197981283;0.000554303916072;501.114786824;2.7;1.7;2.13341346676;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
NieuweErvenstraat_7_1577273;[33.78143048146859, 1.7095939417780632, 34.078689942021072, 63.217723833881237];50.6261405945;335.292000577;63.05070443109999;[8.4453576203671474, 0.42540124610414981, 8.5196724855052679, 15.804430958470309];[8.4453576203671474, 0.42540124610414981, 8.5196724855052679, 15.804430958470309];24357632.3992;13467156.958;31023436.5533;2226371.90648;0.000349921446625;0.00297581496041;0.0006243221948339999;0.00440789834914;0.000147684911769;7.64326190465e-05;0.007181520353060001;0.0007208440742389999;448.372292341;2.7;1.7;2.09603521101;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
NieuweErvenstraat_18_1577012;[65.423745868390441, 85.086665651709936, 67.234857619401978, 2.0020731019489428];84.3574867249;557.177289141;99.6215745549;[16.35593646709761, 18.416395970341483, 16.808714404850495, 0.40854858302965397];[16.35593646709761, 18.416395970341483, 16.808714404850495, 0.40854858302965397];40308970.9057;22440097.1705;51544519.9148;3517719.2209;0.000211448165854;0.001798205344;0.000374679526845;0.00264534767706;8.88233287819e-05;4.83743656325e-05;0.004545199362390001;0.0004602520869009999;885.539894866;2.7;1.7;2.09439393264;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
NieuweErvenstraat_2_1577127;[32.808343967544907, 63.195416571440106, 33.467320712346137, 1.7529069912334418];48.8014907837;326.429951377;61.1760749676;[8.2015642763827969, 15.798854142860026, 8.3668044141908382, 0.43668436429769397];[8.2015642763827969, 15.798854142860026, 8.3668044141908382, 0.43668436429769397];24070843.68;12981778.3551;30223069.8811;2160177.20794;0.0003540905370319999;0.00301126989387;0.000647665116461;0.0045727062425;0.000151996747247;7.87747575331e-05;0.00740158497233;0.0007294350531919999;436.196493146;2.7;1.7;2.1019973893;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
NieuweErvenstraat_3_1577747;[36.179184644474653, 58.679721621825678, 20.768807518689282, 27.999060158321534];77.75139236449999;454.632343401;95.95874150350001;[8.9461980695578767, 13.729526559060186, 4.7756479219646639, 5.8501923865054284];[8.9461980695578767, 13.729526559060186, 4.7756479219646639, 5.8501923865054284];26345927.0684;20682797.3135;41698872.2745;3388381.59212;0.0003235133059979999;0.00275123387025;0.000406513918924;0.00287010784969;0.000105936135796;5.02208594745e-05;0.00471869378497;0.000718534394311;607.23978218;2.7;1.7;2.01591851312;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
NieuweErvenstraat_9_1578056;[38.460334396753865, 63.336911805362959, 38.303915619340827, 0.084442840334096658];60.1283226013;380.698895067;75.0414547589;[9.614989168058047, 15.83422795134074, 9.5757165956421559, 0.0];[9.614989168058047, 15.83422795134074, 9.5757165956421559, 0.0];25714702.176;15994850.6559;35118169.7762;2649775.10092;0.000331454663839;0.0028187690605;0.000525659486985;0.00371131060864;0.000128850636896;6.421957687100001e-05;0.006033997056710001;0.000683179588186;530.0606430390001;2.7;1.7;2.06823223413;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
NieuweErvenstraat_15_1577418;[34.342675218551832, 0.00020463351366029059, 34.708131782739578, 63.48759154630163];53.2897720337;345.697691316;66.4541565773;[8.5855940883863351, 0.0, 8.6770329456848945, 15.871897886575407];[8.5855940883863351, 0.0, 8.6770329456848945, 15.871897886575407];24311987.7811;14175714.6764;31942219.0964;2346550.5835;0.0003505784077469999;0.00298140191358;0.0005931161272730001;0.00418757433244;0.000142631232772;7.2518119567e-05;0.006813718516159999;0.0007221567186789999;473.249688339;2.7;1.7;2.08339452797;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
