BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Roodkruisstraat_5_1578118;[72.127842707179923, 30.570192085340992, 54.79026854450985, 27.059923785656494];233.403060913;420.877008251;196.010185502;[18.031960676794981, 4.3556914429027644, 13.666263922944246, 6.4772139345108783];[18.031960676794981, 4.3556914429027644, 13.666263922944246, 6.4772139345108783];33852282.5437;62087996.8114;39122386.315;6921279.85442;0.000251777940069;0.00214117930748;0.00013541820355;0.000956092352333;0.00011930816585;2.45861227061e-05;0.00231008361115;0.0005626071962940001;594.49232623;2.7;1.7;2.13848493385;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Roodkruisstraat_13_1578120;[96.927626313583744, 40.293724774438637, 42.245496294040528, 39.642614050172689];132.265880585;468.382593756;156.588882862;[24.093271274746602, 7.2550043246435489, 10.305257023268794, 8.7030355979221827];[24.093271274746602, 7.2550043246435489, 10.305257023268794, 8.7030355979221827];40191962.3507;35184301.0964;43676700.8866;5529281.43811;0.000212063742773;0.00180344035609;0.000238965809415;0.0016871689098;0.000108215966313;3.07756871645e-05;0.002891647918239999;0.0004751777302780001;684.7018219390001;2.7;1.7;2.1678001795;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Roodkruisstraat_4_1574671;[43.944672264080026, 84.903461676807481, 44.819981188504094, 61.042852910658453];168.588249207;523.762084983;191.15682948;[8.5512312092067173, 20.601250058675483, 5.1208528350480593, 14.762228725900187];[8.5512312092067173, 20.601250058675483, 5.1208528350480593, 14.762228725900187];43053797.5362;44846484.1816;48736918.5413;6749903.88651;0.000197967623142;0.00168356361208;0.000187480582785;0.00132366806465;9.61699655235e-05;2.52103494576e-05;0.00236873523367;0.000487978895546;839.101661199;2.7;1.7;2.14812515982;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Roodkruisstraat_14_1578122;[76.012982505158163, 30.857298008156462, 61.668289388425293, 34.131412656636066];115.201751709;326.607192641;133.860939308;[19.003245626289541, 6.8089252564254377, 15.405453432322059, 5.0332235529877316];[19.003245626289541, 6.8089252564254377, 15.405453432322059, 5.0332235529877316];37176415.1824;30645039.3786;30959859.6156;4726739.17509;0.000229265192022;0.00194972555955;0.000274362349036;0.00193707889194;0.000162392045515;3.600102089e-05;0.00338261422254;0.000517359592195;613.672021636;2.7;1.7;2.32053128996;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Roodkruisstraat_43_1574951;[9.1533560890935544, 45.168187606900311, 74.313537433874146, 42.851445651621319];81.5229034424;452.487762743;97.4828363626;[2.2852142893587151, 8.5860842306971641, 18.578384358468536, 10.71286141290533];[2.2852142893587151, 8.5860842306971641, 18.578384358468536, 10.71286141290533];31456332.2962;21686064.2238;41789452.7674;3442198.62728;0.000270955236778;0.00230426758629;0.000387707280743;0.00273732745188;0.000108806559768;4.94356817283e-05;0.00464491939342;0.000595786950598;639.800935558;2.7;1.7;2.07898599896;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Roodkruisstraat_15_1574670;[39.948556361213448, 36.647116421913331, 95.229328872968736, 33.872619556365443];142.156497955;438.383610592;164.085724761;[9.7150260681421727, 4.9061913044245973, 23.49161389505533, 8.0167403615562058];[9.7150260681421727, 4.9061913044245973, 23.49161389505533, 8.0167403615562058];37731784.8045;37815323.232;40885564.7317;5794001.05294;0.000225890665115;0.00192102778252;0.000222339630383;0.001569783195;0.000115673011695;2.9369590069e-05;0.00275953266383;0.000518719748452;680.158221877;2.7;1.7;2.16921831985;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Roodkruisstraat_47_1578074;[37.391543163341048, 42.520211574426625, 5.0419461613825742, 34.762943454209513];76.0134620667;353.990066595;90.0902773182;[9.3005051687396332, 2.9703076003704982, 1.2363635486678208, 8.6907358635523781];[9.3005051687396332, 2.9703076003704982, 1.2363635486678208, 8.6907358635523781];21960014.1005;20220487.1348;32547311.3553;3181161.32529;0.0003881262519449999;0.00330071768452;0.000415808231234;0.00293572842866;0.000137134752157;5.34922370744e-05;0.00502606863499;0.00107795361997;552.042390505;2.7;1.7;2.038192101;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Roodkruisstraat_16_1577291;[59.930514604509284, 33.448307571999116, 74.404621790184038, 37.878402849364115];110.629238129;326.50353688;128.747790858;[14.958671577479903, 7.6908860900693732, 18.601155447546009, 6.4135801676840103];[14.958671577479903, 7.6908860900693732, 18.601155447546009, 6.4135801676840103];37725222.5905;29428696.2532;30980933.1507;4546189.72419;0.000225929958267;0.0019213619408;0.000285702258703;0.00201714198999;0.000162867365521;3.74307818432e-05;0.0035169529056;0.000502017719002;588.527778459;2.7;1.7;2.32989163542;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Roodkruisstraat_37_1578077;[85.361288300481903, 48.468108013683079, 18.269460643285448, 45.956987515375623];104.899375916;481.568341421;121.021005734;[21.340322075120476, 7.7399260216333552, 4.5633279089817824, 11.489246878843906];[21.340322075120476, 7.7399260216333552, 4.5633279089817824, 11.489246878843906];36330028.8009;27904484.5936;44631828.3852;4273350.62616;0.000234606419174;0.00199514862184;0.000301308019576;0.00212732325243;0.000103348328561;3.9820611663e-05;0.0037414985473;0.000530175563201;730.30263289;2.7;1.7;2.11127255975;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Roodkruisstraat_28_4754066;[58.922923737082876, 57.771019947094416, 99.773784720406397, 58.856669792618419];101.159389496;572.294414677;115.145042986;[14.72892851389873, 14.442754986773604, 21.943763226525832, 7.7167847589113379];[14.72892851389873, 14.442754986773604, 21.943763226525832, 7.7167847589113379];50503651.345;26909603.6183;53443196.8122;4065865.57895;0.00016876518308;0.0014352191369;0.000312447745775;0.0022059729963;8.893733772299998e-05;4.18526959339e-05;0.00393243083162;0.00040672126804;901.077236046;2.7;1.7;2.18108873883;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Roodkruisstraat_26_1574276;[98.779935196029001, 58.168204764782161, 58.965318745492795, 59.434304039308195];98.4738426208;572.831222218;111.542554564;[21.717194950578207, 14.54205119119554, 14.73941637343955, 7.7548166081335559];[21.717194950578207, 14.54205119119554, 14.73941637343955, 7.7548166081335559];50507937.1803;26195216.1327;53490956.4903;3938658.76835;0.000168750862564;0.00143509735183;0.000320968719923;0.00226613358036;8.88426174344e-05;4.32044119057e-05;0.00405943649862;0.000407266431685;890.6890737739999;2.7;1.7;2.1806786922;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Roodkruisstraat_35_1576863;[3.4412913271673395, 56.653564436787043, 83.0025928842215, 56.833151560542738];70.3275375366;481.240750355;83.9962973989;[0.86032283179183489, 14.163391109196761, 18.124997359748683, 14.208287890135685];[0.86032283179183489, 14.163391109196761, 18.124997359748683, 14.208287890135685];36673921.3534;18707963.4228;44621717.9118;2965977.91356;0.000232406507157;0.00197644004837;0.00044942599043;0.00317307969775;0.000103561320768;5.73731297883e-05;0.005390712819120001;0.0005052752539330001;730.968740455;2.7;1.7;2.11544819316;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Roodkruisstraat_40_1577287;[6.9761826923062671, 43.764454766307132, 71.777865528721719, 44.772384224211173];82.6372833252;450.042687749;98.9549670736;[1.7237739682629103, 10.941113691576783, 17.94446638218043, 7.5268067712310307];[1.7237739682629103, 10.941113691576783, 17.94446638218043, 7.5268067712310307];30686712.4608;21982502.5581;41530714.7228;3494180.7659;0.000277750768394;0.0023620583986;0.000382478972445;0.00270041405732;0.000109127269792;4.870023824899999e-05;0.00457581797597;0.0006274443803830001;681.097644979;2.7;1.7;2.07172226494;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Roodkruisstraat_3_1574665;[43.928702052078044, 38.113865631280582, 65.763372405591184, 40.821057683742829];85.5393371582;472.895354096;103.488552154;[10.967197092894343, 4.6212140747989254, 15.373978145878729, 10.205264420935707];[10.967197092894343, 4.6212140747989254, 15.373978145878729, 10.205264420935707];34600464.7323;22754483.4757;43768948.8397;3654265.36051;0.000246333626771;0.00209487957617;0.000369502783888;0.00260879834897;0.000104811047783;4.65667976997e-05;0.004375362373149999;0.000581240795164;588.7129033069999;2.7;1.7;2.09887682579;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Roodkruisstraat_42_1578068;[54.864461421577033, 83.684524562810338, 58.352757225745989, 81.294215736941879];72.0557250977;566.4188593380001;85.877462172;[13.716115355394258, 18.169084479000745, 14.588189306436497, 20.32355393423547];[13.716115355394258, 18.169084479000745, 14.588189306436497, 20.32355393423547];51030391.0887;19167681.9173;52952003.2975;3032403.37923;0.000167023175477;0.00142040469115;0.00043864693845;0.00309697641995;9.01414170375e-05;5.61163587106e-05;0.005272628064390001;0.0003582247733219999;751.700985691;2.7;1.7;2.19114882805;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Roodkruisstraat_36_1577288;[64.3475185306024, 43.992339333570513, 64.690900426337549, 44.062201603780842];71.56431198119999;503.350207819;88.1042531297;[16.0868796326506, 10.998084833392628, 16.172725106584387, 11.015550400945211];[16.0868796326506, 10.998084833392628, 16.172725106584387, 11.015550400945211];39822068.904;19036960.1697;46752157.9954;3111033.18796;0.00021403352965;0.00182019189079;0.000441659010433;0.00311824253419;9.95274292864e-05;5.46980457947e-05;0.00513936502566;0.0004408861494780001;625.92202983;2.7;1.7;2.13129605694;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Roodkruisstraat_34_1578070;[64.641878266366476, 44.443424859064997, 64.993155218679703, 45.193646952223851];71.10853195189999;503.706233104;87.4938142338;[16.160469566591619, 11.110856214766249, 16.248288804669926, 11.298411738055963];[16.160469566591619, 11.110856214766249, 16.248288804669926, 11.298411738055963];40221796.6446;18915717.2482;46805645.8266;3089478.09162;0.000211906445672;0.00180210266424;0.000444489885311;0.00313822934357;9.958702103699999e-05;5.50796706556e-05;0.00517522205554;0.00043650458428;629.455340631;2.7;1.7;2.13531743482;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Roodkruisstraat_57_1577744;[65.019236167448568, 40.531863942404399, 1.8423530814364379, 42.357026741296139];64.5043334961;407.767813917;79.46147939810001;[16.254809041862142, 10.131523938824216, 0.45270607490025666, 10.589256685324035];[16.254809041862142, 10.131523938824216, 0.45270607490025666, 10.589256685324035];27469218.4085;17158921.7243;37611128.8639;2805849.78353;0.000310283963625;0.00263872840558;0.0004899984465980001;0.00345953317328;0.000120256381093;6.06473791943e-05;0.00569835750072;0.000639310962949;566.967964456;2.7;1.7;2.06724448282;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
