BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Rozenkranslaan_148_1577804;[111.18038149530102, 47.498255948142635, 144.68173921110122, 44.274838175260115];289.821281433;657.753142381;236.953692181;[26.368027219394989, 5.7493358242025776, 33.109261346373444, 10.062085426424705];[26.368027219394989, 5.7493358242025776, 33.109261346373444, 10.062085426424705];63767860.0225;77095916.0822;61738529.1075;8367028.539469999;0.00013366071815;0.00113668244266;0.000109056943837;0.000769974104202;7.85144719578e-05;2.03378576972e-05;0.00191092155171;0.000317820823999;1125.06279101;2.7;1.7;2.22851927635;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Rozenkranslaan_33_1574915;[68.678142856733899, 78.141496901021128, 61.198563093639052, 80.328410669805891];162.664424896;876.667627925;189.904112152;[6.8227141417195103, 19.535374225255282, 15.299640773409763, 20.082102667451473];[6.8227141417195103, 19.535374225255282, 15.299640773409763, 20.082102667451473];52892358.7272;43270676.2918;80522568.7111;6705669.41378;0.000161143465154;0.00137040224028;0.000194308148399;0.00137187268631;5.51925924924e-05;2.53766514995e-05;0.0023843607809;0.000387566974043;1198.41982893;2.7;1.7;2.02891212626;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Rozenkranslaan_71_1576934;[120.12360891034523, 83.905714449553571, 149.23267567655952, 89.082786607905305];236.878604889;816.8032054439999;282.864974161;[28.170895014825554, 20.802643268189183, 37.208091845771008, 15.972194925563818];[28.170895014825554, 20.802643268189183, 37.208091845771008, 15.972194925563818];81140745.1528;63012532.944;76774923.0574;9988193.4307;0.000105042885044;0.0008933096036669999;0.000133431312747;0.0009420643187869999;6.34727816984e-05;1.70368582632e-05;0.00160076346847;0.000234238118631;1357.43853539;2.7;1.7;2.24155613335;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Rozenkranslaan_96_1577874;[124.54574595189314, 28.817299821173648, 103.07320266065777, 32.414690556525329];116.588504791;755.204958155;131.560757661;[31.136436487973285, 5.3831185899973653, 25.215999989591062, 8.1036726391313323];[31.136436487973285, 5.3831185899973653, 25.215999989591062, 8.1036726391313323];52984868.791;31013932.2312;69773441.9997;4645517.88114;0.000160862113278;0.00136800955721;0.000271098966991;0.00191403845473;6.52697329389e-05;3.66304554493e-05;0.00344175516465;0.000342620051472;807.6348511030001;2.7;1.7;2.08248019411;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Rozenkranslaan_12_1574910;[47.912411800469727, 89.357601591619868, 36.231293117979853, 71.940903385836734];106.479957581;654.1175333819999;140.108768487;[11.978102950117432, 21.80978317932944, 9.0578232794949631, 17.375379027856759];[11.978102950117432, 21.80978317932944, 9.0578232794949631, 17.375379027856759];45022264.1913;28324938.1601;60386177.7723;4947355.12989;0.000189312068564;0.00160995472342;0.000296835422647;0.00209574540243;7.51710464666e-05;3.43956379351e-05;0.00323177429962;0.0003973412041;780.536183518;2.7;1.7;2.07522646523;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Rozenkranslaan_152_5213616;[114.83200477083733, 55.087830757043264, 104.74568826227727, 54.188609285668029];123.314743042;646.169959492;132.64274351;[16.386430899663431, 12.156387206845537, 26.186422065569317, 8.9055578928585497];[16.386430899663431, 12.156387206845537, 26.186422065569317, 8.9055578928585497];60322785.0092;32803191.7955;60523515.9131;4683723.685769999;0.000141294172081;0.00120159914504;0.000256311795591;0.00180963667478;7.94491439969e-05;3.63316555801e-05;0.00341368027504;0.000376025704792;949.183385948;2.7;1.7;2.20892822894;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Rozenkranslaan_110_1574343;[105.97351730344258, 29.293416101678829, 97.949208189477986, 39.731428151308954];152.293968201;609.601332563;178.660227993;[26.055547550528214, 4.1559165405366656, 23.812550255728389, 9.7405407648064291];[26.055547550528214, 4.1559165405366656, 23.812550255728389, 9.7405407648064291];50067661.9587;40512011.1752;56722080.5394;6308638.6742;0.000170234790922;0.00144771703048;0.0002075395604;0.00146529034726;8.26180648749e-05;2.69737172427e-05;0.00253441922823;0.0003752605150269999;1282.76865531;2.7;1.7;2.14774765927;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Rozenkranslaan_53_1576850;[100.67791214711744, 42.368749042164112, 87.086596599766281, 43.841734943150669];119.910644531;652.270250301;153.787877173;[23.128633087341118, 10.592187260541028, 18.884665383835927, 4.0420497290972053];[23.128633087341118, 10.592187260541028, 18.884665383835927, 4.0420497290972053];50256125.5043;31897661.0083;60510094.4017;5430375.6379;0.00016959640004;0.00144228800303;0.000263588135444;0.00186100977459;7.65221662881e-05;3.13362181792e-05;0.00294431476311;0.00042240707556;850.9543072660001;2.7;1.7;2.1200329428;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Rozenkranslaan_81_1574674;[104.73388091342299, 51.684784162497898, 110.23012459894665, 50.286037773504958];179.438148499;476.99151385;180.522780093;[26.183470228355748, 12.921196040624475, 27.557531149736661, 7.4045689137626596];[26.183470228355748, 12.921196040624475, 27.557531149736661, 7.4045689137626596];58136387.9459;47732686.7447;45426974.6995;6374406.911169999;0.000146607972505;0.00124678896393;0.000176144390011;0.00124363120896;0.000112542740566;2.66954146724e-05;0.00250827024109;0.000323064188927;892.092062593;2.7;1.7;2.36444542145;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Rozenkranslaan_92_1577033;[50.701572301746793, 43.971385032656578, 64.873598304750061, 36.640086809700115];101.470630646;405.263157647;120.946321038;[12.675393075436698, 10.992846258164144, 6.9335255003043876, 8.8921146982024464];[12.675393075436698, 10.992846258164144, 6.9335255003043876, 8.8921146982024464];35987154.984;26992397.4747;37857432.747;4270713.44851;0.000236841672238;0.00201415774395;0.000311489373928;0.00219920660914;0.000125711172856;3.98452010034e-05;0.00374380893325;0.00060587412721;662.155440891;2.7;1.7;2.18409691024;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Rozenkranslaan_85_1574675;[79.041120439101903, 59.724189755781154, 79.13392258141856, 58.864014430946696];155.530467987;614.144472793;168.93066709;[19.760280109775476, 14.931047438945289, 19.566986026464846, 6.653551212434123];[19.760280109775476, 14.931047438945289, 19.566986026464846, 6.653551212434123];50767584.1066;41372958.7036;57162773.2018;5965079.92648;0.000167887799183;0.00142775765617;0.000203220781246;0.001434798496;8.20831619287e-05;2.85272683487e-05;0.00268038909066;0.0003928351212869999;935.035279375;2.7;1.7;2.15064843773;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Rozenkranslaan_31_1575340;[71.405307395888173, 48.826048088307893, 16.406787940575438, 138.37319798152143];195.219432831;589.741154028;230.27528649;[17.22365351813535, 11.059629620793254, 3.9723885455000922, 29.438153359430949];[17.22365351813535, 11.059629620793254, 3.9723885455000922, 29.438153359430949];50446226.318;51930696.52;54984621.2139;8131208.57609;0.000168957295473;0.00143685290624;0.000161905107261;0.00114309768405;8.59069711575e-05;2.09276928751e-05;0.00196634178182;0.000387855993281;1145.12964993;2.7;1.7;2.16632550489;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Rozenkranslaan_46_1574959;[124.52328565614762, 114.74516216521837, 42.448534064419171, 97.388979512047968];651.349311829;1257.21004923;394.789126912;[13.417754240596599, 18.889784762175033, 9.529380892831778, 24.347244878011992];[13.417754240596599, 18.889784762175033, 9.529380892831778, 24.347244878011992];69540641.5945;173266682.269;115129495.116;13940326.7429;0.000122565132706;0.0010423229529;4.85254572898e-05;0.000342604002948;3.81105707592e-05;1.22068470074e-05;0.00114694120552;0.000361541463483;1764.12245695;2.7;1.7;2.00154544313;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
