BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Stiemerbeekstraat_4_1577170;[80.344282306988703, 34.391889193656802, 100.50454535957972, 50.656721742713046];185.969604492;707.007324772;231.505400756;[20.086070576747176, 5.9912692137442818, 25.126136339894931, 12.664180435678261];[20.086070576747176, 5.9912692137442818, 25.126136339894931, 12.664180435678261];48774433.4344;49470131.9064;65274944.778;8174644.91621;0.000174748477129;0.00148610248833;0.0001699580063;0.00119995352014;6.95680823144e-05;2.08164926463e-05;0.00195589353712;0.0003746547325859999;1013.95401394;2.7;1.7;2.07608866172;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Stiemerbeekstraat_16_1578031;[31.913409038277354, 85.614445635667551, 35.000309868799746, 43.16168177506686];89.5135917664;438.268780034;114.865436623;[7.3072726429726345, 20.633983153674031, 6.6909567411997859, 9.595243232553841];[7.3072726429726345, 20.633983153674031, 6.6909567411997859, 9.595243232553841];35896026.0511;23811682.5821;40774473.6302;4055992.44974;0.000237442940155;0.0020192710689;0.000353097474788;0.00249297204085;0.000114870195921;4.19545741006e-05;0.00394200318615;0.0005410286297249999;561.166291947;2.7;1.7;2.14650647099;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Stiemerbeekstraat_3_1578024;[114.05353490374554, 60.000141453750878, 82.933216476131776, 51.316526981345909];191.944992065;549.719801651;219.698308272;[27.562412301050507, 13.871989156538548, 20.015170789176132, 9.3649948559840936];[27.562412301050507, 13.871989156538548, 20.015170789176132, 9.3649948559840936];56553100.7233;51059656.2389;51777624.2873;7757726.830360001;0.000150712478299;0.00128169465452;0.000164667089627;0.00116259809203;9.48493608971e-05;2.19352188476e-05;0.00206100775517;0.000337901095363;896.9224353410001;2.7;1.7;2.26083739187;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Stiemerbeekstraat_33_1576861;[34.330511542165752, 85.561008178975257, 31.023812699174155, 44.486293532300394];127.076412201;420.01771482;150.595580451;[4.180266205118194, 21.390252044743814, 7.2167652397629478, 11.061573953673214];[4.180266205118194, 21.390252044743814, 7.2167652397629478, 11.061573953673214];35843156.8505;33803840.638;39155752.9528;5317653.03151;0.000237793172097;0.00202224952439;0.000248724548203;0.00175606847632;0.000120578750931;3.20004774241e-05;0.00300672779234;0.000545699960885;610.428865783;2.7;1.7;2.16522234434;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Stiemerbeekstraat_14_1577277;[34.635108928081209, 37.191588712244602, 36.149929890093304, 73.404249672110183];101.401615143;423.065462774;130.163102157;[7.8937024437426047, 9.2629632246153726, 6.7870080893406959, 18.351062418027546];[7.8937024437426047, 9.2629632246153726, 6.7870080893406959, 18.351062418027546];33271285.2289;26974038.5281;39284209.878;4596165.52293;0.000256174593402;0.00217856949003;0.000311701378399;0.00220070342307;0.000118315778249;3.70237831808e-05;0.0034787117827;0.0005657517212599999;568.288721917;2.7;1.7;2.12873005046;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Stiemerbeekstraat_12_4753982;[74.072030640555838, 25.004263218318403, 42.065016090327127, 27.952823971226994];105.576538086;419.520449228;129.692638186;[17.94969792215371, 2.1006355938275485, 10.500937475542303, 6.9882059928067486];[17.94969792215371, 2.1006355938275485, 10.500937475542303, 6.9882059928067486];31017487.8795;28084617.804;38846525.3374;4579553.0556;0.000274788790072;0.00233686903257;0.000299375446334;0.00211367871684;0.000118311138561;3.71580880749e-05;0.00349133091499;0.000637417505887;580.4213360809999;2.7;1.7;2.1030652957;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Stiemerbeekstraat_6_1577276;[54.411399175826801, 82.44344353446958, 143.70870046755343, 66.332195058261206];162.416259766;754.626756303;186.44132372;[9.8358946009016712, 18.101051676738063, 35.676888009227817, 16.092524235170185];[9.8358946009016712, 18.101051676738063, 35.676888009227817, 16.092524235170185];63632215.4218;43204661.4084;70307272.1621;6583395.524019999;0.000133945642297;0.00113910550518;0.000194605042977;0.00137396884938;6.69953764573e-05;2.58479739161e-05;0.00242864568922;0.00030020590873;1005.06214884;2.7;1.7;2.15969180835;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Stiemerbeekstraat_10_4753766;[34.20089404971813, 20.025243045803816, 27.981541490179787, 38.512083359701556];116.615386963;330.847447492;137.176744817;[8.3609995607176053, 1.1217314519741122, 6.5736648485092264, 9.146255694358647];[8.3609995607176053, 1.1217314519741122, 6.5736648485092264, 9.146255694358647];22144019.2285;31021083.2094;30508377.4349;4843822.9777;0.000384901127367;0.00327329046032;0.000271036473274;0.00191359723071;0.000148095101236;3.51308122876e-05;0.00330085043022;0.0009494365995149999;577.268732906;2.7;1.7;2.06488043919;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Stiemerbeekstraat_31_1577743;[28.992601273060842, 26.791166500760312, 28.869211954484328, 17.861596254907745];77.15750503539999;314.348621393;99.89861243040001;[5.3132786952075968, 6.6936602518618429, 6.4823535099614151, 4.3513059476665461];[5.3132786952075968, 6.6936602518618429, 6.4823535099614151, 4.3513059476665461];18804582.6565;20524816.2037;28864312.0352;3527501.65471;0.00045325430089;0.00385458205683;0.000409642888238;0.00289219929348;0.000153770668161;4.82402143049e-05;0.00453259465903;0.00104762228063;464.4333629180001;2.7;1.7;2.02611746643;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Stiemerbeekstraat_25_4528352;[147.56218781559713, 2.5197303985990365, 103.23307640265112, 173.08682994067709];234.654396057;1293.59526023;291.48367155;[36.869958077870052, 0.62993259964975912, 25.80826910066278, 35.285160650537037];[36.869958077870052, 0.62993259964975912, 25.80826910066278, 35.285160650537037];78216275.8599;62420866.878;118826965.019;10292526.6798;0.000108970388475;0.0009267100241839999;0.000134696062563;0.0009509938245339999;3.74133939594e-05;1.65331061146e-05;0.00155343150009;0.000242697169419;1963.25148204;2.7;1.7;2.0296253764;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
