BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Takkenbosstraat_7_4753765;[66.900543531905271, 32.266143690326004, 87.73757417260704, 30.625028125895344];239.904918671;463.429695405;201.286192575;[16.494139263305993, 3.8269379788339424, 21.813214925907605, 7.1652330940825939];[16.494139263305993, 3.8269379788339424, 21.813214925907605, 7.1652330940825939];39902106.2689;63817568.4894;43222274.4248;7107579.97638;0.000213604211969;0.00181654087143;0.000131748124995;0.0009301805181260001;0.00010942738051;2.39416842793e-05;0.00224953292302;0.000485366130088;617.246070983;2.7;1.7;2.1693900535;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Takkenbosstraat_32_1577853;[49.949907468084987, 29.029660573615327, 67.07775039380823, 30.307543129079733];185.743217468;390.793435173;153.33683869;[12.458567466351465, 6.4991426438480664, 16.769437598452058, 5.6199524346574457];[12.458567466351465, 6.4991426438480664, 16.769437598452058, 5.6199524346574457];32351181.1387;49409910.2591;36376476.5408;5414449.100430001;0.000263460487855;0.00224053046419;0.000170165154037;0.0012014160441;0.000129023207476;3.14283932913e-05;0.002952975429869999;0.000578718210194;458.806753053;2.7;1.7;2.15129944797;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Takkenbosstraat_1_1578133;[82.815749625454444, 31.899730707747079, 70.85325733983538, 30.712113809204343];231.843578339;463.221815227;194.544479746;[20.687221473787101, 5.7550380709539697, 17.713314334958845, 7.186186211375678];[20.687221473787101, 5.7550380709539697, 17.713314334958845, 7.186186211375678];39673101.2122;61673155.8546;43191278.3577;6869524.58622;0.00021483719964;0.00182702649097;0.000136329086354;0.0009625234528779999;0.000109390705481;2.47713555208e-05;0.00232748787186;0.000466059592605;791.0043236160001;2.7;1.7;2.16690558254;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Takkenbosstraat_28_1577007;[50.964853906440993, 25.745749062569207, 66.366009553240787, 27.68422667533677];70.5819740295;364.098455164;92.1306158006;[12.646511618155987, 6.00311350924874, 16.591502388310197, 5.2132794257631181];[12.646511618155987, 6.00311350924874, 16.591502388310197, 5.2132794257631181];31323217.0585;18775646.5633;33956592.3696;3253207.34473;0.000272106723571;0.00231406010304;0.0004478058831090001;0.00316164126348;0.000139263441006;5.2307589942e-05;0.00491476056262;0.000591488581857;418.3923139;2.7;1.7;2.16899632991;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Takkenbosstraat_20_1576912;[57.289251854751043, 28.776601598498964, 76.348005160375124, 31.283094297767718];108.376987457;413.685981842;129.1328577;[14.067129812858596, 6.6138968002864704, 19.087001290093781, 3.1069517150430341];[14.067129812858596, 6.6138968002864704, 19.087001290093781, 3.1069517150430341];35530463.1209;28829570.7235;38577999.8412;4559786.7491;0.000239885923706;0.00204004678034;0.000291639617907;0.00205906149253;0.000122540349799;3.73191653793e-05;0.00350646555193;0.000558095187559;554.111108911;2.7;1.7;2.16822218159;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Takkenbosstraat_4_1577297;[36.302014987000561, 35.279316678847437, 98.385714120187359, 39.242344254028467];178.270248413;326.328881617;199.090388832;[8.4127875594584332, 7.7580600985000787, 14.919308069968324, 4.7078143759673674];[8.4127875594584332, 7.7580600985000787, 14.919308069968324, 4.7078143759673674];38375960.0016;47422011.3984;31001345.6946;7030044.351530001;0.000222098885998;0.00188878159375;0.000177298362981;0.00125177859759;0.000163459610838;2.42057414257e-05;0.00227434342664;0.000668426721466;751.819902747;2.7;1.7;2.3410998285;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Takkenbosstraat_26_1577494;[16.229542577371948, 16.455094917423967, 50.473609100802626, 15.378531796916512];51.1034507751;204.537602367;65.143153495;[4.0430243697895447, 3.1998271960980533, 12.600198504647215, 2.1381920999698636];[4.0430243697895447, 3.1998271960980533, 12.600198504647215, 2.1381920999698636];18074922.2851;13594127.1565;19101931.6174;2300257.99314;0.000471551569133;0.004010186364869999;0.000618490977272;0.00436672823782;0.000248897553755;7.39775435153e-05;0.00695084429988;0.00108857905327;261.409240158;2.7;1.7;2.1817538548;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Takkenbosstraat_18_1577745;[76.630356880309634, 29.211872793060071, 60.828785932427849, 28.487090058750908];81.3379135132;402.953851514;104.414662738;[19.157589220077408, 6.7053746674507302, 15.105611193919799, 5.127684579248216];[19.157589220077408, 6.7053746674507302, 15.105611193919799, 5.127684579248216];35798487.1307;21636854.6972;37642612.0466;3686967.08216;0.000238089892859;0.00202477290811;0.000388589058247;0.00274355306045;0.000126440351172;4.61537713769e-05;0.00433655489826;0.000519094606977;473.797142073;2.7;1.7;2.18431874998;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Takkenbosstraat_2_1578126;[78.501627929316399, 37.836704732208467, 21.271183817837326, 42.796387221447134];162.887687683;310.677113418;182.967976474;[17.34638369624745, 8.1177496269321914, 5.3144811838028936, 5.4514622484060897];[17.34638369624745, 8.1177496269321914, 5.3144811838028936, 5.4514622484060897];33092442.6631;43330066.8548;29324699.5681;6460748.793880001;0.000257559046102;0.00219034320409;0.000194041819007;0.00136999232247;0.000168799376148;2.63386553499e-05;0.00247474954838;0.0006604545707490001;714.8093709389999;2.7;1.7;2.28068617194;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Takkenbosstraat_14_1578125;[72.212706528097286, 33.220586838859397, 33.22327348830995, 35.505474190101012];109.264808655;291.090492583;128.912097081;[15.251104206417411, 7.086227138881938, 8.2601331171311898, 5.2309808750607845];[15.251104206417411, 7.086227138881938, 8.2601331171311898, 5.2309808750607845];31947110.5942;29065741.7465;27527762.5027;4551991.51122;0.000266792764884;0.00226886893824;0.000289269926896;0.00204233077692;0.000181068472314;3.73830740599e-05;0.00351247033754;0.000667858165942;551.378746414;2.7;1.7;2.29830892964;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Takkenbosstraat_13_1578130;[70.227063885888995, 28.076228622084379, 78.929128145854179, 29.234267266560032];77.3492622375;423.995252374;100.254969404;[17.556765971472249, 5.3238873026110776, 19.732282036463545, 6.7813879409155646];[17.556765971472249, 5.3238873026110776, 19.732282036463545, 6.7813879409155646];37872857.2163;20575825.9055;39619507.7917;3540084.91071;0.000225049246134;0.00191387215598;0.000408627339131;0.00288502921805;0.000120264142129;4.80687441336e-05;0.004516483520350001;0.00048443461144;475.172268144;2.7;1.7;2.18695518821;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Takkenbosstraat_3_1578132;[60.957550438202979, 26.278870087102263, 53.318272003920413, 26.413716601303289];111.204193115;384.361734936;132.114895581;[14.911721717714977, 2.8098545784242379, 13.317694066411077, 6.1720283365374993];[14.911721717714977, 2.8098545784242379, 13.317694066411077, 6.1720283365374993];30627559.2558;29581641.1342;35712317.9137;4665084.943969999;0.000278287208402;0.00236662041164;0.000284225102727;0.00200671283428;0.000130470203123;3.64768139976e-05;0.00342731919181;0.0006430390937220001;557.855187871;2.7;1.7;2.1344043487;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Takkenbosstraat_5_1578131;[63.271668899521828, 26.785128652463857, 65.846768194771457, 29.57345655358845];115.100257874;410.601991783;158.70455836;[15.726451617231151, 3.3797623770950933, 16.407121036908276, 7.1826853641239046];[15.726451617231151, 3.3797623770950933, 16.407121036908276, 7.1826853641239046];34022654.4691;30618040.8084;38222069.2842;5603987.66916;0.000250517136258;0.0021304571329;0.000274604278008;0.00193878698165;0.000122815285376;3.03654193817e-05;0.00285309963258;0.000560434428551;575.0352173;2.7;1.7;2.15171973349;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Takkenbosstraat_29_1577134;[1.9100355861371423, 43.003836404657882, 63.705873662916275, 44.173792707177647];64.1087875366;409.228688507;78.700319147;[0.42798284594769692, 10.750959101164471, 15.926468415729069, 11.043448176794412];[0.42798284594769692, 10.750959101164471, 15.926468415729069, 11.043448176794412];28027416.53;17053701.7834;37771117.6294;2778972.59295;0.000304104302883;0.00258617510522;0.000493021696813;0.00348087820913;0.000120078506951;6.12339381166e-05;0.00575346989764;0.0006272355375140001;571.3748195969999;2.7;1.7;2.07336956732;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Takkenbosstraat_27_1576910;[62.73109944417665, 43.553924601249363, 1.714410061913376, 43.419883462494369];63.33072662350001;404.742224064;77.90847254239999;[15.682774861044162, 10.88822517232636, 0.42436912909090024, 10.854807039990853];[15.682774861044162, 10.88822517232636, 0.42436912909090024, 10.854807039990853];27775338.7332;16846728.3046;37360054.8309;2751011.84214;0.0003068642311559999;0.00260964618973;0.000499078802613;0.00352364315787;0.000121440346908;6.18563079872e-05;0.005811947049790001;0.000632185162459;564.453358902;2.7;1.7;2.07411297504;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
Takkenbosstraat_19_1578067;[80.806318174030508, 46.462789083766943, 17.576365054318927, 46.505007503565466];105.294128418;494.537766193;122.713863513;[20.201579543507627, 8.4329322526394126, 4.3708318184581474, 11.626251875891366];[20.201579543507627, 8.4329322526394126, 4.3708318184581474, 11.626251875891366];35100041.9164;28009493.4655;45712537.0912;4333126.81795;0.00024282757228;0.00206506325737;0.000300178402032;0.00211934782027;9.98229151821e-05;3.92712798249e-05;0.00368988396408;0.000536129607931;825.480829925;2.7;1.7;2.0869279414;5;1.7;2.7;0.88;5;1;1;1;4;2;1;0.03
