BuildingID;0_AExt [S, W, N, E];0_AFloor;0_AInt;0_ARoof;0_ATransparent [S, W, N, E];0_AWin [S, W, N, E];0_CExt;0_CFloor;0_CInt;0_CRoof;0_RExt;0_RExtRem;0_RFloor;0_RFloorRem;0_RInt;0_RRoof;0_RRoofRem;0_RWin;0_VAir;0_alphaExt;0_alphaFloor;0_alphaInt;0_alphaRad;0_alphaRoof;0_alphaWin;0_gWin;0_mSenFac;0_nExt;0_nFloor;0_nInt;0_nOrientations;0_nPorts;0_nRoof;0_ratioWinConRad
Akkerstraat_32_1573952;[72.435360847896789, 92.738841246747612, 69.918113227686774, 89.920216882029166];367.806369781;832.7799501119999;271.758799421;[18.108840211974197, 23.174138006952948, 13.63632395242065, 22.480054220507292];[18.108840211974197, 23.174138006952948, 13.63632395242065, 22.480054220507292];55692345.8897;96893767.7867;77005983.4758;12047950.9352;0.000123131551187;0.00224196717123;9.38976009132e-05;0.00286443952289;5.93456873964e-05;2.30812508484e-05;0.004433777105800001;0.00180527849667;1241.73856363;2.7;1.7;2.09027420408;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Akkerstraat_17_4752768;[57.148691434468788, 82.630390831568448, 63.921845082809227, 79.41575785081433];361.204154968;612.3241131780001;424.139489297;[10.259798083095312, 17.837573368283923, 11.577194060190141, 16.916317334337222];[10.259798083095312, 17.837573368283923, 11.577194060190141, 16.916317334337222];48513305.7866;95154500.8203;57065682.9515;18803482.2336;0.000141352662481;0.0025737353732;9.56138938272e-05;0.0029167967419;8.26349898387e-05;1.4788844656e-05;0.00284085300609;0.00246907958885;968.54781551;2.7;1.7;2.16236409625;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Akkerstraat_22_1571886;[65.706640107006663, 102.2603052605847, 55.408447603226364, 106.60136215229517];163.26714325;851.682023983;186.213211459;[14.586274139606855, 25.565076315146175, 10.916911769288097, 22.945597131555459];[14.586274139606855, 25.565076315146175, 10.916911769288097, 22.945597131555459];56542987.6111;43010589.1712;78729526.169;8255436.953389999;0.000121279140498;0.00220823865963;0.000211531451067;0.00645297689053;5.79732225228e-05;3.36846831142e-05;0.0064706361795;0.00188785445005;1294.73557293;2.7;1.7;2.08744125839;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Akkerstraat_11_1572511;[45.771703656603286, 58.952750762225669, 51.456043673986223, 62.47275137077385];251.628837585;452.421605787;298.191037587;[7.0719948419678786, 14.614589664647752, 11.537587072046112, 15.618187842693462];[7.0719948419678786, 14.614589664647752, 11.537587072046112, 15.618187842693462];37467208.7764;66288319.5088;42259054.2912;13219777.9716;0.000183026309208;0.00333252503326;0.000137250309044;0.004186956918300001;0.00011257947316;2.10352835231e-05;0.00404075841085;0.00286078304581;814.56620256;2.7;1.7;2.18329533043;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Akkerstraat_11A_1572510;[37.033634435901469, 67.097975326225793, 39.443364306357246, 68.738814037462319];161.147640228;534.609068562;194.650039253;[7.3451137405790554, 16.371947430147323, 9.8608410765893115, 15.121778214074466];[7.3451137405790554, 16.371947430147323, 9.8608410765893115, 15.121778214074466];36380913.8194;42452233.8776;49471513.6579;8629468.95355;0.000188491277946;0.00343203064644;0.000214313629875;0.00653785001679;9.26580956796e-05;3.22246686605e-05;0.006190175700930001;0.00286916448786;853.42548464;2.7;1.7;2.09713839624;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Akkerstraat_13_1572509;[64.178250705988333, 62.49196613065908, 62.331577101946422, 53.255209529658281];217.583908081;477.525077504;240.654159322;[6.8727735494954949, 13.086526896182601, 11.152232014560758, 13.31380238241457];[6.8727735494954949, 13.086526896182601, 11.152232014560758, 13.31380238241457];41511817.2209;57319629.0109;44719630.2667;10668981.1334;0.000165193561683;0.00300782812059;0.00015872559707;0.00484208189688;0.000107454891468;2.60645111531e-05;0.00500684445499;0.0031452186966;1764.30409086;2.7;1.7;2.20731786639;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Akkerstraat_23_1572505;[154.57813794089049, 151.4770212010649, 152.96414711712598, 132.62801496554422];229.135448456;1257.39564276;249.193984411;[36.293085013155952, 36.078725098452139, 37.608173513537253, 30.901440462183857];[36.293085013155952, 36.078725098452139, 37.608173513537253, 30.901440462183857];101381405.31;60362730.9325;117286879.403;11047579.3385;6.76404604737e-05;0.00123159085033;0.000150723670021;0.00459797516915;4.03454365823e-05;2.5171285874e-05;0.00483526095551;0.000991808498922;2446.20740519;2.7;1.7;2.17053393626;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Akkerstraat_3_4753775;[51.867264333599209, 68.772703069590392, 60.858101351723853, 68.478911601531919];116.838191986;427.061559824;163.725251403;[8.1142873788985774, 16.454030018718235, 11.888143767295908, 16.36685912142795];[8.1142873788985774, 16.454030018718235, 11.888143767295908, 16.36685912142795];42834669.6666;30779490.4412;40330274.3123;7258472.586560001;0.000160091930019;0.00291493811311;0.000295589439857;0.00901724927837;0.00012296211928;3.83113353984e-05;0.00735938978775;0.00264518385048;714.134331282;2.7;1.7;2.28534179583;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Akkerstraat_19_4752776;[55.059581367241393, 50.686019881023157, 57.804872609856872, 54.206628472979759];186.713920593;504.534728369;251.325875823;[7.5513201368813307, 12.609089775880042, 12.558127916324164, 13.414907628441412];[7.5513201368813307, 12.609089775880042, 12.558127916324164, 13.414907628441412];37313649.9713;49187335.3777;46863723.5603;11142093.0145;0.000183779526901;0.00334623954691;0.000184968188838;0.005642638208359999;9.93035724299e-05;2.49577684715e-05;0.00479424547602;0.00302876562468;994.086677591;2.7;1.7;2.13159982869;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
Akkerstraat_14_1574100;[72.695738224711178, 95.730627373922033, 51.397125565641915, 102.12548416046157];147.923122406;913.6414649489999;180.365731968;[18.173934556177795, 23.119006565989913, 12.845223776310025, 25.528580173161828];[18.173934556177795, 23.119006565989913, 12.845223776310025, 25.528580173161828];55167391.7649;38968407.9729;84134465.4937;7996199.18018;0.000124303229123;0.00226330096782;0.000233473544645;0.007122342235859999;5.33969560966e-05;3.47767447356e-05;0.00668041501024;0.00175389861384;1299.92058416;2.7;1.7;2.05237999552;5;1.7;2.7;0.78;5;1;1;1;4;2;1;0.03
